agency_cd	site_no	datetime	113422_62614_32400	113422_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14087520	2013-01-01	1941.95	A
USGS	14087520	2013-01-02	1941.86	A
USGS	14087520	2013-01-03	1941.98	A
USGS	14087520	2013-01-04	1941.76	A
USGS	14087520	2013-01-05	1941.93	A
USGS	14087520	2013-01-06	1942.06	A
USGS	14087520	2013-01-07	1941.84	A
USGS	14087520	2013-01-08	1941.65	A
USGS	14087520	2013-01-09	1941.54	A
USGS	14087520	2013-01-10	1941.32	A
USGS	14087520	2013-01-11	1941.11	A
USGS	14087520	2013-01-12	1941.30	A
USGS	14087520	2013-01-13	1941.34	A
USGS	14087520	2013-01-14	1941.28	A
USGS	14087520	2013-01-15	1941.27	A
USGS	14087520	2013-01-16	1941.27	A
USGS	14087520	2013-01-17	1941.08	A
USGS	14087520	2013-01-18	1941.08	A
USGS	14087520	2013-01-19	1940.76	A
USGS	14087520	2013-01-20	1940.74	A
USGS	14087520	2013-01-21	1940.87	A
USGS	14087520	2013-01-22	1940.81	A
USGS	14087520	2013-01-23	1940.93	A
USGS	14087520	2013-01-24	1940.44	A
USGS	14087520	2013-01-25	1940.31	A
USGS	14087520	2013-01-26	1940.32	A
USGS	14087520	2013-01-27	1940.28	A
USGS	14087520	2013-01-28	1940.30	A
USGS	14087520	2013-01-29	1940.35	A
USGS	14087520	2013-01-30	1940.48	A
USGS	14087520	2013-01-31	1940.43	A
USGS	14087520	2013-02-01	1940.26	A
USGS	14087520	2013-02-02	1940.17	A
USGS	14087520	2013-02-03	1940.39	A
USGS	14087520	2013-02-04	1940.02	A
USGS	14087520	2013-02-05	1939.87	A
USGS	14087520	2013-02-06	1939.94	A
USGS	14087520	2013-02-07	1940.08	A
USGS	14087520	2013-02-08	1940.04	A
USGS	14087520	2013-02-09	1940.04	A
USGS	14087520	2013-02-10	1939.98	A
USGS	14087520	2013-02-11	1939.91	A
USGS	14087520	2013-02-12	1939.92	A
USGS	14087520	2013-02-13	1939.89	A
USGS	14087520	2013-02-14	1940.01	A
USGS	14087520	2013-02-15	1940.08	A
USGS	14087520	2013-02-16	1939.99	A
