agency_cd	site_no	datetime	149826_00062_00003	149826_00062_00003_cd
USGS	12452000	2011-01-01	1089.11	A
USGS	12452000	2011-01-02	1088.99	A
USGS	12452000	2011-01-03	1088.88	A
USGS	12452000	2011-01-04	1088.76	A
USGS	12452000	2011-01-05	1088.64	A
USGS	12452000	2011-01-06	1088.53	A
USGS	12452000	2011-01-07	1088.43	A
USGS	12452000	2011-01-08	1088.33	A
USGS	12452000	2011-01-09	1088.21	A
USGS	12452000	2011-01-10	1088.08	A
USGS	12452000	2011-01-11	1087.95	A
USGS	12452000	2011-01-12	1087.86	A
USGS	12452000	2011-01-13	1087.78	A
USGS	12452000	2011-01-14	1087.70	A
USGS	12452000	2011-01-15	1087.65	A
USGS	12452000	2011-01-16	1087.61	A
USGS	12452000	2011-01-17	1087.83	A
USGS	12452000	2011-01-18	1088.03	A
USGS	12452000	2011-01-19	1088.08	A
USGS	12452000	2011-01-20	1088.11	A
USGS	12452000	2011-01-21	1088.12	A
USGS	12452000	2011-01-22	1088.15	A
USGS	12452000	2011-01-23	1088.14	A
USGS	12452000	2011-01-24	1088.13	A
USGS	12452000	2011-01-25	1088.15	A
USGS	12452000	2011-01-26	1088.18	A
USGS	12452000	2011-01-27	1088.20	A
USGS	12452000	2011-01-28	1088.20	A
USGS	12452000	2011-01-29	1088.22	A
USGS	12452000	2011-01-30	1088.19	A
USGS	12452000	2011-01-31	1088.13	A
USGS	12452000	2011-02-01	1088.08	A
USGS	12452000	2011-02-02	1088.01	A
USGS	12452000	2011-02-03	1087.94	A
USGS	12452000	2011-02-04	1087.89	A
USGS	12452000	2011-02-05	1087.86	A
USGS	12452000	2011-02-06	1087.81	A
USGS	12452000	2011-02-07	1087.79	A
USGS	12452000	2011-02-08	1087.73	A
USGS	12452000	2011-02-09	1087.68	A
USGS	12452000	2011-02-10	1087.61	A
USGS	12452000	2011-02-11	1087.55	A
USGS	12452000	2011-02-12	1087.50	A
USGS	12452000	2011-02-13	1087.50	A
USGS	12452000	2011-02-14	1087.47	A
USGS	12452000	2011-02-15	1087.45	A
USGS	12452000	2011-02-16	1087.42	A
USGS	12452000	2011-02-17	1087.36	A
USGS	12452000	2011-02-18	1087.29	A
USGS	12452000	2011-02-19	1087.21	A
USGS	12452000	2011-02-20	1087.14	A
USGS	12452000	2011-02-21	1087.06	A
USGS	12452000	2011-02-22	1087.00	A
USGS	12452000	2011-02-23	1086.92	A
USGS	12452000	2011-02-24	1086.82	A
USGS	12452000	2011-02-25	1086.73	A
USGS	12452000	2011-02-26	1086.63	A
USGS	12452000	2011-02-27	1086.54	A
USGS	12452000	2011-02-28	1086.50	A
USGS	12452000	2011-03-01	1086.42	A
USGS	12452000	2011-03-02	1086.34	A
USGS	12452000	2011-03-03	1086.27	A
USGS	12452000	2011-03-04	1086.18	A
USGS	12452000	2011-03-05	1086.08	A
USGS	12452000	2011-03-06	1085.99	A
USGS	12452000	2011-03-07	1085.89	A
USGS	12452000	2011-03-08	1085.79	A
USGS	12452000	2011-03-09	1085.70	A
USGS	12452000	2011-03-10	1085.64	A
USGS	12452000	2011-03-11	1085.58	A
USGS	12452000	2011-03-12	1085.48	A
USGS	12452000	2011-03-13	1085.38	A
USGS	12452000	2011-03-14	1085.33	A
USGS	12452000	2011-03-15	1085.25	A
USGS	12452000	2011-03-16	1085.19	A
USGS	12452000	2011-03-17	1085.10	A
USGS	12452000	2011-03-18	1085.01	A
USGS	12452000	2011-03-19	1084.98	A
USGS	12452000	2011-03-20	1084.92	A
USGS	12452000	2011-03-21	1084.86	A
USGS	12452000	2011-03-22	1084.80	A
USGS	12452000	2011-03-23	1084.71	A
USGS	12452000	2011-03-24	1084.63	A
USGS	12452000	2011-03-25	1084.56	A
USGS	12452000	2011-03-26	1084.50	A
USGS	12452000	2011-03-27	1084.44	A
USGS	12452000	2011-03-28	1084.38	A
USGS	12452000	2011-03-29	1084.34	A
USGS	12452000	2011-03-30	1084.33	A
USGS	12452000	2011-03-31	1084.39	A
USGS	12452000	2011-04-01	1084.48	A
USGS	12452000	2011-04-02	1084.59	A
USGS	12452000	2011-04-03	1084.66	A
USGS	12452000	2011-04-04	1084.67	A
USGS	12452000	2011-04-05	1084.69	A
USGS	12452000	2011-04-06	1084.68	A
USGS	12452000	2011-04-07	1084.66	A
USGS	12452000	2011-04-08	1084.60	A
USGS	12452000	2011-04-09	1084.57	A
USGS	12452000	2011-04-10	1084.54	A
USGS	12452000	2011-04-11	1084.56	A
USGS	12452000	2011-04-12	1084.54	A
USGS	12452000	2011-04-13	1084.48	A
USGS	12452000	2011-04-14	1084.42	A
USGS	12452000	2011-04-15	1084.38	A
USGS	12452000	2011-04-16	1084.33	A
USGS	12452000	2011-04-17	1084.29	A
USGS	12452000	2011-04-18	1084.23	A
USGS	12452000	2011-04-19	1084.15	A
USGS	12452000	2011-04-20	1084.06	A
USGS	12452000	2011-04-21	1084.00	A
USGS	12452000	2011-04-22	1083.91	A
USGS	12452000	2011-04-23	1083.79	A
USGS	12452000	2011-04-24	1083.71	A
USGS	12452000	2011-04-25	1083.63	A
USGS	12452000	2011-04-26	1083.57	A
USGS	12452000	2011-04-27	1083.50	A
USGS	12452000	2011-04-28	1083.44	A
USGS	12452000	2011-04-29	1083.39	A
USGS	12452000	2011-04-30	1083.32	A
USGS	12452000	2011-05-01	1083.23	A
USGS	12452000	2011-05-02	1083.15	A
USGS	12452000	2011-05-03	1083.12	A
USGS	12452000	2011-05-04	1083.06	A
USGS	12452000	2011-05-05	1083.02	A
USGS	12452000	2011-05-06	1083.02	A
USGS	12452000	2011-05-07	1083.00	A
USGS	12452000	2011-05-08	1083.00	A
USGS	12452000	2011-05-09	1083.00	A
USGS	12452000	2011-05-10	1083.05	A
USGS	12452000	2011-05-11	1083.09	A
USGS	12452000	2011-05-12	1083.22	A
USGS	12452000	2011-05-13	1083.35	A
USGS	12452000	2011-05-14	1083.54	A
USGS	12452000	2011-05-15	1083.90	A
USGS	12452000	2011-05-16	1084.41	A
USGS	12452000	2011-05-17	1084.81	A
USGS	12452000	2011-05-18	1085.09	A
USGS	12452000	2011-05-19	1085.35	A
USGS	12452000	2011-05-20	1085.61	A
USGS	12452000	2011-05-21	1085.92	A
USGS	12452000	2011-05-22	1086.30	A
USGS	12452000	2011-05-23	1086.70	A
USGS	12452000	2011-05-24	1087.05	A
USGS	12452000	2011-05-25	1087.33	A
USGS	12452000	2011-05-26	1087.68	A
USGS	12452000	2011-05-27	1087.98	A
USGS	12452000	2011-05-28	1088.22	A
USGS	12452000	2011-05-29	1088.48	A
USGS	12452000	2011-05-30	1088.75	A
USGS	12452000	2011-05-31	1089.05	A
USGS	12452000	2011-06-01	1089.34	A
USGS	12452000	2011-06-02	1089.62	A
USGS	12452000	2011-06-03	1089.81	A
USGS	12452000	2011-06-04	1090.00	A
USGS	12452000	2011-06-05	1090.22	A
USGS	12452000	2011-06-06	1090.51	A
USGS	12452000	2011-06-07	1090.96	A
USGS	12452000	2011-06-08	1091.39	A
USGS	12452000	2011-06-09	1091.66	A
USGS	12452000	2011-06-10	1091.98	A
USGS	12452000	2011-06-11	1092.37	A
USGS	12452000	2011-06-12	1092.72	A
USGS	12452000	2011-06-13	1093.02	A
USGS	12452000	2011-06-14	1093.36	A
USGS	12452000	2011-06-15	1093.67	A
USGS	12452000	2011-06-16	1093.87	A
USGS	12452000	2011-06-17	1093.98	A
USGS	12452000	2011-06-18	1094.15	A
USGS	12452000	2011-06-19	1094.38	A
USGS	12452000	2011-06-20	1094.59	A
USGS	12452000	2011-06-21	1094.86	A
USGS	12452000	2011-06-22	1095.17	A
USGS	12452000	2011-06-23	1095.65	A
USGS	12452000	2011-06-24	1096.04	A
USGS	12452000	2011-06-25	1096.35	A
USGS	12452000	2011-06-26	1096.60	A
USGS	12452000	2011-06-27	1096.85	A
USGS	12452000	2011-06-28	1097.15	A
USGS	12452000	2011-06-29	1097.55	A
USGS	12452000	2011-06-30	1098.00	A
USGS	12452000	2011-07-01	1098.16	A
USGS	12452000	2011-07-02	1098.12	A
USGS	12452000	2011-07-03	1098.14	A
USGS	12452000	2011-07-04	1098.15	A
USGS	12452000	2011-07-05	1098.26	A
USGS	12452000	2011-07-06	1098.39	A
USGS	12452000	2011-07-07	1098.62	A
USGS	12452000	2011-07-08	1098.87	A
USGS	12452000	2011-07-09	1098.94	A
USGS	12452000	2011-07-10	1098.93	A
USGS	12452000	2011-07-11	1098.89	A
USGS	12452000	2011-07-12	1099.00	A
USGS	12452000	2011-07-13	1099.04	A
USGS	12452000	2011-07-14	1099.05	A
USGS	12452000	2011-07-15	1099.02	A
USGS	12452000	2011-07-16	1098.96	A
USGS	12452000	2011-07-17	1098.90	A
USGS	12452000	2011-07-18	1098.83	A
USGS	12452000	2011-07-19	1098.81	A
USGS	12452000	2011-07-20	1098.74	A
USGS	12452000	2011-07-21	1098.80	A
USGS	12452000	2011-07-22	1098.95	A
USGS	12452000	2011-07-23	1099.06	A
USGS	12452000	2011-07-24	1099.14	A
USGS	12452000	2011-07-25	1099.26	A
USGS	12452000	2011-07-26	1099.44	A
USGS	12452000	2011-07-27	1099.60	A
USGS	12452000	2011-07-28	1099.70	A
USGS	12452000	2011-07-29	1099.79	A
USGS	12452000	2011-07-30	1099.87	A
USGS	12452000	2011-07-31	1099.92	A
USGS	12452000	2011-08-01	1099.92	A
USGS	12452000	2011-08-02	1099.90	A
USGS	12452000	2011-08-03	1099.93	A
USGS	12452000	2011-08-04	1099.96	A
USGS	12452000	2011-08-05	1099.98	A
USGS	12452000	2011-08-06	1099.95	A
USGS	12452000	2011-08-07	1099.88	A
USGS	12452000	2011-08-08	1099.82	A
USGS	12452000	2011-08-09	1099.83	A
USGS	12452000	2011-08-10	1099.85	A
USGS	12452000	2011-08-11	1099.81	A
USGS	12452000	2011-08-12	1099.76	A
USGS	12452000	2011-08-13	1099.76	A
USGS	12452000	2011-08-14	1099.77	A
USGS	12452000	2011-08-15	1099.77	A
USGS	12452000	2011-08-16	1099.77	A
USGS	12452000	2011-08-17	1099.79	A
USGS	12452000	2011-08-18	1099.81	A
USGS	12452000	2011-08-19	1099.75	A
USGS	12452000	2011-08-20	1099.68	A
USGS	12452000	2011-08-21	1099.66	A
