agency_cd	site_no	datetime	149820_00062_00003	149820_00062_00003_cd
5s	15s	20d	14n	10s
USGS	12451200	2016-10-20	1096.03	P
USGS	12451200	2016-10-21	1096.09	P
USGS	12451200	2016-10-22	1096.13	P
USGS	12451200	2016-10-23	1096.10	P
USGS	12451200	2016-10-24	1096.03	P
USGS	12451200	2016-10-25	1096.00	P
USGS	12451200	2016-10-26	1096.01	P
USGS	12451200	2016-10-27	1096.05	P
USGS	12451200	2016-10-28	1096.09	P
USGS	12451200	2016-10-29	1096.10	P
USGS	12451200	2016-10-30	1096.08	P
USGS	12451200	2016-10-31	1096.06	P
USGS	12451200	2016-11-01	1096.04	P
USGS	12451200	2016-11-02	1096.00	P
USGS	12451200	2016-11-03	1095.97	P
USGS	12451200	2016-11-04	1095.93	P
USGS	12451200	2016-11-05	1095.89	P
USGS	12451200	2016-11-06	1095.87	P
USGS	12451200	2016-11-07	1095.84	P
USGS	12451200	2016-11-08	1095.80	P
USGS	12451200	2016-11-09	1095.75	P
USGS	12451200	2016-11-10	1095.71	P
USGS	12451200	2016-11-11	1095.68	P
USGS	12451200	2016-11-12	1095.66	P
USGS	12451200	2016-11-13	1095.68	P
USGS	12451200	2016-11-14	1095.72	P
USGS	12451200	2016-11-15	1095.77	P
USGS	12451200	2016-11-16	1095.79	P
USGS	12451200	2016-11-17	1095.83	P
USGS	12451200	2016-11-18	1095.85	P
USGS	12451200	2016-11-19	1095.80	P
USGS	12451200	2016-11-20	1095.75	P
USGS	12451200	2016-11-21	1095.72	P
USGS	12451200	2016-11-22	1095.69	P
USGS	12451200	2016-11-23	1095.64	P
USGS	12451200	2016-11-24	1095.61	P
USGS	12451200	2016-11-25	1095.53	P
USGS	12451200	2016-11-26	1095.49	P
USGS	12451200	2016-11-27	1095.42	P
USGS	12451200	2016-11-28	1095.34	P
USGS	12451200	2016-11-29	1095.30	P
USGS	12451200	2016-11-30	1095.27	P
USGS	12451200	2016-12-01	1095.19	P
USGS	12451200	2016-12-02	1095.09	P
USGS	12451200	2016-12-03	1095.00	P
USGS	12451200	2016-12-04	1094.93	P
USGS	12451200	2016-12-05	1094.87	P
USGS	12451200	2016-12-06	1094.81	P
USGS	12451200	2016-12-07	1094.75	P
USGS	12451200	2016-12-08	1094.64	P
USGS	12451200	2016-12-09	1094.52	P
USGS	12451200	2016-12-10	1094.44	P
USGS	12451200	2016-12-11	1094.34	P
USGS	12451200	2016-12-12	1094.27	P
USGS	12451200	2016-12-13	1094.19	P
USGS	12451200	2016-12-14	1094.07	P
USGS	12451200	2016-12-15	1093.95	P
USGS	12451200	2016-12-16	1093.84	P
USGS	12451200	2016-12-17	1093.71	P
USGS	12451200	2016-12-18	1093.61	P
USGS	12451200	2016-12-19	1093.49	P
USGS	12451200	2016-12-20	1093.38	P
USGS	12451200	2016-12-21	1093.30	P
USGS	12451200	2016-12-22	1093.20	P
USGS	12451200	2016-12-23	1093.12	P
USGS	12451200	2016-12-24	1093.00	P
USGS	12451200	2016-12-25	1092.88	P
USGS	12451200	2016-12-26	1092.77	P
USGS	12451200	2016-12-27	1092.68	P
USGS	12451200	2016-12-28	1092.58	P
USGS	12451200	2016-12-29	1092.48	P
USGS	12451200	2016-12-30	1092.37	P
USGS	12451200	2016-12-31	1092.28	P
USGS	12451200	2017-01-01	1092.15	P
USGS	12451200	2017-01-02	1092.03	P
USGS	12451200	2017-01-03	1091.89	P
USGS	12451200	2017-01-04	1091.76	P
USGS	12451200	2017-01-05	1091.64	P
USGS	12451200	2017-01-06	1091.53	P
USGS	12451200	2017-01-07	1091.40	P
USGS	12451200	2017-01-08	1091.29	P
USGS	12451200	2017-01-09	1091.20	P
USGS	12451200	2017-01-10	1091.10	P
USGS	12451200	2017-01-11	1090.98	P
USGS	12451200	2017-01-12	1090.85	P
USGS	12451200	2017-01-13	1090.73	P
USGS	12451200	2017-01-14	1090.59	P
USGS	12451200	2017-01-15	1090.47	P
USGS	12451200	2017-01-16	1090.36	P
USGS	12451200	2017-01-17	1090.24	P
USGS	12451200	2017-01-18	1090.15	P
USGS	12451200	2017-01-19	1090.05	P
USGS	12451200	2017-01-20	1089.95	P
USGS	12451200	2017-01-21	1089.85	P
USGS	12451200	2017-01-22	1089.76	P
USGS	12451200	2017-01-23	1089.64	P
USGS	12451200	2017-01-24	1089.53	P
USGS	12451200	2017-01-25	1089.42	P
USGS	12451200	2017-01-26	1089.31	P
USGS	12451200	2017-01-27	1089.18	P
USGS	12451200	2017-01-28	1089.07	P
USGS	12451200	2017-01-29	1088.94	P
USGS	12451200	2017-01-30	1088.83	P
