agency_cd	site_no	datetime	150401_62614_32400	150401_62614_32400_cd	150402_00054_32400	150402_00054_32400_cd
USGS	14220000	2013-01-01	237.12	A		
USGS	14220000	2013-01-02	236.50	A		
USGS	14220000	2013-01-03	236.72	A		
USGS	14220000	2013-01-04	235.86	A		
USGS	14220000	2013-01-05	235.85	A		
USGS	14220000	2013-01-06	235.76	A		
USGS	14220000	2013-01-07	235.66	A		
USGS	14220000	2013-01-08	235.72	A		
USGS	14220000	2013-01-09	236.82	A		
USGS	14220000	2013-01-10	237.26	A		
USGS	14220000	2013-01-11	234.69	A		
USGS	14220000	2013-01-12	233.33	A		
USGS	14220000	2013-01-13	232.44	A		
USGS	14220000	2013-01-14	233.11	A		
USGS	14220000	2013-01-15	233.43	A		
USGS	14220000	2013-01-16	234.44	A		
USGS	14220000	2013-01-17	234.33	A		
USGS	14220000	2013-01-18	234.04	A		
USGS	14220000	2013-01-19	233.98	A		
USGS	14220000	2013-01-20	233.91	A		
USGS	14220000	2013-01-21	233.12	A		
USGS	14220000	2013-01-22	233.87	A		
USGS	14220000	2013-01-23	235.37	A		
USGS	14220000	2013-01-24	234.98	A		
USGS	14220000	2013-01-25	234.59	A		
USGS	14220000	2013-01-26	234.29	A		
USGS	14220000	2013-01-27	233.84	A		
USGS	14220000	2013-01-28	232.77	A		
USGS	14220000	2013-01-29	232.88	A		
USGS	14220000	2013-01-30	234.53	A		
USGS	14220000	2013-01-31	236.34	A		
USGS	14220000	2013-02-01	236.94	A		
USGS	14220000	2013-02-02	236.11	A		
USGS	14220000	2013-02-03	233.93	A		
USGS	14220000	2013-02-04	233.38	A		
USGS	14220000	2013-02-05	234.46	A		
USGS	14220000	2013-02-06	235.47	A		
USGS	14220000	2013-02-07	235.27	A		
USGS	14220000	2013-02-08	235.15	A		
USGS	14220000	2013-02-09	234.93	A		
USGS	14220000	2013-02-10	235.12	A		
USGS	14220000	2013-02-11	236.12	A		
USGS	14220000	2013-02-12	234.71	A		
USGS	14220000	2013-02-13	234.96	A		
USGS	14220000	2013-02-14	235.23	A		
USGS	14220000	2013-02-15	234.90	A		
USGS	14220000	2013-02-16	235.35	A		
USGS	14220000	2013-02-17	235.38	A		
USGS	14220000	2013-02-18	235.40	A		
USGS	14220000	2013-02-19	235.71	A		
USGS	14220000	2013-02-20	236.00	A		
USGS	14220000	2013-02-21	236.66	A		
USGS	14220000	2013-02-22	237.62	A		
USGS	14220000	2013-02-23	238.67	A		
USGS	14220000	2013-02-24	237.97	A		
USGS	14220000	2013-02-25	237.15	A		
USGS	14220000	2013-02-26	236.44	A		
USGS	14220000	2013-02-27	236.18	A		
USGS	14220000	2013-02-28	237.04	A		
USGS	14220000	2013-03-01	238.09	A		
USGS	14220000	2013-03-02	236.93	A		
USGS	14220000	2013-03-03	238.06	A		
USGS	14220000	2013-03-04	237.72	A		
USGS	14220000	2013-03-05	237.97	A		
USGS	14220000	2013-03-06	237.54	A		
USGS	14220000	2013-03-07	238.19	A		
USGS	14220000	2013-03-08	238.21	A		
USGS	14220000	2013-03-09	237.32	A		
USGS	14220000	2013-03-10	237.20	A		
USGS	14220000	2013-03-11	237.40	A		
USGS	14220000	2013-03-12	236.44	A		
USGS	14220000	2013-03-13	235.96	A		
USGS	14220000	2013-03-14	236.46	A		
USGS	14220000	2013-03-15	237.36	A		
USGS	14220000	2013-03-16	237.74	A		
USGS	14220000	2013-03-17	237.91	A		
USGS	14220000	2013-03-18	238.01	A		
USGS	14220000	2013-03-19	237.48	A		
USGS	14220000	2013-03-20	236.91	A		
USGS	14220000	2013-03-21	236.72	A		
USGS	14220000	2013-03-22	237.53	A		
USGS	14220000	2013-03-23	237.89	A		
USGS	14220000	2013-03-24	238.33	A		
USGS	14220000	2013-03-25	238.65	A		
USGS	14220000	2013-03-26	238.66	A		
USGS	14220000	2013-03-27	237.83	A		
USGS	14220000	2013-03-28	237.61	A		
USGS	14220000	2013-03-29	237.47	A		
USGS	14220000	2013-03-30	236.71	A		
USGS	14220000	2013-03-31	235.79	A		
USGS	14220000	2013-04-01	235.62	A		
USGS	14220000	2013-04-02	234.74	A		
USGS	14220000	2013-04-03	234.16	A		
USGS	14220000	2013-04-04	234.17	A		
USGS	14220000	2013-04-05	234.79	A		
USGS	14220000	2013-04-06	235.18	A		
USGS	14220000	2013-04-07	235.25	A		
USGS	14220000	2013-04-08	235.80	A		
USGS	14220000	2013-04-09	235.95	A		
USGS	14220000	2013-04-10	235.01	A		
USGS	14220000	2013-04-11	235.77	A		
USGS	14220000	2013-04-12	235.77	A		
USGS	14220000	2013-04-13	235.32	A		
USGS	14220000	2013-04-14	235.98	A		
USGS	14220000	2013-04-15	236.59	A		
USGS	14220000	2013-04-16	237.35	A		
USGS	14220000	2013-04-17	237.76	A		
USGS	14220000	2013-04-18	236.44	A		
USGS	14220000	2013-04-19	237.17	A		
USGS	14220000	2013-04-20	237.00	A		
USGS	14220000	2013-04-21	236.42	A		
USGS	14220000	2013-04-22	235.44	A		
USGS	14220000	2013-04-23	236.31	A		
USGS	14220000	2013-04-24	237.38	A		
USGS	14220000	2013-04-25	237.50	A		
USGS	14220000	2013-04-26	237.32	A		
USGS	14220000	2013-04-27	237.33	A		
USGS	14220000	2013-04-28	235.54	A		
USGS	14220000	2013-04-29	236.09	A		
USGS	14220000	2013-04-30	236.18	A		
USGS	14220000	2013-05-01	236.23	A		
USGS	14220000	2013-05-02	236.64	A		
USGS	14220000	2013-05-03	237.91	A		
USGS	14220000	2013-05-04	239.15	A		
USGS	14220000	2013-05-05	238.29	A		
USGS	14220000	2013-05-06	238.38	A		
USGS	14220000	2013-05-07	238.56	A		
USGS	14220000	2013-05-08	238.70	A		
USGS	14220000	2013-05-09	236.28	A		
USGS	14220000	2013-05-10	235.40	A		
USGS	14220000	2013-05-11	234.54	A		
USGS	14220000	2013-05-12	233.80	A		
USGS	14220000	2013-05-13	232.80	A		
USGS	14220000	2013-05-14	232.79	A		
USGS	14220000	2013-05-15	233.51	A		
USGS	14220000	2013-05-16	234.65	A		
USGS	14220000	2013-05-17	234.83	A		
USGS	14220000	2013-05-18	235.67	A		
USGS	14220000	2013-05-19	237.41	A		
USGS	14220000	2013-05-20	237.93	A		
USGS	14220000	2013-05-21	237.99	A		
USGS	14220000	2013-05-22	238.43	A		
USGS	14220000	2013-05-23	238.50	A		
USGS	14220000	2013-05-24	238.30	A		
USGS	14220000	2013-05-25	238.45	A		
USGS	14220000	2013-05-26	238.01	A		
USGS	14220000	2013-05-27	238.25	A		
USGS	14220000	2013-05-28	237.84	A		
USGS	14220000	2013-05-29	238.54	A		
USGS	14220000	2013-05-30	238.01	A		
USGS	14220000	2013-05-31	236.77	A		
USGS	14220000	2013-06-01	236.67	A		
USGS	14220000	2013-06-02	236.32	A		
USGS	14220000	2013-06-03	237.07	A		
USGS	14220000	2013-06-04	237.15	A		
USGS	14220000	2013-06-05	237.59	A		
USGS	14220000	2013-06-06	238.15	A		
USGS	14220000	2013-06-07	238.04	A		
USGS	14220000	2013-06-08	238.01	A		
USGS	14220000	2013-06-09	237.95	A		
USGS	14220000	2013-06-10	238.02	A		
USGS	14220000	2013-06-11	238.35	A		
USGS	14220000	2013-06-12	238.09	A		
USGS	14220000	2013-06-13	238.47	A		
USGS	14220000	2013-06-14	238.40	A		
USGS	14220000	2013-06-15	238.00	A		
USGS	14220000	2013-06-16	237.90	A		
USGS	14220000	2013-06-17	237.73	A		
USGS	14220000	2013-06-18	237.36	A		
USGS	14220000	2013-06-19	237.07	A		
USGS	14220000	2013-06-20	237.78	A		
USGS	14220000	2013-06-21	238.14	A		
USGS	14220000	2013-06-22	238.12	A		
USGS	14220000	2013-06-23	237.58	A		
USGS	14220000	2013-06-24	237.14	A		
USGS	14220000	2013-06-25	236.20	A		
USGS	14220000	2013-06-26	235.89	A		
USGS	14220000	2013-06-27	235.39	A		
USGS	14220000	2013-06-28	235.26	A		
USGS	14220000	2013-06-29	235.48	A		
USGS	14220000	2013-06-30	235.67	A		
USGS	14220000	2013-07-01	236.27	A		
USGS	14220000	2013-07-02	236.10	A		
USGS	14220000	2013-07-03	235.64	A		
USGS	14220000	2013-07-04	234.93	A		
USGS	14220000	2013-07-05	234.17	A		
USGS	14220000	2013-07-06	234.55	A		
USGS	14220000	2013-07-07	234.97	A		
USGS	14220000	2013-07-08	235.67	A		
USGS	14220000	2013-07-09	236.73	A		
USGS	14220000	2013-07-10	237.29	A		
USGS	14220000	2013-07-11	236.97	A		
USGS	14220000	2013-07-12	236.74	A		
USGS	14220000	2013-07-13	236.77	A		
USGS	14220000	2013-07-14	236.43	A		
USGS	14220000	2013-07-15	236.81	A		
USGS	14220000	2013-07-16	236.86	A		
USGS	14220000	2013-07-17	237.09	A		
USGS	14220000	2013-07-18	236.99	A		
USGS	14220000	2013-07-19	237.07	A		
USGS	14220000	2013-07-20	236.98	A		
USGS	14220000	2013-07-21	236.59	A		
USGS	14220000	2013-07-22	236.12	A		
