agency_cd	site_no	datetime	247239_62614_00003	247239_62614_00003_cd
5s	15s	20d	14n	10s
USGS	14219950	2016-10-20	231.69	P
USGS	14219950	2016-10-21	231.44	P
USGS	14219950	2016-10-22	230.93	P
USGS	14219950	2016-10-23	230.23	P
USGS	14219950	2016-10-24	229.49	P
USGS	14219950	2016-10-25	229.53	P
USGS	14219950	2016-10-26	229.76	P
USGS	14219950	2016-10-27	230.26	P
USGS	14219950	2016-10-28	230.73	P
USGS	14219950	2016-10-29	231.14	P
USGS	14219950	2016-10-30	231.47	P
USGS	14219950	2016-10-31	231.24	P
USGS	14219950	2016-11-01	230.48	P
USGS	14219950	2016-11-02	229.95	P
USGS	14219950	2016-11-03	229.89	P
USGS	14219950	2016-11-04	229.95	P
USGS	14219950	2016-11-05	229.98	P
USGS	14219950	2016-11-06	230.11	P
USGS	14219950	2016-11-07	230.32	P
USGS	14219950	2016-11-08	231.19	P
USGS	14219950	2016-11-09	233.85	P
USGS	14219950	2016-11-10	234.31	P
USGS	14219950	2016-11-11	233.26	P
USGS	14219950	2016-11-12	232.34	P
USGS	14219950	2016-11-13	230.60	P
USGS	14219950	2016-11-14	229.65	P
USGS	14219950	2016-11-15	231.13	P
USGS	14219950	2016-11-16	234.45	P
USGS	14219950	2016-11-17	235.02	P
USGS	14219950	2016-11-18	233.87	P
USGS	14219950	2016-11-19	232.70	P
USGS	14219950	2016-11-20	231.23	P
USGS	14219950	2016-11-21	229.72	P
USGS	14219950	2016-11-22	229.82	P
USGS	14219950	2016-11-23	232.13	P
USGS	14219950	2016-11-24	231.15	P
USGS	14219950	2016-11-25	231.90	P
USGS	14219950	2016-11-26	232.36	P
USGS	14219950	2016-11-27	232.33	P
USGS	14219950	2016-11-28	232.45	P
USGS	14219950	2016-11-29	232.36	P
USGS	14219950	2016-11-30	232.12	P
USGS	14219950	2016-12-01	231.85	P
USGS	14219950	2016-12-02	231.57	P
USGS	14219950	2016-12-03	232.38	P
USGS	14219950	2016-12-04	235.52	P
USGS	14219950	2016-12-05	237.90	P
USGS	14219950	2016-12-06	236.94	P
USGS	14219950	2016-12-07	235.89	P
USGS	14219950	2016-12-08	234.33	P
USGS	14219950	2016-12-09	231.65	P
USGS	14219950	2016-12-10	230.67	P
USGS	14219950	2016-12-11	230.15	P
USGS	14219950	2016-12-12	230.16	P
USGS	14219950	2016-12-13	231.37	P
USGS	14219950	2016-12-14	232.59	P
USGS	14219950	2016-12-15	233.30	P
USGS	14219950	2016-12-16	233.30	P
USGS	14219950	2016-12-17	232.72	P
USGS	14219950	2016-12-18	231.92	P
USGS	14219950	2016-12-19	231.19	P
USGS	14219950	2016-12-20	231.75	P
USGS	14219950	2016-12-21	232.67	P
USGS	14219950	2016-12-22	233.21	P
USGS	14219950	2016-12-23	233.34	P
USGS	14219950	2016-12-24	233.06	P
USGS	14219950	2016-12-25	232.47	P
USGS	14219950	2016-12-26	231.96	P
USGS	14219950	2016-12-27	232.30	P
USGS	14219950	2016-12-28	231.90	P
USGS	14219950	2016-12-29	231.03	P
USGS	14219950	2016-12-30	230.99	P
USGS	14219950	2016-12-31	231.13	P
USGS	14219950	2017-01-01	231.11	P
USGS	14219950	2017-01-02	231.60	P
USGS	14219950	2017-01-03	231.52	P
USGS	14219950	2017-01-04	231.67	P
USGS	14219950	2017-01-05	231.65	P
USGS	14219950	2017-01-06	231.89	P
USGS	14219950	2017-01-07	231.14	P
USGS	14219950	2017-01-08	230.97	P
USGS	14219950	2017-01-09	231.11	P
USGS	14219950	2017-01-10	231.55	P
USGS	14219950	2017-01-11	231.73	P
USGS	14219950	2017-01-12	232.14	P
