agency_cd	site_no	datetime	150440_62614_00003	150440_62614_00003_cd
5s	15s	20d	14n	10s
USGS	14233490	2016-10-20	860.57	P
USGS	14233490	2016-10-21	860.38	P
USGS	14233490	2016-10-22	860.35	P
USGS	14233490	2016-10-23	860.30	P
USGS	14233490	2016-10-24	860.40	P
USGS	14233490	2016-10-25	860.35	P
USGS	14233490	2016-10-26	860.40	P
USGS	14233490	2016-10-27	860.54	P
USGS	14233490	2016-10-28	860.36	P
USGS	14233490	2016-10-29	860.87	P
USGS	14233490	2016-10-30	860.70	P
USGS	14233490	2016-10-31	860.50	P
USGS	14233490	2016-11-01	860.47	P
USGS	14233490	2016-11-02	860.43	P
USGS	14233490	2016-11-03	860.41	P
USGS	14233490	2016-11-04	860.42	P
USGS	14233490	2016-11-05	860.62	P
USGS	14233490	2016-11-06	860.79	P
USGS	14233490	2016-11-07	860.70	P
USGS	14233490	2016-11-08	860.62	P
USGS	14233490	2016-11-09	860.64	P
USGS	14233490	2016-11-10	861.19	P
USGS	14233490	2016-11-11	861.23	P
USGS	14233490	2016-11-12	861.28	P
USGS	14233490	2016-11-13	861.30	P
USGS	14233490	2016-11-14	861.33	P
USGS	14233490	2016-11-15	861.05	P
USGS	14233490	2016-11-16	860.93	P
USGS	14233490	2016-11-17	860.85	P
USGS	14233490	2016-11-18	860.83	P
USGS	14233490	2016-11-19	860.93	P
USGS	14233490	2016-11-20	861.03	P
USGS	14233490	2016-11-21	861.09	P
USGS	14233490	2016-11-22	861.03	P
USGS	14233490	2016-11-23	861.04	P
USGS	14233490	2016-11-24	861.11	P
USGS	14233490	2016-11-25	861.16	P
USGS	14233490	2016-11-26	861.06	P
USGS	14233490	2016-11-27	861.02	P
USGS	14233490	2016-11-28	861.04	P
USGS	14233490	2016-11-29	861.02	P
USGS	14233490	2016-11-30	861.10	P
USGS	14233490	2016-12-01	861.09	P
USGS	14233490	2016-12-02	861.09	P
USGS	14233490	2016-12-03	861.16	P
USGS	14233490	2016-12-04	861.17	P
USGS	14233490	2016-12-05	861.06	P
USGS	14233490	2016-12-06	861.02	P
USGS	14233490	2016-12-07	861.09	P
USGS	14233490	2016-12-08	861.36	P
USGS	14233490	2016-12-09	861.34	P
USGS	14233490	2016-12-10	861.32	P
USGS	14233490	2016-12-11	861.36	P
USGS	14233490	2016-12-12	861.41	P
USGS	14233490	2016-12-13	861.33	P
USGS	14233490	2016-12-14	861.35	P
USGS	14233490	2016-12-15	861.32	P
USGS	14233490	2016-12-16	861.42	P
USGS	14233490	2016-12-17	861.48	P
USGS	14233490	2016-12-18	861.46	P
USGS	14233490	2016-12-19	861.46	P
USGS	14233490	2016-12-20	861.46	P
USGS	14233490	2016-12-21	861.39	P
USGS	14233490	2016-12-22	861.33	P
USGS	14233490	2016-12-23	861.34	P
USGS	14233490	2016-12-24	861.33	P
USGS	14233490	2016-12-25	861.31	P
USGS	14233490	2016-12-26	861.33	P
USGS	14233490	2016-12-27	861.44	P
USGS	14233490	2016-12-28	861.41	P
USGS	14233490	2016-12-29	861.39	P
USGS	14233490	2016-12-30	861.47	P
USGS	14233490	2016-12-31	861.43	P
USGS	14233490	2017-01-01	861.40	P
USGS	14233490	2017-01-02	861.38	P
USGS	14233490	2017-01-03	861.41	P
USGS	14233490	2017-01-04	861.39	P
USGS	14233490	2017-01-05	861.43	P
USGS	14233490	2017-01-06	861.34	P
USGS	14233490	2017-01-07	861.26	P
USGS	14233490	2017-01-08	861.45	P
USGS	14233490	2017-01-09	861.37	P
USGS	14233490	2017-01-10	861.24	P
USGS	14233490	2017-01-11	861.03	P
USGS	14233490	2017-01-12	861.18	P
USGS	14233490	2017-01-13	861.27	P
USGS	14233490	2017-01-14	861.25	P
USGS	14233490	2017-01-15	861.14	P
USGS	14233490	2017-01-16	860.88	P
USGS	14233490	2017-01-17	860.53	P
USGS	14233490	2017-01-18	860.68	P
USGS	14233490	2017-01-19	861.01	P
USGS	14233490	2017-01-20	860.87	P
USGS	14233490	2017-01-21	860.85	P
USGS	14233490	2017-01-22	861.09	P
USGS	14233490	2017-01-23	861.22	P
USGS	14233490	2017-01-24	861.26	P
USGS	14233490	2017-01-25	861.30	P
USGS	14233490	2017-01-26	861.31	P
USGS	14233490	2017-01-27	861.34	P
USGS	14233490	2017-01-28	861.32	P
USGS	14233490	2017-01-29	861.36	P
USGS	14233490	2017-01-30	861.33	P
USGS	14233490	2017-01-31	861.39	P
USGS	14233490	2017-02-01	861.44	P
USGS	14233490	2017-02-02	861.38	P
USGS	14233490	2017-02-03	861.37	P
USGS	14233490	2017-02-04	861.44	P
USGS	14233490	2017-02-05	861.48	P
USGS	14233490	2017-02-06	861.48	P
USGS	14233490	2017-02-07	861.38	P
USGS	14233490	2017-02-08	861.25	P
USGS	14233490	2017-02-09	860.59	P
USGS	14233490	2017-02-10	860.61	P
USGS	14233490	2017-02-11	860.44	P
USGS	14233490	2017-02-12	860.38	P
USGS	14233490	2017-02-13	860.90	P
USGS	14233490	2017-02-14	861.27	P
USGS	14233490	2017-02-15	861.19	P
USGS	14233490	2017-02-16	860.59	P
USGS	14233490	2017-02-17	860.34	P
USGS	14233490	2017-02-18	860.49	P
USGS	14233490	2017-02-19	860.56	P
USGS	14233490	2017-02-20	860.77	P
USGS	14233490	2017-02-21	860.96	P
USGS	14233490	2017-02-22	860.84	P
USGS	14233490	2017-02-23	860.89	P
USGS	14233490	2017-02-24	861.10	P
USGS	14233490	2017-02-25	861.10	P
USGS	14233490	2017-02-26	861.24	P
USGS	14233490	2017-02-27	861.35	P
USGS	14233490	2017-02-28	861.36	P
USGS	14233490	2017-03-01	861.32	P
USGS	14233490	2017-03-02	861.34	P
USGS	14233490	2017-03-03	861.34	P
USGS	14233490	2017-03-04	861.35	P
USGS	14233490	2017-03-05	861.35	P
USGS	14233490	2017-03-06	861.32	P
USGS	14233490	2017-03-07	861.41	P
USGS	14233490	2017-03-08	861.52	P
USGS	14233490	2017-03-09	861.47	P
USGS	14233490	2017-03-10	861.51	P
USGS	14233490	2017-03-11	861.03	P
USGS	14233490	2017-03-12	860.94	P
USGS	14233490	2017-03-13	860.65	P
USGS	14233490	2017-03-14	860.35	P
USGS	14233490	2017-03-15	853.59	P
USGS	14233490	2017-03-16	852.84	P
USGS	14233490	2017-03-17	859.99	P
USGS	14233490	2017-03-18	860.50	P
USGS	14233490	2017-03-19	860.70	P
USGS	14233490	2017-03-20	860.64	P
USGS	14233490	2017-03-21	860.30	P
USGS	14233490	2017-03-22	861.06	P
USGS	14233490	2017-03-23	861.24	P
USGS	14233490	2017-03-24	861.03	P
USGS	14233490	2017-03-25	860.63	P
