agency_cd	site_no	datetime	149402_62615_32400	149402_62615_32400_cd
USGS	12193000	2013-01-01	427.47	A
USGS	12193000	2013-01-02	425.88	A
USGS	12193000	2013-01-03	424.92	A
USGS	12193000	2013-01-04	422.64	A
USGS	12193000	2013-01-05	421.34	A
USGS	12193000	2013-01-06	419.27	A
USGS	12193000	2013-01-07	419.58	A
USGS	12193000	2013-01-08	419.58	A
USGS	12193000	2013-01-09	420.84	A
USGS	12193000	2013-01-10	422.14	A
USGS	12193000	2013-01-11	420.87	A
USGS	12193000	2013-01-12	419.51	A
USGS	12193000	2013-01-13	420.25	A
USGS	12193000	2013-01-14	419.24	A
USGS	12193000	2013-01-15	417.05	A
USGS	12193000	2013-01-16	415.60	A
USGS	12193000	2013-01-17	415.29	A
USGS	12193000	2013-01-18	413.95	A
USGS	12193000	2013-01-19	413.38	A
USGS	12193000	2013-01-20	411.61	A
USGS	12193000	2013-01-21	410.37	A
USGS	12193000	2013-01-22	409.60	A
USGS	12193000	2013-01-23	410.41	A
USGS	12193000	2013-01-24	409.27	A
USGS	12193000	2013-01-25	408.06	A
USGS	12193000	2013-01-26	407.59	A
USGS	12193000	2013-01-27	406.66	A
USGS	12193000	2013-01-28	406.19	A
USGS	12193000	2013-01-29	406.04	A
USGS	12193000	2013-01-30	406.02	A
USGS	12193000	2013-01-31	404.92	A
USGS	12193000	2013-02-01	403.49	A
USGS	12193000	2013-02-02	403.29	A
USGS	12193000	2013-02-03	403.59	A
USGS	12193000	2013-02-04	404.27	A
USGS	12193000	2013-02-05	403.86	A
USGS	12193000	2013-02-06	402.17	A
USGS	12193000	2013-02-07	401.64	A
USGS	12193000	2013-02-08	400.45	A
USGS	12193000	2013-02-09	400.86	A
USGS	12193000	2013-02-10	400.33	A
USGS	12193000	2013-02-11	400.09	A
USGS	12193000	2013-02-12	399.21	A
USGS	12193000	2013-02-13	399.08	A
USGS	12193000	2013-02-14	399.27	A
USGS	12193000	2013-02-15	397.54	A
USGS	12193000	2013-02-16	398.14	A
USGS	12193000	2013-02-17	396.91	A
USGS	12193000	2013-02-18	396.47	A
USGS	12193000	2013-02-19	396.37	A
USGS	12193000	2013-02-20	396.15	A
USGS	12193000	2013-02-21	396.48	A
USGS	12193000	2013-02-22	396.13	A
USGS	12193000	2013-02-23	396.75	A
USGS	12193000	2013-02-24	396.53	A
USGS	12193000	2013-02-25	397.35	A
USGS	12193000	2013-02-26	397.03	A
USGS	12193000	2013-02-27	395.76	A
USGS	12193000	2013-02-28	394.73	A
USGS	12193000	2013-03-01	396.25	A
USGS	12193000	2013-03-02	397.39	A
USGS	12193000	2013-03-03	399.52	A
USGS	12193000	2013-03-04	401.24	A
USGS	12193000	2013-03-05	404.06	A
USGS	12193000	2013-03-06	405.59	A
USGS	12193000	2013-03-07	407.26	A
USGS	12193000	2013-03-08	409.15	A
USGS	12193000	2013-03-09	409.97	A
USGS	12193000	2013-03-10	412.63	A
USGS	12193000	2013-03-11	414.68	A
USGS	12193000	2013-03-12	416.55	A
USGS	12193000	2013-03-13	420.17	A
USGS	12193000	2013-03-14	422.70	A
USGS	12193000	2013-03-15	424.10	A
USGS	12193000	2013-03-16	425.58	A
USGS	12193000	2013-03-17	426.74	A
USGS	12193000	2013-03-18	427.67	A
USGS	12193000	2013-03-19	428.51	A
USGS	12193000	2013-03-20	429.62	A
USGS	12193000	2013-03-21	430.53	A
USGS	12193000	2013-03-22	432.70	A
USGS	12193000	2013-03-23	434.07	A
USGS	12193000	2013-03-24	436.10	A
USGS	12193000	2013-03-25	437.56	A
USGS	12193000	2013-03-26	438.19	A
USGS	12193000	2013-03-27	438.46	A
USGS	12193000	2013-03-28	438.74	A
USGS	12193000	2013-03-29	439.03	A
USGS	12193000	2013-03-30	439.32	A
USGS	12193000	2013-03-31	439.67	A
USGS	12193000	2013-04-01	439.77	A
USGS	12193000	2013-04-02	440.36	A
USGS	12193000	2013-04-03	440.99	A
USGS	12193000	2013-04-04	438.83	A
USGS	12193000	2013-04-05	439.57	A
USGS	12193000	2013-04-06	438.64	A
USGS	12193000	2013-04-07	437.62	A
USGS	12193000	2013-04-08	434.97	A
USGS	12193000	2013-04-09	435.68	A
USGS	12193000	2013-04-10	435.04	A
USGS	12193000	2013-04-11	433.96	A
USGS	12193000	2013-04-12	432.51	A
USGS	12193000	2013-04-13	430.46	A
USGS	12193000	2013-04-14	427.95	A
USGS	12193000	2013-04-15	426.97	A
USGS	12193000	2013-04-16	426.11	A
USGS	12193000	2013-04-17	424.75	A
USGS	12193000	2013-04-18	422.97	A
USGS	12193000	2013-04-19	421.08	A
USGS	12193000	2013-04-20	421.76	A
USGS	12193000	2013-04-21	422.37	A
USGS	12193000	2013-04-22	422.18	A
USGS	12193000	2013-04-23	421.99	A
USGS	12193000	2013-04-24	421.93	A
USGS	12193000	2013-04-25	421.99	A
USGS	12193000	2013-04-26	422.65	A
USGS	12193000	2013-04-27	422.35	A
USGS	12193000	2013-04-28	422.39	A
USGS	12193000	2013-04-29	421.50	A
USGS	12193000	2013-04-30	421.27	A
USGS	12193000	2013-05-01	421.68	A
USGS	12193000	2013-05-02	421.60	A
USGS	12193000	2013-05-03	421.27	A
USGS	12193000	2013-05-04	419.89	A
USGS	12193000	2013-05-05	419.23	A
USGS	12193000	2013-05-06	418.88	A
USGS	12193000	2013-05-07	422.07	A
USGS	12193000	2013-05-08	427.13	A
USGS	12193000	2013-05-09	431.55	A
USGS	12193000	2013-05-10	432.32	A
USGS	12193000	2013-05-11	433.71	A
USGS	12193000	2013-05-12	435.97	A
USGS	12193000	2013-05-13	436.80	A
USGS	12193000	2013-05-14	437.97	A
USGS	12193000	2013-05-15	437.81	A
USGS	12193000	2013-05-16	437.27	A
USGS	12193000	2013-05-17	437.29	A
USGS	12193000	2013-05-18	436.87	A
USGS	12193000	2013-05-19	437.36	A
USGS	12193000	2013-05-20	437.01	A
USGS	12193000	2013-05-21	439.07	A
USGS	12193000	2013-05-22	438.54	A
