agency_cd	site_no	datetime	213925_00054_32400	213925_00054_32400_cd
USGS	11426170	2013-01-01	5850	A
USGS	11426170	2013-01-02	5750	A
USGS	11426170	2013-01-03	5700	A
USGS	11426170	2013-01-04	5670	A
USGS	11426170	2013-01-05	5630	A
USGS	11426170	2013-01-06	5600	A
USGS	11426170	2013-01-07	5560	A
USGS	11426170	2013-01-08	5530	A
USGS	11426170	2013-01-09	5510	A
USGS	11426170	2013-01-10	5480	A
USGS	11426170	2013-01-11	5450	A
USGS	11426170	2013-01-12	5410	A
USGS	11426170	2013-01-13	5370	A
USGS	11426170	2013-01-14	5340	A
USGS	11426170	2013-01-15	5300	A
USGS	11426170	2013-01-16	5260	A
USGS	11426170	2013-01-17	5230	A
USGS	11426170	2013-01-18	5190	A
USGS	11426170	2013-01-19	5150	A
USGS	11426170	2013-01-20	5120	A
USGS	11426170	2013-01-21	5080	A
USGS	11426170	2013-01-22	5050	A
USGS	11426170	2013-01-23	5010	A
USGS	11426170	2013-01-24	4990	A
USGS	11426170	2013-01-25	4990	A
USGS	11426170	2013-01-26	4980	A
USGS	11426170	2013-01-27	4970	A:e
USGS	11426170	2013-01-28	4950	A:e
USGS	11426170	2013-01-29	4920	A
USGS	11426170	2013-01-30	4900	A
USGS	11426170	2013-01-31	4870	A
USGS	11426170	2013-02-01	4850	A
USGS	11426170	2013-02-02	4820	A
USGS	11426170	2013-02-03	4790	A
USGS	11426170	2013-02-04	4770	A
USGS	11426170	2013-02-05	4740	A
USGS	11426170	2013-02-06	4710	A:e
USGS	11426170	2013-02-07	4690	A:e
USGS	11426170	2013-02-08	4660	A:e
USGS	11426170	2013-02-09	4640	A:e
USGS	11426170	2013-02-10	4600	A
USGS	11426170	2013-02-11	4570	A
USGS	11426170	2013-02-12	4540	A
USGS	11426170	2013-02-13	4510	A
USGS	11426170	2013-02-14	4480	A
USGS	11426170	2013-02-15	4450	A
USGS	11426170	2013-02-16	4420	A
USGS	11426170	2013-02-17	4390	A
USGS	11426170	2013-02-18	4360	A
USGS	11426170	2013-02-19	4350	A:e
USGS	11426170	2013-02-20	4320	A:e
USGS	11426170	2013-02-21	4290	A:e
USGS	11426170	2013-02-22	4250	A:e
USGS	11426170	2013-02-23	4220	A:e
USGS	11426170	2013-02-24	4190	A:e
USGS	11426170	2013-02-25	4160	A:e
USGS	11426170	2013-02-26	4130	A:e
USGS	11426170	2013-02-27	4100	A:e
USGS	11426170	2013-02-28	4070	A
USGS	11426170	2013-03-01	4040	A
USGS	11426170	2013-03-02	4010	A
USGS	11426170	2013-03-03	4000	A
USGS	11426170	2013-03-04	3980	A
USGS	11426170	2013-03-05	3960	A
USGS	11426170	2013-03-06	3970	A
USGS	11426170	2013-03-07	3950	A
USGS	11426170	2013-03-08	3920	A
