agency_cd	site_no	datetime	148662_00065_32400	148662_00065_32400_cd
5s	15s	20d	14n	10s
USGS	12085500	2013-01-01	931.06	A
USGS	12085500	2013-01-02	930.79	A
USGS	12085500	2013-01-03	930.15	A
USGS	12085500	2013-01-04	929.77	A
USGS	12085500	2013-01-05	930.79	A
USGS	12085500	2013-01-06	929.67	A
USGS	12085500	2013-01-07	930.15	A
USGS	12085500	2013-01-08	929.27	A
USGS	12085500	2013-01-09	931.97	A
USGS	12085500	2013-01-10	933.08	A
USGS	12085500	2013-01-11	931.99	A
USGS	12085500	2013-01-12	931.85	A
USGS	12085500	2013-01-13	931.31	A
USGS	12085500	2013-01-14	932.37	A
USGS	12085500	2013-01-15	931.76	A
USGS	12085500	2013-01-16	931.93	A
USGS	12085500	2013-01-17	932.06	A
USGS	12085500	2013-01-18	931.23	A
USGS	12085500	2013-01-19	932.03	A
USGS	12085500	2013-01-20	931.79	A
USGS	12085500	2013-01-21	930.45	A
USGS	12085500	2013-01-22	931.20	A
USGS	12085500	2013-01-23	931.64	A
USGS	12085500	2013-01-24	930.82	A
USGS	12085500	2013-01-25	930.99	A
USGS	12085500	2013-01-26	930.76	A
USGS	12085500	2013-01-27	930.48	A
USGS	12085500	2013-01-28	931.12	A
USGS	12085500	2013-01-29	931.10	A
USGS	12085500	2013-01-30	929.97	A
USGS	12085500	2013-01-31	930.59	A
USGS	12085500	2013-02-01	930.95	A
USGS	12085500	2013-02-02	931.08	A
USGS	12085500	2013-02-03	931.22	A
USGS	12085500	2013-02-04	930.95	A
USGS	12085500	2013-02-05	931.30	A
USGS	12085500	2013-02-06	931.11	A
USGS	12085500	2013-02-07	930.80	A
USGS	12085500	2013-02-08	930.85	A
USGS	12085500	2013-02-09	931.32	A
USGS	12085500	2013-02-10	931.35	A
USGS	12085500	2013-02-11	929.44	A
USGS	12085500	2013-02-12	930.25	A
USGS	12085500	2013-02-13	930.92	A
USGS	12085500	2013-02-14	931.56	A
USGS	12085500	2013-02-15	930.86	A
USGS	12085500	2013-02-16	931.62	A
USGS	12085500	2013-02-17	929.64	A
USGS	12085500	2013-02-18	931.23	A
USGS	12085500	2013-02-19	930.15	A
USGS	12085500	2013-02-20	930.61	A
USGS	12085500	2013-02-21	931.18	A
USGS	12085500	2013-02-22	931.50	A
USGS	12085500	2013-02-23	930.86	A
USGS	12085500	2013-02-24	930.89	A
USGS	12085500	2013-02-25	930.93	A
USGS	12085500	2013-02-26	930.61	A
USGS	12085500	2013-02-27	930.94	A
USGS	12085500	2013-02-28	931.32	A
USGS	12085500	2013-03-01	930.65	A
USGS	12085500	2013-03-02	931.07	A
USGS	12085500	2013-03-03	930.19	A
USGS	12085500	2013-03-04	929.84	A
USGS	12085500	2013-03-05	931.10	A
USGS	12085500	2013-03-06	930.93	A
USGS	12085500	2013-03-07	931.08	A
USGS	12085500	2013-03-08	931.49	A
USGS	12085500	2013-03-09	930.88	A
USGS	12085500	2013-03-10	929.14	A
USGS	12085500	2013-03-11	930.73	A
USGS	12085500	2013-03-12	929.86	A
USGS	12085500	2013-03-13	930.02	A
USGS	12085500	2013-03-14	930.45	A
USGS	12085500	2013-03-15	930.23	A
USGS	12085500	2013-03-16	930.63	A
USGS	12085500	2013-03-17	930.60	A
USGS	12085500	2013-03-18	930.19	A
USGS	12085500	2013-03-19	930.60	A
USGS	12085500	2013-03-20	930.19	A
USGS	12085500	2013-03-21	930.15	A
USGS	12085500	2013-03-22	929.56	A
USGS	12085500	2013-03-23	929.72	A
USGS	12085500	2013-03-24	929.08	A
USGS	12085500	2013-03-25	929.26	A
USGS	12085500	2013-03-26	930.27	A
USGS	12085500	2013-03-27	930.27	A
USGS	12085500	2013-03-28	929.56	A
USGS	12085500	2013-03-29	929.70	A
USGS	12085500	2013-03-30	929.83	A
USGS	12085500	2013-03-31	928.07	A
USGS	12085500	2013-04-01	927.59	A
USGS	12085500	2013-04-02	929.48	A
USGS	12085500	2013-04-03	930.09	A
USGS	12085500	2013-04-04	929.45	A
USGS	12085500	2013-04-05	930.56	A
USGS	12085500	2013-04-06	931.43	A
USGS	12085500	2013-04-07	930.93	A
USGS	12085500	2013-04-08	931.76	A
USGS	12085500	2013-04-09	931.21	A
USGS	12085500	2013-04-10	927.86	A
USGS	12085500	2013-04-11	931.81	A
USGS	12085500	2013-04-12	932.29	A
USGS	12085500	2013-04-13	932.06	A
USGS	12085500	2013-04-14	932.59	A
USGS	12085500	2013-04-15	931.00	A
USGS	12085500	2013-04-16	931.18	A
USGS	12085500	2013-04-17	931.74	A
USGS	12085500	2013-04-18	931.03	A
USGS	12085500	2013-04-19	932.45	A
USGS	12085500	2013-04-20	930.22	A
USGS	12085500	2013-04-21	931.79	A
USGS	12085500	2013-04-22	931.44	A
USGS	12085500	2013-04-23	932.13	A
USGS	12085500	2013-04-24	932.34	A
USGS	12085500	2013-04-25	931.94	A
USGS	12085500	2013-04-26	932.72	A
USGS	12085500	2013-04-27	932.28	A
USGS	12085500	2013-04-28	932.10	A
USGS	12085500	2013-04-29	932.50	A
USGS	12085500	2013-04-30	932.62	A
USGS	12085500	2013-05-01	932.92	A
USGS	12085500	2013-05-02	932.60	A
USGS	12085500	2013-05-03	932.68	A
USGS	12085500	2013-05-04	932.91	A
USGS	12085500	2013-05-05	932.96	A
USGS	12085500	2013-05-06	932.61	A
USGS	12085500	2013-05-07	931.63	A
USGS	12085500	2013-05-08	931.63	A
USGS	12085500	2013-05-09	932.39	A
USGS	12085500	2013-05-10	927.93	A
USGS	12085500	2013-05-11	931.93	A
USGS	12085500	2013-05-12	932.07	A
USGS	12085500	2013-05-13	928.43	A
USGS	12085500	2013-05-14	933.25	A
USGS	12085500	2013-05-15	931.88	A
USGS	12085500	2013-05-16	932.40	A
USGS	12085500	2013-05-17	933.03	A
USGS	12085500	2013-05-18	932.90	A
USGS	12085500	2013-05-19	932.44	A
USGS	12085500	2013-05-20	932.22	A
USGS	12085500	2013-05-21	932.61	A
USGS	12085500	2013-05-22	932.50	A
USGS	12085500	2013-05-23	931.93	A
USGS	12085500	2013-05-24	928.99	A
USGS	12085500	2013-05-25	931.13	A
USGS	12085500	2013-05-26	930.84	A
USGS	12085500	2013-05-27	931.29	A
USGS	12085500	2013-05-28	930.81	A
USGS	12085500	2013-05-29	930.77	A
USGS	12085500	2013-05-30	931.38	A
USGS	12085500	2013-05-31	930.69	A
USGS	12085500	2013-06-01	930.73	A
USGS	12085500	2013-06-02	930.84	A
USGS	12085500	2013-06-03	930.36	A
USGS	12085500	2013-06-04	930.81	A
USGS	12085500	2013-06-05	928.81	A
USGS	12085500	2013-06-06	928.81	A:e
USGS	12085500	2013-06-07	930.33	A:e
USGS	12085500	2013-06-08	930.21	A
USGS	12085500	2013-06-09	929.43	A
USGS	12085500	2013-06-10	930.69	A
USGS	12085500	2013-06-11	930.31	A
USGS	12085500	2013-06-12	930.27	A
USGS	12085500	2013-06-13	930.15	A
USGS	12085500	2013-06-14	929.71	A
USGS	12085500	2013-06-15	931.35	A
USGS	12085500	2013-06-16	930.90	A
USGS	12085500	2013-06-17	931.44	A
USGS	12085500	2013-06-18	930.98	A
USGS	12085500	2013-06-19	931.15	A
USGS	12085500	2013-06-20	931.90	A
USGS	12085500	2013-06-21	930.74	A
USGS	12085500	2013-06-22	930.47	A
USGS	12085500	2013-06-23	930.30	A
USGS	12085500	2013-06-24	930.01	A
USGS	12085500	2013-06-25	930.14	A
USGS	12085500	2013-06-26	930.53	A
USGS	12085500	2013-06-27	929.10	A
USGS	12085500	2013-06-28	929.08	A
USGS	12085500	2013-06-29	929.98	A
USGS	12085500	2013-06-30	930.65	A
USGS	12085500	2013-07-01	930.24	A
USGS	12085500	2013-07-02	930.91	A
USGS	12085500	2013-07-03	930.31	A
USGS	12085500	2013-07-04	930.95	A
USGS	12085500	2013-07-05	931.63	A
USGS	12085500	2013-07-06	930.54	A
USGS	12085500	2013-07-07	929.27	A
USGS	12085500	2013-07-08	931.31	A
USGS	12085500	2013-07-09	929.36	A
USGS	12085500	2013-07-10	929.78	A
USGS	12085500	2013-07-11	929.67	A
USGS	12085500	2013-07-12	929.13	A
USGS	12085500	2013-07-13	929.12	A
USGS	12085500	2013-07-14	929.50	A
USGS	12085500	2013-07-15	929.21	A
USGS	12085500	2013-07-16	929.36	A
USGS	12085500	2013-07-17	929.61	A
USGS	12085500	2013-07-18	930.56	A
USGS	12085500	2013-07-19	929.81	A
USGS	12085500	2013-07-20	929.57	A
USGS	12085500	2013-07-21	929.99	A
USGS	12085500	2013-07-22	929.75	A
USGS	12085500	2013-07-23	931.66	A
USGS	12085500	2013-07-24	929.53	A
USGS	12085500	2013-07-25	931.89	A
USGS	12085500	2013-07-26	930.59	A
USGS	12085500	2013-07-27	928.89	A
USGS	12085500	2013-07-28	929.65	A
USGS	12085500	2013-07-29	931.22	A
USGS	12085500	2013-07-30	930.09	A
USGS	12085500	2013-07-31	929.46	A
USGS	12085500	2013-08-01	930.29	A
USGS	12085500	2013-08-02	931.85	A
USGS	12085500	2013-08-03	930.80	A
USGS	12085500	2013-08-04	932.03	A
USGS	12085500	2013-08-05	931.50	A
USGS	12085500	2013-08-06	931.85	A
USGS	12085500	2013-08-07	929.20	A
USGS	12085500	2013-08-08	930.48	A
USGS	12085500	2013-08-09	928.61	A
USGS	12085500	2013-08-10	926.12	A
USGS	12085500	2013-08-11	928.63	A
USGS	12085500	2013-08-12	929.34	A
USGS	12085500	2013-08-13	929.58	A
USGS	12085500	2013-08-14	931.57	A
USGS	12085500	2013-08-15	930.96	A
USGS	12085500	2013-08-16	930.39	A
USGS	12085500	2013-08-17	930.36	A
USGS	12085500	2013-08-18	929.13	A
USGS	12085500	2013-08-19	930.64	A
USGS	12085500	2013-08-20	931.98	A
USGS	12085500	2013-08-21	928.52	A
USGS	12085500	2013-08-22	929.93	A
USGS	12085500	2013-08-23	930.68	A
USGS	12085500	2013-08-24	930.62	A
USGS	12085500	2013-08-25	931.77	A
USGS	12085500	2013-08-26	930.09	A
USGS	12085500	2013-08-27	929.50	A
USGS	12085500	2013-08-28	929.75	A
USGS	12085500	2013-08-29	928.42	A
USGS	12085500	2013-08-30	929.54	A
USGS	12085500	2013-08-31	927.81	A
USGS	12085500	2013-09-01	930.72	A
USGS	12085500	2013-09-02	930.15	A
USGS	12085500	2013-09-03	927.69	A
USGS	12085500	2013-09-04	930.15	A
USGS	12085500	2013-09-05	930.10	A
USGS	12085500	2013-09-06	928.82	A
USGS	12085500	2013-09-07	930.21	A
USGS	12085500	2013-09-08	930.22	A
USGS	12085500	2013-09-09	930.37	A
USGS	12085500	2013-09-10	930.30	A
USGS	12085500	2013-09-11	929.31	A
USGS	12085500	2013-09-12	930.11	A
USGS	12085500	2013-09-13	929.99	A
USGS	12085500	2013-09-14	931.34	A
USGS	12085500	2013-09-15	930.63	A
USGS	12085500	2013-09-16	929.86	A
USGS	12085500	2013-09-17	930.18	A
USGS	12085500	2013-09-18	929.41	A
USGS	12085500	2013-09-19	929.97	A
USGS	12085500	2013-09-20	930.18	A
USGS	12085500	2013-09-21	930.43	A
USGS	12085500	2013-09-22	930.77	A
USGS	12085500	2013-09-23	930.87	A
USGS	12085500	2013-09-24	929.07	A
USGS	12085500	2013-09-25	929.49	A
USGS	12085500	2013-09-26	929.60	A
USGS	12085500	2013-09-27	930.45	A
USGS	12085500	2013-09-28	932.78	A
USGS	12085500	2013-09-29	925.16	A
USGS	12085500	2013-09-30	930.69	A
USGS	12085500	2013-10-01	931.17	A
USGS	12085500	2013-10-02	932.26	A
USGS	12085500	2013-10-03	930.47	A
USGS	12085500	2013-10-04	931.85	A
USGS	12085500	2013-10-05	931.11	A
USGS	12085500	2013-10-06	931.87	A
USGS	12085500	2013-10-07	931.50	A
USGS	12085500	2013-10-08	931.77	A
USGS	12085500	2013-10-09	931.65	A
USGS	12085500	2013-10-10	930.20	A
USGS	12085500	2013-10-11	931.59	A
USGS	12085500	2013-10-12	932.05	A
USGS	12085500	2013-10-13	931.93	A
USGS	12085500	2013-10-14	932.21	A
USGS	12085500	2013-10-15	931.01	A
USGS	12085500	2013-10-16	931.89	A
USGS	12085500	2013-10-17	931.18	A
USGS	12085500	2013-10-18	930.83	A
USGS	12085500	2013-10-19	931.71	A
USGS	12085500	2013-10-20	930.76	A
USGS	12085500	2013-10-21	930.29	A
USGS	12085500	2013-10-22	931.45	A
USGS	12085500	2013-10-23	931.52	A
USGS	12085500	2013-10-24	931.39	A
USGS	12085500	2013-10-25	931.36	A
USGS	12085500	2013-10-26	931.42	A
USGS	12085500	2013-10-27	931.07	A
USGS	12085500	2013-10-28	930.85	A
USGS	12085500	2013-10-29	931.00	A
USGS	12085500	2013-10-30	930.71	A
USGS	12085500	2013-10-31	930.52	A
USGS	12085500	2013-11-01	931.01	A
USGS	12085500	2013-11-02	930.72	A
USGS	12085500	2013-11-03	930.42	A
USGS	12085500	2013-11-04	931.63	A
USGS	12085500	2013-11-05	931.45	A
USGS	12085500	2013-11-06	931.16	A
USGS	12085500	2013-11-07	931.13	A
USGS	12085500	2013-11-08	931.55	A
USGS	12085500	2013-11-09	931.36	A
USGS	12085500	2013-11-10	931.30	A
USGS	12085500	2013-11-11	931.11	A
USGS	12085500	2013-11-12	931.28	A
USGS	12085500	2013-11-13	931.40	A
USGS	12085500	2013-11-14	930.40	A
USGS	12085500	2013-11-15	931.29	A
USGS	12085500	2013-11-16	931.13	A
USGS	12085500	2013-11-17	931.30	A
USGS	12085500	2013-11-18	930.70	A
USGS	12085500	2013-11-19	931.13	A
USGS	12085500	2013-11-20	931.49	A
USGS	12085500	2013-11-21	931.61	A
USGS	12085500	2013-11-22	931.74	A
USGS	12085500	2013-11-23	931.73	A
USGS	12085500	2013-11-24	931.35	A
USGS	12085500	2013-11-25	931.52	A
USGS	12085500	2013-11-26	930.52	A
USGS	12085500	2013-11-27	931.43	A
USGS	12085500	2013-11-28	930.90	A
USGS	12085500	2013-11-29	930.21	A
USGS	12085500	2013-11-30	930.48	A
USGS	12085500	2013-12-01	931.22	A
USGS	12085500	2013-12-02	929.56	A
USGS	12085500	2013-12-03	931.11	A
USGS	12085500	2013-12-04	931.15	A
USGS	12085500	2013-12-05	929.66	A
USGS	12085500	2013-12-06	930.93	A
USGS	12085500	2013-12-07	931.52	A
USGS	12085500	2013-12-08	931.36	A
USGS	12085500	2013-12-09	931.20	A
USGS	12085500	2013-12-10	930.89	A
USGS	12085500	2013-12-11	931.55	A
USGS	12085500	2013-12-12	931.82	A
USGS	12085500	2013-12-13	930.15	A
USGS	12085500	2013-12-14	930.84	A
USGS	12085500	2013-12-15	930.34	A
USGS	12085500	2013-12-16	929.96	A
USGS	12085500	2013-12-17	930.32	A
USGS	12085500	2013-12-18	931.35	A
USGS	12085500	2013-12-19	918.74	A
USGS	12085500	2013-12-20	919.09	A
USGS	12085500	2013-12-21	930.08	A
USGS	12085500	2013-12-22	929.30	A
USGS	12085500	2013-12-23	930.49	A
USGS	12085500	2013-12-24	931.45	A
USGS	12085500	2013-12-25	930.92	A
USGS	12085500	2013-12-26	931.63	A
USGS	12085500	2013-12-27	931.37	A
USGS	12085500	2013-12-28	931.20	A
USGS	12085500	2013-12-29	931.55	A
USGS	12085500	2013-12-30	930.68	A
USGS	12085500	2013-12-31	930.55	A
USGS	12085500	2014-01-01	931.41	A
USGS	12085500	2014-01-02	930.23	A
USGS	12085500	2014-01-03	930.31	A
USGS	12085500	2014-01-04	930.58	A
USGS	12085500	2014-01-05	930.36	A
USGS	12085500	2014-01-06	930.89	A
USGS	12085500	2014-01-07	930.86	A
USGS	12085500	2014-01-08	931.26	A
USGS	12085500	2014-01-09	929.88	A
USGS	12085500	2014-01-10	930.46	A
USGS	12085500	2014-01-11	931.70	A
USGS	12085500	2014-01-12	929.52	A
USGS	12085500	2014-01-13	929.91	A
USGS	12085500	2014-01-14	929.02	A
USGS	12085500	2014-01-15	930.12	A
USGS	12085500	2014-01-16	930.43	A
USGS	12085500	2014-01-17	930.69	A
USGS	12085500	2014-01-18	929.91	A
USGS	12085500	2014-01-19	930.34	A
USGS	12085500	2014-01-20	930.33	A
USGS	12085500	2014-01-21	928.83	A
USGS	12085500	2014-01-22	929.87	A
USGS	12085500	2014-01-23	929.89	A
USGS	12085500	2014-01-24	929.71	A
USGS	12085500	2014-01-25	929.59	A
USGS	12085500	2014-01-26	929.41	A
USGS	12085500	2014-01-27	928.92	A
USGS	12085500	2014-01-28	929.61	A
USGS	12085500	2014-01-29	929.87	A
USGS	12085500	2014-01-30	929.21	A
USGS	12085500	2014-01-31	930.05	A
USGS	12085500	2014-02-01	929.54	A
USGS	12085500	2014-02-02	928.90	A
USGS	12085500	2014-02-03	930.92	A
USGS	12085500	2014-02-04	929.84	A
USGS	12085500	2014-02-05	930.22	A
USGS	12085500	2014-02-06	930.20	A
USGS	12085500	2014-02-07	930.56	A
USGS	12085500	2014-02-08	930.58	A
USGS	12085500	2014-02-09	928.85	A
USGS	12085500	2014-02-10	929.66	A
USGS	12085500	2014-02-11	932.01	A
USGS	12085500	2014-02-12	930.84	A
USGS	12085500	2014-02-13	930.71	A
USGS	12085500	2014-02-14	930.73	A
USGS	12085500	2014-02-15	931.73	A
USGS	12085500	2014-02-16	931.10	A
USGS	12085500	2014-02-17	932.37	A
USGS	12085500	2014-02-18	927.74	A
USGS	12085500	2014-02-19	930.75	A
USGS	12085500	2014-02-20	931.59	A
USGS	12085500	2014-02-21	930.77	A
USGS	12085500	2014-02-22	931.64	A
USGS	12085500	2014-02-23	931.19	A
USGS	12085500	2014-02-24	932.42	A
USGS	12085500	2014-02-25	932.11	A
USGS	12085500	2014-02-26	931.58	A
USGS	12085500	2014-02-27	933.57	A
USGS	12085500	2014-02-28	931.00	A
USGS	12085500	2014-03-01	931.56	A
USGS	12085500	2014-03-02	931.15	A
USGS	12085500	2014-03-03	927.40	A
USGS	12085500	2014-03-04	929.93	A
USGS	12085500	2014-03-05	930.70	A
USGS	12085500	2014-03-06	931.54	A
USGS	12085500	2014-03-07	931.29	A
USGS	12085500	2014-03-08	931.35	A
USGS	12085500	2014-03-09	931.21	A
USGS	12085500	2014-03-10	931.62	A
USGS	12085500	2014-03-11	931.50	A
USGS	12085500	2014-03-12	930.28	A
USGS	12085500	2014-03-13	930.59	A
USGS	12085500	2014-03-14	931.12	A
USGS	12085500	2014-03-15	930.98	A
USGS	12085500	2014-03-16	929.65	A
USGS	12085500	2014-03-17	928.28	A
USGS	12085500	2014-03-18	931.44	A
USGS	12085500	2014-03-19	929.62	A
USGS	12085500	2014-03-20	930.91	A
USGS	12085500	2014-03-21	930.94	A
USGS	12085500	2014-03-22	931.45	A
USGS	12085500	2014-03-23	931.22	A
USGS	12085500	2014-03-24	931.15	A
USGS	12085500	2014-03-25	932.43	A
USGS	12085500	2014-03-26	931.79	A
USGS	12085500	2014-03-27	931.53	A
USGS	12085500	2014-03-28	929.98	A
USGS	12085500	2014-03-29	931.40	A
USGS	12085500	2014-03-30	931.63	A
USGS	12085500	2014-03-31	931.73	A
USGS	12085500	2014-04-01	932.41	A
USGS	12085500	2014-04-02	930.09	A
USGS	12085500	2014-04-03	931.10	A
USGS	12085500	2014-04-04	931.54	A
USGS	12085500	2014-04-05	931.53	A
USGS	12085500	2014-04-06	928.33	A
USGS	12085500	2014-04-07	931.41	A
USGS	12085500	2014-04-08	931.79	A
USGS	12085500	2014-04-09	932.49	A
USGS	12085500	2014-04-10	931.60	A
USGS	12085500	2014-04-11	931.53	A
USGS	12085500	2014-04-12	931.97	A
USGS	12085500	2014-04-13	932.50	A
USGS	12085500	2014-04-14	931.72	A
USGS	12085500	2014-04-15	932.59	A
USGS	12085500	2014-04-16	931.96	A
USGS	12085500	2014-04-17	932.53	A
USGS	12085500	2014-04-18	932.08	A
USGS	12085500	2014-04-19	932.56	A
USGS	12085500	2014-04-20	932.27	A
USGS	12085500	2014-04-21	932.06	A
USGS	12085500	2014-04-22	932.01	A
USGS	12085500	2014-04-23	931.45	A
USGS	12085500	2014-04-24	931.28	A
USGS	12085500	2014-04-25	931.08	A
USGS	12085500	2014-04-26	932.03	A
USGS	12085500	2014-04-27	931.75	A
USGS	12085500	2014-04-28	931.97	A
USGS	12085500	2014-04-29	932.37	A
USGS	12085500	2014-04-30	932.24	A
USGS	12085500	2014-05-01	931.64	A
USGS	12085500	2014-05-02	931.23	A
USGS	12085500	2014-05-03	934.15	A
USGS	12085500	2014-05-04	932.33	A
USGS	12085500	2014-05-05	932.09	A
USGS	12085500	2014-05-06	931.98	A
USGS	12085500	2014-05-07	931.77	A
USGS	12085500	2014-05-08	932.46	A
USGS	12085500	2014-05-09	931.99	A
USGS	12085500	2014-05-10	932.69	A
USGS	12085500	2014-05-11	932.23	A
USGS	12085500	2014-05-12	931.88	A
USGS	12085500	2014-05-13	932.48	A
USGS	12085500	2014-05-14	932.45	A
USGS	12085500	2014-05-15	931.69	A
USGS	12085500	2014-05-16	932.73	A
USGS	12085500	2014-05-17	931.83	A
USGS	12085500	2014-05-18	930.79	A
USGS	12085500	2014-05-19	930.24	A
USGS	12085500	2014-05-20	929.84	A
USGS	12085500	2014-05-21	930.79	A
USGS	12085500	2014-05-22	930.39	A
USGS	12085500	2014-05-23	931.06	A
USGS	12085500	2014-05-24	930.67	A
USGS	12085500	2014-05-25	930.01	A
USGS	12085500	2014-05-26	929.87	A
USGS	12085500	2014-05-27	930.04	A
USGS	12085500	2014-05-28	928.80	A
USGS	12085500	2014-05-29	929.94	A
USGS	12085500	2014-05-30	930.05	A
USGS	12085500	2014-05-31	930.02	A
USGS	12085500	2014-06-01	929.58	A
USGS	12085500	2014-06-02	929.87	A
USGS	12085500	2014-06-03	930.58	A
USGS	12085500	2014-06-04	929.27	A
USGS	12085500	2014-06-05	929.75	A
USGS	12085500	2014-06-06	929.97	A
USGS	12085500	2014-06-07	930.26	A
USGS	12085500	2014-06-08	929.56	A
USGS	12085500	2014-06-09	929.80	A
USGS	12085500	2014-06-10	929.23	A
USGS	12085500	2014-06-11	929.21	A
USGS	12085500	2014-06-12	929.36	A
USGS	12085500	2014-06-13	930.35	A
USGS	12085500	2014-06-14	929.88	A
USGS	12085500	2014-06-15	929.66	A
USGS	12085500	2014-06-16	928.71	A
USGS	12085500	2014-06-17	930.56	A
USGS	12085500	2014-06-18	930.53	A
USGS	12085500	2014-06-19	928.66	A
USGS	12085500	2014-06-20	929.30	A
USGS	12085500	2014-06-21	928.95	A
USGS	12085500	2014-06-22	929.95	A
USGS	12085500	2014-06-23	929.90	A
USGS	12085500	2014-06-24	929.86	A
USGS	12085500	2014-06-25	929.11	A
USGS	12085500	2014-06-26	929.81	A
