agency_cd	site_no	datetime	114587_62614_32400	114587_62614_32400_cd
USGS	14313000	2011-01-01	4134.67	A
USGS	14313000	2011-01-02	4133.91	A
USGS	14313000	2011-01-03	4133.55	A
USGS	14313000	2011-01-04	4132.98	A
USGS	14313000	2011-01-05	4132.61	A
USGS	14313000	2011-01-06	4132.19	A
USGS	14313000	2011-01-07	4131.74	A
USGS	14313000	2011-01-08	4131.38	A
USGS	14313000	2011-01-09	4130.92	A
USGS	14313000	2011-01-10	4130.40	A
USGS	14313000	2011-01-11	4130.24	A
USGS	14313000	2011-01-12	4129.61	A
USGS	14313000	2011-01-13	4131.09	A
USGS	14313000	2011-01-14	4132.68	A
USGS	14313000	2011-01-15	4133.79	A
USGS	14313000	2011-01-16	4136.52	A
USGS	14313000	2011-01-17	4139.40	A
USGS	14313000	2011-01-18	4140.83	A
USGS	14313000	2011-01-19	4141.24	A
USGS	14313000	2011-01-20	4141.38	A
USGS	14313000	2011-01-21	4141.41	A
USGS	14313000	2011-01-22	4141.34	A
USGS	14313000	2011-01-23	4141.15	A
USGS	14313000	2011-01-24	4140.90	A
USGS	14313000	2011-01-25	4140.58	A
USGS	14313000	2011-01-26	4140.64	A
USGS	14313000	2011-01-27	4140.25	A
USGS	14313000	2011-01-28	4139.81	A
USGS	14313000	2011-01-29	4139.30	A
USGS	14313000	2011-01-30	4138.82	A
USGS	14313000	2011-01-31	4138.38	A
USGS	14313000	2011-02-01	4137.94	A
USGS	14313000	2011-02-02	4137.39	A
USGS	14313000	2011-02-03	4137.19	A
USGS	14313000	2011-02-04	4136.66	A
USGS	14313000	2011-02-05	4136.16	A
USGS	14313000	2011-02-06	4135.78	A
USGS	14313000	2011-02-07	4135.35	A
USGS	14313000	2011-02-08	4134.83	A
USGS	14313000	2011-02-09	4134.40	A
USGS	14313000	2011-02-10	4134.07	A
USGS	14313000	2011-02-11	4133.93	A
USGS	14313000	2011-02-12	4133.89	A
USGS	14313000	2011-02-13	4133.88	A
USGS	14313000	2011-02-14	4134.00	A
USGS	14313000	2011-02-15	4134.41	A
USGS	14313000	2011-02-16	4134.72	A
USGS	14313000	2011-02-17	4134.94	A
USGS	14313000	2011-02-18	4134.96	A
USGS	14313000	2011-02-19	4134.26	A
USGS	14313000	2011-02-20	4133.80	A
USGS	14313000	2011-02-21	4133.33	A
USGS	14313000	2011-02-22	4132.82	A
USGS	14313000	2011-02-23	4132.38	A
USGS	14313000	2011-02-24	4131.94	A
USGS	14313000	2011-02-25	4131.36	A
USGS	14313000	2011-02-26	4131.05	A
USGS	14313000	2011-02-27	4130.39	A
USGS	14313000	2011-02-28	4129.90	A
USGS	14313000	2011-03-01	4129.52	A
USGS	14313000	2011-03-02	4129.19	A
USGS	14313000	2011-03-03	4128.75	A
USGS	14313000	2011-03-04	4128.29	A
USGS	14313000	2011-03-05	4128.81	A
USGS	14313000	2011-03-06	4128.54	A
USGS	14313000	2011-03-07	4128.40	A
USGS	14313000	2011-03-08	4128.17	A
USGS	14313000	2011-03-09	4127.80	A
USGS	14313000	2011-03-10	4129.20	A
USGS	14313000	2011-03-11	4130.42	A
USGS	14313000	2011-03-12	4130.61	A
USGS	14313000	2011-03-13		
USGS	14313000	2011-03-14	4130.50	A
USGS	14313000	2011-03-15	4131.81	A
USGS	14313000	2011-03-16	4133.14	A
USGS	14313000	2011-03-17	4132.56	A
USGS	14313000	2011-03-18	4132.23	A
USGS	14313000	2011-03-19	4131.92	A
USGS	14313000	2011-03-20	4131.62	A
USGS	14313000	2011-03-21	4131.33	A
USGS	14313000	2011-03-22	4130.90	A
USGS	14313000	2011-03-23	4130.29	A
USGS	14313000	2011-03-24	4129.99	A
USGS	14313000	2011-03-25	4129.54	A
USGS	14313000	2011-03-26	4129.06	A
USGS	14313000	2011-03-27	4128.63	A
USGS	14313000	2011-03-28	4128.09	A
USGS	14313000	2011-03-29	4127.76	A
USGS	14313000	2011-03-30	4128.38	A
USGS	14313000	2011-03-31	4128.97	A
USGS	14313000	2011-04-01	4129.33	A
USGS	14313000	2011-04-02	4129.80	A
USGS	14313000	2011-04-03	4129.93	A
USGS	14313000	2011-04-04	4129.30	A
USGS	14313000	2011-04-05	4129.17	A
USGS	14313000	2011-04-06	4128.69	A
USGS	14313000	2011-04-07	4128.10	A
USGS	14313000	2011-04-08	4127.48	A
USGS	14313000	2011-04-09	4126.79	A
USGS	14313000	2011-04-10	4126.04	A
USGS	14313000	2011-04-11	4125.34	A
USGS	14313000	2011-04-12	4124.51	A
USGS	14313000	2011-04-13	4123.74	A
USGS	14313000	2011-04-14	4122.89	A
USGS	14313000	2011-04-15	4122.19	A
USGS	14313000	2011-04-16	4121.69	A
USGS	14313000	2011-04-17	4121.39	A
USGS	14313000	2011-04-18	4121.03	A
USGS	14313000	2011-04-19	4120.65	A
USGS	14313000	2011-04-20	4120.94	A
USGS	14313000	2011-04-21	4120.35	A
USGS	14313000	2011-04-22	4119.80	A
USGS	14313000	2011-04-23	4119.30	A
USGS	14313000	2011-04-24	4118.88	A
USGS	14313000	2011-04-25	4118.50	A
USGS	14313000	2011-04-26	4118.00	A
USGS	14313000	2011-04-27	4117.45	A
USGS	14313000	2011-04-28	4117.57	A
USGS	14313000	2011-04-29	4117.06	A
USGS	14313000	2011-04-30	4117.49	A
USGS	14313000	2011-05-01	4117.36	A
USGS	14313000	2011-05-02	4117.30	A
USGS	14313000	2011-05-03	4117.39	A
USGS	14313000	2011-05-04	4117.55	A
USGS	14313000	2011-05-05	4118.04	A
USGS	14313000	2011-05-06	4119.26	A
USGS	14313000	2011-05-07	4120.60	A
USGS	14313000	2011-05-08	4121.95	A
USGS	14313000	2011-05-09	4122.56	A
USGS	14313000	2011-05-10	4122.77	A
USGS	14313000	2011-05-11	4123.64	A
USGS	14313000	2011-05-12	4124.31	A
USGS	14313000	2011-05-13	4124.83	A
USGS	14313000	2011-05-14	4125.72	A
USGS	14313000	2011-05-15	4126.59	A
USGS	14313000	2011-05-16	4127.22	A
USGS	14313000	2011-05-17	4127.82	A
USGS	14313000	2011-05-18	4128.38	A
USGS	14313000	2011-05-19	4128.95	A
USGS	14313000	2011-05-20	4129.52	A
USGS	14313000	2011-05-21	4130.27	A
USGS	14313000	2011-05-22	4131.15	A
USGS	14313000	2011-05-23	4132.05	A
USGS	14313000	2011-05-24	4132.88	A
USGS	14313000	2011-05-25	4134.16	A
USGS	14313000	2011-05-26	4134.86	A
USGS	14313000	2011-05-27	4135.67	A
USGS	14313000	2011-05-28	4136.17	A
USGS	14313000	2011-05-29	4136.28	A
USGS	14313000	2011-05-30	4136.33	A
USGS	14313000	2011-05-31	4136.41	A
USGS	14313000	2011-06-01	4136.80	A
USGS	14313000	2011-06-02	4136.58	A
USGS	14313000	2011-06-03	4136.34	A
USGS	14313000	2011-06-04	4136.31	A
USGS	14313000	2011-06-05	4136.21	A
