agency_cd	site_no	datetime	213416_00054_32400	213416_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11293460	2013-01-01	2600	A:e
USGS	11293460	2013-01-02	2600	A:e
USGS	11293460	2013-01-03	2600	A
USGS	11293460	2013-01-04	2590	A
USGS	11293460	2013-01-05	2590	A
USGS	11293460	2013-01-06	2590	A
USGS	11293460	2013-01-07	2580	A
USGS	11293460	2013-01-08	2570	A
USGS	11293460	2013-01-09	2580	A
USGS	11293460	2013-01-10	2570	A
USGS	11293460	2013-01-11	2570	A:e
USGS	11293460	2013-01-12	2560	A:e
USGS	11293460	2013-01-13	2560	A:e
USGS	11293460	2013-01-14	2550	A:e
USGS	11293460	2013-01-15	2550	A
USGS	11293460	2013-01-16	2550	A
USGS	11293460	2013-01-17	2540	A
USGS	11293460	2013-01-18	2540	A
USGS	11293460	2013-01-19	2530	A
USGS	11293460	2013-01-20	2530	A
USGS	11293460	2013-01-21	2520	A
USGS	11293460	2013-01-22	2520	A
USGS	11293460	2013-01-23	2520	A
USGS	11293460	2013-01-24	2520	A
USGS	11293460	2013-01-25	2540	A
USGS	11293460	2013-01-26	2550	A
USGS	11293460	2013-01-27	2560	A
USGS	11293460	2013-01-28	2560	A
USGS	11293460	2013-01-29	2560	A
USGS	11293460	2013-01-30	2560	A
USGS	11293460	2013-01-31	2570	A
USGS	11293460	2013-02-01	2570	A
USGS	11293460	2013-02-02	2570	A
USGS	11293460	2013-02-03	2570	A
USGS	11293460	2013-02-04	2580	A
USGS	11293460	2013-02-05	2580	A
USGS	11293460	2013-02-06	2580	A
USGS	11293460	2013-02-07	2590	A
USGS	11293460	2013-02-08	2590	A
USGS	11293460	2013-02-09	2590	A
USGS	11293460	2013-02-10	2590	A
USGS	11293460	2013-02-11	2580	A
USGS	11293460	2013-02-12	2580	A
USGS	11293460	2013-02-13	2580	A
USGS	11293460	2013-02-14	2580	A
USGS	11293460	2013-02-15	2580	A
USGS	11293460	2013-02-16	2580	A
USGS	11293460	2013-02-17	2580	A
USGS	11293460	2013-02-18	2580	A
USGS	11293460	2013-02-19	2580	A
USGS	11293460	2013-02-20	2580	A
USGS	11293460	2013-02-21	2580	A
USGS	11293460	2013-02-22	2570	A
USGS	11293460	2013-02-23	2570	A
USGS	11293460	2013-02-24	2570	A
USGS	11293460	2013-02-25	2560	A
USGS	11293460	2013-02-26	2560	A
USGS	11293460	2013-02-27	2560	A
USGS	11293460	2013-02-28	2550	A
USGS	11293460	2013-03-01	2560	A
USGS	11293460	2013-03-02	2560	A
USGS	11293460	2013-03-03	2580	A
USGS	11293460	2013-03-04	2590	A
USGS	11293460	2013-03-05	2600	A
USGS	11293460	2013-03-06	2610	A
USGS	11293460	2013-03-07	2620	A
USGS	11293460	2013-03-08	2640	A
USGS	11293460	2013-03-09	2640	A
USGS	11293460	2013-03-10	2640	A
USGS	11293460	2013-03-11	2650	A
USGS	11293460	2013-03-12	2670	A
USGS	11293460	2013-03-13	2700	A
USGS	11293460	2013-03-14	2740	A
USGS	11293460	2013-03-15	2780	A
USGS	11293460	2013-03-16	2810	A
USGS	11293460	2013-03-17	2850	A
USGS	11293460	2013-03-18	2880	A
USGS	11293460	2013-03-19	2920	A
USGS	11293460	2013-03-20	2960	A
USGS	11293460	2013-03-21	3000	A
USGS	11293460	2013-03-22	3020	A
USGS	11293460	2013-03-23	3050	A
USGS	11293460	2013-03-24	3080	A
USGS	11293460	2013-03-25	3110	A
USGS	11293460	2013-03-26	3140	A
USGS	11293460	2013-03-27	3170	A
USGS	11293460	2013-03-28	3210	A
