agency_cd	site_no	datetime	216844_00054_32400	216844_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11361400	2013-01-01	34000	A
USGS	11361400	2013-01-02	33880	A
USGS	11361400	2013-01-03	33910	A
USGS	11361400	2013-01-04	33970	A
USGS	11361400	2013-01-05	34310	A
USGS	11361400	2013-01-06	33850	A
USGS	11361400	2013-01-07	33950	A
USGS	11361400	2013-01-08	34160	A
USGS	11361400	2013-01-09	34340	A
USGS	11361400	2013-01-10	34250	A
USGS	11361400	2013-01-11	34010	A
USGS	11361400	2013-01-12	33790	A
USGS	11361400	2013-01-13	33790	A
USGS	11361400	2013-01-14	33600	A
USGS	11361400	2013-01-15	33680	A
USGS	11361400	2013-01-16	33650	A
USGS	11361400	2013-01-17	33810	A
USGS	11361400	2013-01-18	33740	A
USGS	11361400	2013-01-19	33660	A
USGS	11361400	2013-01-20	33800	A
USGS	11361400	2013-01-21	33810	A
USGS	11361400	2013-01-22	33860	A
USGS	11361400	2013-01-23	33830	A
USGS	11361400	2013-01-24	34340	A
USGS	11361400	2013-01-25	34280	A
USGS	11361400	2013-01-26	34180	A
USGS	11361400	2013-01-27	33960	A
USGS	11361400	2013-01-28	33850	A
USGS	11361400	2013-01-29	34190	A
USGS	11361400	2013-01-30	34000	A
USGS	11361400	2013-01-31	34270	A
USGS	11361400	2013-02-01	34270	A
USGS	11361400	2013-02-02	33870	A
USGS	11361400	2013-02-03	33740	A
USGS	11361400	2013-02-04	34140	A
USGS	11361400	2013-02-05	34020	A
USGS	11361400	2013-02-06	34470	A
USGS	11361400	2013-02-07	34850	A
USGS	11361400	2013-02-08	34920	A
USGS	11361400	2013-02-09	34050	A
USGS	11361400	2013-02-10	33640	A
USGS	11361400	2013-02-11	34160	A
USGS	11361400	2013-02-12	34440	A
USGS	11361400	2013-02-13	34410	A
USGS	11361400	2013-02-14	34180	A
USGS	11361400	2013-02-15	33980	A
USGS	11361400	2013-02-16	33870	A
USGS	11361400	2013-02-17	33690	A
USGS	11361400	2013-02-18	33640	A
USGS	11361400	2013-02-19	33890	A
USGS	11361400	2013-02-20	34330	A
USGS	11361400	2013-02-21	34420	A
USGS	11361400	2013-02-22	34450	A
USGS	11361400	2013-02-23	33630	A
USGS	11361400	2013-02-24	33520	A
USGS	11361400	2013-02-25	35000	A
USGS	11361400	2013-02-26	34550	A
USGS	11361400	2013-02-27	34410	A
USGS	11361400	2013-02-28	34210	A
USGS	11361400	2013-03-01	34070	A
USGS	11361400	2013-03-02	33590	A
USGS	11361400	2013-03-03	33610	A
USGS	11361400	2013-03-04	34470	A
USGS	11361400	2013-03-05	34520	A
USGS	11361400	2013-03-06	35180	A
USGS	11361400	2013-03-07	35180	A
USGS	11361400	2013-03-08	35180	A
USGS	11361400	2013-03-09	35520	A
USGS	11361400	2013-03-10	35560	A
USGS	11361400	2013-03-11	35600	A
USGS	11361400	2013-03-12	35810	A
USGS	11361400	2013-03-13	35830	A
USGS	11361400	2013-03-14	35840	A
USGS	11361400	2013-03-15	36050	A
USGS	11361400	2013-03-16	36090	A
USGS	11361400	2013-03-17	36090	A
USGS	11361400	2013-03-18	35920	A
USGS	11361400	2013-03-19	35830	A
USGS	11361400	2013-03-20	35770	A
USGS	11361400	2013-03-21	35800	A
USGS	11361400	2013-03-22	35700	A
USGS	11361400	2013-03-23	35430	A
USGS	11361400	2013-03-24	36550	A
USGS	11361400	2013-03-25	36720	A
USGS	11361400	2013-03-26	36710	A
USGS	11361400	2013-03-27	36780	A
USGS	11361400	2013-03-28	36700	A
USGS	11361400	2013-03-29	36070	A
USGS	11361400	2013-03-30	35440	A
USGS	11361400	2013-03-31	35030	A
USGS	11361400	2013-04-01	34810	A
USGS	11361400	2013-04-02	33870	A
USGS	11361400	2013-04-03	33820	A
USGS	11361400	2013-04-04	33810	A
USGS	11361400	2013-04-05	34240	A
USGS	11361400	2013-04-06	34220	A
USGS	11361400	2013-04-07	34280	A
USGS	11361400	2013-04-08	34370	A
USGS	11361400	2013-04-09	34250	A
USGS	11361400	2013-04-10	34000	A
USGS	11361400	2013-04-11	34020	A
USGS	11361400	2013-04-12	34360	A
USGS	11361400	2013-04-13	33700	A
USGS	11361400	2013-04-14	33980	A
USGS	11361400	2013-04-15	33790	A
USGS	11361400	2013-04-16	34140	A
USGS	11361400	2013-04-17	34300	A
USGS	11361400	2013-04-18	34060	A
USGS	11361400	2013-04-19	33610	A
USGS	11361400	2013-04-20	33720	A
USGS	11361400	2013-04-21	34050	A
USGS	11361400	2013-04-22	33640	A
USGS	11361400	2013-04-23	34090	A
USGS	11361400	2013-04-24	34260	A
USGS	11361400	2013-04-25	33970	A
USGS	11361400	2013-04-26	34090	A
USGS	11361400	2013-04-27	33980	A
USGS	11361400	2013-04-28	34140	A
USGS	11361400	2013-04-29	34200	A
USGS	11361400	2013-04-30	34200	A
USGS	11361400	2013-05-01	34550	A
USGS	11361400	2013-05-02	34650	A
USGS	11361400	2013-05-03	34590	A
USGS	11361400	2013-05-04	35500	A
USGS	11361400	2013-05-05	35670	A
USGS	11361400	2013-05-06	35280	A
USGS	11361400	2013-05-07	34810	A
USGS	11361400	2013-05-08	35840	A
USGS	11361400	2013-05-09	35720	A
USGS	11361400	2013-05-10	35320	A
USGS	11361400	2013-05-11	35170	A
USGS	11361400	2013-05-12	34670	A
USGS	11361400	2013-05-13	33990	A
USGS	11361400	2013-05-14	33900	A
USGS	11361400	2013-05-15	34400	A
USGS	11361400	2013-05-16	35210	A
USGS	11361400	2013-05-17	35360	A
USGS	11361400	2013-05-18	35590	A
USGS	11361400	2013-05-19	35810	A
USGS	11361400	2013-05-20	35670	A
USGS	11361400	2013-05-21	34930	A
USGS	11361400	2013-05-22	34880	A
USGS	11361400	2013-05-23	35090	A
USGS	11361400	2013-05-24	34840	A
USGS	11361400	2013-05-25	34720	A
USGS	11361400	2013-05-26	34790	A
USGS	11361400	2013-05-27	34370	A
