agency_cd	site_no	datetime	217121_00054_32400	217121_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11367740	2013-01-01	22130	A
USGS	11367740	2013-01-02	21870	A
USGS	11367740	2013-01-03	21540	A
USGS	11367740	2013-01-04	21210	A
USGS	11367740	2013-01-05	20920	A
USGS	11367740	2013-01-06	20700	A
USGS	11367740	2013-01-07	20530	A
USGS	11367740	2013-01-08	20260	A
USGS	11367740	2013-01-09	20100	A
USGS	11367740	2013-01-10	20020	A
USGS	11367740	2013-01-11	20030	A
USGS	11367740	2013-01-12	20040	A
USGS	11367740	2013-01-13	20060	A
USGS	11367740	2013-01-14	20060	A
USGS	11367740	2013-01-15	20040	A
USGS	11367740	2013-01-16	19970	A
USGS	11367740	2013-01-17	19900	A
USGS	11367740	2013-01-18	19880	A
USGS	11367740	2013-01-19	19960	A
USGS	11367740	2013-01-20	20170	A
USGS	11367740	2013-01-21	20450	A
USGS	11367740	2013-01-22	20660	A
USGS	11367740	2013-01-23	20800	A
USGS	11367740	2013-01-24	20940	A
USGS	11367740	2013-01-25	21120	A
USGS	11367740	2013-01-26	21420	A
USGS	11367740	2013-01-27	21800	A
USGS	11367740	2013-01-28	22170	A
USGS	11367740	2013-01-29	22600	A
USGS	11367740	2013-01-30	23080	A
USGS	11367740	2013-01-31	23580	A
USGS	11367740	2013-02-01	24040	A
USGS	11367740	2013-02-02	24420	A
USGS	11367740	2013-02-03	24590	A
USGS	11367740	2013-02-04	24680	A
USGS	11367740	2013-02-05	24770	A
USGS	11367740	2013-02-06	24890	A
USGS	11367740	2013-02-07	25020	A
USGS	11367740	2013-02-08	25090	A
USGS	11367740	2013-02-09	25120	A
USGS	11367740	2013-02-10	25100	A
USGS	11367740	2013-02-11	25040	A
USGS	11367740	2013-02-12	24970	A
USGS	11367740	2013-02-13	24880	A
USGS	11367740	2013-02-14	24770	A
USGS	11367740	2013-02-15	24700	A
USGS	11367740	2013-02-16	24640	A
USGS	11367740	2013-02-17	24660	A
USGS	11367740	2013-02-18	24720	A
USGS	11367740	2013-02-19	24830	A
USGS	11367740	2013-02-20	24850	A
USGS	11367740	2013-02-21	24790	A
USGS	11367740	2013-02-22	24670	A
USGS	11367740	2013-02-23	24530	A
USGS	11367740	2013-02-24	24360	A
USGS	11367740	2013-02-25	24170	A
USGS	11367740	2013-02-26	23940	A
USGS	11367740	2013-02-27	23670	A
USGS	11367740	2013-02-28	23380	A
USGS	11367740	2013-03-01	23070	A
USGS	11367740	2013-03-02	22760	A
USGS	11367740	2013-03-03	22490	A
USGS	11367740	2013-03-04	22280	A
USGS	11367740	2013-03-05	22160	A
USGS	11367740	2013-03-06	22180	A
USGS	11367740	2013-03-07	22080	A
USGS	11367740	2013-03-08	21940	A
USGS	11367740	2013-03-09	21780	A
USGS	11367740	2013-03-10	21670	A
USGS	11367740	2013-03-11	21570	A
USGS	11367740	2013-03-12	21460	A
USGS	11367740	2013-03-13	21360	A
USGS	11367740	2013-03-14	21290	A
USGS	11367740	2013-03-15	21270	A
USGS	11367740	2013-03-16	21310	A
USGS	11367740	2013-03-17	21320	A
USGS	11367740	2013-03-18	21290	A
USGS	11367740	2013-03-19	21270	A
USGS	11367740	2013-03-20	21720	A
USGS	11367740	2013-03-21	22480	A
USGS	11367740	2013-03-22	22930	A
USGS	11367740	2013-03-23	23190	A
USGS	11367740	2013-03-24	23350	A
USGS	11367740	2013-03-25	23520	A
USGS	11367740	2013-03-26	23710	A
USGS	11367740	2013-03-27	23910	A
USGS	11367740	2013-03-28	24120	A
USGS	11367740	2013-03-29	24280	A
USGS	11367740	2013-03-30	24320	A
USGS	11367740	2013-03-31	24430	A
USGS	11367740	2013-04-01	24550	A
USGS	11367740	2013-04-02	24620	A
USGS	11367740	2013-04-03	24610	A
USGS	11367740	2013-04-04	24710	A
USGS	11367740	2013-04-05	25150	A
USGS	11367740	2013-04-06	25650	A
USGS	11367740	2013-04-07	26270	A
USGS	11367740	2013-04-08	26770	A
USGS	11367740	2013-04-09	26920	A
USGS	11367740	2013-04-10	26940	A
USGS	11367740	2013-04-11	26940	A
USGS	11367740	2013-04-12	26860	A
USGS	11367740	2013-04-13	26760	A
USGS	11367740	2013-04-14	26700	A
