agency_cd	site_no	datetime	213192_00054_32400	213192_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11269500	2013-01-01	434100	A
USGS	11269500	2013-01-02	434600	A
USGS	11269500	2013-01-03	435000	A
USGS	11269500	2013-01-04	435300	A
USGS	11269500	2013-01-05	435700	A
USGS	11269500	2013-01-06	435900	A
USGS	11269500	2013-01-07	436500	A
USGS	11269500	2013-01-08	437200	A
USGS	11269500	2013-01-09	437500	A
USGS	11269500	2013-01-10	437900	A
USGS	11269500	2013-01-11	438200	A:e
USGS	11269500	2013-01-12	438400	A
USGS	11269500	2013-01-13	438500	A
USGS	11269500	2013-01-14	438600	A
USGS	11269500	2013-01-15	438700	A
USGS	11269500	2013-01-16	438900	A
USGS	11269500	2013-01-17	439000	A
USGS	11269500	2013-01-18	439200	A
USGS	11269500	2013-01-19	439400	A
USGS	11269500	2013-01-20	439600	A
USGS	11269500	2013-01-21	439900	A
USGS	11269500	2013-01-22	440100	A
USGS	11269500	2013-01-23	440300	A
USGS	11269500	2013-01-24	440800	A
USGS	11269500	2013-01-25	441800	A
USGS	11269500	2013-01-26	443000	A
USGS	11269500	2013-01-27	444000	A
USGS	11269500	2013-01-28	444600	A
USGS	11269500	2013-01-29	445200	A
USGS	11269500	2013-01-30	445700	A
USGS	11269500	2013-01-31	446100	A
USGS	11269500	2013-02-01	446600	A
USGS	11269500	2013-02-02	447000	A
USGS	11269500	2013-02-03	447500	A
USGS	11269500	2013-02-04	447900	A
USGS	11269500	2013-02-05	448300	A
USGS	11269500	2013-02-06	448800	A
USGS	11269500	2013-02-07	449200	A
USGS	11269500	2013-02-08	449600	A
USGS	11269500	2013-02-09	449800	A
USGS	11269500	2013-02-10	450100	A
USGS	11269500	2013-02-11	450300	A
USGS	11269500	2013-02-12	450500	A
USGS	11269500	2013-02-13	450600	A
USGS	11269500	2013-02-14	450600	A
USGS	11269500	2013-02-15	450700	A
USGS	11269500	2013-02-16	450900	A
USGS	11269500	2013-02-17	451000	A
USGS	11269500	2013-02-18	451300	A
USGS	11269500	2013-02-19	451900	A
USGS	11269500	2013-02-20	452200	A
USGS	11269500	2013-02-21	452500	A
USGS	11269500	2013-02-22	452600	A
USGS	11269500	2013-02-23	452700	A
USGS	11269500	2013-02-24	452800	A
USGS	11269500	2013-02-25	452900	A
USGS	11269500	2013-02-26	453100	A
USGS	11269500	2013-02-27	453200	A
USGS	11269500	2013-02-28	453300	A
USGS	11269500	2013-03-01	453500	A
USGS	11269500	2013-03-02	453900	A
USGS	11269500	2013-03-03	454400	A
USGS	11269500	2013-03-04	455200	A
USGS	11269500	2013-03-05	455800	A
USGS	11269500	2013-03-06	456800	A
USGS	11269500	2013-03-07	457200	A
USGS	11269500	2013-03-08	457400	A:e
USGS	11269500	2013-03-09	457400	A:e
USGS	11269500	2013-03-10	457400	A:e
USGS	11269500	2013-03-11	457200	A
USGS	11269500	2013-03-12	457100	A
USGS	11269500	2013-03-13	457500	A
USGS	11269500	2013-03-14	458200	A
USGS	11269500	2013-03-15	459100	A
USGS	11269500	2013-03-16	459700	A
USGS	11269500	2013-03-17	460300	A
USGS	11269500	2013-03-18	460900	A
USGS	11269500	2013-03-19	461400	A
USGS	11269500	2013-03-20	462300	A
USGS	11269500	2013-03-21	463300	A
USGS	11269500	2013-03-22	463800	A
USGS	11269500	2013-03-23	464100	A
USGS	11269500	2013-03-24	464200	A
USGS	11269500	2013-03-25	464600	A
USGS	11269500	2013-03-26	465200	A
USGS	11269500	2013-03-27	465900	A
USGS	11269500	2013-03-28	466500	A
USGS	11269500	2013-03-29	467200	A
USGS	11269500	2013-03-30	468100	A
USGS	11269500	2013-03-31	470200	A
USGS	11269500	2013-04-01	472000	A
USGS	11269500	2013-04-02	473300	A:e
USGS	11269500	2013-04-03	474700	A:e
USGS	11269500	2013-04-04	476600	A:e
USGS	11269500	2013-04-05	478600	A:e
USGS	11269500	2013-04-06	480400	A:e
USGS	11269500	2013-04-07	482200	A:e
USGS	11269500	2013-04-08	484500	A:e
USGS	11269500	2013-04-09	486500	A:e
USGS	11269500	2013-04-10	488000	A:e
USGS	11269500	2013-04-11	489700	A:e
USGS	11269500	2013-04-12	492400	A:e
USGS	11269500	2013-04-13	495700	A:e
USGS	11269500	2013-04-14	499100	A:e
USGS	11269500	2013-04-15	502700	A:e
USGS	11269500	2013-04-16	504900	A:e
USGS	11269500	2013-04-17	505100	A:e
USGS	11269500	2013-04-18	503800	A:e
USGS	11269500	2013-04-19	504300	A:e
USGS	11269500	2013-04-20	505000	A:e
USGS	11269500	2013-04-21	507000	A:e
USGS	11269500	2013-04-22	510200	A:e
USGS	11269500	2013-04-23	514400	A:e
USGS	11269500	2013-04-24	518300	A:e
USGS	11269500	2013-04-25	521600	A:e
USGS	11269500	2013-04-26	524900	A:e
USGS	11269500	2013-04-27	527900	A:e
USGS	11269500	2013-04-28	532000	A:e
USGS	11269500	2013-04-29	536400	A:e
USGS	11269500	2013-04-30	541200	A:e
USGS	11269500	2013-05-01	545300	A:e
USGS	11269500	2013-05-02	548500	A:e
USGS	11269500	2013-05-03	551700	A:e
USGS	11269500	2013-05-04	554700	A:e
USGS	11269500	2013-05-05	557100	A:e
USGS	11269500	2013-05-06	558600	A:e
USGS	11269500	2013-05-07	560700	A:e
USGS	11269500	2013-05-08	561400	A:e
USGS	11269500	2013-05-09	561800	A:e
USGS	11269500	2013-05-10	563200	A:e
USGS	11269500	2013-05-11	564900	A:e
USGS	11269500	2013-05-12	567500	A:e
USGS	11269500	2013-05-13	569300	A:e
USGS	11269500	2013-05-14	571800	A:e
USGS	11269500	2013-05-15	573500	A:e
USGS	11269500	2013-05-16	574600	A:e
USGS	11269500	2013-05-17	574700	A
USGS	11269500	2013-05-18	574800	A
USGS	11269500	2013-05-19	574800	A
USGS	11269500	2013-05-20	574600	A
USGS	11269500	2013-05-21	574800	A
USGS	11269500	2013-05-22	575000	A
USGS	11269500	2013-05-23	574600	A
USGS	11269500	2013-05-24	573800	A
USGS	11269500	2013-05-25	573400	A
USGS	11269500	2013-05-26	572700	A
USGS	11269500	2013-05-27	571500	A
USGS	11269500	2013-05-28	570600	A
USGS	11269500	2013-05-29	570300	A
USGS	11269500	2013-05-30	569700	A:e
USGS	11269500	2013-05-31	569300	A
USGS	11269500	2013-06-01	569000	A
USGS	11269500	2013-06-02	567800	A
USGS	11269500	2013-06-03	568000	A
USGS	11269500	2013-06-04	567000	A
USGS	11269500	2013-06-05	566200	A
USGS	11269500	2013-06-06	565500	A
USGS	11269500	2013-06-07	564400	A
USGS	11269500	2013-06-08	563100	A
USGS	11269500	2013-06-09	562200	A
USGS	11269500	2013-06-10	561000	A
USGS	11269500	2013-06-11	560400	A
USGS	11269500	2013-06-12	559400	A
