agency_cd	site_no	datetime	217900_00054_32400	217900_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11406800	2013-01-01	2529000	A
USGS	11406800	2013-01-02	2533000	A
USGS	11406800	2013-01-03	2537000	A
USGS	11406800	2013-01-04	2540000	A
USGS	11406800	2013-01-05	2548000	A
USGS	11406800	2013-01-06	2555000	A
USGS	11406800	2013-01-07	2558000	A
USGS	11406800	2013-01-08	2560000	A
USGS	11406800	2013-01-09	2564000	A
USGS	11406800	2013-01-10	2568000	A
USGS	11406800	2013-01-11	2573000	A
USGS	11406800	2013-01-12	2581000	A
USGS	11406800	2013-01-13	2587000	A
USGS	11406800	2013-01-14	2592000	A
USGS	11406800	2013-01-15	2596000	A
USGS	11406800	2013-01-16	2601000	A
USGS	11406800	2013-01-17	2607000	A
USGS	11406800	2013-01-18	2613000	A
USGS	11406800	2013-01-19	2618000	A
USGS	11406800	2013-01-20	2622000	A
USGS	11406800	2013-01-21	2628000	A
USGS	11406800	2013-01-22	2633000	A
USGS	11406800	2013-01-23	2638000	A
USGS	11406800	2013-01-24	2646000	A
USGS	11406800	2013-01-25	2651000	A
USGS	11406800	2013-01-26	2658000	A
USGS	11406800	2013-01-27	2665000	A
USGS	11406800	2013-01-28	2671000	A
USGS	11406800	2013-01-29	2678000	A
USGS	11406800	2013-01-30	2685000	A
USGS	11406800	2013-01-31	2692000	A
USGS	11406800	2013-02-01	2699000	A
USGS	11406800	2013-02-02	2705000	A
USGS	11406800	2013-02-03	2712000	A
USGS	11406800	2013-02-04	2718000	A
USGS	11406800	2013-02-05	2724000	A
USGS	11406800	2013-02-06	2731000	A
USGS	11406800	2013-02-07	2736000	A
USGS	11406800	2013-02-08	2742000	A
USGS	11406800	2013-02-09	2748000	A
USGS	11406800	2013-02-10	2753000	A
USGS	11406800	2013-02-11	2758000	A
USGS	11406800	2013-02-12	2763000	A
USGS	11406800	2013-02-13	2768000	A
USGS	11406800	2013-02-14	2773000	A
USGS	11406800	2013-02-15	2778000	A
USGS	11406800	2013-02-16	2784000	A
USGS	11406800	2013-02-17	2789000	A
USGS	11406800	2013-02-18	2795000	A
USGS	11406800	2013-02-19	2802000	A
USGS	11406800	2013-02-20	2808000	A
USGS	11406800	2013-02-21	2814000	A
USGS	11406800	2013-02-22	2820000	A
USGS	11406800	2013-02-23	2824000	A
USGS	11406800	2013-02-24	2829000	A
USGS	11406800	2013-02-25	2835000	A
USGS	11406800	2013-02-26	2838000	A
USGS	11406800	2013-02-27	2842000	A
USGS	11406800	2013-02-28	2848000	A
USGS	11406800	2013-03-01	2853000	A
USGS	11406800	2013-03-02	2858000	A
USGS	11406800	2013-03-03	2864000	A
USGS	11406800	2013-03-04	2869000	A
USGS	11406800	2013-03-05	2873000	A
USGS	11406800	2013-03-06	2880000	A
USGS	11406800	2013-03-07	2882000	A
USGS	11406800	2013-03-08	2887000	A
USGS	11406800	2013-03-09	2888000	A
USGS	11406800	2013-03-10	2889000	A
USGS	11406800	2013-03-11	2888000	A
USGS	11406800	2013-03-12	2887000	A
USGS	11406800	2013-03-13	2883000	A
USGS	11406800	2013-03-14	2880000	A
USGS	11406800	2013-03-15	2880000	A
USGS	11406800	2013-03-16	2881000	A
USGS	11406800	2013-03-17	2883000	A
USGS	11406800	2013-03-18	2880000	A
USGS	11406800	2013-03-19	2881000	A
USGS	11406800	2013-03-20	2895000	A
USGS	11406800	2013-03-21	2909000	A
USGS	11406800	2013-03-22	2917000	A
USGS	11406800	2013-03-23	2925000	A
USGS	11406800	2013-03-24	2933000	A
USGS	11406800	2013-03-25	2938000	A
USGS	11406800	2013-03-26	2944000	A
USGS	11406800	2013-03-27	2949000	A
USGS	11406800	2013-03-28	2956000	A
USGS	11406800	2013-03-29	2961000	A
USGS	11406800	2013-03-30	2970000	A
USGS	11406800	2013-03-31	2982000	A
USGS	11406800	2013-04-01	2988000	A
USGS	11406800	2013-04-02	2994000	A
USGS	11406800	2013-04-03	2997000	A
USGS	11406800	2013-04-04	3003000	A
USGS	11406800	2013-04-05	3011000	A
USGS	11406800	2013-04-06	3020000	A
USGS	11406800	2013-04-07	3029000	A
USGS	11406800	2013-04-08	3036000	A
USGS	11406800	2013-04-09	3041000	A
USGS	11406800	2013-04-10	3047000	A
USGS	11406800	2013-04-11	3054000	A
USGS	11406800	2013-04-12	3061000	A
USGS	11406800	2013-04-13	3069000	A
USGS	11406800	2013-04-14	3076000	A
USGS	11406800	2013-04-15	3081000	A
USGS	11406800	2013-04-16	3087000	A
USGS	11406800	2013-04-17	3091000	A
USGS	11406800	2013-04-18	3094000	A
USGS	11406800	2013-04-19	3096000	A
USGS	11406800	2013-04-20	3102000	A
USGS	11406800	2013-04-21	3108000	A
USGS	11406800	2013-04-22	3110000	A
USGS	11406800	2013-04-23	3111000	A
USGS	11406800	2013-04-24	3107000	A
USGS	11406800	2013-04-25	3100000	A
USGS	11406800	2013-04-26	3090000	A
USGS	11406800	2013-04-27	3077000	A
USGS	11406800	2013-04-28	3064000	A
USGS	11406800	2013-04-29	3052000	A
USGS	11406800	2013-04-30	3039000	A
USGS	11406800	2013-05-01	3031000	A
USGS	11406800	2013-05-02	3025000	A
USGS	11406800	2013-05-03	3020000	A
USGS	11406800	2013-05-04	3015000	A
USGS	11406800	2013-05-05	3009000	A
USGS	11406800	2013-05-06	3004000	A
USGS	11406800	2013-05-07	3000000	A
USGS	11406800	2013-05-08	2993000	A
USGS	11406800	2013-05-09	2982000	A
USGS	11406800	2013-05-10	2973000	A
USGS	11406800	2013-05-11	2964000	A
USGS	11406800	2013-05-12	2955000	A
USGS	11406800	2013-05-13	2947000	A
USGS	11406800	2013-05-14	2940000	A
USGS	11406800	2013-05-15	2933000	A
USGS	11406800	2013-05-16	2926000	A
USGS	11406800	2013-05-17	2919000	A
USGS	11406800	2013-05-18	2912000	A
USGS	11406800	2013-05-19	2904000	A
USGS	11406800	2013-05-20	2897000	A
USGS	11406800	2013-05-21	2891000	A
USGS	11406800	2013-05-22	2884000	A
USGS	11406800	2013-05-23	2876000	A
USGS	11406800	2013-05-24	2868000	A
USGS	11406800	2013-05-25	2859000	A
USGS	11406800	2013-05-26	2844000	A
USGS	11406800	2013-05-27	2832000	A
USGS	11406800	2013-05-28	2827000	A
USGS	11406800	2013-05-29	2822000	A
USGS	11406800	2013-05-30	2816000	A
USGS	11406800	2013-05-31	2811000	A
USGS	11406800	2013-06-01	2802000	A
USGS	11406800	2013-06-02	2794000	A
USGS	11406800	2013-06-03	2784000	A
USGS	11406800	2013-06-04	2779000	A
USGS	11406800	2013-06-05	2776000	A
USGS	11406800	2013-06-06	2772000	A
USGS	11406800	2013-06-07	2766000	A
USGS	11406800	2013-06-08	2762000	A
USGS	11406800	2013-06-09	2758000	A
USGS	11406800	2013-06-10	2753000	A
USGS	11406800	2013-06-11	2747000	A
USGS	11406800	2013-06-12	2741000	A
USGS	11406800	2013-06-13	2737000	A
USGS	11406800	2013-06-14	2731000	A
USGS	11406800	2013-06-15	2725000	A
USGS	11406800	2013-06-16	2719000	A
USGS	11406800	2013-06-17	2712000	A
USGS	11406800	2013-06-18	2706000	A
USGS	11406800	2013-06-19	2701000	A
USGS	11406800	2013-06-20	2694000	A
USGS	11406800	2013-06-21	2684000	A
USGS	11406800	2013-06-22	2669000	A
USGS	11406800	2013-06-23	2652000	A
USGS	11406800	2013-06-24	2636000	A
USGS	11406800	2013-06-25	2623000	A
USGS	11406800	2013-06-26	2612000	A
USGS	11406800	2013-06-27	2599000	A
USGS	11406800	2013-06-28	2586000	A
USGS	11406800	2013-06-29	2572000	A
USGS	11406800	2013-06-30	2557000	A
USGS	11406800	2013-07-01	2542000	A
USGS	11406800	2013-07-02	2527000	A
USGS	11406800	2013-07-03	2514000	A
USGS	11406800	2013-07-04	2502000	A
USGS	11406800	2013-07-05	2488000	A
USGS	11406800	2013-07-06	2476000	A
USGS	11406800	2013-07-07	2465000	A
USGS	11406800	2013-07-08	2452000	A
USGS	11406800	2013-07-09	2440000	A
USGS	11406800	2013-07-10	2427000	A
USGS	11406800	2013-07-11	2414000	A
USGS	11406800	2013-07-12	2398000	A
USGS	11406800	2013-07-13	2383000	A
USGS	11406800	2013-07-14	2367000	A
USGS	11406800	2013-07-15	2359000	A
USGS	11406800	2013-07-16	2348000	A
USGS	11406800	2013-07-17	2339000	A
USGS	11406800	2013-07-18	2332000	A
USGS	11406800	2013-07-19	2316000	A
USGS	11406800	2013-07-20	2301000	A
USGS	11406800	2013-07-21	2286000	A
USGS	11406800	2013-07-22	2276000	A
USGS	11406800	2013-07-23	2263000	A
USGS	11406800	2013-07-24	2247000	A
USGS	11406800	2013-07-25	2231000	A
USGS	11406800	2013-07-26	2215000	A
USGS	11406800	2013-07-27	2198000	A
USGS	11406800	2013-07-28	2183000	A
USGS	11406800	2013-07-29	2168000	A
USGS	11406800	2013-07-30	2156000	A
USGS	11406800	2013-07-31	2143000	A
USGS	11406800	2013-08-01	2131000	A
USGS	11406800	2013-08-02	2117000	A
USGS	11406800	2013-08-03	2108000	A
USGS	11406800	2013-08-04	2100000	A
USGS	11406800	2013-08-05	2085000	A
USGS	11406800	2013-08-06	2071000	A
USGS	11406800	2013-08-07	2056000	A
USGS	11406800	2013-08-08	2044000	A
USGS	11406800	2013-08-09	2031000	A
USGS	11406800	2013-08-10	2022000	A
USGS	11406800	2013-08-11	2010000	A
USGS	11406800	2013-08-12	1998000	A
USGS	11406800	2013-08-13	1985000	A
USGS	11406800	2013-08-14	1972000	A
USGS	11406800	2013-08-15	1959000	A
USGS	11406800	2013-08-16	1947000	A
USGS	11406800	2013-08-17	1934000	A
USGS	11406800	2013-08-18	1921000	A
USGS	11406800	2013-08-19	1908000	A
USGS	11406800	2013-08-20	1895000	A
USGS	11406800	2013-08-21	1882000	A
USGS	11406800	2013-08-22	1871000	A
USGS	11406800	2013-08-23	1860000	A
USGS	11406800	2013-08-24	1849000	A
USGS	11406800	2013-08-25	1840000	A
USGS	11406800	2013-08-26	1829000	A
USGS	11406800	2013-08-27	1819000	A
USGS	11406800	2013-08-28	1808000	A
USGS	11406800	2013-08-29	1798000	A
USGS	11406800	2013-08-30	1787000	A
USGS	11406800	2013-08-31	1782000	A
USGS	11406800	2013-09-01	1777000	A
USGS	11406800	2013-09-02	1772000	A
USGS	11406800	2013-09-03	1763000	A
USGS	11406800	2013-09-04	1751000	A
USGS	11406800	2013-09-05	1738000	A
USGS	11406800	2013-09-06	1726000	A
USGS	11406800	2013-09-07	1716000	A
USGS	11406800	2013-09-08	1706000	A
USGS	11406800	2013-09-09	1704000	A
USGS	11406800	2013-09-10	1699000	A
USGS	11406800	2013-09-11	1696000	A
USGS	11406800	2013-09-12	1693000	A
USGS	11406800	2013-09-13	1692000	A
USGS	11406800	2013-09-14	1692000	A
USGS	11406800	2013-09-15	1690000	A
USGS	11406800	2013-09-16	1684000	A
USGS	11406800	2013-09-17	1679000	A
USGS	11406800	2013-09-18	1674000	A
USGS	11406800	2013-09-19	1670000	A
USGS	11406800	2013-09-20	1665000	A
USGS	11406800	2013-09-21	1662000	A
USGS	11406800	2013-09-22	1657000	A
USGS	11406800	2013-09-23	1654000	A
USGS	11406800	2013-09-24	1646000	A
USGS	11406800	2013-09-25	1642000	A
USGS	11406800	2013-09-26	1640000	A
USGS	11406800	2013-09-27	1637000	A
USGS	11406800	2013-09-28	1637000	A
USGS	11406800	2013-09-29	1637000	A
USGS	11406800	2013-09-30	1634000	A
USGS	11406800	2013-10-01	1631000	A
USGS	11406800	2013-10-02	1627000	A
USGS	11406800	2013-10-03	1623000	A
USGS	11406800	2013-10-04	1620000	A
USGS	11406800	2013-10-05	1616000	A
USGS	11406800	2013-10-06	1613000	A
USGS	11406800	2013-10-07	1613000	A
USGS	11406800	2013-10-08	1607000	A
USGS	11406800	2013-10-09	1606000	A
USGS	11406800	2013-10-10	1607000	A
USGS	11406800	2013-10-11	1609000	A
USGS	11406800	2013-10-12	1611000	A
USGS	11406800	2013-10-13	1612000	A
USGS	11406800	2013-10-14	1610000	A
USGS	11406800	2013-10-15	1607000	A
USGS	11406800	2013-10-16	1606000	A
USGS	11406800	2013-10-17	1603000	A
USGS	11406800	2013-10-18	1596000	A
USGS	11406800	2013-10-19	1588000	A
USGS	11406800	2013-10-20	1580000	A
USGS	11406800	2013-10-21	1575000	A
USGS	11406800	2013-10-22	1571000	A
USGS	11406800	2013-10-23	1564000	A
USGS	11406800	2013-10-24	1558000	A
USGS	11406800	2013-10-25	1552000	A
USGS	11406800	2013-10-26	1550000	A
USGS	11406800	2013-10-27	1544000	A
USGS	11406800	2013-10-28	1537000	A
USGS	11406800	2013-10-29	1539000	A
USGS	11406800	2013-10-30	1534000	A
USGS	11406800	2013-10-31	1528000	A
USGS	11406800	2013-11-01	1522000	A
USGS	11406800	2013-11-02	1517000	A
USGS	11406800	2013-11-03	1510000	A
USGS	11406800	2013-11-04	1504000	A
USGS	11406800	2013-11-05	1500000	A
USGS	11406800	2013-11-06	1495000	A
USGS	11406800	2013-11-07	1488000	A
USGS	11406800	2013-11-08	1480000	A
USGS	11406800	2013-11-09	1469000	A
USGS	11406800	2013-11-10	1459000	A
USGS	11406800	2013-11-11	1454000	A
USGS	11406800	2013-11-12	1449000	A
USGS	11406800	2013-11-13	1444000	A
