agency_cd	site_no	datetime	217383_00054_32400	217383_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11470000	2013-01-01	55100	A
USGS	11470000	2013-01-02	55000	A
USGS	11470000	2013-01-03	54900	A
USGS	11470000	2013-01-04	54800	A
USGS	11470000	2013-01-05	55000	A
USGS	11470000	2013-01-06	55100	A
USGS	11470000	2013-01-07	55100	A
USGS	11470000	2013-01-08	55100	A
USGS	11470000	2013-01-09	55200	A
USGS	11470000	2013-01-10	55100	A
USGS	11470000	2013-01-11	55000	A
USGS	11470000	2013-01-12	54900	A
USGS	11470000	2013-01-13	54800	A
USGS	11470000	2013-01-14	54700	A
USGS	11470000	2013-01-15	54700	A
USGS	11470000	2013-01-16	54600	A
USGS	11470000	2013-01-17	54600	A
USGS	11470000	2013-01-18	54600	A
USGS	11470000	2013-01-19	54600	A
USGS	11470000	2013-01-20	54500	A
USGS	11470000	2013-01-21	54400	A
USGS	11470000	2013-01-22	54400	A
USGS	11470000	2013-01-23	54800	A
USGS	11470000	2013-01-24	55600	A
USGS	11470000	2013-01-25	55500	A
USGS	11470000	2013-01-26	55300	A
USGS	11470000	2013-01-27	55200	A
USGS	11470000	2013-01-28	55000	A
USGS	11470000	2013-01-29	54800	A
USGS	11470000	2013-01-30	54700	A
USGS	11470000	2013-01-31	54700	A
USGS	11470000	2013-02-01	54600	A
USGS	11470000	2013-02-02	54500	A
USGS	11470000	2013-02-03	54400	A
USGS	11470000	2013-02-04	54400	A
USGS	11470000	2013-02-05	54300	A
USGS	11470000	2013-02-06	54300	A
USGS	11470000	2013-02-07	54300	A
USGS	11470000	2013-02-08	54200	A
USGS	11470000	2013-02-09	54200	A
USGS	11470000	2013-02-10	54100	A
USGS	11470000	2013-02-11	54100	A
USGS	11470000	2013-02-12	54100	A
USGS	11470000	2013-02-13	54200	A
USGS	11470000	2013-02-14	54200	A
USGS	11470000	2013-02-15	54200	A
USGS	11470000	2013-02-16	54200	A
USGS	11470000	2013-02-17	54200	A
USGS	11470000	2013-02-18	54200	A
USGS	11470000	2013-02-19	54200	A
USGS	11470000	2013-02-20	54200	A
USGS	11470000	2013-02-21	54300	A
USGS	11470000	2013-02-22	54300	A
USGS	11470000	2013-02-23	54300	A
USGS	11470000	2013-02-24	54300	A
USGS	11470000	2013-02-25	54300	A
USGS	11470000	2013-02-26	54300	A
USGS	11470000	2013-02-27	54300	A
USGS	11470000	2013-02-28	54300	A
USGS	11470000	2013-03-01	54300	A
USGS	11470000	2013-03-02	54300	A
USGS	11470000	2013-03-03	54300	A
USGS	11470000	2013-03-04	54400	A
USGS	11470000	2013-03-05	54400	A
USGS	11470000	2013-03-06	55000	A
USGS	11470000	2013-03-07	54900	A
USGS	11470000	2013-03-08	54700	A
USGS	11470000	2013-03-09	54600	A
USGS	11470000	2013-03-10	54600	A
USGS	11470000	2013-03-11	54500	A
USGS	11470000	2013-03-12	54600	A
USGS	11470000	2013-03-13	54600	A
USGS	11470000	2013-03-14	54600	A
USGS	11470000	2013-03-15	54500	A
USGS	11470000	2013-03-16	54500	A
USGS	11470000	2013-03-17	54500	A
USGS	11470000	2013-03-18	54400	A
USGS	11470000	2013-03-19	54500	A
USGS	11470000	2013-03-20	55100	A
USGS	11470000	2013-03-21	55400	A
USGS	11470000	2013-03-22	55600	A
USGS	11470000	2013-03-23	55800	A
USGS	11470000	2013-03-24	55900	A
USGS	11470000	2013-03-25	55900	A
USGS	11470000	2013-03-26	56000	A
USGS	11470000	2013-03-27	56100	A
USGS	11470000	2013-03-28	56100	A
USGS	11470000	2013-03-29	56200	A
USGS	11470000	2013-03-30	56300	A
USGS	11470000	2013-03-31	56500	A
USGS	11470000	2013-04-01	56700	A
USGS	11470000	2013-04-02	56700	A
USGS	11470000	2013-04-03	56800	A
USGS	11470000	2013-04-04	57600	A
USGS	11470000	2013-04-05	58400	A
USGS	11470000	2013-04-06	58900	A
USGS	11470000	2013-04-07	59200	A
USGS	11470000	2013-04-08	59500	A
USGS	11470000	2013-04-09	59700	A
USGS	11470000	2013-04-10	59800	A
USGS	11470000	2013-04-11	59800	A
USGS	11470000	2013-04-12	59900	A
USGS	11470000	2013-04-13	59900	A
USGS	11470000	2013-04-14	59800	A
USGS	11470000	2013-04-15	59700	A
USGS	11470000	2013-04-16	59500	A
USGS	11470000	2013-04-17	59300	A
USGS	11470000	2013-04-18	59100	A
USGS	11470000	2013-04-19	58900	A
USGS	11470000	2013-04-20	58700	A
USGS	11470000	2013-04-21	58500	A
USGS	11470000	2013-04-22	58300	A
USGS	11470000	2013-04-23	58200	A
USGS	11470000	2013-04-24	58000	A
USGS	11470000	2013-04-25	57800	A
USGS	11470000	2013-04-26	57600	A
USGS	11470000	2013-04-27	57500	A
USGS	11470000	2013-04-28	57300	A
USGS	11470000	2013-04-29	57100	A
USGS	11470000	2013-04-30	56900	A
USGS	11470000	2013-05-01	56700	A
USGS	11470000	2013-05-02	56500	A
USGS	11470000	2013-05-03	56300	A
USGS	11470000	2013-05-04	56100	A
