agency_cd	site_no	datetime	213904_00054_32400	213904_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11414140	2013-01-01	62900	A
USGS	11414140	2013-01-02	62600	A
USGS	11414140	2013-01-03	62300	A
USGS	11414140	2013-01-04	61800	A
USGS	11414140	2013-01-05	61300	A
USGS	11414140	2013-01-06	60800	A
USGS	11414140	2013-01-07	60300	A
USGS	11414140	2013-01-08	59800	A
USGS	11414140	2013-01-09	59400	A
USGS	11414140	2013-01-10	58800	A
USGS	11414140	2013-01-11	58000	A
USGS	11414140	2013-01-12	57200	A
USGS	11414140	2013-01-13	56300	A
USGS	11414140	2013-01-14	55500	A
USGS	11414140	2013-01-15	54700	A
USGS	11414140	2013-01-16	54100	A
USGS	11414140	2013-01-17	53400	A
USGS	11414140	2013-01-18	52800	A
USGS	11414140	2013-01-19	52000	A
USGS	11414140	2013-01-20	51300	A
USGS	11414140	2013-01-21	50600	A
USGS	11414140	2013-01-22	49900	A
USGS	11414140	2013-01-23	49300	A
USGS	11414140	2013-01-24	48800	A
USGS	11414140	2013-01-25	48700	A
USGS	11414140	2013-01-26	48700	A
USGS	11414140	2013-01-27	48200	A
USGS	11414140	2013-01-28	47400	A
USGS	11414140	2013-01-29	46500	A
USGS	11414140	2013-01-30	46000	A
USGS	11414140	2013-01-31	45500	A
USGS	11414140	2013-02-01	45000	A
USGS	11414140	2013-02-02	44500	A
USGS	11414140	2013-02-03	44000	A
USGS	11414140	2013-02-04	43500	A
USGS	11414140	2013-02-05	43000	A
USGS	11414140	2013-02-06	42400	A
USGS	11414140	2013-02-07	41800	A
USGS	11414140	2013-02-08	41200	A
USGS	11414140	2013-02-09	40600	A
USGS	11414140	2013-02-10	39900	A
USGS	11414140	2013-02-11	39200	A
USGS	11414140	2013-02-12	38600	A
USGS	11414140	2013-02-13	37900	A
USGS	11414140	2013-02-14	37200	A
USGS	11414140	2013-02-15	36700	A
USGS	11414140	2013-02-16	36200	A
USGS	11414140	2013-02-17	35700	A
USGS	11414140	2013-02-18	35200	A
USGS	11414140	2013-02-19	34700	A
USGS	11414140	2013-02-20	34200	A
USGS	11414140	2013-02-21	33800	A
USGS	11414140	2013-02-22	33400	A
USGS	11414140	2013-02-23	33000	A
USGS	11414140	2013-02-24	32600	A
USGS	11414140	2013-02-25	32200	A
USGS	11414140	2013-02-26	31800	A
USGS	11414140	2013-02-27	31300	A
USGS	11414140	2013-02-28	30900	A
USGS	11414140	2013-03-01	30500	A
USGS	11414140	2013-03-02	30200	A
USGS	11414140	2013-03-03	30100	A
USGS	11414140	2013-03-04	29900	A
USGS	11414140	2013-03-05	29900	A
USGS	11414140	2013-03-06	30000	A
USGS	11414140	2013-03-07	29900	A
USGS	11414140	2013-03-08	29800	A
USGS	11414140	2013-03-09	29600	A
USGS	11414140	2013-03-10	29500	A
USGS	11414140	2013-03-11	29500	A
USGS	11414140	2013-03-12	29600	A
USGS	11414140	2013-03-13	29900	A
USGS	11414140	2013-03-14	30400	A
USGS	11414140	2013-03-15	30900	A
USGS	11414140	2013-03-16	31300	A
USGS	11414140	2013-03-17	31500	A
USGS	11414140	2013-03-18	31700	A
USGS	11414140	2013-03-19	32000	A
USGS	11414140	2013-03-20	33700	A
USGS	11414140	2013-03-21	34900	A
USGS	11414140	2013-03-22	35400	A
USGS	11414140	2013-03-23	35600	A
USGS	11414140	2013-03-24	35900	A
USGS	11414140	2013-03-25	36200	A
USGS	11414140	2013-03-26	36400	A
USGS	11414140	2013-03-27	36800	A
USGS	11414140	2013-03-28	37300	A
USGS	11414140	2013-03-29	38100	A
USGS	11414140	2013-03-30	38900	A
USGS	11414140	2013-03-31	40000	A
USGS	11414140	2013-04-01	40800	A
USGS	11414140	2013-04-02	41600	A
USGS	11414140	2013-04-03	42500	A
USGS	11414140	2013-04-04	44200	A
USGS	11414140	2013-04-05	45900	A
USGS	11414140	2013-04-06	46900	A
USGS	11414140	2013-04-07	47900	A
USGS	11414140	2013-04-08	48900	A
USGS	11414140	2013-04-09	49400	A
USGS	11414140	2013-04-10	49900	A
USGS	11414140	2013-04-11	50900	A
USGS	11414140	2013-04-12	51900	A
USGS	11414140	2013-04-13	52700	A
USGS	11414140	2013-04-14	53500	A
USGS	11414140	2013-04-15	54000	A
USGS	11414140	2013-04-16	54300	A
USGS	11414140	2013-04-17	54400	A
USGS	11414140	2013-04-18	54600	A
USGS	11414140	2013-04-19	55000	A
USGS	11414140	2013-04-20	55600	A
USGS	11414140	2013-04-21	56300	A
USGS	11414140	2013-04-22	57100	A
USGS	11414140	2013-04-23	57800	A
USGS	11414140	2013-04-24	58200	A
