agency_cd	site_no	datetime	213655_00054_32400	213655_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11231000	2013-01-01	7793	A:e
USGS	11231000	2013-01-02	7800	A:e
USGS	11231000	2013-01-03	7814	A:e
USGS	11231000	2013-01-04	7858	A:e
USGS	11231000	2013-01-05	7922	A:e
USGS	11231000	2013-01-06	7936	A:e
USGS	11231000	2013-01-07	7960	A:e
USGS	11231000	2013-01-08	8008	A:e
USGS	11231000	2013-01-09	8030	A:e
USGS	11231000	2013-01-10	8099	A:e
USGS	11231000	2013-01-11	8132	A:e
USGS	11231000	2013-01-12	8172	A:e
USGS	11231000	2013-01-13	8167	A:e
USGS	11231000	2013-01-14	8156	A:e
USGS	11231000	2013-01-15	8184	A:e
USGS	11231000	2013-01-16	8229	A:e
USGS	11231000	2013-01-17	8237	A:e
USGS	11231000	2013-01-18	8294	A:e
USGS	11231000	2013-01-19	8308	A:e
USGS	11231000	2013-01-20	8346	A:e
USGS	11231000	2013-01-21	8366	A:e
USGS	11231000	2013-01-22	8413	A:e
USGS	11231000	2013-01-23	8401	A:e
USGS	11231000	2013-01-24	8465	A:e
USGS	11231000	2013-01-25	8551	A:e
USGS	11231000	2013-01-26	8651	A:e
USGS	11231000	2013-01-27	8694	A:e
USGS	11231000	2013-01-28	8680	A:e
USGS	11231000	2013-01-29	8720	A:e
USGS	11231000	2013-01-30	8777	A:e
USGS	11231000	2013-01-31	8788	A:e
USGS	11231000	2013-02-01	8869	A
USGS	11231000	2013-02-02	8891	A
USGS	11231000	2013-02-03	8950	A
USGS	11231000	2013-02-04	8987	A
USGS	11231000	2013-02-05	8972	A
USGS	11231000	2013-02-06	9039	A
USGS	11231000	2013-02-07	9061	A
USGS	11231000	2013-02-08	9142	A
USGS	11231000	2013-02-09	9179	A
USGS	11231000	2013-02-10	9186	A
USGS	11231000	2013-02-11	9201	A
USGS	11231000	2013-02-12	9215	A
USGS	11231000	2013-02-13	9282	A
USGS	11231000	2013-02-14	9341	A
USGS	11231000	2013-02-15	9370	A
USGS	11231000	2013-02-16	9415	A
USGS	11231000	2013-02-17	9444	A
USGS	11231000	2013-02-18	9474	A
USGS	11231000	2013-02-19	9533	A
USGS	11231000	2013-02-20	9541	A
USGS	11231000	2013-02-21	9556	A
USGS	11231000	2013-02-22	9563	A
USGS	11231000	2013-02-23	9602	A
USGS	11231000	2013-02-24	9617	A
USGS	11231000	2013-02-25	9655	A
USGS	11231000	2013-02-26	9639	A
USGS	11231000	2013-02-27	9662	A
USGS	11231000	2013-02-28	9678	A
USGS	11231000	2013-03-01	9700	A
USGS	11231000	2013-03-02	9754	A
USGS	11231000	2013-03-03	9854	A
USGS	11231000	2013-03-04	9846	A
USGS	11231000	2013-03-05	9908	A
USGS	11231000	2013-03-06	9985	A
USGS	11231000	2013-03-07	10060	A
USGS	11231000	2013-03-08	10080	A
USGS	11231000	2013-03-09	10120	A
USGS	11231000	2013-03-10	10140	A
USGS	11231000	2013-03-11	10190	A
USGS	11231000	2013-03-12	10240	A
USGS	11231000	2013-03-13	10320	A
USGS	11231000	2013-03-14	10430	A
USGS	11231000	2013-03-15	10550	A
USGS	11231000	2013-03-16	10690	A
USGS	11231000	2013-03-17	10820	A
USGS	11231000	2013-03-18	10930	A
USGS	11231000	2013-03-19	11060	A
USGS	11231000	2013-03-20	11290	A
USGS	11231000	2013-03-21	11360	A
USGS	11231000	2013-03-22	11520	A
USGS	11231000	2013-03-23	11640	A
USGS	11231000	2013-03-24	11750	A
USGS	11231000	2013-03-25	11890	A
USGS	11231000	2013-03-26	12030	A
USGS	11231000	2013-03-27	12170	A
USGS	11231000	2013-03-28	12300	A
USGS	11231000	2013-03-29	12400	A
USGS	11231000	2013-03-30	12550	A
USGS	11231000	2013-03-31	12770	A
USGS	11231000	2013-04-01	12880	A
USGS	11231000	2013-04-02	13010	A
USGS	11231000	2013-04-03	13190	A
USGS	11231000	2013-04-04	13420	A
USGS	11231000	2013-04-05	13520	A
USGS	11231000	2013-04-06	13700	A
USGS	11231000	2013-04-07	13840	A
USGS	11231000	2013-04-08	14200	A
USGS	11231000	2013-04-09	14230	A
USGS	11231000	2013-04-10	14360	A
USGS	11231000	2013-04-11	14550	A
USGS	11231000	2013-04-12	14830	A:e
USGS	11231000	2013-04-13	15080	A
USGS	11231000	2013-04-14	15420	A
USGS	11231000	2013-04-15	15740	A
USGS	11231000	2013-04-16	16100	A
USGS	11231000	2013-04-17	16220	A
USGS	11231000	2013-04-18	16400	A
USGS	11231000	2013-04-19	16580	A:e
USGS	11231000	2013-04-20	16820	A:e
USGS	11231000	2013-04-21	17140	A:e
USGS	11231000	2013-04-22	17560	A:e
USGS	11231000	2013-04-23	17980	A:e
USGS	11231000	2013-04-24	18430	A:e
USGS	11231000	2013-04-25	18890	A:e
USGS	11231000	2013-04-26	19270	A
USGS	11231000	2013-04-27	19820	A:e
USGS	11231000	2013-04-28	20420	A:e
USGS	11231000	2013-04-29	21120	A:e
USGS	11231000	2013-04-30	21850	A:e
USGS	11231000	2013-05-01	22560	A
USGS	11231000	2013-05-02	23180	A:e
USGS	11231000	2013-05-03	23840	A
USGS	11231000	2013-05-04	24500	A
USGS	11231000	2013-05-05	24980	A
USGS	11231000	2013-05-06	25520	A
USGS	11231000	2013-05-07	25950	A
USGS	11231000	2013-05-08	26320	A
USGS	11231000	2013-05-09	26700	A
USGS	11231000	2013-05-10	27070	A:e
USGS	11231000	2013-05-11	27550	A
USGS	11231000	2013-05-12	28120	A
USGS	11231000	2013-05-13	28800	A
USGS	11231000	2013-05-14	29540	A
USGS	11231000	2013-05-15	30180	A
USGS	11231000	2013-05-16	30960	A
USGS	11231000	2013-05-17	31400	A
USGS	11231000	2013-05-18	31850	A
USGS	11231000	2013-05-19	32280	A
USGS	11231000	2013-05-20	32710	A
USGS	11231000	2013-05-21	33200	A
USGS	11231000	2013-05-22	33760	A
USGS	11231000	2013-05-23	34150	A
USGS	11231000	2013-05-24	34480	A
USGS	11231000	2013-05-25	34830	A
USGS	11231000	2013-05-26	35200	A
USGS	11231000	2013-05-27	35570	A
USGS	11231000	2013-05-28	35980	A
USGS	11231000	2013-05-29	36420	A:e
USGS	11231000	2013-05-30	36840	A:e
USGS	11231000	2013-05-31	37210	A:e
USGS	11231000	2013-06-01	37640	A:e
USGS	11231000	2013-06-02	38100	A:e
USGS	11231000	2013-06-03	38600	A
USGS	11231000	2013-06-04	39130	A
USGS	11231000	2013-06-05	39550	A
USGS	11231000	2013-06-06	39950	A
USGS	11231000	2013-06-07	40390	A
USGS	11231000	2013-06-08	40860	A
USGS	11231000	2013-06-09	41320	A
USGS	11231000	2013-06-10	41920	A
USGS	11231000	2013-06-11	42290	A
USGS	11231000	2013-06-12	42570	A
USGS	11231000	2013-06-13	42820	A
USGS	11231000	2013-06-14	43050	A
USGS	11231000	2013-06-15	43260	A
USGS	11231000	2013-06-16	43450	A
USGS	11231000	2013-06-17	43610	A
USGS	11231000	2013-06-18	43910	A
USGS	11231000	2013-06-19	44080	A
USGS	11231000	2013-06-20	44180	A
USGS	11231000	2013-06-21	44280	A
USGS	11231000	2013-06-22	44360	A
USGS	11231000	2013-06-23	44540	A
USGS	11231000	2013-06-24	44560	A
USGS	11231000	2013-06-25	44140	A
USGS	11231000	2013-06-26	43670	A
USGS	11231000	2013-06-27	43320	A
USGS	11231000	2013-06-28	42980	A
USGS	11231000	2013-06-29	42750	A
USGS	11231000	2013-06-30	42410	A
USGS	11231000	2013-07-01	41890	A
USGS	11231000	2013-07-02	41280	A
USGS	11231000	2013-07-03	40570	A
USGS	11231000	2013-07-04	39880	A
USGS	11231000	2013-07-05	39300	A
USGS	11231000	2013-07-06	38500	A
USGS	11231000	2013-07-07	37740	A
USGS	11231000	2013-07-08	37040	A
USGS	11231000	2013-07-09	36270	A
USGS	11231000	2013-07-10	35450	A
USGS	11231000	2013-07-11	34850	A
USGS	11231000	2013-07-12	34200	A
USGS	11231000	2013-07-13	33560	A
USGS	11231000	2013-07-14	32910	A
USGS	11231000	2013-07-15	32320	A
USGS	11231000	2013-07-16	31630	A
USGS	11231000	2013-07-17	31030	A
USGS	11231000	2013-07-18	30360	A
USGS	11231000	2013-07-19	29740	A
USGS	11231000	2013-07-20	29110	A
USGS	11231000	2013-07-21	28480	A
USGS	11231000	2013-07-22	27940	A
USGS	11231000	2013-07-23	27320	A
USGS	11231000	2013-07-24	26700	A
USGS	11231000	2013-07-25	26080	A
USGS	11231000	2013-07-26	25550	A
USGS	11231000	2013-07-27	24980	A
USGS	11231000	2013-07-28	24400	A
