agency_cd	site_no	datetime	216839_00054_32400	216839_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11429350	2013-01-01	38000	A
USGS	11429350	2013-01-02	37100	A
USGS	11429350	2013-01-03	36200	A
USGS	11429350	2013-01-04	35400	A
USGS	11429350	2013-01-05	34500	A
USGS	11429350	2013-01-06	34500	A
USGS	11429350	2013-01-07	33700	A
USGS	11429350	2013-01-08	32800	A
USGS	11429350	2013-01-09	32000	A
USGS	11429350	2013-01-10	31200	A
USGS	11429350	2013-01-11	30300	A
USGS	11429350	2013-01-12	29500	A
USGS	11429350	2013-01-13	29500	A
USGS	11429350	2013-01-14	29100	A
USGS	11429350	2013-01-15	28700	A
USGS	11429350	2013-01-16	28300	A
USGS	11429350	2013-01-17	28300	A
USGS	11429350	2013-01-18	28300	A
USGS	11429350	2013-01-19	28400	A
USGS	11429350	2013-01-20	28400	A
USGS	11429350	2013-01-21	28500	A
USGS	11429350	2013-01-22	28500	A
USGS	11429350	2013-01-23	28300	A
USGS	11429350	2013-01-24	28300	A
USGS	11429350	2013-01-25	28500	A
USGS	11429350	2013-01-26	28700	A
USGS	11429350	2013-01-27	29000	A
USGS	11429350	2013-01-28	29200	A
USGS	11429350	2013-01-29	29300	A
USGS	11429350	2013-01-30	29400	A
USGS	11429350	2013-01-31	29500	A
USGS	11429350	2013-02-01	29500	A
USGS	11429350	2013-02-02	29600	A
USGS	11429350	2013-02-03	29700	A
USGS	11429350	2013-02-04	29800	A
USGS	11429350	2013-02-05	29900	A
USGS	11429350	2013-02-06	29900	A
USGS	11429350	2013-02-07	30000	A
USGS	11429350	2013-02-08	30100	A
USGS	11429350	2013-02-09	30100	A
USGS	11429350	2013-02-10	30200	A
USGS	11429350	2013-02-11	30200	A
USGS	11429350	2013-02-12	30300	A
USGS	11429350	2013-02-13	30300	A
USGS	11429350	2013-02-14	30300	A
USGS	11429350	2013-02-15	30400	A
USGS	11429350	2013-02-16	30400	A
USGS	11429350	2013-02-17	30500	A
USGS	11429350	2013-02-18	30500	A
USGS	11429350	2013-02-19	30600	A
USGS	11429350	2013-02-20	30700	A
USGS	11429350	2013-02-21	30700	A
USGS	11429350	2013-02-22	30700	A
USGS	11429350	2013-02-23	30800	A
USGS	11429350	2013-02-24	30800	A
USGS	11429350	2013-02-25	30800	A
USGS	11429350	2013-02-26	30900	A
USGS	11429350	2013-02-27	30900	A
USGS	11429350	2013-02-28	30900	A
USGS	11429350	2013-03-01	30900	A
USGS	11429350	2013-03-02	31000	A
USGS	11429350	2013-03-03	31300	A
USGS	11429350	2013-03-04	31400	A
USGS	11429350	2013-03-05	31500	A
USGS	11429350	2013-03-06	31800	A
USGS	11429350	2013-03-07	31900	A
USGS	11429350	2013-03-08	32000	A
USGS	11429350	2013-03-09	32100	A
USGS	11429350	2013-03-10	32200	A
USGS	11429350	2013-03-11	32300	A
USGS	11429350	2013-03-12	32400	A
USGS	11429350	2013-03-13	32600	A
USGS	11429350	2013-03-14	32900	A
USGS	11429350	2013-03-15	33300	A
USGS	11429350	2013-03-16	33700	A
USGS	11429350	2013-03-17	34100	A
USGS	11429350	2013-03-18	34300	A
USGS	11429350	2013-03-19	34700	A
USGS	11429350	2013-03-20	35300	A
USGS	11429350	2013-03-21	35700	A
USGS	11429350	2013-03-22	36100	A
USGS	11429350	2013-03-23	36300	A
USGS	11429350	2013-03-24	36500	A
USGS	11429350	2013-03-25	36700	A
USGS	11429350	2013-03-26	37000	A
USGS	11429350	2013-03-27	37300	A
USGS	11429350	2013-03-28	37600	A
USGS	11429350	2013-03-29	38000	A
USGS	11429350	2013-03-30	38500	A
USGS	11429350	2013-03-31	39100	A
USGS	11429350	2013-04-01	39400	A
USGS	11429350	2013-04-02	39500	A
USGS	11429350	2013-04-03	39700	A
USGS	11429350	2013-04-04	40100	A
USGS	11429350	2013-04-05	40900	A
USGS	11429350	2013-04-06	41300	A
USGS	11429350	2013-04-07	41800	A
USGS	11429350	2013-04-08	42200	A
USGS	11429350	2013-04-09	42300	A
USGS	11429350	2013-04-10	42300	A
USGS	11429350	2013-04-11	42600	A
USGS	11429350	2013-04-12	43100	A
USGS	11429350	2013-04-13	43700	A
USGS	11429350	2013-04-14	44400	A
USGS	11429350	2013-04-15	45000	A
USGS	11429350	2013-04-16	45400	A
USGS	11429350	2013-04-17	45600	A
USGS	11429350	2013-04-18	45800	A
USGS	11429350	2013-04-19	45900	A
USGS	11429350	2013-04-20	46100	A
USGS	11429350	2013-04-21	46500	A
USGS	11429350	2013-04-22	47100	A
USGS	11429350	2013-04-23	47800	A
USGS	11429350	2013-04-24	48500	A
USGS	11429350	2013-04-25	49000	A
USGS	11429350	2013-04-26	49600	A
USGS	11429350	2013-04-27	50300	A
USGS	11429350	2013-04-28	51100	A
USGS	11429350	2013-04-29	51900	A
USGS	11429350	2013-04-30	52900	A
USGS	11429350	2013-05-01	53700	A
USGS	11429350	2013-05-02	54300	A
USGS	11429350	2013-05-03	54900	A
USGS	11429350	2013-05-04	55500	A
USGS	11429350	2013-05-05	56200	A
USGS	11429350	2013-05-06	56900	A
USGS	11429350	2013-05-07	57700	A
USGS	11429350	2013-05-08	58200	A
USGS	11429350	2013-05-09	58800	A
