agency_cd	site_no	datetime	114730_62614_32400	114730_62614_32400_cd
USGS	14335040	2013-01-01	1810.64	A
USGS	14335040	2013-01-02	1810.82	A
USGS	14335040	2013-01-03	1811.02	A
USGS	14335040	2013-01-04	1811.28	A
USGS	14335040	2013-01-05	1811.58	A
USGS	14335040	2013-01-06	1811.94	A
USGS	14335040	2013-01-07	1812.37	A
USGS	14335040	2013-01-08	1812.86	A
USGS	14335040	2013-01-09	1813.41	A
USGS	14335040	2013-01-10	1813.96	A
USGS	14335040	2013-01-11	1814.47	A
USGS	14335040	2013-01-12	1814.89	A
USGS	14335040	2013-01-13	1815.23	A
USGS	14335040	2013-01-14	1815.58	A
USGS	14335040	2013-01-15	1815.94	A
USGS	14335040	2013-01-16	1816.34	A
USGS	14335040	2013-01-17	1816.71	A
USGS	14335040	2013-01-18	1817.08	A
USGS	14335040	2013-01-19	1817.46	A
USGS	14335040	2013-01-20	1817.84	A
USGS	14335040	2013-01-21	1818.24	A
USGS	14335040	2013-01-22	1818.63	A
USGS	14335040	2013-01-23	1819.11	A
USGS	14335040	2013-01-24	1819.78	A
USGS	14335040	2013-01-25	1820.79	A
USGS	14335040	2013-01-26	1822.50	A
USGS	14335040	2013-01-27	1823.83	A
USGS	14335040	2013-01-28	1824.96	A
USGS	14335040	2013-01-29	1826.02	A
USGS	14335040	2013-01-30	1826.87	A
USGS	14335040	2013-01-31	1827.68	A
USGS	14335040	2013-02-01	1828.42	A
USGS	14335040	2013-02-02	1829.12	A
USGS	14335040	2013-02-03	1829.78	A
USGS	14335040	2013-02-04	1830.45	A
USGS	14335040	2013-02-05	1831.08	A
USGS	14335040	2013-02-06	1831.68	A
USGS	14335040	2013-02-07	1832.31	A
USGS	14335040	2013-02-08	1832.89	A
USGS	14335040	2013-02-09	1833.41	A
USGS	14335040	2013-02-10	1833.90	A
USGS	14335040	2013-02-11	1834.39	A
USGS	14335040	2013-02-12	1834.85	A
USGS	14335040	2013-02-13	1835.28	A
USGS	14335040	2013-02-14	1835.69	A
USGS	14335040	2013-02-15	1836.11	A
USGS	14335040	2013-02-16	1836.54	A
USGS	14335040	2013-02-17	1836.97	A
USGS	14335040	2013-02-18	1837.39	A
USGS	14335040	2013-02-19	1837.82	A
USGS	14335040	2013-02-20	1838.22	A
USGS	14335040	2013-02-21	1838.58	A
USGS	14335040	2013-02-22	1838.98	A
USGS	14335040	2013-02-23	1839.40	A
USGS	14335040	2013-02-24	1839.76	A
USGS	14335040	2013-02-25	1840.12	A
USGS	14335040	2013-02-26	1840.46	A
USGS	14335040	2013-02-27	1840.77	A
USGS	14335040	2013-02-28	1841.26	A
USGS	14335040	2013-03-01	1841.98	A
