agency_cd	site_no	datetime	213512_00054_32400	213512_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11315600	2013-01-01	23600	A
USGS	11315600	2013-01-02	23400	A
USGS	11315600	2013-01-03	23100	A
USGS	11315600	2013-01-04	22900	A
USGS	11315600	2013-01-05	22700	A
USGS	11315600	2013-01-06	22500	A
USGS	11315600	2013-01-07	22300	A
USGS	11315600	2013-01-08	22100	A
USGS	11315600	2013-01-09	22100	A
USGS	11315600	2013-01-10	21900	A
USGS	11315600	2013-01-11	21600	A
USGS	11315600	2013-01-12	21400	A
USGS	11315600	2013-01-13	21100	A
USGS	11315600	2013-01-14	20900	A
USGS	11315600	2013-01-15	20600	A
USGS	11315600	2013-01-16	20300	A
USGS	11315600	2013-01-17	20100	A
USGS	11315600	2013-01-18	19800	A
USGS	11315600	2013-01-19	19500	A
USGS	11315600	2013-01-20	19200	A
USGS	11315600	2013-01-21	18900	A
USGS	11315600	2013-01-22	18600	A
USGS	11315600	2013-01-23	18100	A
USGS	11315600	2013-01-24	17700	A
USGS	11315600	2013-01-25	17400	A
USGS	11315600	2013-01-26	17000	A
USGS	11315600	2013-01-27	16600	A
USGS	11315600	2013-01-28	16300	A
USGS	11315600	2013-01-29	15800	A
USGS	11315600	2013-01-30	15400	A
USGS	11315600	2013-01-31	15000	A
USGS	11315600	2013-02-01	14600	A
USGS	11315600	2013-02-02	14200	A
USGS	11315600	2013-02-03	13800	A
USGS	11315600	2013-02-04	13400	A
USGS	11315600	2013-02-05	13000	A
USGS	11315600	2013-02-06	12600	A
USGS	11315600	2013-02-07	12400	A
USGS	11315600	2013-02-08	12200	A
USGS	11315600	2013-02-09	12000	A
USGS	11315600	2013-02-10	11700	A
USGS	11315600	2013-02-11	11500	A
USGS	11315600	2013-02-12	11300	A
USGS	11315600	2013-02-13	11100	A
USGS	11315600	2013-02-14	10900	A
USGS	11315600	2013-02-15	10700	A
USGS	11315600	2013-02-16	10500	A
USGS	11315600	2013-02-17	10300	A
USGS	11315600	2013-02-18	10100	A
USGS	11315600	2013-02-19	10100	A
USGS	11315600	2013-02-20	10100	A
USGS	11315600	2013-02-21	10100	A
USGS	11315600	2013-02-22	10000	A
USGS	11315600	2013-02-23	10000	A
USGS	11315600	2013-02-24	10000	A
USGS	11315600	2013-02-25	9980	A
USGS	11315600	2013-02-26	9960	A
USGS	11315600	2013-02-27	9940	A
USGS	11315600	2013-02-28	9920	A
USGS	11315600	2013-03-01	9910	A
USGS	11315600	2013-03-02	9910	A
USGS	11315600	2013-03-03	9960	A
USGS	11315600	2013-03-04	9940	A
USGS	11315600	2013-03-05	9930	A
USGS	11315600	2013-03-06	9930	A
USGS	11315600	2013-03-07	9900	A
USGS	11315600	2013-03-08	9880	A
USGS	11315600	2013-03-09	9850	A
USGS	11315600	2013-03-10	9820	A
USGS	11315600	2013-03-11	9800	A
USGS	11315600	2013-03-12	9800	A
USGS	11315600	2013-03-13	9800	A
USGS	11315600	2013-03-14	9960	A
USGS	11315600	2013-03-15	10500	A
USGS	11315600	2013-03-16	11000	A
USGS	11315600	2013-03-17	11400	A
USGS	11315600	2013-03-18	11800	A
USGS	11315600	2013-03-19	12200	A
USGS	11315600	2013-03-20	13000	A
USGS	11315600	2013-03-21	13500	A
USGS	11315600	2013-03-22	13900	A
USGS	11315600	2013-03-23	14300	A
USGS	11315600	2013-03-24	14700	A
USGS	11315600	2013-03-25	15100	A
USGS	11315600	2013-03-26	15400	A
USGS	11315600	2013-03-27	15800	A
USGS	11315600	2013-03-28	16300	A
USGS	11315600	2013-03-29	16700	A
USGS	11315600	2013-03-30	17200	A
USGS	11315600	2013-03-31	17900	A
USGS	11315600	2013-04-01	18600	A
USGS	11315600	2013-04-02	19100	A
USGS	11315600	2013-04-03	19700	A
USGS	11315600	2013-04-04	20700	A
USGS	11315600	2013-04-05	21700	A
USGS	11315600	2013-04-06	22400	A
USGS	11315600	2013-04-07	22900	A
USGS	11315600	2013-04-08	23200	A
USGS	11315600	2013-04-09	23100	A
USGS	11315600	2013-04-10	23000	A
USGS	11315600	2013-04-11	23300	A
USGS	11315600	2013-04-12	23600	A
USGS	11315600	2013-04-13	24300	A
USGS	11315600	2013-04-14	25200	A
USGS	11315600	2013-04-15	25900	A
USGS	11315600	2013-04-16	26300	A
USGS	11315600	2013-04-17	26600	A
USGS	11315600	2013-04-18	26800	A
USGS	11315600	2013-04-19	27200	A
USGS	11315600	2013-04-20	27700	A
USGS	11315600	2013-04-21	28400	A
USGS	11315600	2013-04-22	29300	A
USGS	11315600	2013-04-23	30100	A
USGS	11315600	2013-04-24	30800	A
USGS	11315600	2013-04-25	31400	A
USGS	11315600	2013-04-26	32000	A
USGS	11315600	2013-04-27	32700	A
USGS	11315600	2013-04-28	33400	A
USGS	11315600	2013-04-29	34300	A
USGS	11315600	2013-04-30	35000	A
USGS	11315600	2013-05-01	35600	A
USGS	11315600	2013-05-02	36100	A
USGS	11315600	2013-05-03	36700	A
USGS	11315600	2013-05-04	37300	A
