agency_cd	site_no	datetime	8824_62615_00001	8824_62615_00001_cd	8825_62615_00002	8825_62615_00002_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11162750	2013-01-01	285.30	A	285.19	A
USGS	11162750	2013-01-02	285.19	A	285.10	A
USGS	11162750	2013-01-03	285.10	A	285.02	A
USGS	11162750	2013-01-04	285.02	A	284.90	A
USGS	11162750	2013-01-05	284.90	A	284.76	A
USGS	11162750	2013-01-06	284.77	A	284.63	A
USGS	11162750	2013-01-07	284.63	A	284.49	A
USGS	11162750	2013-01-08	284.49	A	284.33	A
USGS	11162750	2013-01-09	284.34	A	284.19	A
USGS	11162750	2013-01-10	284.19	A	284.03	A
USGS	11162750	2013-01-11	284.03	A	283.87	A
USGS	11162750	2013-01-12	283.87	A	283.70	A
USGS	11162750	2013-01-13	283.71	A	283.54	A
USGS	11162750	2013-01-14	283.54	A	283.38	A
USGS	11162750	2013-01-15	283.38	A	283.21	A
USGS	11162750	2013-01-16	283.21	A	283.05	A
USGS	11162750	2013-01-17	283.05	A	282.88	A
USGS	11162750	2013-01-18	282.88	A	282.72	A
USGS	11162750	2013-01-19	282.72	A	282.55	A
USGS	11162750	2013-01-20	282.55	A	282.38	A
USGS	11162750	2013-01-21	282.38	A	282.22	A
USGS	11162750	2013-01-22	282.22	A	282.13	A
USGS	11162750	2013-01-23	282.14	A	282.07	A
USGS	11162750	2013-01-24	282.09	A	281.92	A
USGS	11162750	2013-01-25	281.92	A	281.76	A
USGS	11162750	2013-01-26	281.76	A	281.60	A
USGS	11162750	2013-01-27	281.60	A	281.44	A
USGS	11162750	2013-01-28	281.44	A	281.27	A
USGS	11162750	2013-01-29	281.27	A	281.07	A
USGS	11162750	2013-01-30	281.08	A	280.88	A
USGS	11162750	2013-01-31	280.88	A	280.70	A
USGS	11162750	2013-02-01	280.70	A	280.57	A
USGS	11162750	2013-02-02	280.58	A	280.42	A
USGS	11162750	2013-02-03	280.42	A	280.26	A
USGS	11162750	2013-02-04	280.26	A	280.10	A
USGS	11162750	2013-02-05	280.10	A	279.93	A
USGS	11162750	2013-02-06	279.94	A	279.77	A
USGS	11162750	2013-02-07	279.78	A	279.62	A
USGS	11162750	2013-02-08	279.62	A	279.48	A
USGS	11162750	2013-02-09	279.48	A	279.31	A
USGS	11162750	2013-02-10	279.32	A	279.15	A
USGS	11162750	2013-02-11	279.15	A	278.98	A
USGS	11162750	2013-02-12	278.98	A	278.80	A
USGS	11162750	2013-02-13	278.80	A	278.66	A
USGS	11162750	2013-02-14	278.66	A	278.59	A
USGS	11162750	2013-02-15	278.60	A	278.59	A
USGS	11162750	2013-02-16	278.61	A	278.59	A
USGS	11162750	2013-02-17	278.61	A	278.59	A
USGS	11162750	2013-02-18	278.64	A	278.60	A
USGS	11162750	2013-02-19	278.69	A	278.63	A
USGS	11162750	2013-02-20	278.70	A	278.67	A
USGS	11162750	2013-02-21	278.73	A	278.69	A
USGS	11162750	2013-02-22	278.73	A	278.71	A
USGS	11162750	2013-02-23	278.75	A	278.71	A
USGS	11162750	2013-02-24	278.75	A	278.72	A
