agency_cd	site_no	datetime	174027_00010_00001	174027_00010_00001_cd	174028_00010_00002	174028_00010_00002_cd	174029_00010_00003	174029_00010_00003_cd	174030_00048_00001	174030_00048_00001_cd	174031_00048_00002	174031_00048_00002_cd	174032_00048_00003	174032_00048_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	13343590	2013-03-14	5.8	A	5.3	A	5.6	A	104	A	103	A	104	A
USGS	13343590	2013-03-15	5.6	A	5.3	A	5.5	A	104	A	103	A	103	A
USGS	13343590	2013-03-16	5.7	A	5.5	A	5.6	A	105	A	103	A	104	A
USGS	13343590	2013-03-17	6.0	A	5.6	A	5.8	A	105	A	103	A	104	A
USGS	13343590	2013-03-18	6.4	A	6.0	A	6.1	A	103	A	103	A	103	A
USGS	13343590	2013-03-19	6.7	A	6.3	A	6.5	A	104	A	102	A	103	A
USGS	13343590	2013-03-20	6.8	A	6.6	A	6.8	A	104	A	103	A	104	A
USGS	13343590	2013-03-21	6.8	A	6.7	A	6.8	A	103	A	101	A	101	A
USGS	13343590	2013-03-22	6.7	A	6.4	A	6.6	A	101	A	100	A	100	A
USGS	13343590	2013-03-23	6.4	A	6.2	A	6.3	A	101	A	100	A	100	A
USGS	13343590	2013-03-24	6.4	A	6.1	A	6.2	A	102	A	100	A	101	A
USGS	13343590	2013-03-25	6.3	A	6.2	A	6.2	A	102	A	102	A	102	A
USGS	13343590	2013-03-26	6.5	A	6.2	A	6.3	A	102	A	102	A	102	A
USGS	13343590	2013-03-27	6.3	A	6.0	A	6.2	A	102	A	101	A	102	A
USGS	13343590	2013-03-28	6.1	A	5.8	A	5.9	A	102	A	102	A	102	A
USGS	13343590	2013-03-29	6.0	A	5.8	A	5.9	A	103	A	102	A	102	A
USGS	13343590	2013-03-30	7.2	A	6.0	A	6.6	A	106	A	103	A	104	A
USGS	13343590	2013-03-31	7.6	A	6.7	A	7.2	A	107	A	105	A	106	A
USGS	13343590	2013-04-01	7.9	A	7.1	A	7.5	A	106	A	104	A	105	A
USGS	13343590	2013-04-02	8.6	A	7.7	A	8.1	A	105	A	104	A	104	A
USGS	13343590	2013-04-03	9.0	A	8.6	A	8.8	A	105	A	104	A	104	A
USGS	13343590	2013-04-04	9.2	A	9.0	A	9.1	A	105	A	104	A	105	A
