agency_cd	site_no	datetime	102487_00062_00011	102487_00062_00011_cd	226904_00054_00011	226904_00054_00011_cd
5s	15s	20d	14n	10s	14n	10s
USGS	10290400	2013-01-02	7196.76	A	2700	A
USGS	10290400	2013-01-03				
USGS	10290400	2013-01-04				
USGS	10290400	2013-01-05				
USGS	10290400	2013-01-06				
USGS	10290400	2013-01-07				
USGS	10290400	2013-01-08				
USGS	10290400	2013-01-09				
USGS	10290400	2013-01-10				
USGS	10290400	2013-01-11				
USGS	10290400	2013-01-12				
USGS	10290400	2013-01-13				
USGS	10290400	2013-01-14				
USGS	10290400	2013-01-15				
USGS	10290400	2013-01-16				
USGS	10290400	2013-01-17				
USGS	10290400	2013-01-18				
USGS	10290400	2013-01-19				
USGS	10290400	2013-01-20				
USGS	10290400	2013-01-21				
USGS	10290400	2013-01-22				
USGS	10290400	2013-01-23				
USGS	10290400	2013-01-24				
USGS	10290400	2013-01-25				
USGS	10290400	2013-01-26				
USGS	10290400	2013-01-27				
USGS	10290400	2013-01-28				
USGS	10290400	2013-01-29				
USGS	10290400	2013-01-30				
USGS	10290400	2013-01-31	7198.20	A	3280	A
USGS	10290400	2013-02-01				
USGS	10290400	2013-02-02				
USGS	10290400	2013-02-03				
USGS	10290400	2013-02-04				
USGS	10290400	2013-02-05				
USGS	10290400	2013-02-06				
USGS	10290400	2013-02-07				
USGS	10290400	2013-02-08				
USGS	10290400	2013-02-09				
USGS	10290400	2013-02-10				
USGS	10290400	2013-02-11				
USGS	10290400	2013-02-12				
USGS	10290400	2013-02-13				
USGS	10290400	2013-02-14				
USGS	10290400	2013-02-15				
USGS	10290400	2013-02-16				
USGS	10290400	2013-02-17				
USGS	10290400	2013-02-18				
USGS	10290400	2013-02-19				
USGS	10290400	2013-02-20				
USGS	10290400	2013-02-21				
USGS	10290400	2013-02-22				
USGS	10290400	2013-02-23				
USGS	10290400	2013-02-24				
USGS	10290400	2013-02-25				
USGS	10290400	2013-02-26				
USGS	10290400	2013-02-27				
USGS	10290400	2013-02-28	7199.21	A	3690	A
USGS	10290400	2013-03-01				
USGS	10290400	2013-03-02				
USGS	10290400	2013-03-03				
USGS	10290400	2013-03-04				
USGS	10290400	2013-03-05				
USGS	10290400	2013-03-06				
USGS	10290400	2013-03-07				
USGS	10290400	2013-03-08				
USGS	10290400	2013-03-09				
USGS	10290400	2013-03-10				
USGS	10290400	2013-03-11				
USGS	10290400	2013-03-12				
USGS	10290400	2013-03-13				
USGS	10290400	2013-03-14				
USGS	10290400	2013-03-15				
USGS	10290400	2013-03-16				
USGS	10290400	2013-03-17				
USGS	10290400	2013-03-18				
USGS	10290400	2013-03-19				
USGS	10290400	2013-03-20				
USGS	10290400	2013-03-21				
USGS	10290400	2013-03-22				
USGS	10290400	2013-03-23				
USGS	10290400	2013-03-24				
USGS	10290400	2013-03-25				
USGS	10290400	2013-03-26				
USGS	10290400	2013-03-27				
USGS	10290400	2013-03-28				
USGS	10290400	2013-03-29				
USGS	10290400	2013-03-30				
USGS	10290400	2013-03-31				
USGS	10290400	2013-04-01				
USGS	10290400	2013-04-02				
USGS	10290400	2013-04-03	7200.58	A	4250	A
USGS	10290400	2013-04-04				
USGS	10290400	2013-04-05				
USGS	10290400	2013-04-06				
USGS	10290400	2013-04-07				
USGS	10290400	2013-04-08				
USGS	10290400	2013-04-09				
USGS	10290400	2013-04-10				
USGS	10290400	2013-04-11				
USGS	10290400	2013-04-12				
USGS	10290400	2013-04-13				
USGS	10290400	2013-04-14				
USGS	10290400	2013-04-15				
USGS	10290400	2013-04-16				
USGS	10290400	2013-04-17				
USGS	10290400	2013-04-18				
USGS	10290400	2013-04-19				
USGS	10290400	2013-04-20				
USGS	10290400	2013-04-21				
USGS	10290400	2013-04-22				
USGS	10290400	2013-04-23				
USGS	10290400	2013-04-24				
USGS	10290400	2013-04-25				
USGS	10290400	2013-04-26				
USGS	10290400	2013-04-27				
USGS	10290400	2013-04-28	7200.97	A	4420	A
USGS	10290400	2013-04-29				
USGS	10290400	2013-04-30				
USGS	10290400	2013-05-01				
USGS	10290400	2013-05-02				
USGS	10290400	2013-05-03				
USGS	10290400	2013-05-04				
USGS	10290400	2013-05-05				
USGS	10290400	2013-05-06				
USGS	10290400	2013-05-07				
USGS	10290400	2013-05-08				
USGS	10290400	2013-05-09				
USGS	10290400	2013-05-10				
USGS	10290400	2013-05-11				
USGS	10290400	2013-05-12				
USGS	10290400	2013-05-13				
USGS	10290400	2013-05-14				
USGS	10290400	2013-05-15				
USGS	10290400	2013-05-16				
USGS	10290400	2013-05-17				
USGS	10290400	2013-05-18				
USGS	10290400	2013-05-19				
USGS	10290400	2013-05-20				
USGS	10290400	2013-05-21				
USGS	10290400	2013-05-22				
USGS	10290400	2013-05-23				
USGS	10290400	2013-05-24				
USGS	10290400	2013-05-25				
USGS	10290400	2013-05-26	7201.27	A	4550	A
USGS	10290400	2013-05-27				
USGS	10290400	2013-05-28				
USGS	10290400	2013-05-29				
USGS	10290400	2013-05-30				
USGS	10290400	2013-05-31				
USGS	10290400	2013-06-01				
USGS	10290400	2013-06-02				
USGS	10290400	2013-06-03				
USGS	10290400	2013-06-04				
USGS	10290400	2013-06-05				
USGS	10290400	2013-06-06				
USGS	10290400	2013-06-07				
USGS	10290400	2013-06-08				
USGS	10290400	2013-06-09				
USGS	10290400	2013-06-10				
USGS	10290400	2013-06-11				
USGS	10290400	2013-06-12				
USGS	10290400	2013-06-13				
USGS	10290400	2013-06-14				
USGS	10290400	2013-06-15				
USGS	10290400	2013-06-16				
USGS	10290400	2013-06-17				
USGS	10290400	2013-06-18				
USGS	10290400	2013-06-19				
USGS	10290400	2013-06-20				
USGS	10290400	2013-06-21				
USGS	10290400	2013-06-22				
USGS	10290400	2013-06-23				
USGS	10290400	2013-06-24				
USGS	10290400	2013-06-25				
USGS	10290400	2013-06-26				
USGS	10290400	2013-06-27				
USGS	10290400	2013-06-28				
USGS	10290400	2013-06-29				
USGS	10290400	2013-06-30				
USGS	10290400	2013-07-01	7201.65	A	4710	A
USGS	10290400	2013-07-02				
USGS	10290400	2013-07-03				
USGS	10290400	2013-07-04				
USGS	10290400	2013-07-05				
USGS	10290400	2013-07-06				
USGS	10290400	2013-07-07				
USGS	10290400	2013-07-08				
USGS	10290400	2013-07-09				
USGS	10290400	2013-07-10				
USGS	10290400	2013-07-11				
USGS	10290400	2013-07-12				
USGS	10290400	2013-07-13				
USGS	10290400	2013-07-14				
USGS	10290400	2013-07-15				
USGS	10290400	2013-07-16				
USGS	10290400	2013-07-17				
USGS	10290400	2013-07-18				
USGS	10290400	2013-07-19				
USGS	10290400	2013-07-20				
USGS	10290400	2013-07-21				
USGS	10290400	2013-07-22				
USGS	10290400	2013-07-23				
USGS	10290400	2013-07-24				
USGS	10290400	2013-07-25				
USGS	10290400	2013-07-26				
USGS	10290400	2013-07-27				
USGS	10290400	2013-07-28				
USGS	10290400	2013-07-29				
USGS	10290400	2013-07-30				
USGS	10290400	2013-07-31	7197.75	A	3100	A
USGS	10290400	2013-08-01				
USGS	10290400	2013-08-02				
USGS	10290400	2013-08-03				
