agency_cd	site_no	datetime	213662_00054_32400	213662_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11403520	2013-01-01	4530	A
USGS	11403520	2013-01-02	4660	A
USGS	11403520	2013-01-03	4660	A
USGS	11403520	2013-01-04	4600	A
USGS	11403520	2013-01-05	4540	A
USGS	11403520	2013-01-06	4470	A
USGS	11403520	2013-01-07	4540	A
USGS	11403520	2013-01-08	4660	A
USGS	11403520	2013-01-09	4600	A
USGS	11403520	2013-01-10	4530	A
USGS	11403520	2013-01-11	4460	A
USGS	11403520	2013-01-12	4560	A
USGS	11403520	2013-01-13	4650	A
USGS	11403520	2013-01-14	4570	A
USGS	11403520	2013-01-15	4490	A
USGS	11403520	2013-01-16	4500	A
USGS	11403520	2013-01-17	4660	A
USGS	11403520	2013-01-18	4600	A
USGS	11403520	2013-01-19	4520	A
USGS	11403520	2013-01-20	4440	A
USGS	11403520	2013-01-21	4610	A
USGS	11403520	2013-01-22	4630	A
USGS	11403520	2013-01-23	4560	A
USGS	11403520	2013-01-24	4470	A
USGS	11403520	2013-01-25	4640	A
USGS	11403520	2013-01-26	4630	A
USGS	11403520	2013-01-27	4560	A
USGS	11403520	2013-01-28	4490	A
USGS	11403520	2013-01-29	4500	A
USGS	11403520	2013-01-30	4660	A
USGS	11403520	2013-01-31	4640	A
USGS	11403520	2013-02-01	4510	A
USGS	11403520	2013-02-02	4500	A
USGS	11403520	2013-02-03	4560	A
USGS	11403520	2013-02-04	4580	A
USGS	11403520	2013-02-05	4510	A
USGS	11403520	2013-02-06	4370	A
USGS	11403520	2013-02-07	4640	A
USGS	11403520	2013-02-08	4380	A
USGS	11403520	2013-02-09	4370	A
USGS	11403520	2013-02-10	4370	A
USGS	11403520	2013-02-11	4340	A
USGS	11403520	2013-02-12	4310	A
USGS	11403520	2013-02-13	4300	A
USGS	11403520	2013-02-14	4310	A
USGS	11403520	2013-02-15	4290	A
USGS	11403520	2013-02-16	4530	A
USGS	11403520	2013-02-17	4490	A
USGS	11403520	2013-02-18	4440	A
USGS	11403520	2013-02-19	4460	A
USGS	11403520	2013-02-20	4520	A
USGS	11403520	2013-02-21	4300	A
USGS	11403520	2013-02-22	4230	A
USGS	11403520	2013-02-23	4470	A
USGS	11403520	2013-02-24	4490	A
USGS	11403520	2013-02-25	4370	A
USGS	11403520	2013-02-26	4550	A
USGS	11403520	2013-02-27	4440	A
USGS	11403520	2013-02-28	4470	A
USGS	11403520	2013-03-01	4560	A
USGS	11403520	2013-03-02	4460	A
USGS	11403520	2013-03-03	4630	A
USGS	11403520	2013-03-04	4440	A
USGS	11403520	2013-03-05	4510	A
USGS	11403520	2013-03-06	4570	A
USGS	11403520	2013-03-07	4610	A
USGS	11403520	2013-03-08	4550	A
USGS	11403520	2013-03-09	4420	A
USGS	11403520	2013-03-10	4290	A
USGS	11403520	2013-03-11	4160	A
USGS	11403520	2013-03-12	4080	A
USGS	11403520	2013-03-13	4060	A
USGS	11403520	2013-03-14	4050	A
USGS	11403520	2013-03-15	4040	A
USGS	11403520	2013-03-16	4020	A
USGS	11403520	2013-03-17	4080	A
USGS	11403520	2013-03-18	4070	A
USGS	11403520	2013-03-19	4060	A
USGS	11403520	2013-03-20	4100	A
USGS	11403520	2013-03-21	4100	A
USGS	11403520	2013-03-22	4100	A
USGS	11403520	2013-03-23	4090	A
USGS	11403520	2013-03-24	4080	A
USGS	11403520	2013-03-25	4340	A
USGS	11403520	2013-03-26	4800	A
USGS	11403520	2013-03-27	5270	A
USGS	11403520	2013-03-28	5730	A
USGS	11403520	2013-03-29	5890	A
USGS	11403520	2013-03-30	5860	A
USGS	11403520	2013-03-31	5850	A
USGS	11403520	2013-04-01	5840	A
USGS	11403520	2013-04-02	5850	A
USGS	11403520	2013-04-03	5770	A
USGS	11403520	2013-04-04	5680	A
USGS	11403520	2013-04-05	5570	A
USGS	11403520	2013-04-06	5460	A
USGS	11403520	2013-04-07	5360	A
USGS	11403520	2013-04-08	5250	A
USGS	11403520	2013-04-09	5210	A
USGS	11403520	2013-04-10	5210	A
USGS	11403520	2013-04-11	5210	A
USGS	11403520	2013-04-12	5210	A
USGS	11403520	2013-04-13	5210	A
USGS	11403520	2013-04-14	5210	A
USGS	11403520	2013-04-15	5200	A
USGS	11403520	2013-04-16	5190	A
USGS	11403520	2013-04-17	5180	A
USGS	11403520	2013-04-18	5170	A
USGS	11403520	2013-04-19	5160	A
USGS	11403520	2013-04-20	5150	A
USGS	11403520	2013-04-21	5130	A
USGS	11403520	2013-04-22	5120	A
USGS	11403520	2013-04-23	5110	A
USGS	11403520	2013-04-24	5090	A
USGS	11403520	2013-04-25	5070	A
USGS	11403520	2013-04-26	5050	A
USGS	11403520	2013-04-27	5030	A
USGS	11403520	2013-04-28	5010	A
USGS	11403520	2013-04-29	4990	A
USGS	11403520	2013-04-30	4970	A
USGS	11403520	2013-05-01	4960	A
USGS	11403520	2013-05-02	4940	A
USGS	11403520	2013-05-03	4930	A
USGS	11403520	2013-05-04	4910	A
USGS	11403520	2013-05-05	4900	A
USGS	11403520	2013-05-06	4880	A
USGS	11403520	2013-05-07	4870	A
USGS	11403520	2013-05-08	4850	A
USGS	11403520	2013-05-09	4830	A
USGS	11403520	2013-05-10	4820	A
USGS	11403520	2013-05-11	4800	A
USGS	11403520	2013-05-12	4780	A
USGS	11403520	2013-05-13	4760	A
USGS	11403520	2013-05-14	4740	A
USGS	11403520	2013-05-15	4720	A
USGS	11403520	2013-05-16	4700	A
USGS	11403520	2013-05-17	4690	A
USGS	11403520	2013-05-18	4660	A
USGS	11403520	2013-05-19	4640	A
USGS	11403520	2013-05-20	4620	A
USGS	11403520	2013-05-21	4590	A
USGS	11403520	2013-05-22	4570	A
USGS	11403520	2013-05-23	4540	A
USGS	11403520	2013-05-24	4510	A
USGS	11403520	2013-05-25	4480	A
USGS	11403520	2013-05-26	4460	A
USGS	11403520	2013-05-27	4430	A
USGS	11403520	2013-05-28	4420	A
USGS	11403520	2013-05-29	4420	A
USGS	11403520	2013-05-30	4420	A
USGS	11403520	2013-05-31	4410	A
USGS	11403520	2013-06-01	4410	A
USGS	11403520	2013-06-02	4400	A
USGS	11403520	2013-06-03	4400	A
USGS	11403520	2013-06-04	4390	A
USGS	11403520	2013-06-05	4380	A
USGS	11403520	2013-06-06	4370	A
USGS	11403520	2013-06-07	4370	A
USGS	11403520	2013-06-08	4360	A
