agency_cd	site_no	datetime	213673_00054_32400	213673_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11413945	2013-05-14	490.0	A
USGS	11413945	2013-05-15	489.0	A
USGS	11413945	2013-05-16	490.0	A
USGS	11413945	2013-05-17	490.0	A
USGS	11413945	2013-05-18	490.0	A
USGS	11413945	2013-05-19	489.0	A
USGS	11413945	2013-05-20	489.0	A
USGS	11413945	2013-05-21	489.0	A
USGS	11413945	2013-05-22	489.0	A
USGS	11413945	2013-05-23	488.0	A
USGS	11413945	2013-05-24	488.0	A
USGS	11413945	2013-05-25	488.0	A
USGS	11413945	2013-05-26	488.0	A
USGS	11413945	2013-05-27	489.0	A
USGS	11413945	2013-05-28	490.0	A
USGS	11413945	2013-05-29	490.0	A
USGS	11413945	2013-05-30	490.0	A
USGS	11413945	2013-05-31	489.0	A
USGS	11413945	2013-06-01	489.0	A
USGS	11413945	2013-06-02	489.0	A
USGS	11413945	2013-06-03	488.0	A
USGS	11413945	2013-06-04	488.0	A
USGS	11413945	2013-06-05	488.0	A
USGS	11413945	2013-06-06	487.0	A
USGS	11413945	2013-06-07	487.0	A
USGS	11413945	2013-06-08	487.0	A
USGS	11413945	2013-06-09	486.0	A
USGS	11413945	2013-06-10	486.0	A
USGS	11413945	2013-06-11	485.0	A
USGS	11413945	2013-06-12	485.0	A
USGS	11413945	2013-06-13	485.0	A
USGS	11413945	2013-06-14	485.0	A
USGS	11413945	2013-06-15	484.0	A
USGS	11413945	2013-06-16	484.0	A
USGS	11413945	2013-06-17	484.0	A
USGS	11413945	2013-06-18	482.0	A
USGS	11413945	2013-06-19	479.0	A
USGS	11413945	2013-06-20	476.0	A
USGS	11413945	2013-06-21	473.0	A
USGS	11413945	2013-06-22	471.0	A
USGS	11413945	2013-06-23	468.0	A
USGS	11413945	2013-06-24	470.0	A
USGS	11413945	2013-06-25	471.0	A
USGS	11413945	2013-06-26	469.0	A
USGS	11413945	2013-06-27	467.0	A
USGS	11413945	2013-06-28	464.0	A
USGS	11413945	2013-06-29	462.0	A
USGS	11413945	2013-06-30	460.0	A
USGS	11413945	2013-07-01	457.0	A
USGS	11413945	2013-07-02	451.0	A
USGS	11413945	2013-07-03	444.0	A
USGS	11413945	2013-07-04	436.0	A
USGS	11413945	2013-07-05	427.0	A
USGS	11413945	2013-07-06	423.0	A
USGS	11413945	2013-07-07	422.0	A
USGS	11413945	2013-07-08	427.0	A
USGS	11413945	2013-07-09	438.0	A
USGS	11413945	2013-07-10	443.0	A
USGS	11413945	2013-07-11	449.0	A
USGS	11413945	2013-07-12	455.0	A
USGS	11413945	2013-07-13	457.0	A
USGS	11413945	2013-07-14	452.0	A
USGS	11413945	2013-07-15	437.0	A
USGS	11413945	2013-07-16	423.0	A
USGS	11413945	2013-07-17	409.0	A
USGS	11413945	2013-07-18	396.0	A
USGS	11413945	2013-07-19	381.0	A
USGS	11413945	2013-07-20	365.0	A
USGS	11413945	2013-07-21	350.0	A
USGS	11413945	2013-07-22	334.0	A
USGS	11413945	2013-07-23	319.0	A
USGS	11413945	2013-07-24	305.0	A
USGS	11413945	2013-07-25	293.0	A
