agency_cd	site_no	datetime	213519_00054_32400	213519_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11297700	2013-01-01	3940	A
USGS	11297700	2013-01-02	3940	A
USGS	11297700	2013-01-03	3930	A
USGS	11297700	2013-01-04	3920	A
USGS	11297700	2013-01-05	3910	A
USGS	11297700	2013-01-06	3900	A
USGS	11297700	2013-01-07	3890	A
USGS	11297700	2013-01-08	3870	A
USGS	11297700	2013-01-09	3870	A
USGS	11297700	2013-01-10	3880	A
USGS	11297700	2013-01-11	3880	A
USGS	11297700	2013-01-12	3870	A
USGS	11297700	2013-01-13	3860	A
USGS	11297700	2013-01-14	3840	A
USGS	11297700	2013-01-15	3830	A
USGS	11297700	2013-01-16	3810	A
USGS	11297700	2013-01-17	3800	A
USGS	11297700	2013-01-18	3780	A
USGS	11297700	2013-01-19	3760	A
USGS	11297700	2013-01-20	3740	A
USGS	11297700	2013-01-21	3720	A
USGS	11297700	2013-01-22	3710	A
USGS	11297700	2013-01-23	3700	A
USGS	11297700	2013-01-24	3700	A
USGS	11297700	2013-01-25	3710	A
USGS	11297700	2013-01-26	3760	A
USGS	11297700	2013-01-27	3790	A
USGS	11297700	2013-01-28	3800	A
USGS	11297700	2013-01-29	3800	A
USGS	11297700	2013-01-30	3800	A
USGS	11297700	2013-01-31	3800	A
USGS	11297700	2013-02-01	3790	A
USGS	11297700	2013-02-02	3780	A
USGS	11297700	2013-02-03	3760	A
USGS	11297700	2013-02-04	3750	A
USGS	11297700	2013-02-05	3730	A
USGS	11297700	2013-02-06	3720	A
USGS	11297700	2013-02-07	3710	A
USGS	11297700	2013-02-08	3690	A
USGS	11297700	2013-02-09	3670	A
USGS	11297700	2013-02-10	3650	A
USGS	11297700	2013-02-11	3630	A
USGS	11297700	2013-02-12	3610	A
USGS	11297700	2013-02-13	3600	A
USGS	11297700	2013-02-14	3570	A
USGS	11297700	2013-02-15	3550	A
USGS	11297700	2013-02-16	3520	A
USGS	11297700	2013-02-17	3510	A
USGS	11297700	2013-02-18	3480	A
USGS	11297700	2013-02-19	3470	A
USGS	11297700	2013-02-20	3450	A
USGS	11297700	2013-02-21	3430	A
USGS	11297700	2013-02-22	3410	A
USGS	11297700	2013-02-23	3390	A
USGS	11297700	2013-02-24	3360	A
USGS	11297700	2013-02-25	3340	A
USGS	11297700	2013-02-26	3320	A
USGS	11297700	2013-02-27	3310	A
USGS	11297700	2013-02-28	3300	A
USGS	11297700	2013-03-01	3290	A
USGS	11297700	2013-03-02	3280	A
USGS	11297700	2013-03-03	3270	A
USGS	11297700	2013-03-04	3270	A
USGS	11297700	2013-03-05	3260	A
USGS	11297700	2013-03-06	3270	A
USGS	11297700	2013-03-07	3270	A
USGS	11297700	2013-03-08	3270	A
USGS	11297700	2013-03-09	3270	A
USGS	11297700	2013-03-10	3260	A
USGS	11297700	2013-03-11	3260	A
USGS	11297700	2013-03-12	3250	A
USGS	11297700	2013-03-13	3250	A
USGS	11297700	2013-03-14	3270	A
USGS	11297700	2013-03-15	3280	A
USGS	11297700	2013-03-16	3290	A
USGS	11297700	2013-03-17	3300	A
