agency_cd	site_no	datetime	213958_00095_00003	213958_00095_00003_cd	213960_00095_00002	213960_00095_00002_cd	213962_00095_00001	213962_00095_00001_cd	213964_00010_00003	213964_00010_00003_cd	213965_00010_00002	213965_00010_00002_cd	213968_00010_00001	213968_00010_00001_cd	216401_63680_00008	216401_63680_00008_cd	216402_63680_00001	216402_63680_00001_cd	216403_63680_00002	216403_63680_00002_cd	216739_62361_00003	216739_62361_00003_cd	216740_62361_00002	216740_62361_00002_cd	216741_62361_00001	216741_62361_00001_cd	249368_32315_00002	249368_32315_00002_cd	249369_32315_00001	249369_32315_00001_cd	249370_32315_00003	249370_32315_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	431826118465600	2017-06-22											21.8	A:[4]																		
USGS	431826118465600	2017-06-23	492	A	487	A	496	A	19.2	A	18.6	A	20.6	A	226	A	269	A	190	A	29.9	A	27.8	A	32.2	A	5.1	P	5.9	P	5.5	P
USGS	431826118465600	2017-06-24	493	A	489	A	495	A	19.6	A	18.4	A	22.6	A	195	A	228	A	155	A	28.1	A	25.8	A	30.1	A	4.7	P	5.5	P	5.2	P
USGS	431826118465600	2017-06-25	498	A	494	A	503	A	21.4	A	18.7	A	25.4	A	166	A	612	A	128	A	27.5	A	24.4	A	41.4	A	4.5	P	7.6	P	5.1	P
USGS	431826118465600	2017-06-26	500	A	498	A	503	A	21.9	A	21.2	A	23.1	A	252	A	498	A	195	A	35.1	A	30.2	A	40.6	A	5.6	P	7.5	P	6.5	P
USGS	431826118465600	2017-06-27	504	A	501	A	512	A	21.9	A	20.0	A	25.0	A	277	A	473	A	201	A	36.0	A	32.6	A	41.3	A	6.0	P	7.6	P	6.6	P
USGS	431826118465600	2017-06-28	506	A	504	A	509	A	21.3	A	20.2	A	22.4	A	315	A	345	A	262	A	39.6	A	36.9	A	41.0	A	6.8	P	7.6	P	7.3	P
USGS	431826118465600	2017-06-29	491	A	478	A	506	A	19.3	A	18.8	A	21.0	A	237	A	330	A	187	A	38.4	A	35.4	A	41.8	A	6.5	P	7.7	P	7.1	P
USGS	431826118465600	2017-06-30	501	A	484	A	535	A	21.7	A	19.4	A	25.9	A	178	A	236	A	141	A	36.3	A	33.5	A	39.8	A	6.2	P	7.3	P	6.7	P
USGS	431826118465600	2017-07-01	513	A	502	A	521	A	22.5	A	20.9	A	24.5	A	171	A	262	A	131	A	36.4	A	31.1	A	41.5	A	5.7	P	7.7	P	6.7	P
USGS	431826118465600	2017-07-02	487	A	466	A	505	A	22.0	A	21.4	A	22.8	A	182	A	250	A	146	A	33.4	A	28.5	A	40.9	A	5.3	P	7.5	P	6.2	P
USGS	431826118465600	2017-07-03	488	A	474	A	500	A	22.6	A	20.6	A	25.1	A	183	A	228	A	152	A	31.4	A	27.2	A	35.6	A	5.0	P	6.6	P	5.8	P
USGS	431826118465600	2017-07-04	487	A	475	A	522	A	23.3	A	21.8	A	26.2	A	153	A	184	A	137	A	27.5	A	24.4	A	31.3	A	4.5	P	5.8	P	5.1	P
USGS	431826118465600	2017-07-05	506	A	495	A	531	A	23.0	A	21.8	A	25.8	A	173	A	205	A	157	A	27.7	A	25.8	A	30.6	A	4.8	P	5.6	P	5.1	P
USGS	431826118465600	2017-07-06	533	A	519	A	556	A	24.5	A	22.3	A	27.4	A	150	A	183	A	132	A	24.4	A	21.8	A	28.0	A	4.0	P	5.2	P	4.5	P
USGS	431826118465600	2017-07-07	544	A	534	A	556	A	24.5	A	23.5	A	26.2	A	137	A	166	A	124	A	22.2	A	20.8	A	24.6	A	3.8	P	4.5	P	4.1	P
USGS	431826118465600	2017-07-08	554	A	547	A	566	A	24.8	A	23.2	A	27.2	A	148	A	171	A	125	A	22.5	A	19.8	A	24.7	A	3.7	P	4.6	P	4.2	P
USGS	431826118465600	2017-07-09	564	A	553	A	577	A	23.7	A	22.6	A	25.7	A	225	A	275	A	125	A	27.6	A	19.8	A	31.2	A	3.7	P	5.7	P	5.1	P
USGS	431826118465600	2017-07-10	566	A	561	A	570	A	23.0	A	21.4	A	24.3	A	297	A	332	A	218	A	31.2	A	27.7	A	33.4	A	5.1	P	6.2	P	5.8	P
USGS	431826118465600	2017-07-11	573	A	563	A	587	A	21.7	A	20.5	A	23.7	A	248	A	326	A	205	A	30.2	A	26.8	A	33.8	A	4.9	P	6.2	P	5.6	P
USGS	431826118465600	2017-07-12	579	A	571	A	593	A	21.1	A	20.2	A	23.7	A	208	A	259	A	184	A	28.2	A	25.9	A	31.0	A	4.8	P	5.7	P	5.2	P
USGS	431826118465600	2017-07-13	613	A	585	A	662	A	22.4	A	20.4	A	26.9	A	206	A	283	A	178	A	29.0	A	26.7	A	31.4	A	4.9	P	5.8	P	5.3	P
USGS	431826118465600	2017-07-14	625	A	615	A	635	A	23.1	A	21.8	A	25.5	A	214	A	341	A	183	A	30.0	A	26.1	A	34.4	A	4.8	P	6.3	P	5.5	P
USGS	431826118465600	2017-07-15	627	A	620	A	638	A	22.8	A	21.6	A	24.3	A	258	A	331	A	214	A	32.1	A	28.6	A	35.0	A	5.3	P	6.4	P	5.9	P
USGS	431826118465600	2017-07-16	618	A	607	A	627	A	22.2	A	21.0	A	24.3	A	244	A	309	A	209	A	31.5	A	28.5	A	35.4	A	5.2	P	6.5	P	5.8	P
USGS	431826118465600	2017-07-17	611	A	605	A	623	A	21.2	A	20.4	A	22.9	A	241	A	289	A	195	A	30.9	A	26.7	A	34.0	A	4.9	P	6.3	P	5.7	P
USGS	431826118465600	2017-07-18									19.1	A:[4]																				
USGS	431826118465600	2017-07-19																														
USGS	431826118465600	2017-07-20			600	A:[4]	606	A:[4]					23.8	A:[4]			298	A:[4]	228	A:[4]			29.2	A:[4]	36.0	A:[4]	6.3	P:[4]	7.7	P:[4]		
USGS	431826118465600	2017-07-21	602	A	597	A	615	A	21.3	A	19.9	A	24.5	A	236	A	318	A	189	A	31.7	A	28.9	A	36.0	A	6.1	P	7.7	P	6.7	P
USGS	431826118465600	2017-07-22	604	A	601	A	612	A	20.9	A	19.9	A	23.5	A	233	A	315	A	190	A	32.5	A	29.6	A	35.3	A	6.2	P	7.5	P	6.8	P
USGS	431826118465600	2017-07-23	610	A	607	A	617	A	22.6	A	20.7	A	26.9	A	210	A	284	A	178	A	31.6	A	29.6	A	36.3	A	6.1	P	7.4	P	6.5	P
USGS	431826118465600	2017-07-24	615	A	611	A	619	A	23.5	A	22.5	A	24.6	A	251	A	376	A	202	A	34.9	A	30.9	A	38.6	A	6.3	P	7.8	P	7.1	P
USGS	431826118465600	2017-07-25	618	A	616	A	622	A	22.5	A	21.6	A	24.3	A	241	A	578	A	209	A	35.5	A	31.3	A	43.9	A	6.2	P	8.7	P	7.1	P
USGS	431826118465600	2017-07-26	621	A	619	A	626	A	21.6	A	20.8	A	23.4	A	346	A	702	A	262	A	40.2	A	36.0	A	44.0	A	7.1	P	8.7	P	7.9	P
USGS	431826118465600	2017-07-27	626	A	619	A	639	A	22.0	A	20.3	A	25.7	A	244	A	307	A	202	A	36.4	A	32.9	A	40.1	A	6.3	P	7.8	P	7.1	P
USGS	431826118465600	2017-07-28									21.2	A:[4]																				
USGS	431826118465600	2017-07-29																														
USGS	431826118465600	2017-07-30																														
USGS	431826118465600	2017-07-31																														
USGS	431826118465600	2017-08-01			638	A:[4]	647	A:[4]					27.3	A:[4]			254	A:[4]	181	A:[4]			37.6	A:[4]	42.2	A:[4]	6.8	P:[4]	7.5	P:[4]		
USGS	431826118465600	2017-08-02	642	A	635	A	656	A	24.5	A	22.5	A	28.9	A	235	A	299	A	182	A	40.6	A	36.3	A	43.4	A	6.5	P	7.7	P	7.2	P
USGS	431826118465600	2017-08-03	650	A	647	A	658	A	23.7	A	22.7	A	25.9	A	230	A	252	A	203	A	41.1	A	38.3	A	44.3	A	6.8	P	7.9	P	7.3	P
USGS	431826118465600	2017-08-04	662	A	655	A	673	A	23.1	A	21.6	A	25.3	A	253	A	296	A	221	A	42.7	A	39.5	A	46.9	A	7.0	P	8.4	P	7.6	P
USGS	431826118465600	2017-08-05	680	A	662	A	696	A	22.6	A	20.3	A	25.3	A	262	A	349	A	232	A	44.7	A	42.1	A	47.9	A	7.5	P	8.5	P	8.0	P
USGS	431826118465600	2017-08-06	690	A	686	A	693	A	21.6	A	21.1	A	22.4	A	245	A	267	A	219	A	44.4	A	42.0	A	47.3	A	7.5	P	8.4	P	7.9	P
USGS	431826118465600	2017-08-07	696	A	691	A	699	A	20.9	A	20.1	A	22.1	A	232	A	474	A	215	A	44.6	A	40.5	A	50.6	A	7.2	P	9.0	P	8.0	P
USGS	431826118465600	2017-08-08					696	A:[4]	21.9	A:[4]	19.6	A:[4]	25.6	A:[4]	235	A:[4]	301	A:[4]	188	A:[4]					49.4	A:[4]	7.5	P:[4]	8.8	P:[4]	8.2	P:[4]
USGS	431826118465600	2017-08-09	687	A	681	A	692	A	22.9	A	21.1	A	26.0	A	222	A	547	A	196	A	47.0	A	41.8	A	54.9	A	7.5	P	9.8	P	8.4	P
USGS	431826118465600	2017-08-10	688	A	681	A	692	A	22.1	A	20.7	A	24.0	A	269	A	1300	A	227	A					62.6	A:[4]	5.2	P	11.2	P	9.0	P
USGS	431826118465600	2017-08-11	690	A	683	A	698	A	21.7	A	19.6	A	25.2	A	362	A	497	A	313	A	57.4	A	53.3	A	62.5	A	9.6	P	11.2	P	10.3	P
USGS	431826118465600	2017-08-12	695	A	692	A	700	A	22.0	A	20.6	A	23.5	A	341	A	447	A	291	A	55.9	A	52.8	A	59.3	A	9.5	P	10.7	P	10.0	P
USGS	431826118465600	2017-08-13	700	A	696	A	706	A	19.8	A	18.5	A	21.4	A	354	A	678	A	325	A	59.1	A	54.1	A	64.7	A	9.7	P	11.6	P	10.6	P
USGS	431826118465600	2017-08-14	702	A	698	A	705	A	18.8	A	17.5	A	21.2	A	299	A	357	A	257	A	58.9	A	54.5	A	63.4	A	9.8	P	11.4	P	10.6	P
USGS	431826118465600	2017-08-15	701	A	692	A	719	A	19.1	A	17.5	A	23.6	A	267	A:[4]	305	A:[4]	214	A:[4]	55.7	A	51.9	A	60.3	A	9.4	P	10.9	P	10.0	P
USGS	431826118465600	2017-08-16	715	A	706	A	719	A	19.8	A	17.6	A	22.1	A	303	A	338	A	251	A	59.7	A	54.6	A	69.8	A	9.9	P	12.6	P	10.8	P
USGS	431826118465600	2017-08-17	733	A	718	A	745	A	20.6	A	18.1	A	23.3	A	279	A	339	A	240	A	61.8	A	58.1	A	66.2	A	10.5	P	12.0	P	11.2	P
USGS	431826118465600	2017-08-18	747	A	743	A	753	A	20.6	A	18.3	A	23.8	A	277	A	294	A	235	A	62.2	A	56.3	A	67.5	A	10.2	P	12.2	P	11.3	P
USGS	431826118465600	2017-08-19	756	A	751	A	768	A	19.7	A	18.1	A	22.5	A	300	A	366	A	252	A	60.3	A	55.1	A	64.7	A	10.0	P	11.7	P	10.9	P
USGS	431826118465600	2017-08-20	763	A	758	A	771	A	18.4	A	17.5	A	19.8	A	378	A	499	A	296	A	59.5	A	54.9	A	63.9	A	10.0	P	11.6	P	10.8	P
USGS	431826118465600	2017-08-21	765	A	755	A	780	A	18.8	A	17.6	A	21.9	A	306	A	337	A	230	A	55.9	A	48.6	A	59.6	A	8.8	P	10.8	P	10.1	P
USGS	431826118465600	2017-08-22	769	A	758	A	784	A	20.1	A	18.4	A	23.4	A	271	A	384	A	205	A	53.4	A	44.9	A	59.4	A	8.2	P	10.8	P	9.7	P
USGS	431826118465600	2017-08-23	771	A	768	A	775	A	20.9	A	19.2	A	23.0	A	339	A	465	A	258	A	54.5	A	50.3	A	59.6	A	9.1	P	10.8	P	9.9	P
USGS	431826118465600	2017-08-24	777	A	766	A	785	A	21.6	A	19.5	A	24.0	A	299	A	415	A	226	A	54.2	A	48.2	A	60.2	A	8.8	P	11.0	P	9.9	P
USGS	431826118465600	2017-08-25	783	A	772	A	789	A	21.0	A	19.4	A	24.0	A	256	A	326	A	207	A	54.0	A	49.5	A	57.0	A	9.0	P	10.4	P	9.8	P
USGS	431826118465600	2017-08-26	785	A	780	A	799	A	21.7	A	19.0	A	25.3	A	226	A	269	A	193	A	51.4	A	47.0	A	55.9	A	8.6	P	10.2	P	9.4	P
USGS	431826118465600	2017-08-27	793	A	783	A	807	A	22.7	A	20.4	A	26.2	A	208	A	227	A	180	A	47.5	A	42.1	A	52.4	A	7.7	P	9.6	P	8.7	P
USGS	431826118465600	2017-08-28	802	A	799	A	805	A	23.3	A	21.8	A	24.8	A	215	A	244	A	192	A	47.5	A	44.5	A	50.0	A	8.1	P	9.2	P	8.7	P
USGS	431826118465600	2017-08-29	804	A	794	A	814	A	22.9	A	20.9	A	26.4	A	207	A	986	A	162	A	48.3	A	43.7	A	62.2	A	8.0	P	11.4	P	8.8	P
USGS	431826118465600	2017-08-30	801	A	795	A	809	A	22.6	A	20.9	A	24.6	A	394	A	515	A	287	A	59.7	A	54.9	A	64.0	A	10.0	P	11.7	P	10.9	P
USGS	431826118465600	2017-08-31	816	A	809	A	825	A	20.0	A	17.9	A	22.7	A	341	A	451	A	280	A	60.3	A	55.8	A	63.8	A	10.2	P	11.7	P	11.1	P
USGS	431826118465600	2017-09-01	822	A	818	A	828	A	20.8	A	18.4	A	24.4	A	262	A	302	A	211	A	55.1	A	47.8	A	60.2	A	8.8	P	11.1	P	10.1	P
USGS	431826118465600	2017-09-02	824	A	819	A	835	A	22.5	A	20.1	A	25.5	A	212	A	230	A	178	A	49.9	A	43.7	A	53.6	A	8.0	P	9.8	P	9.2	P
USGS	431826118465600	2017-09-03	825	A	821	A	857	A	23.5	A	21.3	A	27.2	A	192	A	219	A	153	A	45.2	A	38.6	A	50.2	A	7.1	P	9.2	P	8.3	P
USGS	431826118465600	2017-09-04	828	A	824	A	833	A	23.4	A	21.7	A	25.7	A	178	A	273	A	161	A	42.5	A	37.2	A	49.6	A	6.9	P	9.1	P	7.8	P
USGS	431826118465600	2017-09-05	834	A	830	A	841	A	23.0	A	21.2	A	25.5	A	189	A	235	A	162	A	44.0	A	40.4	A	48.2	A	7.4	P	8.9	P	8.1	P
USGS	431826118465600	2017-09-06	838	A	834	A	848	A	21.9	A	20.5	A	23.6	A	179	A	248	A	162	A	43.8	A	39.7	A	48.7	A	7.3	P	9.0	P	8.1	P
USGS	431826118465600	2017-09-07	841	A	836	A	855	A	20.7	A	18.9	A	23.1	A	212	A	281	A	166	A	47.1	A	42.5	A	52.0	A	7.9	P	9.6	P	8.7	P
USGS	431826118465600	2017-09-08	842	A	839	A	850	A	20.3	A	18.8	A	22.2	A	210	A	285	A	167	A	47.9	A	43.8	A	52.0	A	8.1	P	9.6	P	8.9	P
USGS	431826118465600	2017-09-09	840	A	831	A	849	A	20.3	A	18.1	A	22.8	A	216	A	252	A	173	A	49.9	A	44.8	A	53.3	A	8.3	P	9.9	P	9.2	P
USGS	431826118465600	2017-09-10	832	A	820	A	842	A	19.1	A	17.6	A	21.3	A	215	A	274	A	178	A	50.9	A	46.5	A	53.8	A	8.6	P	10.0	P	9.4	P
USGS	431826118465600	2017-09-11	830	A	811	A	852	A	20.5	A	18.1	A	23.7	A	181	A	208	A	155	A	45.5	A			48.7	A	7.6	P	9.1	P	8.5	P
USGS	431826118465600	2017-09-12	839	A	837	A	844	A	20.7	A	19.7	A	21.7	A	189	A	357	A	168	A	49.5	A	44.6	A	57.9	A	7.9	P	10.2	P	8.8	P
USGS	431826118465600	2017-09-13	852	A	841	A	862	A	20.0	A	18.4	A	22.4	A	207	A	289	A	185	A	54.5	A	50.0	A	61.5	A	8.6	P	10.2	P	9.3	P
USGS	431826118465600	2017-09-14	861	A	857	A	879	A	16.6	A	13.9	A	19.6	A	378	A	777	A	275	A	64.2	A	58.3	A	71.4	A	9.6	P	11.4	P	10.4	P
USGS	431826118465600	2017-09-15	869	A	857	A	882	A	13.3	A	11.6	A	15.0	A	467	A	546	A	401	A	72.2	A	69.3	A	76.8	A	10.8	P	11.8	P	11.2	P
USGS	431826118465600	2017-09-16	881	A	874	A	887	A	12.8	A	10.9	A	14.7	A	301	A	430	A	270	A	75.0	A	70.3	A	79.6	A	10.5	P	11.8	P	11.2	P
USGS	431826118465600	2017-09-17	900	A	882	A	912	A	13.4	A	11.4	A	15.4	A	315	A	419	A	267	A	80.4	A	75.5	A	86.7	A	10.8	P	12.2	P	11.5	P
USGS	431826118465600	2017-09-18	916	A	905	A	984	A	13.1	A	10.9	A	14.2	A	472	A	742	A	332	A	83.8	A	78.3	A	89.8	A	10.8	P	12.4	P	11.6	P
USGS	431826118465600	2017-09-19	953	A	909	A	989	A	10.2	A	9.1	A	11.2	A	640	A	994	A	497	A	81.4	A	66.3	A	91.1	A	9.2	P	12.6	P	11.3	P
USGS	431826118465600	2017-09-20					962	A:[4]	9.9	A	9.0	A	11.1	A	950	A	1240	A	580	A	77.8	A	60.1	A	91.1	A	8.3	P	12.6	P	10.8	P
USGS	431826118465600	2017-09-21	926	A	894	A	945	A	8.9	A	7.2	A	11.1	A	592	A	935	A	438	A	89.5	A	80.3	A	101	A	11.1	P	13.9	P	12.4	P
USGS	431826118465600	2017-09-22	894	A	883	A	897	A	8.1	A	7.0	A	10.2	A	496	A	624	A	376	A	101	A	93.0	A	109	A	12.9	P	15.1	P	14.0	P
USGS	431826118465600	2017-09-23	898	A	885	A	901	A	8.1	A	6.8	A	10.6	A	385	A	540	A	329	A	104	A	98.7	A	108	A	13.6	P	14.9	P	14.3	P
USGS	431826118465600	2017-09-24	905	A	890	A	918	A	9.5	A	7.4	A	11.9	A	363	A	394	A	313	A	104	A	98.2	A	109	A	13.6	P	15.0	P	14.3	P
USGS	431826118465600	2017-09-25	911	A	895	A	916	A	9.4	A	8.8	A	10.3	A	320	A	358	A	274	A	106	A	96.2	A	110	A	13.3	P	15.3	P	14.6	P
