agency_cd	site_no	datetime	213675_00054_32400	213675_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11234700	2013-01-01	30270	A
USGS	11234700	2013-01-02	30820	A
USGS	11234700	2013-01-03	31660	A
USGS	11234700	2013-01-04	32470	A
USGS	11234700	2013-01-05	33270	A
USGS	11234700	2013-01-06	34080	A
USGS	11234700	2013-01-07	34840	A
USGS	11234700	2013-01-08	35680	A
USGS	11234700	2013-01-09	36520	A
USGS	11234700	2013-01-10	37530	A
USGS	11234700	2013-01-11	38290	A
USGS	11234700	2013-01-12	39060	A
USGS	11234700	2013-01-13	39800	A
USGS	11234700	2013-01-14	39080	A
USGS	11234700	2013-01-15	38880	A
USGS	11234700	2013-01-16	38740	A
USGS	11234700	2013-01-17	38600	A
USGS	11234700	2013-01-18	38270	A
USGS	11234700	2013-01-19	38130	A
USGS	11234700	2013-01-20	37850	A
USGS	11234700	2013-01-21	37980	A
USGS	11234700	2013-01-22	37860	A
USGS	11234700	2013-01-23	37760	A
USGS	11234700	2013-01-24	38370	A
USGS	11234700	2013-01-25	39350	A
USGS	11234700	2013-01-26	40390	A
USGS	11234700	2013-01-27	41310	A
USGS	11234700	2013-01-28	41580	A
USGS	11234700	2013-01-29	41790	A
USGS	11234700	2013-01-30	42020	A
USGS	11234700	2013-01-31	42070	A
USGS	11234700	2013-02-01	42390	A
USGS	11234700	2013-02-02	42360	A
USGS	11234700	2013-02-03	42470	A
USGS	11234700	2013-02-04	42430	A
USGS	11234700	2013-02-05	42770	A
USGS	11234700	2013-02-06	42590	A
USGS	11234700	2013-02-07	41900	A
USGS	11234700	2013-02-08	41360	A
USGS	11234700	2013-02-09	40620	A
USGS	11234700	2013-02-10	40130	A
USGS	11234700	2013-02-11	40520	A
USGS	11234700	2013-02-12	39600	A
USGS	11234700	2013-02-13	38670	A
USGS	11234700	2013-02-14	38890	A
USGS	11234700	2013-02-15	39110	A
USGS	11234700	2013-02-16	39470	A
USGS	11234700	2013-02-17	39850	A
USGS	11234700	2013-02-18	40130	A
USGS	11234700	2013-02-19	40580	A
USGS	11234700	2013-02-20	40960	A
USGS	11234700	2013-02-21	41040	A
USGS	11234700	2013-02-22	41190	A
USGS	11234700	2013-02-23	41510	A
USGS	11234700	2013-02-24	41770	A
USGS	11234700	2013-02-25	42110	A
USGS	11234700	2013-02-26	42380	A
USGS	11234700	2013-02-27	42590	A
USGS	11234700	2013-02-28	42660	A
USGS	11234700	2013-03-01	42470	A
USGS	11234700	2013-03-02	42840	A
USGS	11234700	2013-03-03	43660	A
USGS	11234700	2013-03-04	44270	A
USGS	11234700	2013-03-05	44830	A
USGS	11234700	2013-03-06	45470	A
USGS	11234700	2013-03-07	46080	A
USGS	11234700	2013-03-08	46590	A
USGS	11234700	2013-03-09	47230	A
USGS	11234700	2013-03-10	47640	A
USGS	11234700	2013-03-11	48260	A
USGS	11234700	2013-03-12	49040	A
USGS	11234700	2013-03-13	50050	A
USGS	11234700	2013-03-14	51360	A
USGS	11234700	2013-03-15	53390	A
USGS	11234700	2013-03-16	55780	A
USGS	11234700	2013-03-17	58340	A
USGS	11234700	2013-03-18	60320	A
USGS	11234700	2013-03-19	61890	A
USGS	11234700	2013-03-20	64160	A
USGS	11234700	2013-03-21	66140	A
USGS	11234700	2013-03-22	67990	A
USGS	11234700	2013-03-23	69670	A
USGS	11234700	2013-03-24	71510	A
USGS	11234700	2013-03-25	73700	A
USGS	11234700	2013-03-26	75650	A
USGS	11234700	2013-03-27	77320	A
USGS	11234700	2013-03-28	79040	A
USGS	11234700	2013-03-29	80720	A
USGS	11234700	2013-03-30	82210	A
USGS	11234700	2013-03-31	84380	A
USGS	11234700	2013-04-01	86070	A
USGS	11234700	2013-04-02	87520	A
USGS	11234700	2013-04-03	88580	A
USGS	11234700	2013-04-04	90690	A
USGS	11234700	2013-04-05	92720	A
USGS	11234700	2013-04-06	94490	A
USGS	11234700	2013-04-07	96500	A
USGS	11234700	2013-04-08	98470	A
USGS	11234700	2013-04-09	99050	A
USGS	11234700	2013-04-10	99370	A
USGS	11234700	2013-04-11	99720	A
USGS	11234700	2013-04-12	100500	A
