agency_cd	site_no	datetime	150459_62614_32400	150459_62614_32400_cd	150460_00054_32400	150460_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	14237800	2013-01-01	423.11	A	129500	A
USGS	14237800	2013-01-02	422.81	A	128800	A
USGS	14237800	2013-01-03	422.49	A	128100	A
USGS	14237800	2013-01-04	421.85	A	126700	A
USGS	14237800	2013-01-05	422.26	A	127600	A
USGS	14237800	2013-01-06	420.99	A	124900	A
USGS	14237800	2013-01-07	421.30	A	125600	A
USGS	14237800	2013-01-08	422.37	A	127900	A
USGS	14237800	2013-01-09	421.15	A	125200	A
USGS	14237800	2013-01-10	421.75	A	126500	A
USGS	14237800	2013-01-11	424.00	A	131500	A
USGS	14237800	2013-01-12	424.61	A	132800	A
USGS	14237800	2013-01-13	423.66	A	130700	A
USGS	14237800	2013-01-14	423.49	A	130300	A
USGS	14237800	2013-01-15	422.71	A	128600	A
USGS	14237800	2013-01-16	423.23	A	129800	A
USGS	14237800	2013-01-17	423.32	A	130000	A
USGS	14237800	2013-01-18	423.30	A	129900	A
USGS	14237800	2013-01-19	423.25	A	129800	A
USGS	14237800	2013-01-20	422.76	A	128700	A
USGS	14237800	2013-01-21	423.45	A	130300	A
USGS	14237800	2013-01-22	422.55	A	128300	A
USGS	14237800	2013-01-23	422.25	A	127600	A
USGS	14237800	2013-01-24	420.81	A	124500	A
USGS	14237800	2013-01-25	420.78	A	124400	A
USGS	14237800	2013-01-26	421.53	A	126100	A
USGS	14237800	2013-01-27	421.28	A	125500	A
USGS	14237800	2013-01-28	421.94	A	126900	A
USGS	14237800	2013-01-29	421.30	A	125600	A
USGS	14237800	2013-01-30	420.90	A	124700	A
USGS	14237800	2013-01-31	420.47	A	123800	A
USGS	14237800	2013-02-01	420.45	A	123700	A
USGS	14237800	2013-02-02	421.62	A	126200	A
USGS	14237800	2013-02-03	421.26	A	125500	A
USGS	14237800	2013-02-04	422.25	A	127600	A
USGS	14237800	2013-02-05	422.09	A	127300	A
USGS	14237800	2013-02-06	422.55	A	128300	A
USGS	14237800	2013-02-07	422.69	A	128600	A
USGS	14237800	2013-02-08	423.95	A	131400	A
USGS	14237800	2013-02-09	422.60	A	128400	A
USGS	14237800	2013-02-10	423.15	A	129600	A
USGS	14237800	2013-02-11	422.33	A	127800	A
USGS	14237800	2013-02-12	422.29	A	127700	A
USGS	14237800	2013-02-13	421.03	A	125000	A
USGS	14237800	2013-02-14	421.25	A	125400	A
USGS	14237800	2013-02-15	421.64	A	126300	A
USGS	14237800	2013-02-16	421.37	A	125700	A
USGS	14237800	2013-02-17	420.53	A	123900	A
USGS	14237800	2013-02-18	420.99	A	124900	A
USGS	14237800	2013-02-19	423.02	A	129300	A
USGS	14237800	2013-02-20	423.71	A	130800	A
USGS	14237800	2013-02-21	423.95	A	131400	A
USGS	14237800	2013-02-22	423.78	A	131000	A
USGS	14237800	2013-02-23	422.02	A	127100	A
USGS	14237800	2013-02-24	421.65	A	126300	A
USGS	14237800	2013-02-25	422.19	A	127500	A
USGS	14237800	2013-02-26	423.73	A	130900	A
USGS	14237800	2013-02-27	422.91	A	129100	A
USGS	14237800	2013-02-28	421.46	A	125900	A
USGS	14237800	2013-03-01	421.41	A	125800	A
USGS	14237800	2013-03-02	422.15	A	127400	A
USGS	14237800	2013-03-03	422.23	A	127600	A
USGS	14237800	2013-03-04	424.63	A	132900	A
USGS	14237800	2013-03-05	424.43	A	132400	A
USGS	14237800	2013-03-06	424.01	A	131500	A
USGS	14237800	2013-03-07	422.54	A	128300	A
USGS	14237800	2013-03-08	424.23	A	132000	A
USGS	14237800	2013-03-09	423.59	A	130600	A
USGS	14237800	2013-03-10	420.71	A	124300	A
USGS	14237800	2013-03-11	420.83	A	124500	A
USGS	14237800	2013-03-12	420.69	A	124200	A
USGS	14237800	2013-03-13	421.89	A	126800	A
USGS	14237800	2013-03-14	422.15	A	127400	A
USGS	14237800	2013-03-15	421.96	A	127000	A
USGS	14237800	2013-03-16	422.09	A	127300	A
USGS	14237800	2013-03-17	422.15	A	127400	A
USGS	14237800	2013-03-18	422.55	A	128300	A
USGS	14237800	2013-03-19	424.23	A	132000	A
USGS	14237800	2013-03-20	421.98	A	127000	A
USGS	14237800	2013-03-21	422.93	A	129100	A
USGS	14237800	2013-03-22	424.29	A	132100	A
USGS	14237800	2013-03-23	424.62	A	132900	A
USGS	14237800	2013-03-24	422.70	A	128600	A
USGS	14237800	2013-03-25	422.32	A	127800	A
USGS	14237800	2013-03-26	420.79	A	124400	A
USGS	14237800	2013-03-27	420.51	A	123800	A
USGS	14237800	2013-03-28	421.82	A	126700	A
USGS	14237800	2013-03-29	422.66	A	128500	A
USGS	14237800	2013-03-30	422.26	A	127600	A
USGS	14237800	2013-03-31	421.54	A	126100	A
USGS	14237800	2013-04-01	422.06	A	127200	A
USGS	14237800	2013-04-02	421.15	A	125200	A
USGS	14237800	2013-04-03	422.81	A	128800	A
USGS	14237800	2013-04-04	422.99	A	129200	A
USGS	14237800	2013-04-05	424.11	A	131700	A
USGS	14237800	2013-04-06	422.77	A	128800	A
USGS	14237800	2013-04-07	421.39	A	125700	A
USGS	14237800	2013-04-08	422.69	A	128600	A
USGS	14237800	2013-04-09	422.93	A	129100	A
USGS	14237800	2013-04-10	422.21	A	127500	A
USGS	14237800	2013-04-11	423.51	A	130400	A
USGS	14237800	2013-04-12	424.17	A	131900	A
USGS	14237800	2013-04-13	422.55	A	128300	A
USGS	14237800	2013-04-14	423.19	A	129700	A
USGS	14237800	2013-04-15	423.75	A	130900	A
USGS	14237800	2013-04-16	422.83	A	128900	A
USGS	14237800	2013-04-17	421.81	A	126700	A
USGS	14237800	2013-04-18	422.73	A	128700	A
USGS	14237800	2013-04-19	424.13	A	131800	A
USGS	14237800	2013-04-20	423.37	A	130100	A
USGS	14237800	2013-04-21	422.37	A	127900	A
USGS	14237800	2013-04-22	421.93	A	126900	A
USGS	14237800	2013-04-23	421.97	A	127000	A
USGS	14237800	2013-04-24	421.87	A	126800	A
USGS	14237800	2013-04-25	421.65	A	126300	A
USGS	14237800	2013-04-26	423.67	A	130700	A
USGS	14237800	2013-04-27	423.07	A	129400	A
USGS	14237800	2013-04-28	421.25	A	125400	A
USGS	14237800	2013-04-29	422.08	A	127200	A
USGS	14237800	2013-04-30	422.45	A	128100	A
USGS	14237800	2013-05-01	423.72	A	130900	A
USGS	14237800	2013-05-02	424.11	A	131700	A
USGS	14237800	2013-05-03	423.76	A	130900	A
USGS	14237800	2013-05-04	422.50	A	128200	A
USGS	14237800	2013-05-05	423.25	A	129800	A
USGS	14237800	2013-05-06	423.63	A	130700	A
USGS	14237800	2013-05-07	423.14	A	129600	A
USGS	14237800	2013-05-08	423.51	A	130400	A
USGS	14237800	2013-05-09	422.93	A	129100	A
USGS	14237800	2013-05-10	423.87	A	131200	A
USGS	14237800	2013-05-11	424.13	A	131800	A
USGS	14237800	2013-05-12	422.24	A	127600	A
USGS	14237800	2013-05-13	421.95	A	127000	A
USGS	14237800	2013-05-14	422.66	A	128500	A
USGS	14237800	2013-05-15	422.86	A	129000	A
USGS	14237800	2013-05-16	423.04	A	129300	A
USGS	14237800	2013-05-17	422.73	A	128700	A
USGS	14237800	2013-05-18	421.51	A	126000	A
USGS	14237800	2013-05-19	421.77	A	126600	A
USGS	14237800	2013-05-20	424.24	A	132000	A
USGS	14237800	2013-05-21	423.52	A	130400	A
USGS	14237800	2013-05-22	423.86	A	131200	A
USGS	14237800	2013-05-23	423.89	A	131200	A
USGS	14237800	2013-05-24	423.35	A	130000	A
USGS	14237800	2013-05-25	423.77	A	131000	A
USGS	14237800	2013-05-26	423.13	A	129500	A
USGS	14237800	2013-05-27	424.21	A	132000	A
USGS	14237800	2013-05-28	423.71	A	130800	A
USGS	14237800	2013-05-29	423.41	A	130200	A
USGS	14237800	2013-05-30	422.91	A	129100	A
USGS	14237800	2013-05-31	423.82	A	131100	A
USGS	14237800	2013-06-01	424.14	A	131800	A
USGS	14237800	2013-06-02	423.13	A	129500	A
USGS	14237800	2013-06-03	424.05	A	131600	A
USGS	14237800	2013-06-04	424.18	A	131900	A
USGS	14237800	2013-06-05	423.70	A	130800	A
USGS	14237800	2013-06-06	423.63	A	130700	A
USGS	14237800	2013-06-07	424.11	A	131700	A
USGS	14237800	2013-06-08	423.66	A	130700	A
USGS	14237800	2013-06-09	423.03	A	129300	A
USGS	14237800	2013-06-10	424.04	A	131600	A
USGS	14237800	2013-06-11	423.02	A	129300	A
USGS	14237800	2013-06-12	423.23	A	129800	A
USGS	14237800	2013-06-13	423.62	A	130600	A
USGS	14237800	2013-06-14	424.37	A	132300	A
USGS	14237800	2013-06-15	424.48	A	132600	A
USGS	14237800	2013-06-16	423.35	A	130000	A
USGS	14237800	2013-06-17	424.12	A	131700	A
USGS	14237800	2013-06-18	424.03	A	131500	A
USGS	14237800	2013-06-19	423.52	A	130400	A
USGS	14237800	2013-06-20	423.31	A	129900	A
USGS	14237800	2013-06-21	424.05	A	131600	A
USGS	14237800	2013-06-22	424.25	A	132000	A
USGS	14237800	2013-06-23	424.41	A	132400	A
USGS	14237800	2013-06-24	423.85	A	131100	A
USGS	14237800	2013-06-25	423.66	A	130700	A
USGS	14237800	2013-06-26	423.91	A	131300	A
USGS	14237800	2013-06-27	423.97	A	131400	A
USGS	14237800	2013-06-28	424.02	A	131500	A
USGS	14237800	2013-06-29	424.03	A	131500	A
USGS	14237800	2013-06-30	423.59	A	130600	A
USGS	14237800	2013-07-01	423.93	A	131300	A
USGS	14237800	2013-07-02	423.73	A	130900	A
USGS	14237800	2013-07-03	423.32	A	130000	A
USGS	14237800	2013-07-04	422.50	A	128200	A
USGS	14237800	2013-07-05	423.34	A	130000	A
USGS	14237800	2013-07-06	423.43	A	130200	A
USGS	14237800	2013-07-07	423.69	A	130800	A
USGS	14237800	2013-07-08	424.02	A	131500	A
USGS	14237800	2013-07-09	423.87	A	131200	A
USGS	14237800	2013-07-10	423.39	A	130100	A
USGS	14237800	2013-07-11	423.16	A	129600	A
USGS	14237800	2013-07-12	424.34	A	132200	A
USGS	14237800	2013-07-13	424.14	A	131800	A
USGS	14237800	2013-07-14	422.90	A	129000	A
USGS	14237800	2013-07-15	424.11	A	131700	A
USGS	14237800	2013-07-16	423.73	A	130900	A
USGS	14237800	2013-07-17	422.95	A	129200	A
USGS	14237800	2013-07-18	423.73	A	130900	A
USGS	14237800	2013-07-19	423.90	A	131300	A
USGS	14237800	2013-07-20	423.49	A	130300	A
USGS	14237800	2013-07-21	423.11	A	129500	A
USGS	14237800	2013-07-22	424.15	A	131800	A
USGS	14237800	2013-07-23	424.45	A	132500	A
USGS	14237800	2013-07-24	424.03	A	131500	A
USGS	14237800	2013-07-25	424.19	A	131900	A
USGS	14237800	2013-07-26	424.02	A	131500	A
USGS	14237800	2013-07-27	423.05	A	129400	A
USGS	14237800	2013-07-28	422.43	A	128000	A
USGS	14237800	2013-07-29	422.93	A	129100	A
USGS	14237800	2013-07-30	423.08	A	129400	A
USGS	14237800	2013-07-31	423.17	A	129600	A
USGS	14237800	2013-08-01	423.75	A	130900	A
USGS	14237800	2013-08-02	424.09	A	131700	A
USGS	14237800	2013-08-03	423.96	A	131400	A
USGS	14237800	2013-08-04	423.00	A	129300	A
USGS	14237800	2013-08-05	424.03	A	131500	A
USGS	14237800	2013-08-06	424.28	A	132100	A
USGS	14237800	2013-08-07	424.12	A	131700	A
USGS	14237800	2013-08-08	424.15	A	131800	A
USGS	14237800	2013-08-09	424.28	A	132100	A
USGS	14237800	2013-08-10	424.19	A	131900	A
USGS	14237800	2013-08-11	423.33	A	130000	A
USGS	14237800	2013-08-12	423.32	A	130000	A
USGS	14237800	2013-08-13	423.33	A	130000	A
USGS	14237800	2013-08-14	423.70	A	130800	A
USGS	14237800	2013-08-15	424.35	A	132300	A
USGS	14237800	2013-08-16	424.25	A	132000	A
USGS	14237800	2013-08-17	423.87	A	131200	A
USGS	14237800	2013-08-18	423.29	A	129900	A
USGS	14237800	2013-08-19	423.49	A	130300	A
USGS	14237800	2013-08-20	424.33	A	132200	A
USGS	14237800	2013-08-21	423.32	A	130000	A
USGS	14237800	2013-08-22	423.07	A	129400	A
USGS	14237800	2013-08-23	423.60	A	130600	A
USGS	14237800	2013-08-24	423.11	A	129500	A
USGS	14237800	2013-08-25	423.70	A	130800	A
USGS	14237800	2013-08-26	424.09	A	131700	A
USGS	14237800	2013-08-27	424.05	A	131600	A
USGS	14237800	2013-08-28	424.05	A	131600	A
USGS	14237800	2013-08-29	423.96	A	131400	A
USGS	14237800	2013-08-30	424.21	A	132000	A
USGS	14237800	2013-08-31	423.72	A	130900	A
USGS	14237800	2013-09-01	423.69	A	130800	A
USGS	14237800	2013-09-02	423.70	A	130800	A
USGS	14237800	2013-09-03	423.77	A	131000	A
USGS	14237800	2013-09-04	423.83	A	131100	A
