agency_cd	site_no	datetime	217557_00054_32400	217557_00054_32400_cd
USGS	11376020	2013-01-01	245.0	A
USGS	11376020	2013-01-02	241.0	A
USGS	11376020	2013-01-03	236.0	A
USGS	11376020	2013-01-04	231.0	A
USGS	11376020	2013-01-05	226.0	A
USGS	11376020	2013-01-06	220.0	A
USGS	11376020	2013-01-07	214.0	A
USGS	11376020	2013-01-08	208.0	A
USGS	11376020	2013-01-09	206.0	A
USGS	11376020	2013-01-10	203.0	A
USGS	11376020	2013-01-11	197.0	A
USGS	11376020	2013-01-12	188.0	A
USGS	11376020	2013-01-13	177.0	A
USGS	11376020	2013-01-14	167.0	A
USGS	11376020	2013-01-15	159.0	A
USGS	11376020	2013-01-16	152.0	A
USGS	11376020	2013-01-17	145.0	A
USGS	11376020	2013-01-18	153.0	A
USGS	11376020	2013-01-19	166.0	A
USGS	11376020	2013-01-20	176.0	A
USGS	11376020	2013-01-21	188.0	A
USGS	11376020	2013-01-22	201.0	A
USGS	11376020	2013-01-23	220.0	A
USGS	11376020	2013-01-24	256.0	A
USGS	11376020	2013-01-25	294.0	A
USGS	11376020	2013-01-26	347.0	A
USGS	11376020	2013-01-27	382.0	A
USGS	11376020	2013-01-28	398.0	A
USGS	11376020	2013-01-29	409.0	A
USGS	11376020	2013-01-30	417.0	A
USGS	11376020	2013-01-31	404.0	A
USGS	11376020	2013-02-01	378.0	A
USGS	11376020	2013-02-02	354.0	A
USGS	11376020	2013-02-03	331.0	A
USGS	11376020	2013-02-04	310.0	A
USGS	11376020	2013-02-05	290.0	A
USGS	11376020	2013-02-06	270.0	A
USGS	11376020	2013-02-07	254.0	A
USGS	11376020	2013-02-08	235.0	A
USGS	11376020	2013-02-09	214.0	A
USGS	11376020	2013-02-10	192.0	A
USGS	11376020	2013-02-11	169.0	A
USGS	11376020	2013-02-12	160.0	A
USGS	11376020	2013-02-13	168.0	A
USGS	11376020	2013-02-14	178.0	A
USGS	11376020	2013-02-15	188.0	A
USGS	11376020	2013-02-16	196.0	A
USGS	11376020	2013-02-17	205.0	A
USGS	11376020	2013-02-18	212.0	A
USGS	11376020	2013-02-19	225.0	A
USGS	11376020	2013-02-20	232.0	A
USGS	11376020	2013-02-21	237.0	A
USGS	11376020	2013-02-22	240.0	A
USGS	11376020	2013-02-23	245.0	A
USGS	11376020	2013-02-24	245.0	A
USGS	11376020	2013-02-25	245.0	A
USGS	11376020	2013-02-26	245.0	A
USGS	11376020	2013-02-27	243.0	A
USGS	11376020	2013-02-28	242.0	A
USGS	11376020	2013-03-01	241.0	A
USGS	11376020	2013-03-02	242.0	A
USGS	11376020	2013-03-03	259.0	A
USGS	11376020	2013-03-04	282.0	A
USGS	11376020	2013-03-05	305.0	A
USGS	11376020	2013-03-06	334.0	A
USGS	11376020	2013-03-07	356.0	A
USGS	11376020	2013-03-08	375.0	A
USGS	11376020	2013-03-09	388.0	A
USGS	11376020	2013-03-10	399.0	A
USGS	11376020	2013-03-11	410.0	A
USGS	11376020	2013-03-12	424.0	A
USGS	11376020	2013-03-13	437.0	A
USGS	11376020	2013-03-14	442.0	A
USGS	11376020	2013-03-15	442.0	A
USGS	11376020	2013-03-16	441.0	A
USGS	11376020	2013-03-17	441.0	A
USGS	11376020	2013-03-18	441.0	A
USGS	11376020	2013-03-19	443.0	A
USGS	11376020	2013-03-20	449.0	A
USGS	11376020	2013-03-21	445.0	A
USGS	11376020	2013-03-22	441.0	A
USGS	11376020	2013-03-23	440.0	A
USGS	11376020	2013-03-24	440.0	A
USGS	11376020	2013-03-25	440.0	A
USGS	11376020	2013-03-26	440.0	A
USGS	11376020	2013-03-27	441.0	A
USGS	11376020	2013-03-28	441.0	A
USGS	11376020	2013-03-29	440.0	A
USGS	11376020	2013-03-30	440.0	A
USGS	11376020	2013-03-31	450.0	A
USGS	11376020	2013-04-01	448.0	A
USGS	11376020	2013-04-02	446.0	A
USGS	11376020	2013-04-03	445.0	A
USGS	11376020	2013-04-04	447.0	A
USGS	11376020	2013-04-05	446.0	A
USGS	11376020	2013-04-06	449.0	A
USGS	11376020	2013-04-07	457.0	A
USGS	11376020	2013-04-08	450.0	A
