agency_cd	site_no	datetime	213236_00054_32400	213236_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11270600	2013-01-01	8980	A:e
USGS	11270600	2013-01-02	8970	A:e
USGS	11270600	2013-01-03	8930	A:e
USGS	11270600	2013-01-04	8960	A:e
USGS	11270600	2013-01-05	8900	A:e
USGS	11270600	2013-01-06	9130	A:e
USGS	11270600	2013-01-07	9040	A:e
USGS	11270600	2013-01-08	8760	A:e
USGS	11270600	2013-01-09	8750	A:e
USGS	11270600	2013-01-10	8760	A:e
USGS	11270600	2013-01-11	8760	A:e
USGS	11270600	2013-01-12	8760	A:e
USGS	11270600	2013-01-13	8760	A:e
USGS	11270600	2013-01-14	8770	A:e
USGS	11270600	2013-01-15	8780	A:e
USGS	11270600	2013-01-16	8780	A
USGS	11270600	2013-01-17	8780	A
USGS	11270600	2013-01-18	8790	A
USGS	11270600	2013-01-19	8780	A
USGS	11270600	2013-01-20	8780	A
USGS	11270600	2013-01-21	8770	A
USGS	11270600	2013-01-22	8770	A
USGS	11270600	2013-01-23	8760	A
USGS	11270600	2013-01-24	8760	A
USGS	11270600	2013-01-25	8760	A
USGS	11270600	2013-01-26	8760	A
USGS	11270600	2013-01-27	8740	A
USGS	11270600	2013-01-28	8730	A
USGS	11270600	2013-01-29	8720	A
USGS	11270600	2013-01-30	8710	A
USGS	11270600	2013-01-31	8700	A
USGS	11270600	2013-02-01	8680	A
USGS	11270600	2013-02-02	8690	A
USGS	11270600	2013-02-03	8680	A
USGS	11270600	2013-02-04	8680	A
USGS	11270600	2013-02-05	8680	A
USGS	11270600	2013-02-06	8670	A
USGS	11270600	2013-02-07	8660	A
USGS	11270600	2013-02-08	8660	A
USGS	11270600	2013-02-09	8660	A
USGS	11270600	2013-02-10	8660	A
USGS	11270600	2013-02-11	8650	A
USGS	11270600	2013-02-12	8650	A
USGS	11270600	2013-02-13	8640	A
USGS	11270600	2013-02-14	8670	A
USGS	11270600	2013-02-15	8680	A
USGS	11270600	2013-02-16	8680	A
USGS	11270600	2013-02-17	8760	A
USGS	11270600	2013-02-18	8790	A
USGS	11270600	2013-02-19	8780	A
USGS	11270600	2013-02-20	8750	A
