agency_cd	site_no	datetime	115575_00010_00001	115575_00010_00001_cd	115576_00010_00002	115576_00010_00002_cd	115577_00010_00003	115577_00010_00003_cd	115578_00400_00001	115578_00400_00001_cd	115579_00400_00002	115579_00400_00002_cd	115581_00400_00008	115581_00400_00008_cd	115582_00095_00001	115582_00095_00001_cd	115583_00095_00002	115583_00095_00002_cd	115584_00095_00003	115584_00095_00003_cd	115585_00300_00001	115585_00300_00001_cd	115586_00300_00002	115586_00300_00002_cd	115587_00300_00003	115587_00300_00003_cd	115588_62625_00001	115588_62625_00001_cd	115589_62625_00002	115589_62625_00002_cd	115590_62625_00003	115590_62625_00003_cd	115591_00036_00003	115591_00036_00003_cd	115592_00052_00001	115592_00052_00001_cd	115593_00052_00002	115593_00052_00002_cd	115594_00052_00003	115594_00052_00003_cd	115595_00020_00001	115595_00020_00001_cd	115596_00020_00002	115596_00020_00002_cd	115597_00020_00003	115597_00020_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422622122004000	2013-05-16	16.8	A	16.2	A	16.5	A	8.1	A	7.8	A	7.9	A	116	A	115	A	115	A																										
USGS	422622122004000	2013-05-17	16.4	A	15.4	A	15.8	A	8.1	A	7.9	A	8.0	A	116	A	115	A	115	A																										
USGS	422622122004000	2013-05-18	15.8	A	15.0	A	15.5	A	8.1	A	8.0	A	8.0	A	116	A	115	A	115	A																										
USGS	422622122004000	2013-05-19	15.9	A	14.8	A	15.1	A	8.2	A	7.9	A	8.0	A	115	A	115	A	115	A																										
USGS	422622122004000	2013-05-20	16.3	A	15.2	A	15.5	A	8.2	A	7.9	A	8.1	A	116	A	115	A	116	A																										
USGS	422622122004000	2013-05-21	16.2	A	14.5	A	15.3	A	8.2	A	8.1	A	8.1	A	116	A	114	A	116	A																										
USGS	422622122004000	2013-05-22	14.5	A	13.5	A	14.1	A	8.2	A	8.0	A	8.2	A	115	A	114	A	114	A																										
USGS	422622122004000	2013-05-23	14.1	A	13.3	A	13.7	A	8.4	A	8.1	A	8.1	A	115	A	114	A	115	A																										
USGS	422622122004000	2013-05-24	13.6	A	12.3	A	13.0	A	8.3	A	8.0	A	8.2	A	115	A	114	A	114	A																										
