agency_cd	site_no	datetime	115598_00010_00001	115598_00010_00001_cd	115599_00010_00002	115599_00010_00002_cd	115600_00010_00003	115600_00010_00003_cd	115601_00400_00001	115601_00400_00001_cd	115602_00400_00002	115602_00400_00002_cd	115604_00400_00008	115604_00400_00008_cd	115605_00095_00001	115605_00095_00001_cd	115606_00095_00002	115606_00095_00002_cd	115607_00095_00003	115607_00095_00003_cd	115608_00300_00001	115608_00300_00001_cd	115609_00300_00002	115609_00300_00002_cd	115610_00300_00003	115610_00300_00003_cd	249359_95202_00002	249359_95202_00002_cd	249360_95202_00003	249360_95202_00003_cd	249361_95202_00001	249361_95202_00001_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422622122004003	2013-05-16	17.0	A	16.2	A	16.6	A	8.2	A	7.9	A	8.0	A	115	A	115	A	115	A							14189	A	22392	A	49662	A
USGS	422622122004003	2013-05-17	16.8	A	15.4	A	15.9	A	8.2	A	8.0	A	8.1	A	115	A	115	A	115	A							14189	A	22910	A	39020	A
USGS	422622122004003	2013-05-18	15.8	A	15.0	A	15.5	A	8.2	A	8.0	A	8.1	A	115	A	114	A	115	A							10642	A	25866	A	81588	A
USGS	422622122004003	2013-05-19	17.1	A	14.8	A	15.5	A	8.6	A	8.1	A	8.2	A	115	A	114	A	115	A							17736	A	30743	A	78040	A
USGS	422622122004003	2013-05-20	17.4	A	15.2	A	16.0	A	8.5	A	8.2	A	8.3	A	115	A	114	A	115	A							17736	A	32000	A	49662	A
USGS	422622122004003	2013-05-21	16.1	A	14.5	A	15.3	A	8.3	A	8.2	A	8.2	A	115	A	114	A	115	A							17736	A	29857	A	60304	A
USGS	422622122004003	2013-05-22	14.5	A	13.4	A	14.1	A	8.4	A	8.1	A	8.3	A	114	A	114	A	114	A							24831	A	40129	A	74493	A
USGS	422622122004003	2013-05-23	14.1	A	13.4	A	13.7	A	8.6	A	8.2	A	8.4	A	114	A	114	A	114	A							24831	A	45154	A	78040	A
USGS	422622122004003	2013-05-24	14.3	A	12.2	A	13.4	A	8.6	A	8.2	A	8.4	A	114	A	114	A	114	A							24831	A	43528	A	92230	A
USGS	422622122004003	2013-05-25	14.5	A	12.9	A	13.5	A	8.7	A	8.3	A	8.6	A	114	A	114	A	114	A							28379	A	56092	A	113513	A
USGS	422622122004003	2013-05-26	13.8	A	13.2	A	13.5	A	8.6	A	8.4	A	8.5	A	115	A	114	A	114	A							31926	A	56092	A	106419	A
USGS	422622122004003	2013-05-27	13.8	A	13.2	A	13.6	A	8.7	A	8.4	A	8.5	A	114	A	114	A	114	A							31926	A	64738	A	166723	A
USGS	422622122004003	2013-05-28	14.3	A	13.0	A	13.6	A	8.8	A	8.6	A	8.7	A	114	A	114	A	114	A							39020	A	68433	A	120608	A
USGS	422622122004003	2013-05-29	14.4	A	13.4	A	13.9	A	8.8	A	8.5	A	8.6	A	115	A	114	A	114	A							53210	A	77893	A	120608	A
USGS	422622122004003	2013-05-30	15.4	A	13.5	A	14.2	A	8.9	A	8.4	A	8.6	A	114	A	114	A	114	A							53210	A	92304	A	159628	A
USGS	422622122004003	2013-05-31	16.5	A	13.7	A	14.3	A	8.8	A	8.4	A	8.6	A	115	A	114	A	114	A							60304	A	107897	A	234122	A
USGS	422622122004003	2013-06-01	16.2	A	14.2	A	14.9	A	8.8	A	8.5	A	8.7	A	115	A	115	A	115	A							56757	A	114548	A	191554	A
USGS	422622122004003	2013-06-02	16.4	A	15.0	A	15.4	A	8.9	A	8.5	A	8.7	A	115	A	115	A	115	A							67399	A	116765	A	219932	A
USGS	422622122004003	2013-06-03	17.0	A	14.9	A	15.6	A	8.9	A	8.6	A	8.7	A	116	A	115	A	115	A							60304	A	104498	A	202196	A
USGS	422622122004003	2013-06-04	18.2	A	15.9	A	16.6	A	8.8	A	8.6	A	8.7	A	116	A	115	A	116	A							31926	A	77376	A	163176	A
USGS	422622122004003	2013-06-05	19.2	A	17.0	A	17.6	A	9.0	A	8.7	A	8.8	A	117	A	116	A	116	A							31926	A	86391	A	184459	A
USGS	422622122004003	2013-06-06	20.7	A	17.8	A	18.6	A	9.0	A	8.7	A	8.8	A	117	A	116	A	116	A							21284	A	94299	A	241217	A
USGS	422622122004003	2013-06-07	20.2	A	18.6	A	19.0	A	9.0	A	8.7	A	8.8	A	118	A	116	A	117	A							21284	A	78410	A	266048	A
USGS	422622122004003	2013-06-08	21.4	A	18.4	A	19.3	A	9.1	A	8.7	A	8.9	A	119	A	117	A	118	A							24831	A	77745	A	216385	A
USGS	422622122004003	2013-06-09	21.5	A	19.7	A	20.2	A	9.1	A	8.8	A	8.9	A	120	A	117	A	118	A							21284	A	74715	A	148986	A
USGS	422622122004003	2013-06-10	21.3	A	19.6	A	20.3	A	9.1	A	8.9	A	9.0	A	118	A	117	A	118	A							56757	A	129550	A	340541	A
USGS	422622122004003	2013-06-11	19.8	A	18.9	A	19.4	A	9.3	A	8.9	A	9.1	A	118	A	117	A	117	A							74493	A	216607	A	471791	A
USGS	422622122004003	2013-06-12	19.6	A	17.9	A	18.9	A	9.4	A	9.0	A	9.3	A	117	A	117	A	117	A							117061	A	299821	A	457602	A
USGS	422622122004003	2013-06-13	18.4	A	17.4	A	17.8	A	9.4	A	9.2	A	9.4	A	117	A	116	A	117	A							212838	A	354878	A	709460	A
USGS	422622122004003	2013-06-14	19.2	A	16.8	A	17.4	A	9.9	A	9.4	A	9.5	A	122	A	117	A	118	A							148986	A	482064	A	1092570	A
USGS	422622122004003	2013-06-15	20.0	A	17.8	A	18.4	A	10.0	A	9.6	A	9.6	A	125	A	118	A	119	A							209291	A	761339	A	1308960	A
USGS	422622122004003	2013-06-16	19.3	A	17.4	A	18.1	A	9.9	A	9.6	A	9.6	A	122	A	117	A	118	A							166723	A	428706	A	975508	A
