agency_cd	site_no	datetime	115248_00010_00001	115248_00010_00001_cd	115249_00010_00002	115249_00010_00002_cd	115250_00010_00003	115250_00010_00003_cd	115251_00400_00001	115251_00400_00001_cd	115252_00400_00002	115252_00400_00002_cd	115254_00400_00008	115254_00400_00008_cd	115255_00095_00001	115255_00095_00001_cd	115256_00095_00002	115256_00095_00002_cd	115257_00095_00003	115257_00095_00003_cd	115258_00300_00001	115258_00300_00001_cd	115259_00300_00002	115259_00300_00002_cd	115260_00300_00003	115260_00300_00003_cd	249356_95202_00001	249356_95202_00001_cd	249357_95202_00002	249357_95202_00002_cd	249358_95202_00003	249358_95202_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422305121553803	2013-05-16	17.6	A	16.8	A	17.2	A							115	A	115	A	115	A	8.4	A	8.1	A	8.3	A	31662	A	14042	A	20967	A
USGS	422305121553803	2013-05-17	17.4	A	16.0	A	16.6	A							115	A	114	A	115	A	8.8	A	8.2	A	8.4	A	31388	A	17382	A	23265	A
USGS	422305121553803	2013-05-18	16.4	A	15.7	A	16.0	A							115	A	114	A	115	A	8.8	A	8.4	A	8.5	A	38095	A	17266	A	23430	A
USGS	422305121553803	2013-05-19	16.5	A	15.2	A	15.8	A							115	A	114	A	115	A	9.1	A	8.5	A	8.8	A	44450	A	17164	A	26940	A
USGS	422305121553803	2013-05-20	18.1	A	15.3	A	16.3	A							116	A	114	A	115	A	9.3	A	8.7	A	8.9	A	37464	A	16998	A	27431	A
USGS	422305121553803	2013-05-21	16.4	A	15.1	A	15.9	A							115	A	115	A	115	A	9.2	A	8.5	A	8.9	A	43816	A	20282	A	29370	A
USGS	422305121553803	2013-05-22	15.3	A	13.8	A	14.2	A							115	A	113	A	114	A	9.2	A	8.7	A	8.9	A	53518	A	20011	A	30232	A
USGS	422305121553803	2013-05-23	14.0	A	13.2	A	13.7	A							114	A	114	A	114	A	9.6	A	9.0	A	9.2	A	73211	A	26564	A	35980	A
USGS	422305121553803	2013-05-24	15.3	A	13.3	A	13.8	A							116	A	114	A	115	A	10.0	A	9.2	A	9.5	A	78520	A	29555	A	42008	A
USGS	422305121553803	2013-05-25																									107040	A	26057	A	47805	A
USGS	422305121553803	2013-05-26																									96577	A	32119	A	52024	A
USGS	422305121553803	2013-05-27																									83067	A	28886	A	45358	A
USGS	422305121553803	2013-05-28																									91696	A	34956	A	57666	A
USGS	422305121553803	2013-05-29																														
USGS	422305121553803	2013-05-30																														
USGS	422305121553803	2013-05-31	19.2	A	14.1	A	15.9	A							116	A	114	A	114	A	10.4	A	9.1	A	9.7	A	155545	A	42435	A	94353	A
USGS	422305121553803	2013-06-01	18.6	A	14.9	A	16.3	A							116	A	114	A	115	A	10.6	A	9.3	A	9.9	A	208094	A	52922	A	110500	A
USGS	422305121553803	2013-06-02	17.3	A	15.8	A	16.5	A							115	A	115	A	115	A	10.7	A	9.3	A	9.8	A	158632	A	84586	A	125786	A
USGS	422305121553803	2013-06-03	21.2	A	16.0	A	17.5	A							116	A	115	A	115	A	10.6	A	9.0	A	9.7	A	214203	A	70186	A	112095	A
USGS	422305121553803	2013-06-04	21.7	A	17.1	A	18.8	A							117	A	115	A	116	A	10.8	A	9.1	A	9.9	A	287038	A	63022	A	130922	A
USGS	422305121553803	2013-06-05	22.6	A	18.0	A	19.6	A							118	A	116	A	116	A	11.3	A	9.0	A	9.9	A	181928	A	52352	A	98645	A
USGS	422305121553803	2013-06-06	21.1	A	18.6	A	19.9	A							118	A	116	A	117	A	11.5	A	9.3	A	10.3	A	323794	A	31362	A	102491	A
USGS	422305121553803	2013-06-07	21.8	A	19.5	A	20.5	A							117	A	116	A	117	A	12.8	A	9.4	A	10.5	A	250600	A	52164	A	145137	A
USGS	422305121553803	2013-06-08	23.5	A	19.8	A	21.2	A							119	A	116	A	117	A	13.5	A	9.0	A	10.2	A	464467	A	55430	A	160626	A
USGS	422305121553803	2013-06-09	23.1	A	20.3	A	21.8	A							119	A	117	A	118	A	13.1	A	8.9	A	10.7	A	623314	A	86526	A	261153	A
USGS	422305121553803	2013-06-10	22.4	A	21.0	A	21.5	A							120	A	117	A	118	A	13.1	A	9.3	A	10.4	A	679278	A	103620	A	286306	A
USGS	422305121553803	2013-06-11	21.2	A	20.1	A	20.7	A							119	A	116	A	117	A	10.4	A	9.0	A	9.8	A	495678	A	120388	A	244630	A
USGS	422305121553803	2013-06-12	20.4	A	19.0	A	19.4	A							119	A	117	A	117	A	11.0	A	8.5	A	9.4	A	380612	A	127035	A	263252	A
USGS	422305121553803	2013-06-13	19.0	A	17.7	A	18.1	A							118	A	116	A	117	A	10.2	A	8.8	A	9.5	A	387303	A	164341	A	269900	A
USGS	422305121553803	2013-06-14	18.9	A	17.2	A	18.0	A							119	A	117	A	118	A	13.9	A	9.2	A	11.1	A	740318	A	232390	A	372202	A
USGS	422305121553803	2013-06-15	22.9	A	18.1	A	19.5	A							142	A	117	A	122	A	23.0	A	10.9	A	14.3	A	1603390	A	221346	A	725184	A
USGS	422305121553803	2013-06-16	19.6	A	18.1	A	18.8	A							122	A	119	A	120	A	13.5	A	10.3	A	11.9	A	858937	A	203855	A	538691	A
USGS	422305121553803	2013-06-17	19.9	A	18.3	A	18.7	A							128	A	119	A	122	A	15.1	A	10.3	A	11.7	A	911075	A	220004	A	481446	A
USGS	422305121553803	2013-06-18	19.0	A	18.4	A	18.7	A							124	A	120	A	122	A	12.7	A	10.6	A	11.5	A	678839	A	350971	A	483773	A
USGS	422305121553803	2013-06-19	18.4	A	16.6	A	17.2	A							123	A	119	A	120	A	11.4	A	8.9	A	9.8	A	697730	A	343921	A	479695	A
USGS	422305121553803	2013-06-20	16.8	A	16.0	A	16.3	A							122	A	118	A	120	A	11.4	A	9.0	A	10.0	A	668636	A	245332	A	499645	A
USGS	422305121553803	2013-06-21	17.6	A	15.8	A	16.6	A							128	A	119	A	123	A	14.0	A	9.5	A	11.3	A	1206280	A	429511	A	729472	A
USGS	422305121553803	2013-06-22	20.1	A	16.1	A	17.3	A							144	A	121	A	127	A	17.5	A	10.0	A	12.4	A	1487800	A	394346	A	804408	A
USGS	422305121553803	2013-06-23	17.6	A	17.1	A	17.3	A							126	A	120	A	123	A	11.8	A	9.1	A	10.3	A	1210570	A	400587	A	798036	A
USGS	422305121553803	2013-06-24	17.2	A	16.5	A	16.9	A							120	A	118	A	120	A	9.2	A	6.7	A	8.3	A	912046	A	179587	A	418739	A
USGS	422305121553803	2013-06-25	16.5	A	15.4	A	15.8	A							120	A	118	A	118	A	8.6	A	7.8	A	8.1	A	752755	A	345449	A	514350	A
USGS	422305121553803	2013-06-26																														
USGS	422305121553803	2013-06-27	20.3	A	15.6	A	16.8	A							133	A	118	A	121	A	14.8	A	8.8	A	10.4	A	2043630	A	211003	A	716776	A
USGS	422305121553803	2013-06-28	26.8	A	17.6	A	20.7	A							171	A	120	A	137	A	20.6	A	9.4	A	14.8	A	2128380	A:>	424780	A:>	1390746	A:>
USGS	422305121553803	2013-06-29	24.8	A	19.4	A	21.0	A							161	A	122	A	130	A	19.2	A	7.3	A	11.2	A	2128380	A:>	540950	A:>	1064470	A:>
USGS	422305121553803	2013-06-30	25.9	A	20.1	A	22.2	A							151	A	122	A	131	A	17.8	A	6.2	A	11.0	A	2005640	A	337342	A	830794	A
USGS	422305121553803	2013-07-01	25.6	A	21.3	A	22.5	A							142	A	123	A	127	A	13.1	A	3.1	A	7.9	A	2050570	A	130490	A	560068	A
USGS	422305121553803	2013-07-02	27.3	A	22.1	A	23.8	A							148	A	123	A	131	A	16.3	A	6.1	A	10.5	A	1871140	A	218251	A	820120	A
USGS	422305121553803	2013-07-03	24.3	A	22.5	A	23.2	A							128	A	122	A	125	A	8.8	A	3.7	A	6.6	A	1831150	A	211184	A	686142	A
USGS	422305121553803	2013-07-04	24.4	A	23.1	A	23.7	A							125	A	122	A	123	A	7.6	A	2.5	A	4.0	A	1209440	A	504626	A	834379	A
USGS	422305121553803	2013-07-05	23.4	A	22.3	A	22.8	A							129	A	122	A	123	A	8.7	A	0.4	A	5.3	A	1388080	A	505392	A	806753	A
USGS	422305121553803	2013-07-06	27.5	A	21.9	A	23.4	A							131	A	122	A	125	A	13.9	A	5.1	A	8.8	A	2128380	A:>	612295	A:>	1405811	A:>
USGS	422305121553803	2013-07-07	25.0	A	21.7	A	23.0	A							134	A	122	A	126	A	14.8	A	5.6	A	9.6	A	2128380	A:>	538146	A:>	1335047	A:>
