agency_cd	site_no	datetime	148746_62614_30800	148746_62614_30800_cd	148747_00054_30800	148747_00054_30800_cd
5s	15s	20d	14n	10s	14n	10s
USGS	12098000	2013-01-01	904.64	A	3.64	A
USGS	12098000	2013-01-02	904.16	A	3.16	A
USGS	12098000	2013-01-03	904.11	A	3.11	A
USGS	12098000	2013-01-04	904.06	A	3.06	A
USGS	12098000	2013-01-05	904.10	A	3.10	A
USGS	12098000	2013-01-06	904.05	A	3.05	A
USGS	12098000	2013-01-07	905.30	A	4.30	A
USGS	12098000	2013-01-08	926.40	A	39.20	A
USGS	12098000	2013-01-09	929.04	A	48.16	A
USGS	12098000	2013-01-10	927.57	A	43.28	A
USGS	12098000	2013-01-11	925.68	A	37.04	A
USGS	12098000	2013-01-12	924.06	A	32.18	A
USGS	12098000	2013-01-13	922.70	A	29.10	A
USGS	12098000	2013-01-14	922.70	A	29.10	A
USGS	12098000	2013-01-15	922.25	A	27.75	A
USGS	12098000	2013-01-16	921.66	A	26.32	A
USGS	12098000	2013-01-17	921.41	A	25.82	A
USGS	12098000	2013-01-18	921.37	A	25.74	A
USGS	12098000	2013-01-19	921.45	A	25.90	A
USGS	12098000	2013-01-20	921.74	A	26.48	A
USGS	12098000	2013-01-21	922.56	A	28.68	A
USGS	12098000	2013-01-22	923.01	A	30.02	A
USGS	12098000	2013-01-23	922.96	A	29.88	A
USGS	12098000	2013-01-24	923.02	A	30.04	A
USGS	12098000	2013-01-25	922.96	A	29.88	A
USGS	12098000	2013-01-26	923.48	A	30.96	A
USGS	12098000	2013-01-27	923.02	A	30.04	A
USGS	12098000	2013-01-28	922.96	A	29.88	A
USGS	12098000	2013-01-29	925.59	A	36.77	A
USGS	12098000	2013-01-30	929.16	A	48.64	A
USGS	12098000	2013-01-31	932.39	A	61.95	A
USGS	12098000	2013-02-01	932.58	A	62.90	A
USGS	12098000	2013-02-02	929.94	A	51.76	A
USGS	12098000	2013-02-03	928.35	A	46.05	A
USGS	12098000	2013-02-04	927.14	A	41.56	A
USGS	12098000	2013-02-05	926.28	A	38.84	A
USGS	12098000	2013-02-06	926.01	A	38.03	A
USGS	12098000	2013-02-07	925.44	A	36.32	A
USGS	12098000	2013-02-08	924.62	A	33.86	A
USGS	12098000	2013-02-09	923.94	A	31.88	A
USGS	12098000	2013-02-10	923.31	A	30.62	A
USGS	12098000	2013-02-11	922.77	A	29.31	A
USGS	12098000	2013-02-12	922.50	A	28.50	A
USGS	12098000	2013-02-13	922.98	A	29.94	A
USGS	12098000	2013-02-14	923.08	A	30.16	A
USGS	12098000	2013-02-15	922.73	A	29.19	A
USGS	12098000	2013-02-16	922.99	A	29.97	A
USGS	12098000	2013-02-17	923.48	A	30.96	A
USGS	12098000	2013-02-18	922.95	A	29.85	A
USGS	12098000	2013-02-19	922.47	A	28.41	A
USGS	12098000	2013-02-20	921.92	A	26.84	A
USGS	12098000	2013-02-21	921.55	A	26.10	A
USGS	12098000	2013-02-22	921.59	A	26.18	A
USGS	12098000	2013-02-23	922.16	A	27.48	A
USGS	12098000	2013-02-24	921.48	A	25.96	A
USGS	12098000	2013-02-25	921.48	A	25.96	A
USGS	12098000	2013-02-26	921.02	A	25.04	A
USGS	12098000	2013-02-27	921.03	A	25.06	A
USGS	12098000	2013-02-28	921.31	A	25.62	A
USGS	12098000	2013-03-01	929.60	A	50.40	A
USGS	12098000	2013-03-02	930.60	A	54.40	A
USGS	12098000	2013-03-03	929.02	A	48.08	A
USGS	12098000	2013-03-04	927.15	A	41.60	A
USGS	12098000	2013-03-05	925.82	A	37.46	A
USGS	12098000	2013-03-06	924.93	A	34.79	A
USGS	12098000	2013-03-07	924.72	A	34.16	A
USGS	12098000	2013-03-08	923.83	A	31.66	A
USGS	12098000	2013-03-09	923.13	A	30.26	A
USGS	12098000	2013-03-10	922.67	A	29.01	A
USGS	12098000	2013-03-11	922.55	A	28.65	A
USGS	12098000	2013-03-12	922.78	A	29.34	A
USGS	12098000	2013-03-13	925.88	A	37.64	A
USGS	12098000	2013-03-14	928.14	A	45.42	A
USGS	12098000	2013-03-15	929.82	A	51.28	A
USGS	12098000	2013-03-16	932.72	A	63.60	A
USGS	12098000	2013-03-17	932.35	A	61.75	A
USGS	12098000	2013-03-18	929.58	A	50.32	A
USGS	12098000	2013-03-19	927.68	A	43.72	A
USGS	12098000	2013-03-20	927.38	A	42.52	A
USGS	12098000	2013-03-21	928.18	A	45.54	A
USGS	12098000	2013-03-22	926.99	A	40.97	A
USGS	12098000	2013-03-23	925.95	A	37.85	A
USGS	12098000	2013-03-24	925.25	A	35.75	A
USGS	12098000	2013-03-25	924.68	A	34.04	A
USGS	12098000	2013-03-26	924.28	A	32.84	A
USGS	12098000	2013-03-27	924.06	A	32.18	A
USGS	12098000	2013-03-28	924.08	A	32.24	A
USGS	12098000	2013-03-29	924.31	A	32.93	A
USGS	12098000	2013-03-30	924.63	A	33.89	A
USGS	12098000	2013-03-31	925.64	A	36.92	A
USGS	12098000	2013-04-01	927.55	A	43.20	A
USGS	12098000	2013-04-02	928.94	A	47.82	A
USGS	12098000	2013-04-03	928.91	A	47.73	A
USGS	12098000	2013-04-04	928.72	A	47.16	A
USGS	12098000	2013-04-05	931.63	A	58.52	A
USGS	12098000	2013-04-06	934.73	A	73.65	A
USGS	12098000	2013-04-07	935.94	A	79.70	A
USGS	12098000	2013-04-08	935.73	A	78.65	A
USGS	12098000	2013-04-09	934.57	A	72.85	A
USGS	12098000	2013-04-10	932.76	A	63.80	A
USGS	12098000	2013-04-11	936.85	A	85.10	A
USGS	12098000	2013-04-12	933.89	A	69.45	A
USGS	12098000	2013-04-13	932.76	A	63.80	A
USGS	12098000	2013-04-14	930.80	A	55.20	A
USGS	12098000	2013-04-15	929.49	A	49.96	A
USGS	12098000	2013-04-16	928.53	A	46.59	A
USGS	12098000	2013-04-17	927.59	A	43.36	A
USGS	12098000	2013-04-18	926.93	A	40.79	A
USGS	12098000	2013-04-19	930.72	A	54.88	A
USGS	12098000	2013-04-20	944.54	A	145.4	A
USGS	12098000	2013-04-21	936.78	A	84.68	A
USGS	12098000	2013-04-22	934.09	A	70.45	A
USGS	12098000	2013-04-23	931.69	A	58.76	A
USGS	12098000	2013-04-24	929.85	A	51.40	A
USGS	12098000	2013-04-25	928.97	A	47.91	A
USGS	12098000	2013-04-26	928.99	A	47.97	A
USGS	12098000	2013-04-27	929.81	A	51.24	A
USGS	12098000	2013-04-28	930.25	A	53.00	A
USGS	12098000	2013-04-29	931.78	A	59.12	A
USGS	12098000	2013-04-30	914.42	A	13.84	A
USGS	12098000	2013-05-01	910.97	A	9.94	A
USGS	12098000	2013-05-02	909.43	A	7.43	A
USGS	12098000	2013-05-03	909.70	A	7.70	A
USGS	12098000	2013-05-04	910.34	A	8.68	A
USGS	12098000	2013-05-05	914.85	A	14.70	A
USGS	12098000	2013-05-06	918.60	A	20.60	A
USGS	12098000	2013-05-07	921.95	A	26.90	A
USGS	12098000	2013-05-08	924.59	A	33.77	A
USGS	12098000	2013-05-09	925.89	A	37.67	A
USGS	12098000	2013-05-10	925.94	A	37.82	A
USGS	12098000	2013-05-11	926.70	A	40.10	A
USGS	12098000	2013-05-12	928.73	A	47.19	A
USGS	12098000	2013-05-13	928.52	A	46.56	A
USGS	12098000	2013-05-14	926.52	A	39.56	A
USGS	12098000	2013-05-15	921.30	A	25.60	A
USGS	12098000	2013-05-16	917.93	A	19.86	A
USGS	12098000	2013-05-17	918.22	A	20.22	A
USGS	12098000	2013-05-18	916.70	A	17.40	A
USGS	12098000	2013-05-19	915.40	A	15.40	A
USGS	12098000	2013-05-20	914.49	A	13.98	A
USGS	12098000	2013-05-21	915.50	A	15.50	A
USGS	12098000	2013-05-22	916.23	A	16.46	A
USGS	12098000	2013-05-23	915.06	A	15.06	A
USGS	12098000	2013-05-24	912.20	A	11.20	A
USGS	12098000	2013-05-25	911.23	A	10.23	A
USGS	12098000	2013-05-26	910.46	A	8.92	A
USGS	12098000	2013-05-27	910.86	A	9.72	A
USGS	12098000	2013-05-28	916.31	A	16.62	A
USGS	12098000	2013-05-29	916.99	A	17.98	A
USGS	12098000	2013-05-30	920.82	A	24.64	A
USGS	12098000	2013-05-31	919.40	A	21.80	A
USGS	12098000	2013-06-01	917.55	A	19.10	A
