agency_cd	site_no	datetime	217586_00054_32400	217586_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11413515	2013-01-01	792200	A
USGS	11413515	2013-01-02	791200	A
USGS	11413515	2013-01-03	790300	A
USGS	11413515	2013-01-04	789300	A
USGS	11413515	2013-01-05	789200	A
USGS	11413515	2013-01-06	789300	A
USGS	11413515	2013-01-07	789300	A
USGS	11413515	2013-01-08	788400	A
USGS	11413515	2013-01-09	787600	A
USGS	11413515	2013-01-10	787100	A
USGS	11413515	2013-01-11	786200	A
USGS	11413515	2013-01-12	785200	A
USGS	11413515	2013-01-13	784100	A
USGS	11413515	2013-01-14	783000	A
USGS	11413515	2013-01-15	781900	A
USGS	11413515	2013-01-16	780900	A
USGS	11413515	2013-01-17	779800	A
USGS	11413515	2013-01-18	778700	A
USGS	11413515	2013-01-19	777400	A
USGS	11413515	2013-01-20	776300	A
USGS	11413515	2013-01-21	775200	A
USGS	11413515	2013-01-22	774100	A
USGS	11413515	2013-01-23	773700	A
USGS	11413515	2013-01-24	773300	A
USGS	11413515	2013-01-25	773800	A
USGS	11413515	2013-01-26	775100	A
USGS	11413515	2013-01-27	777200	A
USGS	11413515	2013-01-28	778300	A
USGS	11413515	2013-01-29	778800	A
USGS	11413515	2013-01-30	778800	A
USGS	11413515	2013-01-31	778700	A
USGS	11413515	2013-02-01	778400	A
USGS	11413515	2013-02-02	779300	A
USGS	11413515	2013-02-03	779300	A
USGS	11413515	2013-02-04	778800	A
USGS	11413515	2013-02-05	778800	A
USGS	11413515	2013-02-06	778900	A
USGS	11413515	2013-02-07	778900	A
USGS	11413515	2013-02-08	778600	A
USGS	11413515	2013-02-09	778700	A
USGS	11413515	2013-02-10	777600	A
USGS	11413515	2013-02-11	776800	A
USGS	11413515	2013-02-12	775700	A
USGS	11413515	2013-02-13	776900	A
USGS	11413515	2013-02-14	778200	A
USGS	11413515	2013-02-15	779000	A
USGS	11413515	2013-02-16	779800	A
USGS	11413515	2013-02-17	780400	A
USGS	11413515	2013-02-18	781200	A
USGS	11413515	2013-02-19	780200	A
USGS	11413515	2013-02-20	779600	A
USGS	11413515	2013-02-21	779100	A
USGS	11413515	2013-02-22	779200	A
USGS	11413515	2013-02-23	779300	A
USGS	11413515	2013-02-24	778600	A
USGS	11413515	2013-02-25	777300	A
USGS	11413515	2013-02-26	776300	A
USGS	11413515	2013-02-27	775000	A
USGS	11413515	2013-02-28	774500	A
USGS	11413515	2013-03-01	774000	A
USGS	11413515	2013-03-02	773800	A
USGS	11413515	2013-03-03	774500	A
USGS	11413515	2013-03-04	774900	A
USGS	11413515	2013-03-05	774700	A
USGS	11413515	2013-03-06	775600	A
USGS	11413515	2013-03-07	775800	A
USGS	11413515	2013-03-08	775900	A
USGS	11413515	2013-03-09	776600	A
USGS	11413515	2013-03-10	776700	A
USGS	11413515	2013-03-11	776200	A
USGS	11413515	2013-03-12	776100	A
USGS	11413515	2013-03-13	776200	A
USGS	11413515	2013-03-14	776500	A
USGS	11413515	2013-03-15	777000	A
USGS	11413515	2013-03-16	777600	A
USGS	11413515	2013-03-17	778100	A
USGS	11413515	2013-03-18	778400	A
USGS	11413515	2013-03-19	778400	A
USGS	11413515	2013-03-20	782100	A
USGS	11413515	2013-03-21	785700	A
USGS	11413515	2013-03-22	788100	A
USGS	11413515	2013-03-23	790100	A
USGS	11413515	2013-03-24	792500	A
USGS	11413515	2013-03-25	793400	A
USGS	11413515	2013-03-26	796200	A
USGS	11413515	2013-03-27	799100	A
USGS	11413515	2013-03-28	800400	A
USGS	11413515	2013-03-29	801300	A
USGS	11413515	2013-03-30	802300	A
USGS	11413515	2013-03-31	805000	A
USGS	11413515	2013-04-01	807100	A
USGS	11413515	2013-04-02	809300	A
USGS	11413515	2013-04-03	811200	A
USGS	11413515	2013-04-04	813900	A
USGS	11413515	2013-04-05	817800	A
USGS	11413515	2013-04-06	820400	A
USGS	11413515	2013-04-07	822800	A
USGS	11413515	2013-04-08	825100	A
USGS	11413515	2013-04-09	827000	A
USGS	11413515	2013-04-10	828400	A
USGS	11413515	2013-04-11	829600	A
USGS	11413515	2013-04-12	830300	A
USGS	11413515	2013-04-13	832000	A
USGS	11413515	2013-04-14	834200	A
USGS	11413515	2013-04-15	834800	A
USGS	11413515	2013-04-16	836400	A
USGS	11413515	2013-04-17	836700	A
USGS	11413515	2013-04-18	837800	A
USGS	11413515	2013-04-19	839500	A
USGS	11413515	2013-04-20	841100	A
USGS	11413515	2013-04-21	842500	A
USGS	11413515	2013-04-22	841400	A
USGS	11413515	2013-04-23	842100	A
USGS	11413515	2013-04-24	841900	A
USGS	11413515	2013-04-25	841600	A
USGS	11413515	2013-04-26	840200	A
USGS	11413515	2013-04-27	839000	A
USGS	11413515	2013-04-28	838100	A
USGS	11413515	2013-04-29	836500	A
USGS	11413515	2013-04-30	836000	A
USGS	11413515	2013-05-01	834300	A
USGS	11413515	2013-05-02	831400	A
USGS	11413515	2013-05-03	827100	A
USGS	11413515	2013-05-04	824900	A
USGS	11413515	2013-05-05	824700	A
USGS	11413515	2013-05-06	824300	A
USGS	11413515	2013-05-07	822300	A
USGS	11413515	2013-05-08	821700	A
USGS	11413515	2013-05-09	819000	A
USGS	11413515	2013-05-10	818200	A
USGS	11413515	2013-05-11	817500	A
USGS	11413515	2013-05-12	816900	A
USGS	11413515	2013-05-13	814600	A
USGS	11413515	2013-05-14	812100	A
USGS	11413515	2013-05-15	811800	A
USGS	11413515	2013-05-16	810400	A
USGS	11413515	2013-05-17	810200	A
USGS	11413515	2013-05-18	809300	A
USGS	11413515	2013-05-19	808400	A
USGS	11413515	2013-05-20	804800	A
USGS	11413515	2013-05-21	802300	A
USGS	11413515	2013-05-22	800100	A
USGS	11413515	2013-05-23	798200	A
USGS	11413515	2013-05-24	796500	A
USGS	11413515	2013-05-25	795900	A
USGS	11413515	2013-05-26	794800	A
USGS	11413515	2013-05-27	793900	A
USGS	11413515	2013-05-28	791900	A
USGS	11413515	2013-05-29	790800	A
USGS	11413515	2013-05-30	789800	A
USGS	11413515	2013-05-31	788100	A
USGS	11413515	2013-06-01	786400	A
USGS	11413515	2013-06-02	785500	A
USGS	11413515	2013-06-03	783500	A
USGS	11413515	2013-06-04	782400	A
USGS	11413515	2013-06-05	780500	A
USGS	11413515	2013-06-06	778400	A
USGS	11413515	2013-06-07	775600	A
USGS	11413515	2013-06-08	772800	A
USGS	11413515	2013-06-09	773000	A
USGS	11413515	2013-06-10	771400	A
USGS	11413515	2013-06-11	768800	A
USGS	11413515	2013-06-12	767300	A
USGS	11413515	2013-06-13	764200	A
USGS	11413515	2013-06-14	761600	A
USGS	11413515	2013-06-15	760000	A
USGS	11413515	2013-06-16	758400	A
USGS	11413515	2013-06-17	757100	A
USGS	11413515	2013-06-18	756400	A
USGS	11413515	2013-06-19	755100	A
USGS	11413515	2013-06-20	753000	A
USGS	11413515	2013-06-21	750100	A
USGS	11413515	2013-06-22	747500	A
USGS	11413515	2013-06-23	745900	A
USGS	11413515	2013-06-24	745100	A
USGS	11413515	2013-06-25	745700	A
USGS	11413515	2013-06-26	745100	A
USGS	11413515	2013-06-27	743500	A
USGS	11413515	2013-06-28	741300	A
USGS	11413515	2013-06-29	739700	A
USGS	11413515	2013-06-30	738600	A
USGS	11413515	2013-07-01	735500	A
USGS	11413515	2013-07-02	732900	A
USGS	11413515	2013-07-03	730000	A
USGS	11413515	2013-07-04	727000	A
USGS	11413515	2013-07-05	725000	A
USGS	11413515	2013-07-06	721700	A
USGS	11413515	2013-07-07	719900	A
USGS	11413515	2013-07-08	717100	A
USGS	11413515	2013-07-09	714600	A
USGS	11413515	2013-07-10	712100	A
USGS	11413515	2013-07-11	709500	A
USGS	11413515	2013-07-12	707400	A
USGS	11413515	2013-07-13	704400	A
USGS	11413515	2013-07-14	702200	A
USGS	11413515	2013-07-15	699700	A
USGS	11413515	2013-07-16	697200	A
USGS	11413515	2013-07-17	694800	A
USGS	11413515	2013-07-18	690900	A
USGS	11413515	2013-07-19	686900	A
USGS	11413515	2013-07-20	683800	A
USGS	11413515	2013-07-21	681200	A
USGS	11413515	2013-07-22	677800	A
USGS	11413515	2013-07-23	674300	A
USGS	11413515	2013-07-24	671200	A
USGS	11413515	2013-07-25	668300	A
USGS	11413515	2013-07-26	665900	A
USGS	11413515	2013-07-27	663300	A
USGS	11413515	2013-07-28	661900	A
USGS	11413515	2013-07-29	659500	A
USGS	11413515	2013-07-30	656400	A
USGS	11413515	2013-07-31	653500	A
USGS	11413515	2013-08-01	651300	A
USGS	11413515	2013-08-02	648300	A
USGS	11413515	2013-08-03	644800	A
USGS	11413515	2013-08-04	642700	A
USGS	11413515	2013-08-05	639700	A
USGS	11413515	2013-08-06	636600	A
USGS	11413515	2013-08-07	633700	A
USGS	11413515	2013-08-08	631900	A
USGS	11413515	2013-08-09	629600	A
USGS	11413515	2013-08-10	627500	A
USGS	11413515	2013-08-11	624600	A
USGS	11413515	2013-08-12	622400	A
USGS	11413515	2013-08-13	619200	A
USGS	11413515	2013-08-14	615900	A
USGS	11413515	2013-08-15	613200	A
USGS	11413515	2013-08-16	610000	A
USGS	11413515	2013-08-17	607100	A
USGS	11413515	2013-08-18	604200	A
USGS	11413515	2013-08-19	601300	A
USGS	11413515	2013-08-20	598600	A
USGS	11413515	2013-08-21	595200	A
USGS	11413515	2013-08-22	593100	A
USGS	11413515	2013-08-23	591300	A
USGS	11413515	2013-08-24	588600	A
USGS	11413515	2013-08-25	586400	A
USGS	11413515	2013-08-26	585000	A
USGS	11413515	2013-08-27	583500	A
