agency_cd	site_no	datetime	213429_00054_32400	213429_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11293770	2013-01-01	92550	A
USGS	11293770	2013-01-02	92560	A
USGS	11293770	2013-01-03	92590	A
USGS	11293770	2013-01-04	92610	A
USGS	11293770	2013-01-05	92640	A
USGS	11293770	2013-01-06	92700	A
USGS	11293770	2013-01-07	92730	A
USGS	11293770	2013-01-08	92770	A
USGS	11293770	2013-01-09	92840	A
USGS	11293770	2013-01-10	92930	A
USGS	11293770	2013-01-11	92970	A
USGS	11293770	2013-01-12	92970	A
USGS	11293770	2013-01-13	92970	A
USGS	11293770	2013-01-14	92970	A
USGS	11293770	2013-01-15	92990	A
USGS	11293770	2013-01-16	93010	A
USGS	11293770	2013-01-17	93050	A
USGS	11293770	2013-01-18	93080	A
USGS	11293770	2013-01-19	93120	A
USGS	11293770	2013-01-20	93160	A
USGS	11293770	2013-01-21	93190	A
USGS	11293770	2013-01-22	93230	A
USGS	11293770	2013-01-23	93300	A
USGS	11293770	2013-01-24	93400	A
USGS	11293770	2013-01-25	93710	A
USGS	11293770	2013-01-26	94010	A
USGS	11293770	2013-01-27	94220	A
USGS	11293770	2013-01-28	94360	A
USGS	11293770	2013-01-29	94480	A
USGS	11293770	2013-01-30	94600	A
USGS	11293770	2013-01-31	94740	A
USGS	11293770	2013-02-01	94900	A
USGS	11293770	2013-02-02	95050	A
USGS	11293770	2013-02-03	95200	A
USGS	11293770	2013-02-04	95330	A
USGS	11293770	2013-02-05	95490	A
USGS	11293770	2013-02-06	95640	A
USGS	11293770	2013-02-07	95780	A
USGS	11293770	2013-02-08	95880	A
USGS	11293770	2013-02-09	95970	A
USGS	11293770	2013-02-10	96060	A
USGS	11293770	2013-02-11	96120	A
USGS	11293770	2013-02-12	96160	A
USGS	11293770	2013-02-13	96240	A
USGS	11293770	2013-02-14	96290	A
USGS	11293770	2013-02-15	96400	A
USGS	11293770	2013-02-16	96520	A
USGS	11293770	2013-02-17	96620	A
USGS	11293770	2013-02-18	96720	A
USGS	11293770	2013-02-19	96920	A
USGS	11293770	2013-02-20	97000	A
USGS	11293770	2013-02-21	97080	A
USGS	11293770	2013-02-22	97090	A
USGS	11293770	2013-02-23	97140	A
USGS	11293770	2013-02-24	97150	A
USGS	11293770	2013-02-25	97170	A
USGS	11293770	2013-02-26	97200	A
USGS	11293770	2013-02-27	97200	A
USGS	11293770	2013-02-28	97230	A
USGS	11293770	2013-03-01	97310	A
USGS	11293770	2013-03-02	97510	A
USGS	11293770	2013-03-03	97890	A
USGS	11293770	2013-03-04	98100	A
USGS	11293770	2013-03-05	98320	A
USGS	11293770	2013-03-06	98700	A
USGS	11293770	2013-03-07	98920	A
USGS	11293770	2013-03-08	99140	A
USGS	11293770	2013-03-09	99290	A
USGS	11293770	2013-03-10	99460	A
USGS	11293770	2013-03-11	99730	A
USGS	11293770	2013-03-12	100000	A
USGS	11293770	2013-03-13	100500	A
USGS	11293770	2013-03-14	100900	A
USGS	11293770	2013-03-15	101400	A
USGS	11293770	2013-03-16	101900	A
USGS	11293770	2013-03-17	102300	A
USGS	11293770	2013-03-18	102700	A
USGS	11293770	2013-03-19	103200	A
USGS	11293770	2013-03-20	104000	A
USGS	11293770	2013-03-21	104600	A
USGS	11293770	2013-03-22	105000	A
USGS	11293770	2013-03-23	105400	A
USGS	11293770	2013-03-24	105800	A
USGS	11293770	2013-03-25	106300	A
USGS	11293770	2013-03-26	106700	A
USGS	11293770	2013-03-27	107200	A
USGS	11293770	2013-03-28	107700	A
USGS	11293770	2013-03-29	108200	A
USGS	11293770	2013-03-30	108800	A
USGS	11293770	2013-03-31	109800	A
USGS	11293770	2013-04-01	110600	A
USGS	11293770	2013-04-02	111100	A
USGS	11293770	2013-04-03	111700	A
USGS	11293770	2013-04-04	112400	A
USGS	11293770	2013-04-05	113000	A
USGS	11293770	2013-04-06	113600	A
USGS	11293770	2013-04-07	114300	A
USGS	11293770	2013-04-08	115000	A
USGS	11293770	2013-04-09	115400	A
USGS	11293770	2013-04-10	115800	A
USGS	11293770	2013-04-11	116400	A
USGS	11293770	2013-04-12	117200	A
USGS	11293770	2013-04-13	118100	A
USGS	11293770	2013-04-14	119000	A
USGS	11293770	2013-04-15	119900	A
USGS	11293770	2013-04-16	120500	A
USGS	11293770	2013-04-17	120900	A
USGS	11293770	2013-04-18	121300	A
USGS	11293770	2013-04-19	121800	A
USGS	11293770	2013-04-20	122300	A
USGS	11293770	2013-04-21	123100	A
USGS	11293770	2013-04-22	124100	A
USGS	11293770	2013-04-23	125000	A
USGS	11293770	2013-04-24	125900	A
USGS	11293770	2013-04-25	126700	A
USGS	11293770	2013-04-26	127500	A
USGS	11293770	2013-04-27	128500	A
USGS	11293770	2013-04-28	129500	A
USGS	11293770	2013-04-29	130500	A
USGS	11293770	2013-04-30	131600	A
USGS	11293770	2013-05-01	132400	A
USGS	11293770	2013-05-02	133000	A
USGS	11293770	2013-05-03	133800	A
USGS	11293770	2013-05-04	134500	A
USGS	11293770	2013-05-05	135200	A
USGS	11293770	2013-05-06	135800	A
USGS	11293770	2013-05-07	136500	A
USGS	11293770	2013-05-08	137100	A
USGS	11293770	2013-05-09	137700	A
USGS	11293770	2013-05-10	138400	A
USGS	11293770	2013-05-11	139100	A
USGS	11293770	2013-05-12	139800	A
USGS	11293770	2013-05-13	140500	A
USGS	11293770	2013-05-14	141100	A
USGS	11293770	2013-05-15	141700	A
USGS	11293770	2013-05-16	142300	A
USGS	11293770	2013-05-17	142700	A
USGS	11293770	2013-05-18	143100	A
USGS	11293770	2013-05-19	143300	A
USGS	11293770	2013-05-20	143600	A
USGS	11293770	2013-05-21	143800	A
USGS	11293770	2013-05-22	143900	A
USGS	11293770	2013-05-23	144000	A
USGS	11293770	2013-05-24	144100	A
USGS	11293770	2013-05-25	144100	A
USGS	11293770	2013-05-26	144100	A
USGS	11293770	2013-05-27	144200	A
USGS	11293770	2013-05-28	144500	A
USGS	11293770	2013-05-29	144600	A
USGS	11293770	2013-05-30	144600	A
USGS	11293770	2013-05-31	144600	A
USGS	11293770	2013-06-01	144600	A
USGS	11293770	2013-06-02	144600	A
USGS	11293770	2013-06-03	144500	A
USGS	11293770	2013-06-04	144400	A
USGS	11293770	2013-06-05	144300	A
USGS	11293770	2013-06-06	144200	A
USGS	11293770	2013-06-07	144000	A
USGS	11293770	2013-06-08	143900	A
USGS	11293770	2013-06-09	143700	A
USGS	11293770	2013-06-10	143600	A
USGS	11293770	2013-06-11	143400	A
USGS	11293770	2013-06-12	143100	A
USGS	11293770	2013-06-13	142900	A
USGS	11293770	2013-06-14	142700	A
USGS	11293770	2013-06-15	142400	A
USGS	11293770	2013-06-16	142100	A
USGS	11293770	2013-06-17	141900	A
USGS	11293770	2013-06-18	141600	A
USGS	11293770	2013-06-19	141300	A
USGS	11293770	2013-06-20	141000	A
USGS	11293770	2013-06-21	140700	A
USGS	11293770	2013-06-22	140300	A
USGS	11293770	2013-06-23	140000	A
USGS	11293770	2013-06-24	139900	A
USGS	11293770	2013-06-25	139900	A
