agency_cd	site_no	datetime	217555_00054_32400	217555_00054_32400_cd
USGS	11376010	2013-01-01	734.0	A
USGS	11376010	2013-01-02	734.0	A
USGS	11376010	2013-01-03	733.0	A
USGS	11376010	2013-01-04	733.0	A
USGS	11376010	2013-01-05	733.0	A
USGS	11376010	2013-01-06	734.0	A
USGS	11376010	2013-01-07	733.0	A
USGS	11376010	2013-01-08	733.0	A
USGS	11376010	2013-01-09	735.0	A
USGS	11376010	2013-01-10	733.0	A
USGS	11376010	2013-01-11	733.0	A
USGS	11376010	2013-01-12	732.0	A
USGS	11376010	2013-01-13	734.0	A
USGS	11376010	2013-01-14	732.0	A
USGS	11376010	2013-01-15	732.0	A
USGS	11376010	2013-01-16	732.0	A
USGS	11376010	2013-01-17	731.0	A
USGS	11376010	2013-01-18	731.0	A
USGS	11376010	2013-01-19	732.0	A
USGS	11376010	2013-01-20	732.0	A
USGS	11376010	2013-01-21	732.0	A
USGS	11376010	2013-01-22	732.0	A
USGS	11376010	2013-01-23	734.0	A
USGS	11376010	2013-01-24	737.0	A
USGS	11376010	2013-01-25	737.0	A
USGS	11376010	2013-01-26	737.0	A
USGS	11376010	2013-01-27	736.0	A
USGS	11376010	2013-01-28	734.0	A
USGS	11376010	2013-01-29	733.0	A
USGS	11376010	2013-01-30	734.0	A
USGS	11376010	2013-01-31	733.0	A
USGS	11376010	2013-02-01	734.0	A
USGS	11376010	2013-02-02	733.0	A
USGS	11376010	2013-02-03	734.0	A
USGS	11376010	2013-02-04	733.0	A
USGS	11376010	2013-02-05	733.0	A
USGS	11376010	2013-02-06	732.0	A
USGS	11376010	2013-02-07	733.0	A
USGS	11376010	2013-02-08	733.0	A
USGS	11376010	2013-02-09	732.0	A
USGS	11376010	2013-02-10	731.0	A
USGS	11376010	2013-02-11	731.0	A
USGS	11376010	2013-02-12	731.0	A
USGS	11376010	2013-02-13	732.0	A
USGS	11376010	2013-02-14	732.0	A
USGS	11376010	2013-02-15	732.0	A
USGS	11376010	2013-02-16	732.0	A
USGS	11376010	2013-02-17	731.0	A
USGS	11376010	2013-02-18	731.0	A
USGS	11376010	2013-02-19	733.0	A
USGS	11376010	2013-02-20	732.0	A
USGS	11376010	2013-02-21	730.0	A
USGS	11376010	2013-02-22	730.0	A
USGS	11376010	2013-02-23	729.0	A
USGS	11376010	2013-02-24	724.0	A
USGS	11376010	2013-02-25	726.0	A
USGS	11376010	2013-02-26	726.0	A
USGS	11376010	2013-02-27	728.0	A
USGS	11376010	2013-02-28	728.0	A
USGS	11376010	2013-03-01	729.0	A
USGS	11376010	2013-03-02	731.0	A
USGS	11376010	2013-03-03	733.0	A
USGS	11376010	2013-03-04	732.0	A
USGS	11376010	2013-03-05	734.0	A
USGS	11376010	2013-03-06	737.0	A
USGS	11376010	2013-03-07	733.0	A
USGS	11376010	2013-03-08	732.0	A
USGS	11376010	2013-03-09	732.0	A
USGS	11376010	2013-03-10	731.0	A
USGS	11376010	2013-03-11	733.0	A
USGS	11376010	2013-03-12	733.0	A
USGS	11376010	2013-03-13	734.0	A
USGS	11376010	2013-03-14	735.0	A
USGS	11376010	2013-03-15	735.0	A
USGS	11376010	2013-03-16	736.0	A
USGS	11376010	2013-03-17	735.0	A
USGS	11376010	2013-03-18	735.0	A
USGS	11376010	2013-03-19	739.0	A
USGS	11376010	2013-03-20	750.0	A
