agency_cd	site_no	datetime	217896_00054_32400	217896_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11405100	2013-01-01	3520	A
USGS	11405100	2013-01-02	3520	A
USGS	11405100	2013-01-03	3510	A
USGS	11405100	2013-01-04	3510	A
USGS	11405100	2013-01-05	3500	A
USGS	11405100	2013-01-06	3500	A
USGS	11405100	2013-01-07	3500	A
USGS	11405100	2013-01-08	3490	A
USGS	11405100	2013-01-09	3500	A
USGS	11405100	2013-01-10	3500	A
USGS	11405100	2013-01-11	3500	A
USGS	11405100	2013-01-12	3500	A
USGS	11405100	2013-01-13	3500	A
USGS	11405100	2013-01-14	3490	A
USGS	11405100	2013-01-15	3490	A
USGS	11405100	2013-01-16	3480	A
USGS	11405100	2013-01-17	3480	A
USGS	11405100	2013-01-18	3480	A
USGS	11405100	2013-01-19	3480	A
USGS	11405100	2013-01-20	3480	A
USGS	11405100	2013-01-21	3480	A
USGS	11405100	2013-01-22	3480	A
USGS	11405100	2013-01-23	3490	A
USGS	11405100	2013-01-24	3520	A
USGS	11405100	2013-01-25	3540	A
USGS	11405100	2013-01-26	3550	A
USGS	11405100	2013-01-27	3550	A
USGS	11405100	2013-01-28	3540	A
USGS	11405100	2013-01-29	3530	A
USGS	11405100	2013-01-30	3530	A
USGS	11405100	2013-01-31	3530	A
USGS	11405100	2013-02-01	3520	A
USGS	11405100	2013-02-02	3520	A
USGS	11405100	2013-02-03	3520	A
USGS	11405100	2013-02-04	3520	A
USGS	11405100	2013-02-05	3520	A
USGS	11405100	2013-02-06	3520	A
USGS	11405100	2013-02-07	3520	A
USGS	11405100	2013-02-08	3520	A
USGS	11405100	2013-02-09	3520	A
USGS	11405100	2013-02-10	3510	A
USGS	11405100	2013-02-11	3510	A
USGS	11405100	2013-02-12	3500	A
USGS	11405100	2013-02-13	3500	A
USGS	11405100	2013-02-14	3500	A
USGS	11405100	2013-02-15	3500	A
USGS	11405100	2013-02-16	3500	A
USGS	11405100	2013-02-17	3510	A
USGS	11405100	2013-02-18	3510	A
USGS	11405100	2013-02-19	3520	A
USGS	11405100	2013-02-20	3520	A
USGS	11405100	2013-02-21	3510	A
USGS	11405100	2013-02-22	3510	A
USGS	11405100	2013-02-23	3510	A
USGS	11405100	2013-02-24	3500	A
USGS	11405100	2013-02-25	3500	A
USGS	11405100	2013-02-26	3500	A
USGS	11405100	2013-02-27	3500	A
USGS	11405100	2013-02-28	3500	A
USGS	11405100	2013-03-01	3500	A
USGS	11405100	2013-03-02	3500	A
USGS	11405100	2013-03-03	3520	A
USGS	11405100	2013-03-04	3530	A
USGS	11405100	2013-03-05	3540	A
USGS	11405100	2013-03-06	3560	A
USGS	11405100	2013-03-07	3550	A
USGS	11405100	2013-03-08	3540	A
USGS	11405100	2013-03-09	3530	A
USGS	11405100	2013-03-10	3520	A
USGS	11405100	2013-03-11	3520	A
USGS	11405100	2013-03-12	3530	A
USGS	11405100	2013-03-13	3530	A
USGS	11405100	2013-03-14	3550	A
USGS	11405100	2013-03-15	3560	A
USGS	11405100	2013-03-16	3560	A
USGS	11405100	2013-03-17	3560	A
USGS	11405100	2013-03-18	3560	A
USGS	11405100	2013-03-19	3590	A
USGS	11405100	2013-03-20	3700	A
USGS	11405100	2013-03-21	3700	A
USGS	11405100	2013-03-22	3670	A
USGS	11405100	2013-03-23	3640	A
USGS	11405100	2013-03-24	3620	A
USGS	11405100	2013-03-25	3610	A
USGS	11405100	2013-03-26	3600	A
USGS	11405100	2013-03-27	3600	A
USGS	11405100	2013-03-28	3620	A
USGS	11405100	2013-03-29	3620	A
USGS	11405100	2013-03-30	3630	A
USGS	11405100	2013-03-31	3710	A
USGS	11405100	2013-04-01	3700	A
USGS	11405100	2013-04-02	3730	A
USGS	11405100	2013-04-03	3800	A
USGS	11405100	2013-04-04	3930	A
USGS	11405100	2013-04-05	4030	A
USGS	11405100	2013-04-06	4120	A
USGS	11405100	2013-04-07	4210	A
USGS	11405100	2013-04-08	4270	A
USGS	11405100	2013-04-09	4280	A
USGS	11405100	2013-04-10	4300	A
USGS	11405100	2013-04-11	4300	A
USGS	11405100	2013-04-12	4300	A
USGS	11405100	2013-04-13	4300	A
USGS	11405100	2013-04-14	4300	A
USGS	11405100	2013-04-15	4300	A
USGS	11405100	2013-04-16	4290	A
USGS	11405100	2013-04-17	4270	A
USGS	11405100	2013-04-18	4270	A
USGS	11405100	2013-04-19	4270	A
USGS	11405100	2013-04-20	4280	A
USGS	11405100	2013-04-21	4280	A
USGS	11405100	2013-04-22	4280	A
USGS	11405100	2013-04-23	4310	A
USGS	11405100	2013-04-24	4350	A
USGS	11405100	2013-04-25	4380	A
USGS	11405100	2013-04-26	4420	A
USGS	11405100	2013-04-27	4470	A
USGS	11405100	2013-04-28	4510	A
USGS	11405100	2013-04-29	4560	A
USGS	11405100	2013-04-30	4600	A
USGS	11405100	2013-05-01	4630	A
USGS	11405100	2013-05-02	4650	A
USGS	11405100	2013-05-03	4680	A
USGS	11405100	2013-05-04	4710	A
USGS	11405100	2013-05-05	4740	A
USGS	11405100	2013-05-06	4770	A
USGS	11405100	2013-05-07	4790	A
USGS	11405100	2013-05-08	4810	A
USGS	11405100	2013-05-09	4830	A
USGS	11405100	2013-05-10	4850	A
USGS	11405100	2013-05-11	4870	A
USGS	11405100	2013-05-12	4890	A
USGS	11405100	2013-05-13	4910	A
USGS	11405100	2013-05-14	4920	A
USGS	11405100	2013-05-15	4940	A
USGS	11405100	2013-05-16	4960	A
USGS	11405100	2013-05-17	4980	A
USGS	11405100	2013-05-18	4990	A
USGS	11405100	2013-05-19	5000	A
USGS	11405100	2013-05-20	5000	A
USGS	11405100	2013-05-21	5010	A
USGS	11405100	2013-05-22	5020	A
USGS	11405100	2013-05-23	5020	A
USGS	11405100	2013-05-24	5020	A
USGS	11405100	2013-05-25	5020	A
USGS	11405100	2013-05-26	5030	A
USGS	11405100	2013-05-27	5040	A
USGS	11405100	2013-05-28	5030	A
USGS	11405100	2013-05-29	5020	A
USGS	11405100	2013-05-30	5020	A
USGS	11405100	2013-05-31	5020	A
USGS	11405100	2013-06-01	5020	A
USGS	11405100	2013-06-02	5020	A
USGS	11405100	2013-06-03	5020	A
USGS	11405100	2013-06-04	5010	A
USGS	11405100	2013-06-05	5010	A
USGS	11405100	2013-06-06	5010	A
USGS	11405100	2013-06-07	5000	A
USGS	11405100	2013-06-08	5000	A
USGS	11405100	2013-06-09	4990	A
USGS	11405100	2013-06-10	5000	A
USGS	11405100	2013-06-11	4990	A
USGS	11405100	2013-06-12	4990	A
USGS	11405100	2013-06-13	4980	A
USGS	11405100	2013-06-14	4970	A
USGS	11405100	2013-06-15	4960	A
USGS	11405100	2013-06-16	4960	A
USGS	11405100	2013-06-17	4950	A
USGS	11405100	2013-06-18	4950	A
USGS	11405100	2013-06-19	4940	A
USGS	11405100	2013-06-20	4930	A
USGS	11405100	2013-06-21	4930	A
USGS	11405100	2013-06-22	4920	A
USGS	11405100	2013-06-23	4920	A
USGS	11405100	2013-06-24	4920	A
USGS	11405100	2013-06-25	4960	A
USGS	11405100	2013-06-26	4960	A
USGS	11405100	2013-06-27	4950	A
USGS	11405100	2013-06-28	4940	A
USGS	11405100	2013-06-29	4890	A
USGS	11405100	2013-06-30	4830	A
USGS	11405100	2013-07-01	4760	A
USGS	11405100	2013-07-02	4700	A
USGS	11405100	2013-07-03	4630	A
USGS	11405100	2013-07-04	4560	A
USGS	11405100	2013-07-05	4500	A
USGS	11405100	2013-07-06	4480	A
USGS	11405100	2013-07-07	4450	A
USGS	11405100	2013-07-08	4430	A
USGS	11405100	2013-07-09	4410	A
USGS	11405100	2013-07-10	4390	A
USGS	11405100	2013-07-11	4360	A
USGS	11405100	2013-07-12	4340	A
USGS	11405100	2013-07-13	4310	A
USGS	11405100	2013-07-14	4290	A
USGS	11405100	2013-07-15	4270	A
USGS	11405100	2013-07-16	4240	A
USGS	11405100	2013-07-17	4220	A
USGS	11405100	2013-07-18	4180	A
USGS	11405100	2013-07-19	4140	A
USGS	11405100	2013-07-20	4100	A
USGS	11405100	2013-07-21	4070	A
USGS	11405100	2013-07-22	4040	A
USGS	11405100	2013-07-23	4020	A
USGS	11405100	2013-07-24	4000	A
USGS	11405100	2013-07-25	3970	A
USGS	11405100	2013-07-26	3930	A
USGS	11405100	2013-07-27	3880	A
USGS	11405100	2013-07-28	3840	A
USGS	11405100	2013-07-29	3800	A
USGS	11405100	2013-07-30	3750	A
USGS	11405100	2013-07-31	3700	A
USGS	11405100	2013-08-01	3630	A
USGS	11405100	2013-08-02	3560	A
USGS	11405100	2013-08-03	3500	A
USGS	11405100	2013-08-04	3430	A
USGS	11405100	2013-08-05	3370	A
USGS	11405100	2013-08-06	3300	A
USGS	11405100	2013-08-07	3230	A
USGS	11405100	2013-08-08	3180	A
USGS	11405100	2013-08-09	3130	A
USGS	11405100	2013-08-10	3090	A
USGS	11405100	2013-08-11	3050	A
USGS	11405100	2013-08-12	3010	A
USGS	11405100	2013-08-13	2960	A
USGS	11405100	2013-08-14	2920	A
USGS	11405100	2013-08-15	2880	A
USGS	11405100	2013-08-16	2830	A
USGS	11405100	2013-08-17	2770	A
USGS	11405100	2013-08-18	2700	A
USGS	11405100	2013-08-19	2650	A
USGS	11405100	2013-08-20	2590	A
USGS	11405100	2013-08-21	2530	A
USGS	11405100	2013-08-22	2470	A
USGS	11405100	2013-08-23	2420	A
USGS	11405100	2013-08-24	2360	A
USGS	11405100	2013-08-25	2300	A
USGS	11405100	2013-08-26	2240	A
USGS	11405100	2013-08-27	2190	A
USGS	11405100	2013-08-28	2130	A
USGS	11405100	2013-08-29	2070	A
USGS	11405100	2013-08-30	2010	A
USGS	11405100	2013-08-31	1960	A
