agency_cd	site_no	datetime	8805_62614_00001	8805_62614_00001_cd	8806_62614_00002	8806_62614_00002_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11162618	2013-01-01	695.12	A	694.89	A
USGS	11162618	2013-01-02	694.89	A	694.73	A
USGS	11162618	2013-01-03	694.73	A	694.60	A
USGS	11162618	2013-01-04	694.60	A	694.49	A
USGS	11162618	2013-01-05	694.50	A	694.44	A
USGS	11162618	2013-01-06	694.45	A	694.40	A
USGS	11162618	2013-01-07	694.40	A	694.35	A
USGS	11162618	2013-01-08	694.35	A	694.31	A
USGS	11162618	2013-01-09	694.33	A	694.29	A
USGS	11162618	2013-01-10	694.31	A	694.26	A
USGS	11162618	2013-01-11	694.28	A	694.23	A
USGS	11162618	2013-01-12	694.24	A	694.21	A
USGS	11162618	2013-01-13	694.22	A	694.19	A
USGS	11162618	2013-01-14	694.20	A	694.17	A
USGS	11162618	2013-01-15	694.18	A	694.15	A
USGS	11162618	2013-01-16	694.15	A	694.12	A
USGS	11162618	2013-01-17	694.12	A	694.09	A
USGS	11162618	2013-01-18	694.10	A	694.07	A
USGS	11162618	2013-01-19	694.07	A	694.03	A
USGS	11162618	2013-01-20	694.04	A	694.02	A
USGS	11162618	2013-01-21	694.03	A	694.01	A
USGS	11162618	2013-01-22	694.02	A	694.01	A
USGS	11162618	2013-01-23	694.02	A	694.01	A
USGS	11162618	2013-01-24	694.03	A	694.01	A
USGS	11162618	2013-01-25	694.03	A	694.01	A
USGS	11162618	2013-01-26	694.04	A	693.99	A
USGS	11162618	2013-01-27	694.02	A	693.95	A
USGS	11162618	2013-01-28	693.98	A	693.94	A
USGS	11162618	2013-01-29	693.95	A	693.92	A
USGS	11162618	2013-01-30	693.93	A	693.90	A
USGS	11162618	2013-01-31	693.92	A	693.89	A
USGS	11162618	2013-02-01	693.90	A	693.88	A
USGS	11162618	2013-02-02	693.90	A	693.87	A
USGS	11162618	2013-02-03	693.89	A	693.86	A
USGS	11162618	2013-02-04	693.89	A	693.85	A
USGS	11162618	2013-02-05	693.88	A	693.85	A
USGS	11162618	2013-02-06	693.87	A	693.84	A
USGS	11162618	2013-02-07	693.88	A	693.84	A
USGS	11162618	2013-02-08	693.92	A	693.86	A
USGS	11162618	2013-02-09	693.93	A	693.90	A
USGS	11162618	2013-02-10	693.93	A	693.90	A
USGS	11162618	2013-02-11	693.93	A	693.90	A
USGS	11162618	2013-02-12	693.93	A	693.90	A
USGS	11162618	2013-02-13	693.93	A	693.89	A
USGS	11162618	2013-02-14	693.90	A	693.83	A
USGS	11162618	2013-02-15	693.84	A	693.80	A
USGS	11162618	2013-02-16	693.81	A	693.79	A
USGS	11162618	2013-02-17	693.81	A	693.78	A
USGS	11162618	2013-02-18	693.80	A	693.78	A
USGS	11162618	2013-02-19	693.89	A	693.78	A
USGS	11162618	2013-02-20	693.92	A	693.87	A
USGS	11162618	2013-02-21	693.94	A	693.89	A
USGS	11162618	2013-02-22	693.96	A	693.92	A
USGS	11162618	2013-02-23	693.99	A	693.94	A
USGS	11162618	2013-02-24	693.99	A	693.96	A
USGS	11162618	2013-02-25	694.01	A	693.97	A
USGS	11162618	2013-02-26	694.03	A	693.99	A
USGS	11162618	2013-02-27	694.06	A	694.01	A
USGS	11162618	2013-02-28	694.07	A	694.03	A
USGS	11162618	2013-03-01	694.09	A	694.05	A
USGS	11162618	2013-03-02	694.11	A	694.07	A
USGS	11162618	2013-03-03	694.14	A	694.10	A
USGS	11162618	2013-03-04	694.16	A	694.11	A
USGS	11162618	2013-03-05	694.19	A	694.14	A
USGS	11162618	2013-03-06	694.24	A	694.17	A
USGS	11162618	2013-03-07	694.28	A	694.22	A
USGS	11162618	2013-03-08	694.31	A	694.27	A
USGS	11162618	2013-03-09	694.32	A	694.28	A
USGS	11162618	2013-03-10	694.32	A	694.29	A
USGS	11162618	2013-03-11	694.33	A	694.29	A
USGS	11162618	2013-03-12	694.33	A	694.29	A
USGS	11162618	2013-03-13	694.31	A	694.28	A
USGS	11162618	2013-03-14	694.32	A	694.29	A
USGS	11162618	2013-03-15	694.34	A	694.29	A
USGS	11162618	2013-03-16	694.31	A	694.25	A
USGS	11162618	2013-03-17	694.27	A	694.19	A
USGS	11162618	2013-03-18	694.20	A	694.13	A
USGS	11162618	2013-03-19	694.15	A	694.09	A
USGS	11162618	2013-03-20	694.10	A	694.06	A
USGS	11162618	2013-03-21	694.08	A	694.01	A
USGS	11162618	2013-03-22	694.02	A	693.96	A
USGS	11162618	2013-03-23	693.97	A	693.90	A
USGS	11162618	2013-03-24	693.91	A	693.84	A
USGS	11162618	2013-03-25	693.86	A	693.79	A
USGS	11162618	2013-03-26	693.80	A	693.74	A
USGS	11162618	2013-03-27	693.75	A	693.70	A
USGS	11162618	2013-03-28	693.71	A	693.67	A
USGS	11162618	2013-03-29	693.68	A	693.61	A
USGS	11162618	2013-03-30	693.62	A	693.57	A
USGS	11162618	2013-03-31	693.61	A	693.57	A
USGS	11162618	2013-04-01	693.61	A	693.58	A
USGS	11162618	2013-04-02	693.59	A	693.56	A
USGS	11162618	2013-04-03	693.57	A	693.54	A
USGS	11162618	2013-04-04	693.62	A	693.55	A
USGS	11162618	2013-04-05	693.63	A	693.61	A
USGS	11162618	2013-04-06	693.64	A	693.61	A
USGS	11162618	2013-04-07	693.63	A	693.61	A
USGS	11162618	2013-04-08	693.62	A	693.61	A
USGS	11162618	2013-04-09	693.63	A	693.61	A
USGS	11162618	2013-04-10	693.63	A	693.61	A
USGS	11162618	2013-04-11	693.63	A	693.61	A
USGS	11162618	2013-04-12	693.63	A	693.61	A
USGS	11162618	2013-04-13	693.63	A	693.59	A
USGS	11162618	2013-04-14	693.62	A	693.59	A
USGS	11162618	2013-04-15	693.63	A	693.59	A
USGS	11162618	2013-04-16	693.64	A	693.60	A
USGS	11162618	2013-04-17	693.65	A	693.61	A
USGS	11162618	2013-04-18	693.66	A	693.62	A
USGS	11162618	2013-04-19	693.69	A	693.64	A
USGS	11162618	2013-04-20	693.70	A	693.66	A
USGS	11162618	2013-04-21	693.72	A	693.68	A
USGS	11162618	2013-04-22	693.73	A	693.70	A
USGS	11162618	2013-04-23	693.74	A	693.71	A
USGS	11162618	2013-04-24	693.74	A	693.72	A
USGS	11162618	2013-04-25	693.75	A	693.72	A
USGS	11162618	2013-04-26	693.77	A	693.74	A
USGS	11162618	2013-04-27	693.77	A	693.75	A
USGS	11162618	2013-04-28	693.79	A	693.77	A
USGS	11162618	2013-04-29	693.79	A	693.75	A
USGS	11162618	2013-04-30	693.78	A	693.76	A
USGS	11162618	2013-05-01	693.77	A	693.76	A
USGS	11162618	2013-05-02	693.78	A	693.76	A
USGS	11162618	2013-05-03	693.79	A	693.77	A
USGS	11162618	2013-05-04	693.80	A	693.78	A
USGS	11162618	2013-05-05	693.80	A	693.78	A
USGS	11162618	2013-05-06	693.81	A	693.79	A
USGS	11162618	2013-05-07	693.81	A	693.79	A
USGS	11162618	2013-05-08	693.81	A	693.80	A
USGS	11162618	2013-05-09	693.82	A	693.80	A
USGS	11162618	2013-05-10	693.82	A	693.80	A
USGS	11162618	2013-05-11	693.83	A	693.80	A
USGS	11162618	2013-05-12	693.84	A	693.81	A
USGS	11162618	2013-05-13	693.84	A	693.81	A
USGS	11162618	2013-05-14	693.84	A	693.81	A
USGS	11162618	2013-05-15	693.84	A	693.81	A
USGS	11162618	2013-05-16	693.84	A	693.81	A
USGS	11162618	2013-05-17	693.84	A	693.80	A
USGS	11162618	2013-05-18	693.83	A	693.80	A
USGS	11162618	2013-05-19	693.82	A	693.80	A
USGS	11162618	2013-05-20	693.81	A	693.79	A
USGS	11162618	2013-05-21	693.80	A	693.76	A
USGS	11162618	2013-05-22	693.79	A	693.76	A
USGS	11162618	2013-05-23	693.78	A	693.75	A
USGS	11162618	2013-05-24	693.77	A	693.75	A
USGS	11162618	2013-05-25	693.78	A	693.75	A
USGS	11162618	2013-05-26	693.77	A	693.75	A
USGS	11162618	2013-05-27	693.78	A	693.75	A
USGS	11162618	2013-05-28	693.81	A	693.78	A
USGS	11162618	2013-05-29	693.81	A	693.79	A
USGS	11162618	2013-05-30	693.82	A	693.80	A
USGS	11162618	2013-05-31	693.82	A	693.80	A
USGS	11162618	2013-06-01	693.82	A	693.80	A
USGS	11162618	2013-06-02	693.84	A	693.81	A
USGS	11162618	2013-06-03	693.82	A	693.81	A
USGS	11162618	2013-06-04	693.83	A	693.81	A
USGS	11162618	2013-06-05	693.83	A	693.81	A
USGS	11162618	2013-06-06	693.82	A	693.80	A
USGS	11162618	2013-06-07	693.81	A	693.79	A
USGS	11162618	2013-06-08	693.80	A	693.77	A
USGS	11162618	2013-06-09	693.78	A	693.75	A
USGS	11162618	2013-06-10	693.76	A	693.74	A
USGS	11162618	2013-06-11	693.75	A	693.73	A
USGS	11162618	2013-06-12	693.75	A	693.71	A
USGS	11162618	2013-06-13	693.73	A	693.71	A
USGS	11162618	2013-06-14	693.72	A	693.70	A
USGS	11162618	2013-06-15	693.72	A	693.70	A
USGS	11162618	2013-06-16	693.71	A	693.69	A
USGS	11162618	2013-06-17	693.70	A	693.67	A
USGS	11162618	2013-06-18	693.70	A	693.67	A
USGS	11162618	2013-06-19	693.69	A	693.66	A
USGS	11162618	2013-06-20	693.68	A	693.66	A
USGS	11162618	2013-06-21	693.68	A	693.66	A
USGS	11162618	2013-06-22	693.68	A	693.65	A
USGS	11162618	2013-06-23	693.68	A	693.65	A
