agency_cd	site_no	datetime	213466_00054_32400	213466_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11295900	2013-01-01	8120	A
USGS	11295900	2013-01-02	8060	A
USGS	11295900	2013-01-03	8000	A
USGS	11295900	2013-01-04	7950	A
USGS	11295900	2013-01-05	7900	A
USGS	11295900	2013-01-06	7840	A
USGS	11295900	2013-01-07	7780	A
USGS	11295900	2013-01-08	7740	A
USGS	11295900	2013-01-09	7700	A
USGS	11295900	2013-01-10	7650	A
USGS	11295900	2013-01-11	7590	A
USGS	11295900	2013-01-12	7530	A
USGS	11295900	2013-01-13	7460	A
USGS	11295900	2013-01-14	7390	A
USGS	11295900	2013-01-15	7330	A
USGS	11295900	2013-01-16	7270	A
USGS	11295900	2013-01-17	7220	A
USGS	11295900	2013-01-18	7170	A
USGS	11295900	2013-01-19	7130	A
USGS	11295900	2013-01-20	7090	A
USGS	11295900	2013-01-21	7050	A
USGS	11295900	2013-01-22	7010	A
USGS	11295900	2013-01-23	6970	A
USGS	11295900	2013-01-24	6990	A
USGS	11295900	2013-01-25	7150	A
USGS	11295900	2013-01-26	7220	A
USGS	11295900	2013-01-27	7230	A
USGS	11295900	2013-01-28	7210	A
USGS	11295900	2013-01-29	7180	A
USGS	11295900	2013-01-30	7150	A
USGS	11295900	2013-01-31	7130	A
USGS	11295900	2013-02-01	7100	A
USGS	11295900	2013-02-02	7080	A
USGS	11295900	2013-02-03	7040	A
USGS	11295900	2013-02-04	7010	A
USGS	11295900	2013-02-05	6980	A
USGS	11295900	2013-02-06	6940	A
USGS	11295900	2013-02-07	6900	A
USGS	11295900	2013-02-08	6840	A
USGS	11295900	2013-02-09	6790	A
USGS	11295900	2013-02-10	6720	A
USGS	11295900	2013-02-11	6660	A
USGS	11295900	2013-02-12	6590	A
USGS	11295900	2013-02-13	6530	A
USGS	11295900	2013-02-14	6470	A
USGS	11295900	2013-02-15	6420	A
USGS	11295900	2013-02-16	6380	A
USGS	11295900	2013-02-17	6320	A
USGS	11295900	2013-02-18	6270	A
USGS	11295900	2013-02-19	6220	A
USGS	11295900	2013-02-20	6160	A
USGS	11295900	2013-02-21	6100	A
USGS	11295900	2013-02-22	6030	A
USGS	11295900	2013-02-23	5970	A
USGS	11295900	2013-02-24	5900	A
USGS	11295900	2013-02-25	5840	A
USGS	11295900	2013-02-26	5790	A
USGS	11295900	2013-02-27	5750	A
USGS	11295900	2013-02-28	5710	A
USGS	11295900	2013-03-01	5690	A
USGS	11295900	2013-03-02	5710	A
USGS	11295900	2013-03-03	5770	A
USGS	11295900	2013-03-04	5790	A
USGS	11295900	2013-03-05	5800	A
USGS	11295900	2013-03-06	5820	A
USGS	11295900	2013-03-07	5830	A
USGS	11295900	2013-03-08	5850	A
USGS	11295900	2013-03-09	5860	A
USGS	11295900	2013-03-10	5880	A
USGS	11295900	2013-03-11	5940	A
USGS	11295900	2013-03-12	6050	A
USGS	11295900	2013-03-13	6200	A
USGS	11295900	2013-03-14	6380	A
USGS	11295900	2013-03-15	6550	A
USGS	11295900	2013-03-16	6690	A
USGS	11295900	2013-03-17	6800	A
USGS	11295900	2013-03-18	6900	A
USGS	11295900	2013-03-19	7000	A
USGS	11295900	2013-03-20	7190	A
USGS	11295900	2013-03-21	7300	A
USGS	11295900	2013-03-22	7410	A
USGS	11295900	2013-03-23	7480	A
USGS	11295900	2013-03-24	7550	A
USGS	11295900	2013-03-25	7670	A
USGS	11295900	2013-03-26	7780	A
USGS	11295900	2013-03-27	7880	A
USGS	11295900	2013-03-28	8010	A
USGS	11295900	2013-03-29	8140	A
USGS	11295900	2013-03-30	8330	A
USGS	11295900	2013-03-31	8610	A
USGS	11295900	2013-04-01	8780	A
USGS	11295900	2013-04-02	8900	A
USGS	11295900	2013-04-03	9060	A
USGS	11295900	2013-04-04	9310	A
USGS	11295900	2013-04-05	9510	A
USGS	11295900	2013-04-06	9690	A
USGS	11295900	2013-04-07	9900	A
USGS	11295900	2013-04-08	10100	A
USGS	11295900	2013-04-09	10300	A
USGS	11295900	2013-04-10	10400	A
USGS	11295900	2013-04-11	10700	A
USGS	11295900	2013-04-12	11100	A
USGS	11295900	2013-04-13	11600	A
USGS	11295900	2013-04-14	12000	A
USGS	11295900	2013-04-15	12400	A
USGS	11295900	2013-04-16	12600	A
USGS	11295900	2013-04-17	12700	A
USGS	11295900	2013-04-18	12800	A
USGS	11295900	2013-04-19	13100	A
USGS	11295900	2013-04-20	13400	A
USGS	11295900	2013-04-21	13800	A
USGS	11295900	2013-04-22	14300	A
USGS	11295900	2013-04-23	14900	A
USGS	11295900	2013-04-24	15300	A
USGS	11295900	2013-04-25	15800	A
USGS	11295900	2013-04-26	16500	A
USGS	11295900	2013-04-27	16800	A
USGS	11295900	2013-04-28	17300	A
USGS	11295900	2013-04-29	17900	A
USGS	11295900	2013-04-30	18000	A
USGS	11295900	2013-05-01	18000	A
USGS	11295900	2013-05-02	18000	A
USGS	11295900	2013-05-03	18000	A
USGS	11295900	2013-05-04	18000	A
USGS	11295900	2013-05-05	17900	A
USGS	11295900	2013-05-06	18000	A
USGS	11295900	2013-05-07	18000	A
USGS	11295900	2013-05-08	18000	A
USGS	11295900	2013-05-09	18000	A
USGS	11295900	2013-05-10	18000	A
USGS	11295900	2013-05-11	18200	A
USGS	11295900	2013-05-12	18200	A
USGS	11295900	2013-05-13	18200	A
USGS	11295900	2013-05-14	18100	A
USGS	11295900	2013-05-15	18200	A
USGS	11295900	2013-05-16	18100	A
USGS	11295900	2013-05-17	18100	A
USGS	11295900	2013-05-18	18200	A
USGS	11295900	2013-05-19	18200	A
USGS	11295900	2013-05-20	18300	A
USGS	11295900	2013-05-21	18300	A
USGS	11295900	2013-05-22	18300	A
USGS	11295900	2013-05-23	18300	A
USGS	11295900	2013-05-24	18300	A
USGS	11295900	2013-05-25	18300	A
USGS	11295900	2013-05-26	18300	A
USGS	11295900	2013-05-27	18300	A
USGS	11295900	2013-05-28	18400	A
USGS	11295900	2013-05-29	18300	A
USGS	11295900	2013-05-30	18200	A
USGS	11295900	2013-05-31	18100	A
USGS	11295900	2013-06-01	18200	A
USGS	11295900	2013-06-02	18300	A
USGS	11295900	2013-06-03	18400	A
USGS	11295900	2013-06-04	18300	A
USGS	11295900	2013-06-05	18300	A
USGS	11295900	2013-06-06	18300	A
USGS	11295900	2013-06-07	18300	A
USGS	11295900	2013-06-08	18300	A
USGS	11295900	2013-06-09	18400	A
USGS	11295900	2013-06-10	18300	A
USGS	11295900	2013-06-11	18300	A
USGS	11295900	2013-06-12	18300	A
USGS	11295900	2013-06-13	18200	A
USGS	11295900	2013-06-14	18200	A
USGS	11295900	2013-06-15	18200	A
USGS	11295900	2013-06-16	18200	A
USGS	11295900	2013-06-17	18200	A
USGS	11295900	2013-06-18	18200	A
USGS	11295900	2013-06-19	18200	A
USGS	11295900	2013-06-20	18200	A
USGS	11295900	2013-06-21	18200	A
USGS	11295900	2013-06-22	18200	A
USGS	11295900	2013-06-23	18100	A
USGS	11295900	2013-06-24	18100	A
USGS	11295900	2013-06-25	18300	A
USGS	11295900	2013-06-26	18300	A
USGS	11295900	2013-06-27	18300	A
USGS	11295900	2013-06-28	18300	A
USGS	11295900	2013-06-29	18300	A
USGS	11295900	2013-06-30	18300	A
USGS	11295900	2013-07-01	18300	A
USGS	11295900	2013-07-02	18200	A
USGS	11295900	2013-07-03	18200	A
USGS	11295900	2013-07-04	18200	A
