agency_cd	site_no	datetime	216848_00054_32400	216848_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11362400	2013-01-01	1805	A
USGS	11362400	2013-01-02	1848	A
USGS	11362400	2013-01-03	1806	A
USGS	11362400	2013-01-04	1792	A
USGS	11362400	2013-01-05	1834	A
USGS	11362400	2013-01-06	1780	A
USGS	11362400	2013-01-07	1792	A
USGS	11362400	2013-01-08	1767	A
USGS	11362400	2013-01-09	1691	A
USGS	11362400	2013-01-10	1754	A
USGS	11362400	2013-01-11	1731	A
USGS	11362400	2013-01-12	1743	A
USGS	11362400	2013-01-13	1733	A
USGS	11362400	2013-01-14	1689	A
USGS	11362400	2013-01-15	1765	A
USGS	11362400	2013-01-16	1670	A
USGS	11362400	2013-01-17	1548	A
USGS	11362400	2013-01-18	1544	A
USGS	11362400	2013-01-19	1560	A
USGS	11362400	2013-01-20	1580	A
USGS	11362400	2013-01-21	1571	A
USGS	11362400	2013-01-22	1568	A
USGS	11362400	2013-01-23	1519	A
USGS	11362400	2013-01-24	1490	A
USGS	11362400	2013-01-25	1594	A
USGS	11362400	2013-01-26	1767	A
USGS	11362400	2013-01-27	1726	A
USGS	11362400	2013-01-28	1809	A
USGS	11362400	2013-01-29	1832	A
USGS	11362400	2013-01-30	1825	A
USGS	11362400	2013-01-31	1748	A
USGS	11362400	2013-02-01	1793	A
USGS	11362400	2013-02-02	1649	A
USGS	11362400	2013-02-03	1371	A
USGS	11362400	2013-02-04	1654	A
USGS	11362400	2013-02-05	1704	A
USGS	11362400	2013-02-06	1765	A
USGS	11362400	2013-02-07	1628	A
USGS	11362400	2013-02-08	1621	A
USGS	11362400	2013-02-09	1512	A
USGS	11362400	2013-02-10	1489	A
USGS	11362400	2013-02-11	1570	A
USGS	11362400	2013-02-12	2083	A
USGS	11362400	2013-02-13	2056	A
USGS	11362400	2013-02-14	2039	A
USGS	11362400	2013-02-15	1919	A
USGS	11362400	2013-02-16	1791	A
USGS	11362400	2013-02-17	1507	A
USGS	11362400	2013-02-18	1464	A
USGS	11362400	2013-02-19	1468	A
USGS	11362400	2013-02-20	1997	A
USGS	11362400	2013-02-21	2045	A
USGS	11362400	2013-02-22	1946	A
USGS	11362400	2013-02-23	1828	A
USGS	11362400	2013-02-24	1578	A
USGS	11362400	2013-02-25	1592	A
USGS	11362400	2013-02-26	1761	A
USGS	11362400	2013-02-27	1751	A
USGS	11362400	2013-02-28	1721	A
USGS	11362400	2013-03-01	1645	A
USGS	11362400	2013-03-02	1618	A
USGS	11362400	2013-03-03	1519	A
USGS	11362400	2013-03-04	1616	A
USGS	11362400	2013-03-05	1967	A
USGS	11362400	2013-03-06	2048	A
USGS	11362400	2013-03-07	2037	A
USGS	11362400	2013-03-08	2039	A
USGS	11362400	2013-03-09	2067	A
USGS	11362400	2013-03-10	2073	A
USGS	11362400	2013-03-11	2076	A
USGS	11362400	2013-03-12	2112	A
USGS	11362400	2013-03-13	2114	A
USGS	11362400	2013-03-14	2116	A
USGS	11362400	2013-03-15	2124	A
USGS	11362400	2013-03-16	2129	A
USGS	11362400	2013-03-17	2136	A
USGS	11362400	2013-03-18	2127	A
USGS	11362400	2013-03-19	2119	A
USGS	11362400	2013-03-20	2106	A
USGS	11362400	2013-03-21	2098	A
USGS	11362400	2013-03-22	2079	A
USGS	11362400	2013-03-23	2048	A
USGS	11362400	2013-03-24	1742	A
USGS	11362400	2013-03-25	1543	A
USGS	11362400	2013-03-26	1638	A
USGS	11362400	2013-03-27	1664	A
USGS	11362400	2013-03-28	1616	A
USGS	11362400	2013-03-29	1681	A
USGS	11362400	2013-03-30	1605	A
USGS	11362400	2013-03-31	1568	A
USGS	11362400	2013-04-01	1689	A
USGS	11362400	2013-04-02	1766	A
USGS	11362400	2013-04-03	1598	A
USGS	11362400	2013-04-04	1736	A
USGS	11362400	2013-04-05	1803	A
USGS	11362400	2013-04-06	1814	A
USGS	11362400	2013-04-07	1848	A
USGS	11362400	2013-04-08	1916	A
USGS	11362400	2013-04-09	1917	A
USGS	11362400	2013-04-10	1808	A
USGS	11362400	2013-04-11	1774	A
USGS	11362400	2013-04-12	1698	A
USGS	11362400	2013-04-13	1660	A
USGS	11362400	2013-04-14	1588	A
USGS	11362400	2013-04-15	1640	A
USGS	11362400	2013-04-16	1565	A
USGS	11362400	2013-04-17	1535	A
USGS	11362400	2013-04-18	1688	A
USGS	11362400	2013-04-19	1699	A
USGS	11362400	2013-04-20	1675	A
USGS	11362400	2013-04-21	1560	A
USGS	11362400	2013-04-22	1729	A
USGS	11362400	2013-04-23	1572	A
USGS	11362400	2013-04-24	1647	A
USGS	11362400	2013-04-25	1700	A
USGS	11362400	2013-04-26	1688	A
USGS	11362400	2013-04-27	1656	A
USGS	11362400	2013-04-28	1639	A
USGS	11362400	2013-04-29	1617	A
USGS	11362400	2013-04-30	1547	A
USGS	11362400	2013-05-01	1611	A
USGS	11362400	2013-05-02	1627	A
USGS	11362400	2013-05-03	1652	A
USGS	11362400	2013-05-04	1662	A
USGS	11362400	2013-05-05	1697	A
USGS	11362400	2013-05-06	1702	A
USGS	11362400	2013-05-07	1692	A
USGS	11362400	2013-05-08	1701	A
USGS	11362400	2013-05-09	1717	A
USGS	11362400	2013-05-10	1685	A
USGS	11362400	2013-05-11	1681	A
USGS	11362400	2013-05-12	1710	A
USGS	11362400	2013-05-13	1744	A
USGS	11362400	2013-05-14	1749	A
USGS	11362400	2013-05-15	1784	A
USGS	11362400	2013-05-16	1744	A
USGS	11362400	2013-05-17	1736	A
USGS	11362400	2013-05-18	1746	A
USGS	11362400	2013-05-19	1735	A
USGS	11362400	2013-05-20	1734	A
USGS	11362400	2013-05-21	1736	A
USGS	11362400	2013-05-22	1724	A
USGS	11362400	2013-05-23	1753	A
USGS	11362400	2013-05-24	1690	A
USGS	11362400	2013-05-25	1703	A
USGS	11362400	2013-05-26	1701	A
USGS	11362400	2013-05-27	1763	A
USGS	11362400	2013-05-28	1754	A
USGS	11362400	2013-05-29	1746	A
USGS	11362400	2013-05-30	1681	A
USGS	11362400	2013-05-31	1703	A
USGS	11362400	2013-06-01	1640	A
USGS	11362400	2013-06-02	1609	A
USGS	11362400	2013-06-03	1648	A
USGS	11362400	2013-06-04	1567	A
USGS	11362400	2013-06-05	1548	A
USGS	11362400	2013-06-06	1574	A
USGS	11362400	2013-06-07	1556	A
USGS	11362400	2013-06-08	1636	A
USGS	11362400	2013-06-09	1663	A
USGS	11362400	2013-06-10	1656	A
USGS	11362400	2013-06-11	1652	A
USGS	11362400	2013-06-12	1614	A
USGS	11362400	2013-06-13	1613	A
USGS	11362400	2013-06-14	1653	A
USGS	11362400	2013-06-15	1660	A
USGS	11362400	2013-06-16	1777	A
USGS	11362400	2013-06-17	1794	A
USGS	11362400	2013-06-18	1814	A
USGS	11362400	2013-06-19	1813	A
USGS	11362400	2013-06-20	1832	A
USGS	11362400	2013-06-21	1781	A
USGS	11362400	2013-06-22	1797	A
USGS	11362400	2013-06-23	1766	A
USGS	11362400	2013-06-24	1789	A
USGS	11362400	2013-06-25	1769	A
USGS	11362400	2013-06-26	1749	A
USGS	11362400	2013-06-27	1766	A
USGS	11362400	2013-06-28	1780	A
USGS	11362400	2013-06-29	1748	A
USGS	11362400	2013-06-30	1767	A
USGS	11362400	2013-07-01	1785	A
USGS	11362400	2013-07-02	1766	A
USGS	11362400	2013-07-03	1902	A
USGS	11362400	2013-07-04	1916	A
USGS	11362400	2013-07-05	1854	A
USGS	11362400	2013-07-06	1831	A
USGS	11362400	2013-07-07	1827	A
USGS	11362400	2013-07-08	1774	A
USGS	11362400	2013-07-09	1752	A
USGS	11362400	2013-07-10	1729	A
USGS	11362400	2013-07-11	1718	A
USGS	11362400	2013-07-12	1691	A
USGS	11362400	2013-07-13	1693	A
USGS	11362400	2013-07-14	1708	A
USGS	11362400	2013-07-15	1726	A
USGS	11362400	2013-07-16	1749	A
USGS	11362400	2013-07-17	1742	A
USGS	11362400	2013-07-18	1760	A
USGS	11362400	2013-07-19	1763	A
USGS	11362400	2013-07-20	1756	A
USGS	11362400	2013-07-21	1754	A
USGS	11362400	2013-07-22	1779	A
USGS	11362400	2013-07-23	1754	A
USGS	11362400	2013-07-24	1768	A
USGS	11362400	2013-07-25	1750	A
USGS	11362400	2013-07-26	1766	A
USGS	11362400	2013-07-27	1753	A
USGS	11362400	2013-07-28	1760	A
USGS	11362400	2013-07-29	1773	A
USGS	11362400	2013-07-30	1771	A
USGS	11362400	2013-07-31	1780	A
USGS	11362400	2013-08-01	1762	A
USGS	11362400	2013-08-02	1744	A
USGS	11362400	2013-08-03	1754	A
USGS	11362400	2013-08-04	1761	A
USGS	11362400	2013-08-05	1744	A
USGS	11362400	2013-08-06	1747	A
USGS	11362400	2013-08-07	1764	A
USGS	11362400	2013-08-08	1741	A
USGS	11362400	2013-08-09	1749	A
USGS	11362400	2013-08-10	1681	A
USGS	11362400	2013-08-11	1688	A
USGS	11362400	2013-08-12	1731	A
USGS	11362400	2013-08-13	1737	A
USGS	11362400	2013-08-14	1741	A
USGS	11362400	2013-08-15	1744	A
USGS	11362400	2013-08-16	1738	A
USGS	11362400	2013-08-17	1744	A
USGS	11362400	2013-08-18	1747	A
USGS	11362400	2013-08-19	1750	A
USGS	11362400	2013-08-20	1764	A
USGS	11362400	2013-08-21	1760	A
USGS	11362400	2013-08-22	1734	A
USGS	11362400	2013-08-23	1728	A
USGS	11362400	2013-08-24	1798	A
USGS	11362400	2013-08-25	1888	A
USGS	11362400	2013-08-26	1916	A
USGS	11362400	2013-08-27	1881	A
USGS	11362400	2013-08-28	1865	A
USGS	11362400	2013-08-29	1939	A
USGS	11362400	2013-08-30	1894	A
USGS	11362400	2013-08-31	1821	A
USGS	11362400	2013-09-01	1754	A
USGS	11362400	2013-09-02	1759	A
USGS	11362400	2013-09-03	1736	A
USGS	11362400	2013-09-04	1700	A
USGS	11362400	2013-09-05	1717	A
USGS	11362400	2013-09-06	1734	A
USGS	11362400	2013-09-07	1697	A
USGS	11362400	2013-09-08	1754	A
USGS	11362400	2013-09-09	1775	A
USGS	11362400	2013-09-10	1764	A
USGS	11362400	2013-09-11	1708	A
USGS	11362400	2013-09-12	1703	A
USGS	11362400	2013-09-13	1722	A
USGS	11362400	2013-09-14	1727	A
USGS	11362400	2013-09-15	1761	A
USGS	11362400	2013-09-16	1737	A
USGS	11362400	2013-09-17	1743	A
USGS	11362400	2013-09-18	1748	A
USGS	11362400	2013-09-19	1722	A
USGS	11362400	2013-09-20	1715	A
USGS	11362400	2013-09-21	1706	A
USGS	11362400	2013-09-22	1680	A
USGS	11362400	2013-09-23	1711	A
USGS	11362400	2013-09-24	1713	A
USGS	11362400	2013-09-25	1599	A
USGS	11362400	2013-09-26	1563	A
USGS	11362400	2013-09-27	1581	A
USGS	11362400	2013-09-28	1587	A
USGS	11362400	2013-09-29	1591	A
USGS	11362400	2013-09-30	1588	A
USGS	11362400	2013-10-01	1750	A
USGS	11362400	2013-10-02	1790	A
USGS	11362400	2013-10-03	1800	A
USGS	11362400	2013-10-04	1810	A
USGS	11362400	2013-10-05	1740	A
USGS	11362400	2013-10-06	1760	A
USGS	11362400	2013-10-07	1760	A
USGS	11362400	2013-10-08	1750	A
USGS	11362400	2013-10-09	1740	A
USGS	11362400	2013-10-10	1780	A
USGS	11362400	2013-10-11	1740	A
USGS	11362400	2013-10-12	1700	A
USGS	11362400	2013-10-13	1710	A
USGS	11362400	2013-10-14	1700	A
USGS	11362400	2013-10-15	1750	A
USGS	11362400	2013-10-16	1720	A
USGS	11362400	2013-10-17	1740	A
USGS	11362400	2013-10-18	1740	A
USGS	11362400	2013-10-19	1800	A
USGS	11362400	2013-10-20	1740	A
USGS	11362400	2013-10-21	1750	A
USGS	11362400	2013-10-22	1750	A
USGS	11362400	2013-10-23	1750	A
USGS	11362400	2013-10-24	1750	A
USGS	11362400	2013-10-25	1730	A
USGS	11362400	2013-10-26	1770	A
USGS	11362400	2013-10-27	1740	A
USGS	11362400	2013-10-28	1770	A
USGS	11362400	2013-10-29	1730	A
USGS	11362400	2013-10-30	1770	A
USGS	11362400	2013-10-31	1720	A
USGS	11362400	2013-11-01	1680	A
USGS	11362400	2013-11-02	1690	A
USGS	11362400	2013-11-03	1740	A
USGS	11362400	2013-11-04	1720	A
USGS	11362400	2013-11-05	1740	A
USGS	11362400	2013-11-06	1680	A
USGS	11362400	2013-11-07	1730	A
USGS	11362400	2013-11-08	1720	A
USGS	11362400	2013-11-09	1750	A
USGS	11362400	2013-11-10	1770	A
USGS	11362400	2013-11-11	1750	A
USGS	11362400	2013-11-12	1760	A
USGS	11362400	2013-11-13	1760	A
USGS	11362400	2013-11-14	1750	A
USGS	11362400	2013-11-15	1800	A
USGS	11362400	2013-11-16	1740	A
USGS	11362400	2013-11-17	1820	A
USGS	11362400	2013-11-18	1620	A
USGS	11362400	2013-11-19	1660	A
USGS	11362400	2013-11-20	1690	A
USGS	11362400	2013-11-21	1730	A
USGS	11362400	2013-11-22	1720	A
USGS	11362400	2013-11-23	1700	A
USGS	11362400	2013-11-24	1770	A
USGS	11362400	2013-11-25	1720	A
USGS	11362400	2013-11-26	1700	A
USGS	11362400	2013-11-27	1740	A
USGS	11362400	2013-11-28	1730	A
USGS	11362400	2013-11-29	1720	A
USGS	11362400	2013-11-30	1730	A
USGS	11362400	2013-12-01	1750	A
USGS	11362400	2013-12-02	1760	A
USGS	11362400	2013-12-03	1730	A
USGS	11362400	2013-12-04	1690	A
USGS	11362400	2013-12-05	1710	A
USGS	11362400	2013-12-06	1680	A
USGS	11362400	2013-12-07	1700	A
USGS	11362400	2013-12-08	1660	A
USGS	11362400	2013-12-09	1650	A
USGS	11362400	2013-12-10	1690	A
USGS	11362400	2013-12-11	1710	A
USGS	11362400	2013-12-12	1700	A
USGS	11362400	2013-12-13	1700	A
USGS	11362400	2013-12-14	1710	A
USGS	11362400	2013-12-15	1730	A
