agency_cd	site_no	datetime	217027_00054_32400	217027_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11364700	2013-01-01	32410	A
USGS	11364700	2013-01-02	33090	A
USGS	11364700	2013-01-03	30530	A
USGS	11364700	2013-01-04	30100	A
USGS	11364700	2013-01-05	31180	A
USGS	11364700	2013-01-06	30870	A
USGS	11364700	2013-01-07	31090	A
USGS	11364700	2013-01-08	31710	A
USGS	11364700	2013-01-09	32000	A
USGS	11364700	2013-01-10	33610	A
USGS	11364700	2013-01-11	32000	A
USGS	11364700	2013-01-12	31920	A
USGS	11364700	2013-01-13	25430	A
USGS	11364700	2013-01-14	26740	A
USGS	11364700	2013-01-15	25520	A
USGS	11364700	2013-01-16	26420	A
USGS	11364700	2013-01-17	27820	A
USGS	11364700	2013-01-18	29150	A
USGS	11364700	2013-01-19	29250	A
USGS	11364700	2013-01-20	30860	A
USGS	11364700	2013-01-21	31520	A
USGS	11364700	2013-01-22	30150	A
USGS	11364700	2013-01-23	31820	A
USGS	11364700	2013-01-24	31430	A
USGS	11364700	2013-01-25	32770	A
USGS	11364700	2013-01-26	32620	A
USGS	11364700	2013-01-27	32150	A
USGS	11364700	2013-01-28	32560	A
USGS	11364700	2013-01-29	32070	A
USGS	11364700	2013-01-30	33180	A
USGS	11364700	2013-01-31	32960	A
USGS	11364700	2013-02-01	33020	A
USGS	11364700	2013-02-02	32710	A
USGS	11364700	2013-02-03	32890	A
USGS	11364700	2013-02-04	31350	A
USGS	11364700	2013-02-05	31540	A
USGS	11364700	2013-02-06	33110	A
USGS	11364700	2013-02-07	32290	A
USGS	11364700	2013-02-08	32030	A
USGS	11364700	2013-02-09	32920	A
USGS	11364700	2013-02-10	31670	A
USGS	11364700	2013-02-11	29120	A
USGS	11364700	2013-02-12	30380	A
USGS	11364700	2013-02-13	30120	A
USGS	11364700	2013-02-14	31080	A
USGS	11364700	2013-02-15	32690	A
USGS	11364700	2013-02-16	31980	A
USGS	11364700	2013-02-17	30700	A
USGS	11364700	2013-02-18	31610	A
USGS	11364700	2013-02-19	30920	A
USGS	11364700	2013-02-20	32240	A
USGS	11364700	2013-02-21	32840	A
USGS	11364700	2013-02-22	33050	A
USGS	11364700	2013-02-23	32910	A
USGS	11364700	2013-02-24	31630	A
USGS	11364700	2013-02-25	31410	A
USGS	11364700	2013-02-26	31090	A
USGS	11364700	2013-02-27	31070	A
USGS	11364700	2013-02-28	31720	A
USGS	11364700	2013-03-01	32690	A
USGS	11364700	2013-03-02	33010	A
USGS	11364700	2013-03-03	33480	A
USGS	11364700	2013-03-04	33240	A
USGS	11364700	2013-03-05	33490	A
