agency_cd	site_no	datetime	217016_00054_32400	217016_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11364100	2013-01-01	10350	A
USGS	11364100	2013-01-02	9721	A
USGS	11364100	2013-01-03	10820	A
USGS	11364100	2013-01-04	11190	A
USGS	11364100	2013-01-05	9782	A
USGS	11364100	2013-01-06	10500	A
USGS	11364100	2013-01-07	13100	A
USGS	11364100	2013-01-08	15080	A
USGS	11364100	2013-01-09	15050	A
USGS	11364100	2013-01-10	13650	A
USGS	11364100	2013-01-11	11330	A
USGS	11364100	2013-01-12	10220	A
USGS	11364100	2013-01-13	12410	A
USGS	11364100	2013-01-14	11980	A
USGS	11364100	2013-01-15	12090	A
USGS	11364100	2013-01-16	12230	A
USGS	11364100	2013-01-17	12230	A
USGS	11364100	2013-01-18	12070	A
USGS	11364100	2013-01-19	12530	A
USGS	11364100	2013-01-20	11590	A
USGS	11364100	2013-01-21	12180	A
USGS	11364100	2013-01-22	12470	A
USGS	11364100	2013-01-23	12480	A
USGS	11364100	2013-01-24	12290	A
USGS	11364100	2013-01-25	12910	A
USGS	11364100	2013-01-26	12940	A
USGS	11364100	2013-01-27	13250	A
USGS	11364100	2013-01-28	12440	A
USGS	11364100	2013-01-29	12910	A
USGS	11364100	2013-01-30	12840	A
USGS	11364100	2013-01-31	12700	A
USGS	11364100	2013-02-01	12100	A
USGS	11364100	2013-02-02	12200	A
USGS	11364100	2013-02-03	11980	A
USGS	11364100	2013-02-04	13000	A
USGS	11364100	2013-02-05	13050	A
USGS	11364100	2013-02-06	12480	A
USGS	11364100	2013-02-07	12660	A
USGS	11364100	2013-02-08	12940	A
USGS	11364100	2013-02-09	12860	A
USGS	11364100	2013-02-10	12160	A
USGS	11364100	2013-02-11	12100	A
USGS	11364100	2013-02-12	12260	A
USGS	11364100	2013-02-13	12260	A
USGS	11364100	2013-02-14	12900	A
USGS	11364100	2013-02-15	12720	A
USGS	11364100	2013-02-16	12510	A
USGS	11364100	2013-02-17	14550	A
USGS	11364100	2013-02-18	14940	A
USGS	11364100	2013-02-19	15140	A
USGS	11364100	2013-02-20	14980	A
USGS	11364100	2013-02-21	14100	A
USGS	11364100	2013-02-22	13930	A
USGS	11364100	2013-02-23	13940	A
USGS	11364100	2013-02-24	13440	A
USGS	11364100	2013-02-25	12530	A
USGS	11364100	2013-02-26	12670	A
USGS	11364100	2013-02-27	12860	A
USGS	11364100	2013-02-28	14660	A
USGS	11364100	2013-03-01	13900	A
USGS	11364100	2013-03-02	13440	A
USGS	11364100	2013-03-03	11520	A
USGS	11364100	2013-03-04	10460	A
USGS	11364100	2013-03-05	13680	A
USGS	11364100	2013-03-06	13770	A
USGS	11364100	2013-03-07	14780	A
USGS	11364100	2013-03-08	14700	A
USGS	11364100	2013-03-09	14150	A
USGS	11364100	2013-03-10	11520	A
USGS	11364100	2013-03-11	10420	A
USGS	11364100	2013-03-12	12510	A
USGS	11364100	2013-03-13	14580	A
USGS	11364100	2013-03-14	14130	A
USGS	11364100	2013-03-15	13210	A
USGS	11364100	2013-03-16	12390	A
USGS	11364100	2013-03-17	11310	A
USGS	11364100	2013-03-18	11300	A
USGS	11364100	2013-03-19	13100	A
USGS	11364100	2013-03-20	13500	A
USGS	11364100	2013-03-21	14610	A
USGS	11364100	2013-03-22	14840	A
USGS	11364100	2013-03-23	13990	A
USGS	11364100	2013-03-24	12780	A
USGS	11364100	2013-03-25	12150	A
USGS	11364100	2013-03-26	12180	A
USGS	11364100	2013-03-27	12590	A
USGS	11364100	2013-03-28	13530	A
USGS	11364100	2013-03-29	13900	A
USGS	11364100	2013-03-30	14380	A
USGS	11364100	2013-03-31	14430	A
USGS	11364100	2013-04-01	14960	A
USGS	11364100	2013-04-02	15320	A
USGS	11364100	2013-04-03	15090	A
USGS	11364100	2013-04-04	14910	A
USGS	11364100	2013-04-05	15010	A
USGS	11364100	2013-04-06	14410	A
USGS	11364100	2013-04-07	14060	A
USGS	11364100	2013-04-08	14570	A
USGS	11364100	2013-04-09	14740	A
USGS	11364100	2013-04-10	14390	A
USGS	11364100	2013-04-11	14950	A
USGS	11364100	2013-04-12	14890	A
USGS	11364100	2013-04-13	14760	A
USGS	11364100	2013-04-14	14330	A
USGS	11364100	2013-04-15	13960	A
USGS	11364100	2013-04-16	14750	A
USGS	11364100	2013-04-17	14430	A
