agency_cd	site_no	datetime	219279_00010_00001	219279_00010_00001_cd	219283_00010_00003	219283_00010_00003_cd	219284_00010_00002	219284_00010_00002_cd	219307_00062_00003	219307_00062_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	14070620	2017-10-06							7.88	P
USGS	14070620	2017-10-07							7.88	P
USGS	14070620	2017-10-08							7.88	P
USGS	14070620	2017-10-09							7.87	P
USGS	14070620	2017-10-10	2.8	A:[4]			2.6	A:[4]	7.87	P
USGS	14070620	2017-10-11	2.9	A	2.7	A	2.5	A	7.87	P
USGS	14070620	2017-10-12	2.8	A	2.6	A	2.2	A	7.87	P
USGS	14070620	2017-10-13	2.9	A	2.7	A	2.0	A	7.86	P
USGS	14070620	2017-10-14	3.1	A	2.8	A	2.5	A	7.86	P
USGS	14070620	2017-10-15	3.3	A	2.9	A	2.8	A	7.86	P
USGS	14070620	2017-10-16	3.5	A	3.0	A	2.9	A	7.86	P
USGS	14070620	2017-10-17	3.4	A	3.0	A	2.9	A	7.85	P
USGS	14070620	2017-10-18	3.5	A	3.1	A	2.9	A	7.85	P
USGS	14070620	2017-10-19	3.4	A	3.0	A	2.7	A	7.85	P
USGS	14070620	2017-10-20	3.0	A	2.8	A	2.4	A	7.84	P
USGS	14070620	2017-10-21	3.1	A	2.8	A	2.3	A	7.86	P
USGS	14070620	2017-10-22	3.3	A	3.0	A	3.0	A	7.88	P
USGS	14070620	2017-10-23	3.6	A	3.1	A	2.9	A	7.84	P
USGS	14070620	2017-10-24	3.6	A	3.1	A	3.0	A	7.83	P
USGS	14070620	2017-10-25	3.8	A	3.2	A	3.0	A	7.83	P
USGS	14070620	2017-10-26	3.5	A	3.2	A	3.0	A	7.82	P
USGS	14070620	2017-10-27	3.7	A	3.2	A	3.0	A	7.82	P
USGS	14070620	2017-10-28	3.7	A	3.2	A	3.0	A	7.82	P
USGS	14070620	2017-10-29	3.7	A	3.2	A	3.0	A	7.81	P
USGS	14070620	2017-10-30	3.3	A	3.0	A	2.8	A	7.81	P
USGS	14070620	2017-10-31	3.5	A	3.1	A	2.8	A	7.80	P
USGS	14070620	2017-11-01	3.3	A	3.1	A	2.9	A	7.80	P
USGS	14070620	2017-11-02	3.1	A	2.9	A	2.7	A	7.80	P
USGS	14070620	2017-11-03	3.0	A	2.8	A	2.7	A	7.79	P
USGS	14070620	2017-11-04	3.1	A	2.8	A	2.7	A	7.79	P
USGS	14070620	2017-11-05	2.9	A	2.7	A	2.3	A	7.79	P
USGS	14070620	2017-11-06	3.1	A	2.8	A	2.6	A	7.78	P
USGS	14070620	2017-11-07	3.2	A	2.9	A	2.6	A	7.78	P
USGS	14070620	2017-11-08	3.3	A	3.0	A	2.8	A	7.78	P
USGS	14070620	2017-11-09	3.0	A	2.9	A	2.1	A	7.77	P
USGS	14070620	2017-11-10	3.1	A	2.9	A	2.5	A	7.77	P
USGS	14070620	2017-11-11	3.2	A	3.0	A	2.9	A	7.76	P
USGS	14070620	2017-11-12	3.2	A	3.0	A	2.8	A	7.76	P
USGS	14070620	2017-11-13	3.0	A	2.7	A	2.4	A	7.76	P
USGS	14070620	2017-11-14	3.1	A	2.9	A	2.6	A	7.75	P
USGS	14070620	2017-11-15	3.1	A	2.9	A	2.6	A	7.75	P
USGS	14070620	2017-11-16	3.0	A	2.8	A	2.4	A	7.75	P
USGS	14070620	2017-11-17	2.9	A	2.8	A	2.4	A	7.74	P
USGS	14070620	2017-11-18	3.1	A	2.9	A	2.7	A	7.74	P
USGS	14070620	2017-11-19	3.1	A	2.9	A	2.7	A	7.74	P
USGS	14070620	2017-11-20	3.1	A	3.0	A	2.7	A	7.77	P
USGS	14070620	2017-11-21	3.2	A	3.1	A	3.0	A	7.78	P
USGS	14070620	2017-11-22	3.3	A	3.1	A	3.0	A	7.78	P
USGS	14070620	2017-11-23	3.1	A	3.0	A	2.7	A	7.83	P
USGS	14070620	2017-11-24	3.0	A	2.8	A	2.6	A	7.79	P
USGS	14070620	2017-11-25	3.2	A	3.0	A	2.7	A	7.76	P
USGS	14070620	2017-11-26	3.2	A	2.9	A	2.5	A	7.76	P
USGS	14070620	2017-11-27	3.0	A	2.8	A	2.7	A	7.75	P
USGS	14070620	2017-11-28	3.0	A	2.8	A	2.5	A	7.74	P
USGS	14070620	2017-11-29	3.1	A	2.8	A	2.7	A	7.73	P
USGS	14070620	2017-11-30	3.1	A	2.9	A	2.7	A	7.73	P
USGS	14070620	2017-12-01	3.0	A	2.9	A	2.7	A	7.72	P
