agency_cd	site_no	datetime	213445_00054_32400	213445_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11109520	2013-01-01	167900	A
USGS	11109520	2013-01-02	167800	A
USGS	11109520	2013-01-03	167600	A
USGS	11109520	2013-01-04	167100	A
USGS	11109520	2013-01-05	167400	A
USGS	11109520	2013-01-06	167800	A
USGS	11109520	2013-01-07	167800	A
USGS	11109520	2013-01-08	167300	A
USGS	11109520	2013-01-09	167300	A
USGS	11109520	2013-01-10	167200	A
USGS	11109520	2013-01-11	167300	A
USGS	11109520	2013-01-12	167400	A
USGS	11109520	2013-01-13	167600	A
USGS	11109520	2013-01-14	167500	A
USGS	11109520	2013-01-15	167400	A
USGS	11109520	2013-01-16	167400	A
USGS	11109520	2013-01-17	167300	A
USGS	11109520	2013-01-18	167300	A
USGS	11109520	2013-01-19	168000	A
USGS	11109520	2013-01-20	168900	A
USGS	11109520	2013-01-21	168900	A
USGS	11109520	2013-01-22	169300	A
USGS	11109520	2013-01-23	167800	A
USGS	11109520	2013-01-24	167100	A
USGS	11109520	2013-01-25	166700	A
USGS	11109520	2013-01-26	167800	A
USGS	11109520	2013-01-27	169300	A
USGS	11109520	2013-01-28	167900	A
USGS	11109520	2013-01-29	166800	A
USGS	11109520	2013-01-30	166100	A
USGS	11109520	2013-01-31	166200	A
USGS	11109520	2013-02-01	166400	A
USGS	11109520	2013-02-02	167600	A
USGS	11109520	2013-02-03	169100	A
USGS	11109520	2013-02-04	167600	A
USGS	11109520	2013-02-05	167500	A
USGS	11109520	2013-02-06	167200	A
USGS	11109520	2013-02-07	167400	A
USGS	11109520	2013-02-08	167400	A
USGS	11109520	2013-02-09	166700	A
USGS	11109520	2013-02-10	166500	A
USGS	11109520	2013-02-11	166100	A
USGS	11109520	2013-02-12	166500	A
USGS	11109520	2013-02-13	166900	A
USGS	11109520	2013-02-14	166700	A
USGS	11109520	2013-02-15	166800	A
USGS	11109520	2013-02-16	167800	A
USGS	11109520	2013-02-17	168800	A
USGS	11109520	2013-02-18	168600	A
USGS	11109520	2013-02-19	168000	A
USGS	11109520	2013-02-20	167600	A
USGS	11109520	2013-02-21	167300	A
USGS	11109520	2013-02-22	166900	A
USGS	11109520	2013-02-23	167600	A
USGS	11109520	2013-02-24	168500	A
USGS	11109520	2013-02-25	168600	A
USGS	11109520	2013-02-26	168600	A
USGS	11109520	2013-02-27	167900	A
USGS	11109520	2013-02-28	167200	A
USGS	11109520	2013-03-01	167100	A
USGS	11109520	2013-03-02	168300	A
USGS	11109520	2013-03-03	169400	A
USGS	11109520	2013-03-04	167800	A
USGS	11109520	2013-03-05	167600	A
USGS	11109520	2013-03-06	167700	A
USGS	11109520	2013-03-07	167200	A
USGS	11109520	2013-03-08	168100	A
USGS	11109520	2013-03-09	169300	A
USGS	11109520	2013-03-10	169300	A
USGS	11109520	2013-03-11	168400	A
USGS	11109520	2013-03-12	167900	A
USGS	11109520	2013-03-13	167800	A
USGS	11109520	2013-03-14	167500	A
USGS	11109520	2013-03-15	167100	A
USGS	11109520	2013-03-16	167300	A
USGS	11109520	2013-03-17	167900	A
USGS	11109520	2013-03-18	167700	A
USGS	11109520	2013-03-19	166700	A
USGS	11109520	2013-03-20	166000	A
USGS	11109520	2013-03-21	166200	A
USGS	11109520	2013-03-22	165500	A
USGS	11109520	2013-03-23	167400	A
USGS	11109520	2013-03-24	169800	A
USGS	11109520	2013-03-25	167700	A
USGS	11109520	2013-03-26	166500	A
USGS	11109520	2013-03-27	165600	A
USGS	11109520	2013-03-28	164600	A
USGS	11109520	2013-03-29	164000	A
USGS	11109520	2013-03-30	165900	A
USGS	11109520	2013-03-31	167200	A
USGS	11109520	2013-04-01	167300	A
USGS	11109520	2013-04-02	166200	A
USGS	11109520	2013-04-03	165000	A
USGS	11109520	2013-04-04	165000	A
USGS	11109520	2013-04-05	164800	A
USGS	11109520	2013-04-06	166700	A
USGS	11109520	2013-04-07	167500	A
USGS	11109520	2013-04-08	166800	A
USGS	11109520	2013-04-09	164700	A
USGS	11109520	2013-04-10	164400	A
USGS	11109520	2013-04-11	163300	A
USGS	11109520	2013-04-12	161800	A
USGS	11109520	2013-04-13	164800	A
USGS	11109520	2013-04-14	167600	A
USGS	11109520	2013-04-15	168100	A
USGS	11109520	2013-04-16	167200	A
USGS	11109520	2013-04-17	165700	A
USGS	11109520	2013-04-18	166500	A
USGS	11109520	2013-04-19	165800	A
USGS	11109520	2013-04-20	166800	A
USGS	11109520	2013-04-21	167900	A
USGS	11109520	2013-04-22	166500	A
USGS	11109520	2013-04-23	165600	A
USGS	11109520	2013-04-24	164900	A
USGS	11109520	2013-04-25	165500	A
USGS	11109520	2013-04-26	163800	A
USGS	11109520	2013-04-27	165100	A
USGS	11109520	2013-04-28	166200	A
USGS	11109520	2013-04-29	165600	A
USGS	11109520	2013-04-30	166800	A
USGS	11109520	2013-05-01	166000	A
USGS	11109520	2013-05-02	166200	A
USGS	11109520	2013-05-03	164600	A
USGS	11109520	2013-05-04	166400	A
USGS	11109520	2013-05-05	167600	A
USGS	11109520	2013-05-06	165600	A
USGS	11109520	2013-05-07	165300	A
USGS	11109520	2013-05-08	166800	A
USGS	11109520	2013-05-09	165200	A
USGS	11109520	2013-05-10	166600	A
USGS	11109520	2013-05-11	165500	A
USGS	11109520	2013-05-12	165900	A
USGS	11109520	2013-05-13	166000	A
USGS	11109520	2013-05-14	167300	A
USGS	11109520	2013-05-15	166800	A
USGS	11109520	2013-05-16	167400	A
USGS	11109520	2013-05-17	168200	A
USGS	11109520	2013-05-18	167600	A
USGS	11109520	2013-05-19	167900	A
USGS	11109520	2013-05-20	167000	A
USGS	11109520	2013-05-21	166700	A
USGS	11109520	2013-05-22	166000	A
USGS	11109520	2013-05-23	164000	A
USGS	11109520	2013-05-24	164300	A
