agency_cd	site_no	datetime	213407_00054_32400	213407_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11291000	2013-01-01	6400	A
USGS	11291000	2013-01-02	6370	A
USGS	11291000	2013-01-03	6340	A
USGS	11291000	2013-01-04	6310	A
USGS	11291000	2013-01-05	6280	A
USGS	11291000	2013-01-06	6260	A
USGS	11291000	2013-01-07	6230	A
USGS	11291000	2013-01-08	6200	A
USGS	11291000	2013-01-09	6190	A
USGS	11291000	2013-01-10	6160	A
USGS	11291000	2013-01-11	6130	A
USGS	11291000	2013-01-12	6110	A
USGS	11291000	2013-01-13	6070	A
USGS	11291000	2013-01-14	6040	A
USGS	11291000	2013-01-15	6010	A
USGS	11291000	2013-01-16	5980	A
USGS	11291000	2013-01-17	5950	A
USGS	11291000	2013-01-18	5930	A
USGS	11291000	2013-01-19	5900	A
USGS	11291000	2013-01-20	5870	A
USGS	11291000	2013-01-21	5840	A
USGS	11291000	2013-01-22	5820	A
USGS	11291000	2013-01-23	5790	A
USGS	11291000	2013-01-24	5780	A
USGS	11291000	2013-01-25	5780	A
USGS	11291000	2013-01-26	5780	A
USGS	11291000	2013-01-27	5760	A
USGS	11291000	2013-01-28	5750	A
USGS	11291000	2013-01-29	5730	A
USGS	11291000	2013-01-30	5710	A
USGS	11291000	2013-01-31	5690	A
USGS	11291000	2013-02-01	5670	A
USGS	11291000	2013-02-02	5650	A
USGS	11291000	2013-02-03	5630	A
USGS	11291000	2013-02-04	5610	A
USGS	11291000	2013-02-05	5590	A
USGS	11291000	2013-02-06	5570	A
USGS	11291000	2013-02-07	5550	A
USGS	11291000	2013-02-08	5530	A
USGS	11291000	2013-02-09	5510	A
USGS	11291000	2013-02-10	5480	A
USGS	11291000	2013-02-11	5460	A
USGS	11291000	2013-02-12	5430	A
USGS	11291000	2013-02-13	5410	A
USGS	11291000	2013-02-14	5380	A
USGS	11291000	2013-02-15	5360	A
USGS	11291000	2013-02-16	5330	A
USGS	11291000	2013-02-17	5300	A
USGS	11291000	2013-02-18	5280	A
USGS	11291000	2013-02-19	5260	A
USGS	11291000	2013-02-20	5230	A
USGS	11291000	2013-02-21	5200	A
USGS	11291000	2013-02-22	5180	A
USGS	11291000	2013-02-23	5150	A
USGS	11291000	2013-02-24	5120	A
USGS	11291000	2013-02-25	5090	A
USGS	11291000	2013-02-26	5060	A
USGS	11291000	2013-02-27	5030	A
USGS	11291000	2013-02-28	5000	A
USGS	11291000	2013-03-01	4980	A
USGS	11291000	2013-03-02	4970	A
USGS	11291000	2013-03-03	4950	A
USGS	11291000	2013-03-04	4940	A
USGS	11291000	2013-03-05	4930	A
USGS	11291000	2013-03-06	4920	A
USGS	11291000	2013-03-07	4910	A
USGS	11291000	2013-03-08	4900	A
USGS	11291000	2013-03-09	4890	A
USGS	11291000	2013-03-10	4870	A
USGS	11291000	2013-03-11	4860	A
USGS	11291000	2013-03-12	4870	A
USGS	11291000	2013-03-13	4900	A
USGS	11291000	2013-03-14	4960	A
USGS	11291000	2013-03-15	5020	A
USGS	11291000	2013-03-16	5080	A
USGS	11291000	2013-03-17	5130	A
USGS	11291000	2013-03-18	5180	A
USGS	11291000	2013-03-19	5260	A
USGS	11291000	2013-03-20	5340	A
USGS	11291000	2013-03-21	5410	A
USGS	11291000	2013-03-22	5470	A
USGS	11291000	2013-03-23	5520	A
USGS	11291000	2013-03-24	5580	A
USGS	11291000	2013-03-25	5650	A
USGS	11291000	2013-03-26	5720	A
USGS	11291000	2013-03-27	5780	A
USGS	11291000	2013-03-28	5860	A
USGS	11291000	2013-03-29	5960	A
USGS	11291000	2013-03-30	6070	A
USGS	11291000	2013-03-31	6210	A
USGS	11291000	2013-04-01	6320	A
USGS	11291000	2013-04-02	6420	A
USGS	11291000	2013-04-03	6530	A
USGS	11291000	2013-04-04	6690	A
USGS	11291000	2013-04-05	6820	A
USGS	11291000	2013-04-06	6950	A
USGS	11291000	2013-04-07	7090	A
USGS	11291000	2013-04-08	7220	A
USGS	11291000	2013-04-09	7330	A
USGS	11291000	2013-04-10	7410	A
USGS	11291000	2013-04-11	7560	A
USGS	11291000	2013-04-12	7790	A
USGS	11291000	2013-04-13	8070	A
USGS	11291000	2013-04-14	8380	A
USGS	11291000	2013-04-15	8640	A
USGS	11291000	2013-04-16	8800	A
USGS	11291000	2013-04-17	8910	A
USGS	11291000	2013-04-18	9010	A
USGS	11291000	2013-04-19	9140	A
USGS	11291000	2013-04-20	9360	A
USGS	11291000	2013-04-21	9670	A
USGS	11291000	2013-04-22	10100	A
USGS	11291000	2013-04-23	10600	A
USGS	11291000	2013-04-24	11100	A
USGS	11291000	2013-04-25	11400	A
USGS	11291000	2013-04-26	11700	A
USGS	11291000	2013-04-27	12200	A
USGS	11291000	2013-04-28	12700	A
USGS	11291000	2013-04-29	13200	A
USGS	11291000	2013-04-30	13800	A
USGS	11291000	2013-05-01	14200	A
USGS	11291000	2013-05-02	14600	A
USGS	11291000	2013-05-03	14800	A
USGS	11291000	2013-05-04	14700	A
USGS	11291000	2013-05-05	14700	A
USGS	11291000	2013-05-06	14600	A
USGS	11291000	2013-05-07	14600	A
USGS	11291000	2013-05-08	14600	A
USGS	11291000	2013-05-09	14700	A
USGS	11291000	2013-05-10	14700	A
USGS	11291000	2013-05-11	14800	A
USGS	11291000	2013-05-12	14800	A
USGS	11291000	2013-05-13	14800	A
USGS	11291000	2013-05-14	14700	A
USGS	11291000	2013-05-15	14700	A
USGS	11291000	2013-05-16	14600	A
USGS	11291000	2013-05-17	14600	A
USGS	11291000	2013-05-18	14600	A
USGS	11291000	2013-05-19	14600	A
USGS	11291000	2013-05-20	14600	A
USGS	11291000	2013-05-21	14600	A
USGS	11291000	2013-05-22	14600	A
USGS	11291000	2013-05-23	14500	A
USGS	11291000	2013-05-24	14500	A
USGS	11291000	2013-05-25	14600	A
USGS	11291000	2013-05-26	14600	A
USGS	11291000	2013-05-27	14600	A
USGS	11291000	2013-05-28	14700	A
USGS	11291000	2013-05-29	14700	A
USGS	11291000	2013-05-30	14600	A
USGS	11291000	2013-05-31	14600	A
USGS	11291000	2013-06-01	14600	A
USGS	11291000	2013-06-02	14700	A
USGS	11291000	2013-06-03	14600	A
USGS	11291000	2013-06-04	14700	A
USGS	11291000	2013-06-05	14600	A
USGS	11291000	2013-06-06	14600	A
USGS	11291000	2013-06-07	14600	A
USGS	11291000	2013-06-08	14600	A
USGS	11291000	2013-06-09	14600	A
USGS	11291000	2013-06-10	14600	A
USGS	11291000	2013-06-11	14500	A
USGS	11291000	2013-06-12	14500	A
USGS	11291000	2013-06-13	14500	A
USGS	11291000	2013-06-14	14400	A
USGS	11291000	2013-06-15	14400	A
USGS	11291000	2013-06-16	14400	A
USGS	11291000	2013-06-17	14300	A
USGS	11291000	2013-06-18	14300	A
USGS	11291000	2013-06-19	14200	A
USGS	11291000	2013-06-20	14100	A
USGS	11291000	2013-06-21	14000	A
