agency_cd	site_no	datetime	150443_62614_32400	150443_62614_32400_cd
USGS	14234800	2013-01-01	728.65	A
USGS	14234800	2013-01-02	727.60	A
USGS	14234800	2013-01-03	726.44	A
USGS	14234800	2013-01-04	725.66	A
USGS	14234800	2013-01-05	724.99	A
USGS	14234800	2013-01-06	724.78	A
USGS	14234800	2013-01-07	724.60	A
USGS	14234800	2013-01-08	724.62	A
USGS	14234800	2013-01-09	725.34	A
USGS	14234800	2013-01-10	725.34	A
USGS	14234800	2013-01-11	724.94	A
USGS	14234800	2013-01-12	724.51	A
USGS	14234800	2013-01-13	724.08	A
USGS	14234800	2013-01-14	723.11	A
USGS	14234800	2013-01-15	722.22	A
USGS	14234800	2013-01-16	720.93	A
USGS	14234800	2013-01-17	719.75	A
USGS	14234800	2013-01-18	718.86	A
USGS	14234800	2013-01-19	717.88	A
USGS	14234800	2013-01-20	717.02	A
USGS	14234800	2013-01-21	716.00	A
USGS	14234800	2013-01-22	714.86	A
USGS	14234800	2013-01-23	714.02	A
USGS	14234800	2013-01-24	713.60	A
USGS	14234800	2013-01-25	713.22	A
USGS	14234800	2013-01-26	713.02	A
USGS	14234800	2013-01-27	713.09	A
USGS	14234800	2013-01-28	713.15	A
USGS	14234800	2013-01-29	713.97	A
USGS	14234800	2013-01-30	715.28	A
USGS	14234800	2013-01-31	716.98	A
USGS	14234800	2013-02-01	718.43	A
USGS	14234800	2013-02-02	719.26	A
USGS	14234800	2013-02-03	720.23	A
USGS	14234800	2013-02-04	720.66	A
USGS	14234800	2013-02-05	721.28	A
USGS	14234800	2013-02-06	721.67	A
USGS	14234800	2013-02-07	722.02	A
USGS	14234800	2013-02-08	721.98	A
USGS	14234800	2013-02-09	722.44	A
USGS	14234800	2013-02-10	722.32	A
USGS	14234800	2013-02-11	722.35	A
USGS	14234800	2013-02-12	722.30	A
USGS	14234800	2013-02-13	722.56	A
USGS	14234800	2013-02-14	722.51	A
USGS	14234800	2013-02-15	722.34	A
USGS	14234800	2013-02-16	722.33	A
USGS	14234800	2013-02-17	722.49	A
USGS	14234800	2013-02-18	722.33	A
USGS	14234800	2013-02-19	721.71	A
USGS	14234800	2013-02-20	721.13	A
USGS	14234800	2013-02-21	720.42	A
USGS	14234800	2013-02-22	720.18	A
USGS	14234800	2013-02-23	720.36	A
USGS	14234800	2013-02-24	720.08	A
USGS	14234800	2013-02-25	719.64	A
USGS	14234800	2013-02-26	718.50	A
USGS	14234800	2013-02-27	717.71	A
USGS	14234800	2013-02-28	717.45	A
USGS	14234800	2013-03-01	717.62	A
USGS	14234800	2013-03-02	718.09	A
USGS	14234800	2013-03-03	718.63	A
USGS	14234800	2013-03-04	718.41	A
USGS	14234800	2013-03-05	718.13	A
USGS	14234800	2013-03-06	717.78	A
USGS	14234800	2013-03-07	717.63	A
USGS	14234800	2013-03-08	717.00	A
USGS	14234800	2013-03-09	716.84	A
USGS	14234800	2013-03-10	716.90	A
USGS	14234800	2013-03-11	716.25	A
USGS	14234800	2013-03-12	715.73	A
USGS	14234800	2013-03-13	715.44	A
USGS	14234800	2013-03-14	715.46	A
USGS	14234800	2013-03-15	715.84	A
USGS	14234800	2013-03-16	716.40	A
USGS	14234800	2013-03-17	717.04	A
USGS	14234800	2013-03-18	717.35	A
USGS	14234800	2013-03-19	716.65	A
USGS	14234800	2013-03-20	716.98	A
