agency_cd	site_no	datetime	237566_00054_32400	237566_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11421800	2013-01-01	61000	A
USGS	11421800	2013-01-02	60900	A
USGS	11421800	2013-01-03	60700	A
USGS	11421800	2013-01-04	60700	A
USGS	11421800	2013-01-05	60800	A
USGS	11421800	2013-01-06	60900	A
USGS	11421800	2013-01-07	60900	A
USGS	11421800	2013-01-08	60800	A
USGS	11421800	2013-01-09	60900	A
USGS	11421800	2013-01-10	61000	A
USGS	11421800	2013-01-11	61300	A
USGS	11421800	2013-01-12	61700	A
USGS	11421800	2013-01-13	62000	A
USGS	11421800	2013-01-14	62200	A
USGS	11421800	2013-01-15	62400	A
USGS	11421800	2013-01-16	62600	A
USGS	11421800	2013-01-17	62800	A
USGS	11421800	2013-01-18	63000	A
USGS	11421800	2013-01-19	63300	A
USGS	11421800	2013-01-20	63600	A
USGS	11421800	2013-01-21	63800	A
USGS	11421800	2013-01-22	64000	A
USGS	11421800	2013-01-23	64200	A
USGS	11421800	2013-01-24	64500	A
USGS	11421800	2013-01-25	64800	A
USGS	11421800	2013-01-26	65200	A
USGS	11421800	2013-01-27	65600	A
USGS	11421800	2013-01-28	65800	A
USGS	11421800	2013-01-29	66300	A
USGS	11421800	2013-01-30	66100	A
USGS	11421800	2013-01-31	66100	A
USGS	11421800	2013-02-01	66000	A
USGS	11421800	2013-02-02	65800	A
USGS	11421800	2013-02-03	65700	A
USGS	11421800	2013-02-04	65500	A
USGS	11421800	2013-02-05	65400	A
USGS	11421800	2013-02-06	65200	A
USGS	11421800	2013-02-07	65000	A
USGS	11421800	2013-02-08	64700	A
USGS	11421800	2013-02-09	64500	A
USGS	11421800	2013-02-10	64300	A
USGS	11421800	2013-02-11	64100	A
USGS	11421800	2013-02-12	63800	A
USGS	11421800	2013-02-13	63600	A
USGS	11421800	2013-02-14	63400	A
USGS	11421800	2013-02-15	63300	A
USGS	11421800	2013-02-16	63200	A
USGS	11421800	2013-02-17	63200	A
USGS	11421800	2013-02-18	63100	A
USGS	11421800	2013-02-19	63100	A
USGS	11421800	2013-02-20	63100	A
USGS	11421800	2013-02-21	63000	A
USGS	11421800	2013-02-22	63000	A
USGS	11421800	2013-02-23	62900	A
USGS	11421800	2013-02-24	62900	A
USGS	11421800	2013-02-25	62900	A
USGS	11421800	2013-02-26	62800	A
USGS	11421800	2013-02-27	62700	A
USGS	11421800	2013-02-28	62700	A
USGS	11421800	2013-03-01	62700	A
USGS	11421800	2013-03-02	62700	A
USGS	11421800	2013-03-03	62800	A
USGS	11421800	2013-03-04	62800	A
USGS	11421800	2013-03-05	62900	A
USGS	11421800	2013-03-06	63000	A
USGS	11421800	2013-03-07	63100	A
USGS	11421800	2013-03-08	63200	A
USGS	11421800	2013-03-09	63200	A
USGS	11421800	2013-03-10	63300	A
USGS	11421800	2013-03-11	63300	A
USGS	11421800	2013-03-12	63300	A
USGS	11421800	2013-03-13	63500	A
USGS	11421800	2013-03-14	63700	A
USGS	11421800	2013-03-15	63800	A
USGS	11421800	2013-03-16	63900	A
USGS	11421800	2013-03-17	64000	A
USGS	11421800	2013-03-18	64100	A
USGS	11421800	2013-03-19	64300	A
USGS	11421800	2013-03-20	64900	A
USGS	11421800	2013-03-21	65500	A
USGS	11421800	2013-03-22	65700	A
USGS	11421800	2013-03-23	65700	A
USGS	11421800	2013-03-24	65600	A
USGS	11421800	2013-03-25	65500	A
USGS	11421800	2013-03-26	65400	A
USGS	11421800	2013-03-27	65200	A
USGS	11421800	2013-03-28	65200	A
USGS	11421800	2013-03-29	65100	A
USGS	11421800	2013-03-30	65100	A
USGS	11421800	2013-03-31	65200	A
USGS	11421800	2013-04-01	65300	A
USGS	11421800	2013-04-02	65200	A
USGS	11421800	2013-04-03	64700	A
USGS	11421800	2013-04-04	64800	A
USGS	11421800	2013-04-05	64900	A
USGS	11421800	2013-04-06	64900	A
USGS	11421800	2013-04-07	65000	A
USGS	11421800	2013-04-08	65100	A
USGS	11421800	2013-04-09	65100	A
USGS	11421800	2013-04-10	65100	A
USGS	11421800	2013-04-11	65000	A
USGS	11421800	2013-04-12	64900	A
USGS	11421800	2013-04-13	64900	A
USGS	11421800	2013-04-14	64800	A
USGS	11421800	2013-04-15	64700	A
USGS	11421800	2013-04-16	64600	A
USGS	11421800	2013-04-17	64600	A
USGS	11421800	2013-04-18	64600	A
USGS	11421800	2013-04-19	64500	A
USGS	11421800	2013-04-20	64500	A
USGS	11421800	2013-04-21	64400	A
USGS	11421800	2013-04-22	64400	A
USGS	11421800	2013-04-23	64300	A
USGS	11421800	2013-04-24	64300	A
USGS	11421800	2013-04-25	64400	A
USGS	11421800	2013-04-26	64500	A
USGS	11421800	2013-04-27	64500	A
USGS	11421800	2013-04-28	64600	A
USGS	11421800	2013-04-29	64600	A
USGS	11421800	2013-04-30	64700	A
USGS	11421800	2013-05-01	64700	A
USGS	11421800	2013-05-02	64600	A
USGS	11421800	2013-05-03	64500	A
USGS	11421800	2013-05-04	64500	A
USGS	11421800	2013-05-05	64400	A
USGS	11421800	2013-05-06	64400	A
USGS	11421800	2013-05-07	64400	A
USGS	11421800	2013-05-08	64400	A
USGS	11421800	2013-05-09	64400	A
USGS	11421800	2013-05-10	64300	A
USGS	11421800	2013-05-11	64300	A
USGS	11421800	2013-05-12	64200	A
USGS	11421800	2013-05-13	64100	A
USGS	11421800	2013-05-14	64000	A
USGS	11421800	2013-05-15	63700	A
USGS	11421800	2013-05-16	63600	A
USGS	11421800	2013-05-17	63600	A
USGS	11421800	2013-05-18	63500	A
USGS	11421800	2013-05-19	63500	A
USGS	11421800	2013-05-20	63400	A
USGS	11421800	2013-05-21	63400	A
USGS	11421800	2013-05-22	63400	A
USGS	11421800	2013-05-23	63400	A
USGS	11421800	2013-05-24	63400	A
USGS	11421800	2013-05-25	63400	A
USGS	11421800	2013-05-26	63400	A
USGS	11421800	2013-05-27	63400	A
USGS	11421800	2013-05-28	63400	A
USGS	11421800	2013-05-29	63400	A
USGS	11421800	2013-05-30	63400	A
USGS	11421800	2013-05-31	63400	A
USGS	11421800	2013-06-01	63400	A
USGS	11421800	2013-06-02	63400	A
