agency_cd	site_no	datetime	149327_62614_32400	149327_62614_32400_cd
5s	15s	20d	14n	10s
USGS	12175000	2013-01-01	1573.49	A
USGS	12175000	2013-01-02	1572.55	A
USGS	12175000	2013-01-03	1571.62	A
USGS	12175000	2013-01-04	1570.70	A
USGS	12175000	2013-01-05	1569.83	A
USGS	12175000	2013-01-06	1568.91	A
USGS	12175000	2013-01-07	1568.31	A
USGS	12175000	2013-01-08	1567.72	A
USGS	12175000	2013-01-09	1567.39	A
USGS	12175000	2013-01-10	1566.57	A
USGS	12175000	2013-01-11	1565.83	A
USGS	12175000	2013-01-12	1564.87	A
USGS	12175000	2013-01-13	1563.92	A
USGS	12175000	2013-01-14	1563.10	A
USGS	12175000	2013-01-15	1562.25	A
USGS	12175000	2013-01-16	1561.17	A
USGS	12175000	2013-01-17	1560.12	A
USGS	12175000	2013-01-18	1559.06	A
USGS	12175000	2013-01-19	1557.87	A
USGS	12175000	2013-01-20	1556.73	A
USGS	12175000	2013-01-21	1555.46	A
USGS	12175000	2013-01-22	1554.22	A
USGS	12175000	2013-01-23	1553.14	A
USGS	12175000	2013-01-24	1552.25	A
USGS	12175000	2013-01-25	1551.33	A
USGS	12175000	2013-01-26	1550.37	A
USGS	12175000	2013-01-27	1549.55	A
USGS	12175000	2013-01-28	1548.76	A
USGS	12175000	2013-01-29	1547.93	A
USGS	12175000	2013-01-30	1547.16	A
USGS	12175000	2013-01-31	1546.44	A
USGS	12175000	2013-02-01	1545.59	A
USGS	12175000	2013-02-02	1544.50	A
USGS	12175000	2013-02-03	1543.72	A
USGS	12175000	2013-02-04	1542.92	A
USGS	12175000	2013-02-05	1542.03	A
USGS	12175000	2013-02-06	1541.14	A
USGS	12175000	2013-02-07	1539.97	A
USGS	12175000	2013-02-08	1538.84	A
USGS	12175000	2013-02-09	1537.74	A
USGS	12175000	2013-02-10	1536.75	A
USGS	12175000	2013-02-11	1535.90	A
USGS	12175000	2013-02-12	1534.90	A
USGS	12175000	2013-02-13	1534.16	A
USGS	12175000	2013-02-14	1533.18	A
USGS	12175000	2013-02-15	1532.45	A
USGS	12175000	2013-02-16	1531.48	A
USGS	12175000	2013-02-17	1530.65	A
USGS	12175000	2013-02-18	1529.77	A
USGS	12175000	2013-02-19	1528.93	A
USGS	12175000	2013-02-20	1527.88	A
USGS	12175000	2013-02-21	1526.90	A
USGS	12175000	2013-02-22	1526.15	A
USGS	12175000	2013-02-23	1525.33	A
USGS	12175000	2013-02-24	1524.44	A
USGS	12175000	2013-02-25	1523.54	A
USGS	12175000	2013-02-26	1522.59	A
USGS	12175000	2013-02-27	1521.63	A
USGS	12175000	2013-02-28	1520.71	A
USGS	12175000	2013-03-01	1520.27	A
USGS	12175000	2013-03-02	1520.08	A
USGS	12175000	2013-03-03	1519.95	A
USGS	12175000	2013-03-04	1519.73	A
USGS	12175000	2013-03-05	1519.37	A
USGS	12175000	2013-03-06	1519.08	A
USGS	12175000	2013-03-07	1518.71	A
USGS	12175000	2013-03-08	1518.24	A
USGS	12175000	2013-03-09	1517.67	A
USGS	12175000	2013-03-10	1517.23	A
USGS	12175000	2013-03-11	1516.67	A
USGS	12175000	2013-03-12	1516.30	A
USGS	12175000	2013-03-13	1516.19	A
USGS	12175000	2013-03-14	1516.39	A
USGS	12175000	2013-03-15	1516.64	A
USGS	12175000	2013-03-16	1517.02	A
USGS	12175000	2013-03-17	1517.34	A
USGS	12175000	2013-03-18	1517.38	A
USGS	12175000	2013-03-19	1517.29	A
USGS	12175000	2013-03-20	1517.30	A
USGS	12175000	2013-03-21	1517.23	A
USGS	12175000	2013-03-22	1516.97	A
USGS	12175000	2013-03-23	1516.57	A
USGS	12175000	2013-03-24	1516.12	A
USGS	12175000	2013-03-25	1515.78	A
USGS	12175000	2013-03-26	1515.25	A
USGS	12175000	2013-03-27	1514.56	A
USGS	12175000	2013-03-28	1513.91	A
USGS	12175000	2013-03-29	1513.31	A
USGS	12175000	2013-03-30	1512.68	A
USGS	12175000	2013-03-31	1512.30	A
USGS	12175000	2013-04-01	1512.43	A
USGS	12175000	2013-04-02	1512.89	A
USGS	12175000	2013-04-03	1513.46	A
USGS	12175000	2013-04-04	1514.19	A
USGS	12175000	2013-04-05	1515.46	A
USGS	12175000	2013-04-06	1516.93	A
USGS	12175000	2013-04-07	1518.01	A
USGS	12175000	2013-04-08	1518.78	A
USGS	12175000	2013-04-09	1519.19	A
USGS	12175000	2013-04-10	1519.80	A
USGS	12175000	2013-04-11	1520.29	A
USGS	12175000	2013-04-12	1520.52	A
USGS	12175000	2013-04-13	1520.92	A
USGS	12175000	2013-04-14	1520.93	A
USGS	12175000	2013-04-15	1520.84	A
USGS	12175000	2013-04-16	1520.77	A
USGS	12175000	2013-04-17	1520.43	A
USGS	12175000	2013-04-18	1520.16	A
USGS	12175000	2013-04-19	1519.97	A
USGS	12175000	2013-04-20	1519.71	A
USGS	12175000	2013-04-21	1519.59	A
USGS	12175000	2013-04-22	1519.24	A
USGS	12175000	2013-04-23	1518.93	A
USGS	12175000	2013-04-24	1518.60	A
USGS	12175000	2013-04-25	1518.47	A
USGS	12175000	2013-04-26	1518.12	A
USGS	12175000	2013-04-27	1518.33	A
USGS	12175000	2013-04-28	1518.64	A
USGS	12175000	2013-04-29	1519.16	A
USGS	12175000	2013-04-30	1519.50	A
USGS	12175000	2013-05-01	1519.79	A
USGS	12175000	2013-05-02	1519.93	A
USGS	12175000	2013-05-03	1520.08	A
USGS	12175000	2013-05-04	1520.64	A
USGS	12175000	2013-05-05	1521.90	A
USGS	12175000	2013-05-06	1524.13	A
USGS	12175000	2013-05-07	1527.31	A
USGS	12175000	2013-05-08	1531.05	A
USGS	12175000	2013-05-09	1534.78	A
USGS	12175000	2013-05-10	1538.30	A
USGS	12175000	2013-05-11	1541.89	A
USGS	12175000	2013-05-12	1546.12	A
USGS	12175000	2013-05-13	1550.65	A
USGS	12175000	2013-05-14	1554.07	A
USGS	12175000	2013-05-15	1556.22	A
USGS	12175000	2013-05-16	1557.81	A
USGS	12175000	2013-05-17	1559.34	A
USGS	12175000	2013-05-18	1560.67	A
USGS	12175000	2013-05-19	1561.91	A
USGS	12175000	2013-05-20	1563.07	A
USGS	12175000	2013-05-21	1564.53	A
USGS	12175000	2013-05-22	1565.73	A
USGS	12175000	2013-05-23	1566.67	A
USGS	12175000	2013-05-24	1567.38	A
USGS	12175000	2013-05-25	1567.94	A
USGS	12175000	2013-05-26	1568.50	A
USGS	12175000	2013-05-27	1568.94	A
USGS	12175000	2013-05-28	1569.65	A
USGS	12175000	2013-05-29	1570.31	A
USGS	12175000	2013-05-30	1570.93	A
USGS	12175000	2013-05-31	1571.45	A
USGS	12175000	2013-06-01	1572.03	A
USGS	12175000	2013-06-02	1572.69	A
USGS	12175000	2013-06-03	1573.42	A
USGS	12175000	2013-06-04	1574.38	A
USGS	12175000	2013-06-05	1575.69	A
