agency_cd	site_no	datetime	216788_00054_32400	216788_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11427958	2015-10-01	528.0	A
USGS	11427958	2015-10-02	531.0	A
USGS	11427958	2015-10-03	534.0	A
USGS	11427958	2015-10-04	544.0	A
USGS	11427958	2015-10-05	544.0	A
USGS	11427958	2015-10-06	542.0	A
USGS	11427958	2015-10-07	540.0	A
USGS	11427958	2015-10-08	538.0	A
USGS	11427958	2015-10-09	536.0	A
USGS	11427958	2015-10-10	532.0	A
USGS	11427958	2015-10-11	529.0	A
USGS	11427958	2015-10-12	526.0	A
USGS	11427958	2015-10-13	523.0	A
USGS	11427958	2015-10-14	520.0	A
USGS	11427958	2015-10-15	517.0	A
USGS	11427958	2015-10-16	515.0	A
USGS	11427958	2015-10-17	586.0	A
USGS	11427958	2015-10-18	607.0	A
USGS	11427958	2015-10-19	612.0	A
USGS	11427958	2015-10-20	612.0	A
USGS	11427958	2015-10-21	535.0	A
USGS	11427958	2015-10-22	480.0	A
USGS	11427958	2015-10-23	461.0	A
USGS	11427958	2015-10-24	452.0	A
USGS	11427958	2015-10-25	446.0	A
USGS	11427958	2015-10-26	441.0	A
USGS	11427958	2015-10-27	437.0	A
USGS	11427958	2015-10-28	436.0	A
USGS	11427958	2015-10-29	433.0	A
USGS	11427958	2015-10-30	431.0	A
USGS	11427958	2015-10-31	428.0	A
USGS	11427958	2015-11-01	456.0	A
USGS	11427958	2015-11-02	675.0	A
USGS	11427958	2015-11-03	558.0	A
USGS	11427958	2015-11-04	508.0	A
USGS	11427958	2015-11-05	484.0	A
USGS	11427958	2015-11-06	471.0	A
USGS	11427958	2015-11-07	465.0	A
USGS	11427958	2015-11-08	461.0	A
USGS	11427958	2015-11-09	475.0	A
USGS	11427958	2015-11-10	484.0	A
USGS	11427958	2015-11-11	480.0	A
USGS	11427958	2015-11-12	477.0	A
USGS	11427958	2015-11-13	477.0	A
USGS	11427958	2015-11-14	477.0	A
USGS	11427958	2015-11-15	476.0	A
USGS	11427958	2015-11-16	478.0	A
USGS	11427958	2015-11-17	481.0	A
USGS	11427958	2015-11-18	485.0	A
USGS	11427958	2015-11-19	493.0	A
USGS	11427958	2015-11-20	500.0	A
USGS	11427958	2015-11-21	497.0	A
USGS	11427958	2015-11-22	491.0	A
USGS	11427958	2015-11-23	485.0	A
USGS	11427958	2015-11-24	480.0	A
USGS	11427958	2015-11-25	480.0	A
USGS	11427958	2015-11-26	479.0	A
USGS	11427958	2015-11-27	475.0	A
USGS	11427958	2015-11-28	469.0	A
USGS	11427958	2015-11-29	464.0	A
USGS	11427958	2015-11-30	460.0	A
USGS	11427958	2015-12-01	458.0	A
USGS	11427958	2015-12-02	468.0	A
USGS	11427958	2015-12-03	505.0	A
USGS	11427958	2015-12-04	501.0	A
USGS	11427958	2015-12-05	490.0	A
USGS	11427958	2015-12-06	480.0	A
USGS	11427958	2015-12-07	503.0	A
USGS	11427958	2015-12-08	516.0	A
USGS	11427958	2015-12-09	506.0	A
USGS	11427958	2015-12-10	806.0	A
USGS	11427958	2015-12-11	624.0	A
USGS	11427958	2015-12-12	557.0	A
USGS	11427958	2015-12-13	527.0	A
USGS	11427958	2015-12-14	522.0	A
USGS	11427958	2015-12-15	512.0	A
USGS	11427958	2015-12-16	506.0	A
USGS	11427958	2015-12-17	501.0	A
USGS	11427958	2015-12-18	498.0	A
USGS	11427958	2015-12-19	498.0	A
USGS	11427958	2015-12-20	497.0	A
USGS	11427958	2015-12-21	534.0	A
USGS	11427958	2015-12-22	760.0	A
USGS	11427958	2015-12-23	657.0	A
USGS	11427958	2015-12-24	575.0	A
USGS	11427958	2015-12-25	540.0	A
USGS	11427958	2015-12-26	521.0	A
USGS	11427958	2015-12-27	513.0	A
USGS	11427958	2015-12-28	508.0	A
USGS	11427958	2015-12-29	502.0	A
USGS	11427958	2015-12-30	499.0	A
USGS	11427958	2015-12-31	497.0	A
USGS	11427958	2016-01-01	493.0	A
USGS	11427958	2016-01-02	493.0	A
USGS	11427958	2016-01-03	491.0	A
USGS	11427958	2016-01-04	489.0	A
USGS	11427958	2016-01-05	492.0	A
USGS	11427958	2016-01-06	494.0	A
USGS	11427958	2016-01-07	492.0	A
USGS	11427958	2016-01-08	490.0	A
USGS	11427958	2016-01-09	489.0	A
USGS	11427958	2016-01-10	487.0	A
USGS	11427958	2016-01-11	486.0	A
USGS	11427958	2016-01-12	486.0	A
USGS	11427958	2016-01-13	489.0	A
USGS	11427958	2016-01-14	493.0	A
USGS	11427958	2016-01-15	495.0	A
USGS	11427958	2016-01-16	557.0	A
USGS	11427958	2016-01-17	570.0	A
USGS	11427958	2016-01-18	532.0	A
USGS	11427958	2016-01-19	558.0	A
USGS	11427958	2016-01-20	533.0	A
USGS	11427958	2016-01-21	513.0	A
USGS	11427958	2016-01-22	551.0	A
USGS	11427958	2016-01-23	562.0	A
USGS	11427958	2016-01-24	522.0	A
USGS	11427958	2016-01-25	507.0	A
USGS	11427958	2016-01-26	501.0	A
USGS	11427958	2016-01-27	499.0	A
USGS	11427958	2016-01-28	502.0	A
USGS	11427958	2016-01-29	1490	A
USGS	11427958	2016-01-30	1310	A
USGS	11427958	2016-01-31	850.0	A
USGS	11427958	2016-02-01	666.0	A
USGS	11427958	2016-02-02	599.0	A
USGS	11427958	2016-02-03	569.0	A
USGS	11427958	2016-02-04	548.0	A
USGS	11427958	2016-02-05	538.0	A
USGS	11427958	2016-02-06	532.0	A
USGS	11427958	2016-02-07	533.0	A
USGS	11427958	2016-02-08	541.0	A
USGS	11427958	2016-02-09	551.0	A
USGS	11427958	2016-02-10	552.0	A
USGS	11427958	2016-02-11	551.0	A
USGS	11427958	2016-02-12	555.0	A
USGS	11427958	2016-02-13	557.0	A
USGS	11427958	2016-02-14	565.0	A
USGS	11427958	2016-02-15	591.0	A
USGS	11427958	2016-02-16	601.0	A
USGS	11427958	2016-02-17	655.0	A
USGS	11427958	2016-02-18	604.0	A
USGS	11427958	2016-02-19	566.0	A
USGS	11427958	2016-02-20	543.0	A
