agency_cd	site_no	datetime	213910_00054_32400	213910_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11414275	2013-05-06	656.0	A
USGS	11414275	2013-05-07	661.0	A
USGS	11414275	2013-05-08	661.0	A
USGS	11414275	2013-05-09	662.0	A
USGS	11414275	2013-05-10	660.0	A
USGS	11414275	2013-05-11	657.0	A
USGS	11414275	2013-05-12	657.0	A
USGS	11414275	2013-05-13	656.0	A
USGS	11414275	2013-05-14	653.0	A
USGS	11414275	2013-05-15	652.0	A
USGS	11414275	2013-05-16	659.0	A
USGS	11414275	2013-05-17	658.0	A
USGS	11414275	2013-05-18	660.0	A
USGS	11414275	2013-05-19	644.0	A
USGS	11414275	2013-05-20	643.0	A
USGS	11414275	2013-05-21	644.0	A
USGS	11414275	2013-05-22	644.0	A
USGS	11414275	2013-05-23	643.0	A
USGS	11414275	2013-05-24	643.0	A
USGS	11414275	2013-05-25	638.0	A
USGS	11414275	2013-05-26	640.0	A
USGS	11414275	2013-05-27	641.0	A
USGS	11414275	2013-05-28	644.0	A
USGS	11414275	2013-05-29	646.0	A
USGS	11414275	2013-05-30	646.0	A
USGS	11414275	2013-05-31	648.0	A
USGS	11414275	2013-06-01	647.0	A
USGS	11414275	2013-06-02	644.0	A
USGS	11414275	2013-06-03	647.0	A
USGS	11414275	2013-06-04	644.0	A
USGS	11414275	2013-06-05	644.0	A
USGS	11414275	2013-06-06	644.0	A
USGS	11414275	2013-06-07	641.0	A
USGS	11414275	2013-06-08	642.0	A
USGS	11414275	2013-06-09	641.0	A
USGS	11414275	2013-06-10	641.0	A
USGS	11414275	2013-06-11	636.0	A
USGS	11414275	2013-06-12	635.0	A
USGS	11414275	2013-06-13	632.0	A
USGS	11414275	2013-06-14	634.0	A
USGS	11414275	2013-06-15	629.0	A
USGS	11414275	2013-06-16	632.0	A
USGS	11414275	2013-06-17	626.0	A
USGS	11414275	2013-06-18	626.0	A
USGS	11414275	2013-06-19	622.0	A
USGS	11414275	2013-06-20	621.0	A
USGS	11414275	2013-06-21	625.0	A
USGS	11414275	2013-06-22	623.0	A
USGS	11414275	2013-06-23	623.0	A
USGS	11414275	2013-06-24	629.0	A
USGS	11414275	2013-06-25	638.0	A
USGS	11414275	2013-06-26	639.0	A
USGS	11414275	2013-06-27	636.0	A
USGS	11414275	2013-06-28	637.0	A
USGS	11414275	2013-06-29	636.0	A
USGS	11414275	2013-06-30	637.0	A
USGS	11414275	2013-07-01	635.0	A
USGS	11414275	2013-07-02	633.0	A
USGS	11414275	2013-07-03	632.0	A
USGS	11414275	2013-07-04	633.0	A
USGS	11414275	2013-07-05	630.0	A
USGS	11414275	2013-07-06	625.0	A
USGS	11414275	2013-07-07	625.0	A
USGS	11414275	2013-07-08	625.0	A
USGS	11414275	2013-07-09	623.0	A
USGS	11414275	2013-07-10	619.0	A
USGS	11414275	2013-07-11	618.0	A
USGS	11414275	2013-07-12	617.0	A
USGS	11414275	2013-07-13	613.0	A
USGS	11414275	2013-07-14	611.0	A
USGS	11414275	2013-07-15	610.0	A
USGS	11414275	2013-07-16	604.0	A
USGS	11414275	2013-07-17	604.0	A
USGS	11414275	2013-07-18	602.0	A
USGS	11414275	2013-07-19	599.0	A
USGS	11414275	2013-07-20	597.0	A
USGS	11414275	2013-07-21	597.0	A
USGS	11414275	2013-07-22	594.0	A
USGS	11414275	2013-07-23	594.0	A
USGS	11414275	2013-07-24	591.0	A
USGS	11414275	2013-07-25	587.0	A
USGS	11414275	2013-07-26	584.0	A
USGS	11414275	2013-07-27	583.0	A
USGS	11414275	2013-07-28	582.0	A
USGS	11414275	2013-07-29	579.0	A
USGS	11414275	2013-07-30	577.0	A
USGS	11414275	2013-07-31	576.0	A
USGS	11414275	2013-08-01	569.0	A
USGS	11414275	2013-08-02	569.0	A
USGS	11414275	2013-08-03	568.0	A
USGS	11414275	2013-08-04	562.0	A
USGS	11414275	2013-08-05	563.0	A
USGS	11414275	2013-08-06	558.0	A
USGS	11414275	2013-08-07	560.0	A
USGS	11414275	2013-08-08	554.0	A
USGS	11414275	2013-08-09	554.0	A
USGS	11414275	2013-08-10	551.0	A
USGS	11414275	2013-08-11	549.0	A
USGS	11414275	2013-08-12	551.0	A
USGS	11414275	2013-08-13	545.0	A
USGS	11414275	2013-08-14	545.0	A
USGS	11414275	2013-08-15	544.0	A
USGS	11414275	2013-08-16	542.0	A
USGS	11414275	2013-08-17	536.0	A
USGS	11414275	2013-08-18	536.0	A
USGS	11414275	2013-08-19	533.0	A
USGS	11414275	2013-08-20	532.0	A
USGS	11414275	2013-08-21	530.0	A
USGS	11414275	2013-08-22	528.0	A
USGS	11414275	2013-08-23	525.0	A
USGS	11414275	2013-08-24	523.0	A
USGS	11414275	2013-08-25	521.0	A
