agency_cd	site_no	datetime	217331_00054_32400	217331_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11480400	2013-01-01	48840	A
USGS	11480400	2013-01-02	48720	A
USGS	11480400	2013-01-03	48550	A
USGS	11480400	2013-01-04	48510	A
USGS	11480400	2013-01-05	48410	A
USGS	11480400	2013-01-06	48380	A
USGS	11480400	2013-01-07	48380	A
USGS	11480400	2013-01-08	48420	A
USGS	11480400	2013-01-09	48600	A
USGS	11480400	2013-01-10	48740	A
USGS	11480400	2013-01-11	48770	A
USGS	11480400	2013-01-12	48680	A
USGS	11480400	2013-01-13	48590	A
USGS	11480400	2013-01-14	48510	A
USGS	11480400	2013-01-15	48390	A
USGS	11480400	2013-01-16	48320	A
USGS	11480400	2013-01-17	48250	A
USGS	11480400	2013-01-18	48300	A
USGS	11480400	2013-01-19	48280	A
USGS	11480400	2013-01-20	48230	A
USGS	11480400	2013-01-21	48280	A
USGS	11480400	2013-01-22	48210	A
USGS	11480400	2013-01-23	48700	A
USGS	11480400	2013-01-24	49270	A
USGS	11480400	2013-01-25	49260	A
USGS	11480400	2013-01-26	49240	A
USGS	11480400	2013-01-27	49100	A
USGS	11480400	2013-01-28	48900	A
USGS	11480400	2013-01-29	48800	A
USGS	11480400	2013-01-30	48660	A
USGS	11480400	2013-01-31	48550	A
USGS	11480400	2013-02-01	48440	A
USGS	11480400	2013-02-02	48320	A
USGS	11480400	2013-02-03	48210	A
USGS	11480400	2013-02-04	48090	A
USGS	11480400	2013-02-05	47980	A
USGS	11480400	2013-02-06	47850	A
USGS	11480400	2013-02-07	47710	A
USGS	11480400	2013-02-08	47570	A
USGS	11480400	2013-02-09	47390	A
USGS	11480400	2013-02-10	47190	A
USGS	11480400	2013-02-11	46990	A
USGS	11480400	2013-02-12	46780	A
USGS	11480400	2013-02-13	46600	A
USGS	11480400	2013-02-14	46560	A
USGS	11480400	2013-02-15	46500	A
USGS	11480400	2013-02-16	46400	A
USGS	11480400	2013-02-17	46290	A
USGS	11480400	2013-02-18	46240	A
USGS	11480400	2013-02-19	46160	A
USGS	11480400	2013-02-20	46110	A
USGS	11480400	2013-02-21	46020	A
USGS	11480400	2013-02-22	45920	A
USGS	11480400	2013-02-23	45800	A
USGS	11480400	2013-02-24	45730	A
USGS	11480400	2013-02-25	45580	A
USGS	11480400	2013-02-26	45500	A
USGS	11480400	2013-02-27	45410	A
USGS	11480400	2013-02-28	45340	A
USGS	11480400	2013-03-01	45400	A
USGS	11480400	2013-03-02	45480	A
USGS	11480400	2013-03-03	45550	A
USGS	11480400	2013-03-04	45600	A
USGS	11480400	2013-03-05	45780	A
USGS	11480400	2013-03-06	46140	A
USGS	11480400	2013-03-07	46280	A
USGS	11480400	2013-03-08	46460	A
USGS	11480400	2013-03-09	46650	A
USGS	11480400	2013-03-10	46760	A
USGS	11480400	2013-03-11	46970	A
USGS	11480400	2013-03-12	47170	A
USGS	11480400	2013-03-13	47300	A
USGS	11480400	2013-03-14	47380	A
USGS	11480400	2013-03-15	47450	A
USGS	11480400	2013-03-16	47420	A
USGS	11480400	2013-03-17	47470	A
USGS	11480400	2013-03-18	47380	A
USGS	11480400	2013-03-19	47400	A
USGS	11480400	2013-03-20	47790	A
USGS	11480400	2013-03-21	47980	A
USGS	11480400	2013-03-22	47960	A
USGS	11480400	2013-03-23	47940	A
USGS	11480400	2013-03-24	47840	A
USGS	11480400	2013-03-25	47660	A
USGS	11480400	2013-03-26	47530	A
USGS	11480400	2013-03-27	47510	A
USGS	11480400	2013-03-28	47470	A
USGS	11480400	2013-03-29	47540	A
USGS	11480400	2013-03-30	47600	A
USGS	11480400	2013-03-31	47750	A
USGS	11480400	2013-04-01	47960	A
USGS	11480400	2013-04-02	48040	A
USGS	11480400	2013-04-03	47960	A
USGS	11480400	2013-04-04	48090	A
USGS	11480400	2013-04-05	48360	A
USGS	11480400	2013-04-06	48450	A
USGS	11480400	2013-04-07	48530	A
USGS	11480400	2013-04-08	48710	A
USGS	11480400	2013-04-09	48720	A
USGS	11480400	2013-04-10	48580	A
USGS	11480400	2013-04-11	48500	A
USGS	11480400	2013-04-12	48390	A
USGS	11480400	2013-04-13	48320	A
USGS	11480400	2013-04-14	48120	A
USGS	11480400	2013-04-15	48120	A
USGS	11480400	2013-04-16	48100	A
USGS	11480400	2013-04-17	48150	A
USGS	11480400	2013-04-18	48100	A
USGS	11480400	2013-04-19	48050	A
