agency_cd	site_no	datetime	213398_00054_32400	213398_00054_32400_cd
5s	15s	20d	14n	10s
USGS	10287650	2013-01-01	2390	A
USGS	10287650	2013-01-02	2380	A
USGS	10287650	2013-01-03	2380	A
USGS	10287650	2013-01-04	2370	A
USGS	10287650	2013-01-05	2370	A
USGS	10287650	2013-01-06	2370	A
USGS	10287650	2013-01-07	2360	A
USGS	10287650	2013-01-08	2350	A
USGS	10287650	2013-01-09	2330	A
USGS	10287650	2013-01-10	2350	A
USGS	10287650	2013-01-11	2350	A
USGS	10287650	2013-01-12	2340	A
USGS	10287650	2013-01-13	2340	A
USGS	10287650	2013-01-14	2340	A
USGS	10287650	2013-01-15	2330	A
USGS	10287650	2013-01-16	2320	A
USGS	10287650	2013-01-17	2310	A
USGS	10287650	2013-01-18	2310	A
USGS	10287650	2013-01-19	2300	A
USGS	10287650	2013-01-20	2300	A
USGS	10287650	2013-01-21	2290	A
USGS	10287650	2013-01-22	2290	A
USGS	10287650	2013-01-23	2280	A
USGS	10287650	2013-01-24	2280	A
USGS	10287650	2013-01-25	2270	A
USGS	10287650	2013-01-26	2280	A
USGS	10287650	2013-01-27	2270	A
USGS	10287650	2013-01-28	2260	A
USGS	10287650	2013-01-29	2260	A
USGS	10287650	2013-01-30	2250	A
USGS	10287650	2013-01-31	2240	A
USGS	10287650	2013-02-01	2240	A
USGS	10287650	2013-02-02	2230	A
USGS	10287650	2013-02-03	2230	A
USGS	10287650	2013-02-04	2220	A
USGS	10287650	2013-02-05	2220	A
USGS	10287650	2013-02-06	2210	A
USGS	10287650	2013-02-07	2200	A
USGS	10287650	2013-02-08	2200	A
USGS	10287650	2013-02-09	2200	A
USGS	10287650	2013-02-10	2180	A
USGS	10287650	2013-02-11	2190	A
USGS	10287650	2013-02-12	2180	A
USGS	10287650	2013-02-13	2170	A
USGS	10287650	2013-02-14	2170	A
USGS	10287650	2013-02-15	2160	A
USGS	10287650	2013-02-16	2160	A
USGS	10287650	2013-02-17	2150	A
USGS	10287650	2013-02-18	2150	A
USGS	10287650	2013-02-19	2150	A
USGS	10287650	2013-02-20	2140	A
USGS	10287650	2013-02-21	2140	A
USGS	10287650	2013-02-22	2130	A
USGS	10287650	2013-02-23	2130	A
USGS	10287650	2013-02-24	2120	A
USGS	10287650	2013-02-25	2110	A
USGS	10287650	2013-02-26	2110	A
USGS	10287650	2013-02-27	2100	A
USGS	10287650	2013-02-28	2100	A
USGS	10287650	2013-03-01	2090	A
USGS	10287650	2013-03-02	2080	A
USGS	10287650	2013-03-03	2090	A
USGS	10287650	2013-03-04	2090	A
USGS	10287650	2013-03-05	2050	A
USGS	10287650	2013-03-06	2080	A
USGS	10287650	2013-03-07	2080	A
USGS	10287650	2013-03-08	2090	A
USGS	10287650	2013-03-09	2070	A
USGS	10287650	2013-03-10	2070	A
USGS	10287650	2013-03-11	2070	A
USGS	10287650	2013-03-12	2060	A
USGS	10287650	2013-03-13	2060	A
USGS	10287650	2013-03-14	2050	A
USGS	10287650	2013-03-15	2050	A
USGS	10287650	2013-03-16	2040	A
USGS	10287650	2013-03-17	2040	A
USGS	10287650	2013-03-18	2040	A
USGS	10287650	2013-03-19	2030	A
USGS	10287650	2013-03-20	2030	A
USGS	10287650	2013-03-21	2030	A
USGS	10287650	2013-03-22	2030	A
USGS	10287650	2013-03-23	2020	A
USGS	10287650	2013-03-24	2020	A
USGS	10287650	2013-03-25	2010	A
USGS	10287650	2013-03-26	2010	A
USGS	10287650	2013-03-27	2010	A
USGS	10287650	2013-03-28	2010	A
USGS	10287650	2013-03-29	2000	A
USGS	10287650	2013-03-30	2000	A
USGS	10287650	2013-03-31	2000	A
USGS	10287650	2013-04-01	2010	A
USGS	10287650	2013-04-02	2000	A
USGS	10287650	2013-04-03	2000	A
USGS	10287650	2013-04-04	2010	A
USGS	10287650	2013-04-05	2010	A
USGS	10287650	2013-04-06	2010	A
USGS	10287650	2013-04-07	2030	A
USGS	10287650	2013-04-08	2000	A
USGS	10287650	2013-04-09	2040	A
USGS	10287650	2013-04-10	2020	A
USGS	10287650	2013-04-11	2020	A
USGS	10287650	2013-04-12	2030	A
USGS	10287650	2013-04-13	2040	A
USGS	10287650	2013-04-14	2040	A
USGS	10287650	2013-04-15	2060	A
USGS	10287650	2013-04-16	2070	A
USGS	10287650	2013-04-17	2080	A
USGS	10287650	2013-04-18	2080	A
USGS	10287650	2013-04-19	2080	A
USGS	10287650	2013-04-20	2090	A
USGS	10287650	2013-04-21	2110	A
USGS	10287650	2013-04-22	2130	A
USGS	10287650	2013-04-23	2150	A
USGS	10287650	2013-04-24	2180	A
USGS	10287650	2013-04-25	2210	A
USGS	10287650	2013-04-26	2240	A
USGS	10287650	2013-04-27	2280	A
USGS	10287650	2013-04-28	2320	A
USGS	10287650	2013-04-29	2370	A
USGS	10287650	2013-04-30	2420	A
USGS	10287650	2013-05-01	2480	A
USGS	10287650	2013-05-02	2520	A
USGS	10287650	2013-05-03	2570	A
USGS	10287650	2013-05-04	2620	A
USGS	10287650	2013-05-05	2650	A
USGS	10287650	2013-05-06	2680	A
USGS	10287650	2013-05-07	2700	A
USGS	10287650	2013-05-08	2720	A
USGS	10287650	2013-05-09	2750	A
USGS	10287650	2013-05-10	2780	A
USGS	10287650	2013-05-11	2820	A
USGS	10287650	2013-05-12	2880	A
USGS	10287650	2013-05-13	2960	A
USGS	10287650	2013-05-14	3030	A
USGS	10287650	2013-05-15	3100	A
USGS	10287650	2013-05-16	3150	A
USGS	10287650	2013-05-17	3190	A
USGS	10287650	2013-05-18	3220	A
USGS	10287650	2013-05-19	3250	A
USGS	10287650	2013-05-20	3290	A
USGS	10287650	2013-05-21	3330	A
USGS	10287650	2013-05-22	3370	A
USGS	10287650	2013-05-23	3390	A
USGS	10287650	2013-05-24	3410	A
USGS	10287650	2013-05-25	3440	A
USGS	10287650	2013-05-26	3460	A
USGS	10287650	2013-05-27	3500	A
USGS	10287650	2013-05-28	3530	A
USGS	10287650	2013-05-29	3560	A
USGS	10287650	2013-05-30	3590	A
USGS	10287650	2013-05-31	3630	A
USGS	10287650	2013-06-01	3670	A
USGS	10287650	2013-06-02	3720	A
USGS	10287650	2013-06-03	3780	A
USGS	10287650	2013-06-04	3830	A
USGS	10287650	2013-06-05	3880	A
USGS	10287650	2013-06-06	3930	A
USGS	10287650	2013-06-07	3990	A
USGS	10287650	2013-06-08	4040	A
USGS	10287650	2013-06-09	4100	A
USGS	10287650	2013-06-10	4150	A
USGS	10287650	2013-06-11	4190	A
USGS	10287650	2013-06-12	4270	A
USGS	10287650	2013-06-13	4260	A
USGS	10287650	2013-06-14	4280	A
USGS	10287650	2013-06-15	4300	A
USGS	10287650	2013-06-16	4320	A
USGS	10287650	2013-06-17	4340	A
USGS	10287650	2013-06-18	4360	A
USGS	10287650	2013-06-19	4370	A
USGS	10287650	2013-06-20	4380	A
USGS	10287650	2013-06-21	4390	A
USGS	10287650	2013-06-22	4400	A
USGS	10287650	2013-06-23	4400	A
USGS	10287650	2013-06-24	4430	A
USGS	10287650	2013-06-25	4480	A
USGS	10287650	2013-06-26	4500	A
USGS	10287650	2013-06-27	4530	A
USGS	10287650	2013-06-28	4570	A
USGS	10287650	2013-06-29	4610	A
USGS	10287650	2013-06-30	4640	A
USGS	10287650	2013-07-01	4680	A
USGS	10287650	2013-07-02	4720	A
USGS	10287650	2013-07-03	4750	A
USGS	10287650	2013-07-04	4770	A
USGS	10287650	2013-07-05	4800	A
USGS	10287650	2013-07-06	4810	A
USGS	10287650	2013-07-07	4820	A
USGS	10287650	2013-07-08	4830	A
USGS	10287650	2013-07-09	4840	A
USGS	10287650	2013-07-10	4860	A
USGS	10287650	2013-07-11	4860	A
USGS	10287650	2013-07-12	4870	A
USGS	10287650	2013-07-13	4880	A
USGS	10287650	2013-07-14	4880	A
USGS	10287650	2013-07-15	4880	A
USGS	10287650	2013-07-16	4890	A
USGS	10287650	2013-07-17	4890	A
USGS	10287650	2013-07-18	4900	A
USGS	10287650	2013-07-19	4910	A
USGS	10287650	2013-07-20	4910	A
USGS	10287650	2013-07-21	4920	A
USGS	10287650	2013-07-22	4940	A
USGS	10287650	2013-07-23	4950	A
USGS	10287650	2013-07-24	4950	A
USGS	10287650	2013-07-25	4960	A
USGS	10287650	2013-07-26	4970	A
USGS	10287650	2013-07-27	4970	A
USGS	10287650	2013-07-28	4970	A
USGS	10287650	2013-07-29	4980	A
USGS	10287650	2013-07-30	4980	A
USGS	10287650	2013-07-31	4980	A
USGS	10287650	2013-08-01	4980	A
USGS	10287650	2013-08-02	4970	A
USGS	10287650	2013-08-03	4970	A
USGS	10287650	2013-08-04	4970	A
USGS	10287650	2013-08-05	4970	A
USGS	10287650	2013-08-06	4960	A
USGS	10287650	2013-08-07	4960	A
USGS	10287650	2013-08-08	4960	A
USGS	10287650	2013-08-09	4960	A
USGS	10287650	2013-08-10	4950	A
USGS	10287650	2013-08-11	4950	A
USGS	10287650	2013-08-12	4950	A
USGS	10287650	2013-08-13	4940	A
USGS	10287650	2013-08-14	4940	A
USGS	10287650	2013-08-15	4940	A
USGS	10287650	2013-08-16	4930	A
USGS	10287650	2013-08-17	4940	A
USGS	10287650	2013-08-18	4930	A
USGS	10287650	2013-08-19	4930	A
USGS	10287650	2013-08-20	4940	A
USGS	10287650	2013-08-21	4940	A
USGS	10287650	2013-08-22	4940	A
USGS	10287650	2013-08-23	4940	A
USGS	10287650	2013-08-24	4940	A
USGS	10287650	2013-08-25	4930	A
USGS	10287650	2013-08-26	4920	A
USGS	10287650	2013-08-27	4910	A
USGS	10287650	2013-08-28	4910	A
USGS	10287650	2013-08-29	4900	A
USGS	10287650	2013-08-30	4900	A
USGS	10287650	2013-08-31	4890	A
USGS	10287650	2013-09-01	4890	A
USGS	10287650	2013-09-02	4890	A
USGS	10287650	2013-09-03	4880	A
USGS	10287650	2013-09-04	4890	A
USGS	10287650	2013-09-05	4880	A
USGS	10287650	2013-09-06	4870	A
USGS	10287650	2013-09-07	4860	A
USGS	10287650	2013-09-08	4870	A
USGS	10287650	2013-09-09	4860	A
USGS	10287650	2013-09-10	4850	A
USGS	10287650	2013-09-11	4850	A
USGS	10287650	2013-09-12	4840	A
USGS	10287650	2013-09-13	4840	A
USGS	10287650	2013-09-14	4830	A
USGS	10287650	2013-09-15	4830	A
USGS	10287650	2013-09-16	4810	A
USGS	10287650	2013-09-17	4810	A
USGS	10287650	2013-09-18	4800	A
USGS	10287650	2013-09-19	4800	A
USGS	10287650	2013-09-20	4750	A
USGS	10287650	2013-09-21	4800	A
USGS	10287650	2013-09-22	4790	A
USGS	10287650	2013-09-23	4780	A
USGS	10287650	2013-09-24	4800	A
USGS	10287650	2013-09-25	4770	A
USGS	10287650	2013-09-26	4760	A
USGS	10287650	2013-09-27	4750	A
USGS	10287650	2013-09-28	4750	A
USGS	10287650	2013-09-29	4740	A
USGS	10287650	2013-09-30	4730	A
USGS	10287650	2013-10-01	4780	A
USGS	10287650	2013-10-02	4780	A
USGS	10287650	2013-10-03	4760	A
USGS	10287650	2013-10-04	4750	A
USGS	10287650	2013-10-05	4750	A
USGS	10287650	2013-10-06	4740	A
USGS	10287650	2013-10-07	4730	A
