agency_cd	site_no	datetime	7209_62614_00003	7209_62614_00003_cd
5s	15s	20d	14n	10s
USGS	10254005	2013-01-01	-232.20	A
USGS	10254005	2013-01-02	-232.20	A
USGS	10254005	2013-01-03	-232.20	A
USGS	10254005	2013-01-04	-232.20	A
USGS	10254005	2013-01-05	-232.20	A
USGS	10254005	2013-01-06	-232.20	A
USGS	10254005	2013-01-07	-232.20	A
USGS	10254005	2013-01-08	-232.20	A
USGS	10254005	2013-01-09	-232.20	A
USGS	10254005	2013-01-10	-232.20	A
USGS	10254005	2013-01-11	-232.20	A
USGS	10254005	2013-01-12	-232.20	A
USGS	10254005	2013-01-13	-232.20	A
USGS	10254005	2013-01-14	-232.20	A
USGS	10254005	2013-01-15	-232.20	A
USGS	10254005	2013-01-16	-232.20	A
USGS	10254005	2013-01-17	-232.20	A
USGS	10254005	2013-01-18	-232.20	A
USGS	10254005	2013-01-19	-232.20	A
USGS	10254005	2013-01-20	-232.20	A
USGS	10254005	2013-01-21	-232.20	A
USGS	10254005	2013-01-22	-232.10	A
USGS	10254005	2013-01-23	-232.10	A
USGS	10254005	2013-01-24	-232.10	A
USGS	10254005	2013-01-25	-232.10	A
USGS	10254005	2013-01-26	-232.00	A
USGS	10254005	2013-01-27	-232.00	A
USGS	10254005	2013-01-28	-232.00	A
USGS	10254005	2013-01-29	-232.00	A
USGS	10254005	2013-01-30	-232.00	A
USGS	10254005	2013-01-31	-232.00	A
USGS	10254005	2013-02-01	-232.00	A
USGS	10254005	2013-02-02	-232.00	A
USGS	10254005	2013-02-03	-231.90	A
USGS	10254005	2013-02-04	-231.90	A
USGS	10254005	2013-02-05	-231.90	A
USGS	10254005	2013-02-06	-231.90	A
USGS	10254005	2013-02-07	-231.90	A
USGS	10254005	2013-02-08	-231.90	A
USGS	10254005	2013-02-09	-231.90	A
USGS	10254005	2013-02-10	-231.90	A
USGS	10254005	2013-02-11	-231.90	A
USGS	10254005	2013-02-12	-231.90	A
USGS	10254005	2013-02-13	-231.90	A
USGS	10254005	2013-02-14	-231.90	A
USGS	10254005	2013-02-15	-231.90	A
USGS	10254005	2013-02-16	-231.90	A
USGS	10254005	2013-02-17	-231.90	A
USGS	10254005	2013-02-18	-231.90	A
USGS	10254005	2013-02-19	-231.90	A
USGS	10254005	2013-02-20	-231.90	A
USGS	10254005	2013-02-21	-231.90	A
USGS	10254005	2013-02-22	-231.90	A
USGS	10254005	2013-02-23	-231.90	A
USGS	10254005	2013-02-24	-231.90	A
USGS	10254005	2013-02-25	-231.90	A
USGS	10254005	2013-02-26	-231.90	A
USGS	10254005	2013-02-27	-231.90	A
USGS	10254005	2013-02-28	-231.90	A
USGS	10254005	2013-03-01	-231.90	A
USGS	10254005	2013-03-02	-231.90	A
USGS	10254005	2013-03-03	-231.90	A
USGS	10254005	2013-03-04	-231.80	A
USGS	10254005	2013-03-05	-231.80	A
USGS	10254005	2013-03-06	-231.80	A
USGS	10254005	2013-03-07	-231.80	A
USGS	10254005	2013-03-08	-231.80	A
USGS	10254005	2013-03-09	-231.80	A
USGS	10254005	2013-03-10	-231.80	A
USGS	10254005	2013-03-11	-231.80	A
USGS	10254005	2013-03-12	-231.80	A
USGS	10254005	2013-03-13	-231.80	A
USGS	10254005	2013-03-14	-231.80	A
USGS	10254005	2013-03-15	-231.80	A
USGS	10254005	2013-03-16	-231.80	A
USGS	10254005	2013-03-17	-231.70	A
USGS	10254005	2013-03-18	-231.70	A
USGS	10254005	2013-03-19	-231.70	A
USGS	10254005	2013-03-20	-231.70	A
USGS	10254005	2013-03-21	-231.70	A
USGS	10254005	2013-03-22	-231.60	A
USGS	10254005	2013-03-23	-231.60	A
USGS	10254005	2013-03-24	-231.60	A
USGS	10254005	2013-03-25	-231.60	A
USGS	10254005	2013-03-26	-231.60	A
USGS	10254005	2013-03-27	-231.60	A
USGS	10254005	2013-03-28	-231.60	A
USGS	10254005	2013-03-29	-231.60	A
USGS	10254005	2013-03-30	-231.60	A
USGS	10254005	2013-03-31	-231.60	A
USGS	10254005	2013-04-01	-231.60	A
USGS	10254005	2013-04-02	-231.60	A
USGS	10254005	2013-04-03	-231.60	A
USGS	10254005	2013-04-04	-231.60	A
USGS	10254005	2013-04-05	-231.60	A
USGS	10254005	2013-04-06	-231.60	A
USGS	10254005	2013-04-07	-231.60	A
USGS	10254005	2013-04-08	-231.70	A
USGS	10254005	2013-04-09	-231.70	A
USGS	10254005	2013-04-10	-231.70	A
USGS	10254005	2013-04-11	-231.70	A
USGS	10254005	2013-04-12	-231.70	A
USGS	10254005	2013-04-13	-231.70	A
USGS	10254005	2013-04-14	-231.70	A
USGS	10254005	2013-04-15	-231.80	A
USGS	10254005	2013-04-16	-231.80	A
USGS	10254005	2013-04-17	-231.80	A
USGS	10254005	2013-04-18	-231.80	A
USGS	10254005	2013-04-19	-231.80	A
