agency_cd	site_no	datetime	216976_00054_32400	216976_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11313500	2013-01-01	60900	A
USGS	11313500	2013-01-02	60600	A
USGS	11313500	2013-01-03	60300	A
USGS	11313500	2013-01-04	60100	A
USGS	11313500	2013-01-05	59800	A
USGS	11313500	2013-01-06	59800	A
USGS	11313500	2013-01-07	59600	A
USGS	11313500	2013-01-08	59500	A
USGS	11313500	2013-01-09	59700	A
USGS	11313500	2013-01-10	59700	A
USGS	11313500	2013-01-11	59600	A
USGS	11313500	2013-01-12	59500	A
USGS	11313500	2013-01-13	59400	A
USGS	11313500	2013-01-14	59300	A
USGS	11313500	2013-01-15	59100	A
USGS	11313500	2013-01-16	58900	A
USGS	11313500	2013-01-17	58600	A
USGS	11313500	2013-01-18	58300	A
USGS	11313500	2013-01-19	58000	A
USGS	11313500	2013-01-20	57700	A
USGS	11313500	2013-01-21	57400	A
USGS	11313500	2013-01-22	57200	A
USGS	11313500	2013-01-23	56900	A
USGS	11313500	2013-01-24	56700	A
USGS	11313500	2013-01-25	57000	A
USGS	11313500	2013-01-26	57200	A
USGS	11313500	2013-01-27	57300	A
USGS	11313500	2013-01-28	56800	A
USGS	11313500	2013-01-29	56700	A
USGS	11313500	2013-01-30	56600	A
USGS	11313500	2013-01-31	56500	A
USGS	11313500	2013-02-01	56300	A
USGS	11313500	2013-02-02	56100	A
USGS	11313500	2013-02-03	55900	A
USGS	11313500	2013-02-04	55700	A
USGS	11313500	2013-02-05	55500	A
USGS	11313500	2013-02-06	55300	A
USGS	11313500	2013-02-07	55100	A
USGS	11313500	2013-02-08	54800	A
USGS	11313500	2013-02-09	54500	A
USGS	11313500	2013-02-10	54200	A
USGS	11313500	2013-02-11	53800	A
USGS	11313500	2013-02-12	53300	A
USGS	11313500	2013-02-13	52700	A
USGS	11313500	2013-02-14	52200	A
USGS	11313500	2013-02-15	51700	A
USGS	11313500	2013-02-16	51100	A
USGS	11313500	2013-02-17	50600	A
USGS	11313500	2013-02-18	50100	A
USGS	11313500	2013-02-19	49600	A
USGS	11313500	2013-02-20	49100	A
USGS	11313500	2013-02-21	48600	A
USGS	11313500	2013-02-22	48000	A
USGS	11313500	2013-02-23	47500	A
USGS	11313500	2013-02-24	46900	A
USGS	11313500	2013-02-25	46400	A
USGS	11313500	2013-02-26	45800	A
USGS	11313500	2013-02-27	45300	A
USGS	11313500	2013-02-28	44600	A
USGS	11313500	2013-03-01	44100	A
USGS	11313500	2013-03-02	43700	A
USGS	11313500	2013-03-03	43400	A
USGS	11313500	2013-03-04	42900	A
USGS	11313500	2013-03-05	42500	A
USGS	11313500	2013-03-06	42100	A
USGS	11313500	2013-03-07	41600	A
USGS	11313500	2013-03-08	41200	A
USGS	11313500	2013-03-09	40700	A
USGS	11313500	2013-03-10	40300	A
USGS	11313500	2013-03-11	39900	A
USGS	11313500	2013-03-12	39600	A
USGS	11313500	2013-03-13	39400	A
USGS	11313500	2013-03-14	39500	A
USGS	11313500	2013-03-15	39700	A
USGS	11313500	2013-03-16	39800	A
USGS	11313500	2013-03-17	39800	A
USGS	11313500	2013-03-18	39800	A
USGS	11313500	2013-03-19	39700	A
USGS	11313500	2013-03-20	40100	A
USGS	11313500	2013-03-21	40300	A
USGS	11313500	2013-03-22	40300	A
USGS	11313500	2013-03-23	40200	A
USGS	11313500	2013-03-24	40100	A
USGS	11313500	2013-03-25	40100	A
USGS	11313500	2013-03-26	40100	A
USGS	11313500	2013-03-27	40000	A
USGS	11313500	2013-03-28	40100	A
USGS	11313500	2013-03-29	40300	A
USGS	11313500	2013-03-30	40600	A
USGS	11313500	2013-03-31	41400	A
USGS	11313500	2013-04-01	41900	A
USGS	11313500	2013-04-02	42200	A
USGS	11313500	2013-04-03	42500	A
USGS	11313500	2013-04-04	43200	A
USGS	11313500	2013-04-05	43900	A
USGS	11313500	2013-04-06	44500	A
USGS	11313500	2013-04-07	45000	A
USGS	11313500	2013-04-08	46300	A
USGS	11313500	2013-04-09	47200	A
USGS	11313500	2013-04-10	48100	A
USGS	11313500	2013-04-11	49400	A
USGS	11313500	2013-04-12	51100	A
USGS	11313500	2013-04-13	53100	A
USGS	11313500	2013-04-14	54700	A
USGS	11313500	2013-04-15	55700	A
USGS	11313500	2013-04-16	56100	A
USGS	11313500	2013-04-17	56200	A
USGS	11313500	2013-04-18	56100	A
USGS	11313500	2013-04-19	56100	A
USGS	11313500	2013-04-20	56500	A
USGS	11313500	2013-04-21	57900	A
USGS	11313500	2013-04-22	60200	A
USGS	11313500	2013-04-23	62500	A
USGS	11313500	2013-04-24	64600	A
USGS	11313500	2013-04-25	66500	A
USGS	11313500	2013-04-26	68600	A
USGS	11313500	2013-04-27	71100	A
USGS	11313500	2013-04-28	73700	A
USGS	11313500	2013-04-29	76500	A
USGS	11313500	2013-04-30	79400	A
USGS	11313500	2013-05-01	81600	A
USGS	11313500	2013-05-02	83300	A
USGS	11313500	2013-05-03	85000	A
USGS	11313500	2013-05-04	86600	A
USGS	11313500	2013-05-05	87900	A
USGS	11313500	2013-05-06	89300	A
USGS	11313500	2013-05-07	90200	A
USGS	11313500	2013-05-08	91100	A
USGS	11313500	2013-05-09	92300	A
USGS	11313500	2013-05-10	93700	A
USGS	11313500	2013-05-11	95500	A
USGS	11313500	2013-05-12	97400	A
USGS	11313500	2013-05-13	99200	A
USGS	11313500	2013-05-14	101000	A
USGS	11313500	2013-05-15	102000	A
USGS	11313500	2013-05-16	104000	A
USGS	11313500	2013-05-17	105000	A
USGS	11313500	2013-05-18	106000	A
USGS	11313500	2013-05-19	107000	A
USGS	11313500	2013-05-20	108000	A
USGS	11313500	2013-05-21	109000	A
USGS	11313500	2013-05-22	109000	A
USGS	11313500	2013-05-23	110000	A
USGS	11313500	2013-05-24	110000	A
USGS	11313500	2013-05-25	110000	A
USGS	11313500	2013-05-26	109000	A
USGS	11313500	2013-05-27	109000	A
USGS	11313500	2013-05-28	111000	A
USGS	11313500	2013-05-29	112000	A
USGS	11313500	2013-05-30	112000	A
USGS	11313500	2013-05-31	112000	A
USGS	11313500	2013-06-01	112000	A
USGS	11313500	2013-06-02	112000	A
USGS	11313500	2013-06-03	113000	A
USGS	11313500	2013-06-04	114000	A
USGS	11313500	2013-06-05	114000	A
USGS	11313500	2013-06-06	114000	A
USGS	11313500	2013-06-07	114000	A
USGS	11313500	2013-06-08	114000	A
USGS	11313500	2013-06-09	115000	A
USGS	11313500	2013-06-10	115000	A
USGS	11313500	2013-06-11	115000	A
USGS	11313500	2013-06-12	115000	A
USGS	11313500	2013-06-13	115000	A
USGS	11313500	2013-06-14	115000	A
USGS	11313500	2013-06-15	114000	A
USGS	11313500	2013-06-16	114000	A
USGS	11313500	2013-06-17	113000	A
USGS	11313500	2013-06-18	113000	A
USGS	11313500	2013-06-19	112000	A
USGS	11313500	2013-06-20	111000	A
USGS	11313500	2013-06-21	111000	A
USGS	11313500	2013-06-22	110000	A
USGS	11313500	2013-06-23	110000	A
USGS	11313500	2013-06-24	109000	A
USGS	11313500	2013-06-25	109000	A
USGS	11313500	2013-06-26	109000	A
USGS	11313500	2013-06-27	109000	A
USGS	11313500	2013-06-28	109000	A
USGS	11313500	2013-06-29	108000	A
USGS	11313500	2013-06-30	108000	A
USGS	11313500	2013-07-01	108000	A
USGS	11313500	2013-07-02	108000	A
USGS	11313500	2013-07-03	107000	A
USGS	11313500	2013-07-04	107000	A
USGS	11313500	2013-07-05	107000	A
USGS	11313500	2013-07-06	107000	A
USGS	11313500	2013-07-07	107000	A
USGS	11313500	2013-07-08	107000	A
USGS	11313500	2013-07-09	107000	A
USGS	11313500	2013-07-10	107000	A
USGS	11313500	2013-07-11	106000	A
USGS	11313500	2013-07-12	106000	A
USGS	11313500	2013-07-13	105000	A
USGS	11313500	2013-07-14	104000	A
USGS	11313500	2013-07-15	103000	A
USGS	11313500	2013-07-16	102000	A
USGS	11313500	2013-07-17	101000	A
USGS	11313500	2013-07-18	99900	A
USGS	11313500	2013-07-19	99000	A
USGS	11313500	2013-07-20	98100	A
USGS	11313500	2013-07-21	97100	A
USGS	11313500	2013-07-22	96200	A
