agency_cd	site_no	datetime	8490_62614_30800	8490_62614_30800_cd	8491_00054_30800	8491_00054_30800_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11122000	2013-01-01	1381.28	A	1751	A
USGS	11122000	2013-01-02	1381.28	A	1751	A
USGS	11122000	2013-01-03	1381.29	A	1752	A
USGS	11122000	2013-01-04	1381.28	A	1751	A
USGS	11122000	2013-01-05	1381.28	A	1751	A
USGS	11122000	2013-01-06	1381.29	A	1752	A
USGS	11122000	2013-01-07	1381.31	A	1755	A
USGS	11122000	2013-01-08	1381.32	A	1756	A
USGS	11122000	2013-01-09	1381.33	A	1757	A
USGS	11122000	2013-01-10	1381.34	A	1759	A
USGS	11122000	2013-01-11	1381.34	A	1759	A
USGS	11122000	2013-01-12	1381.32	A	1756	A
USGS	11122000	2013-01-13	1381.33	A	1757	A
USGS	11122000	2013-01-14	1381.33	A	1757	A
USGS	11122000	2013-01-15	1381.32	A	1756	A
USGS	11122000	2013-01-16	1381.32	A	1756	A
USGS	11122000	2013-01-17	1381.32	A	1756	A
USGS	11122000	2013-01-18	1381.33	A	1757	A
USGS	11122000	2013-01-19	1381.33	A	1757	A
USGS	11122000	2013-01-20	1381.32	A	1756	A
USGS	11122000	2013-01-21	1381.31	A	1755	A
USGS	11122000	2013-01-22	1381.33	A	1757	A
USGS	11122000	2013-01-23	1381.32	A	1756	A
USGS	11122000	2013-01-24	1381.39	A	1765	A
USGS	11122000	2013-01-25	1381.42	A	1769	A
USGS	11122000	2013-01-26	1381.46	A	1774	A
USGS	11122000	2013-01-27	1381.47	A	1776	A
USGS	11122000	2013-01-28	1381.47	A	1776	A
USGS	11122000	2013-01-29	1381.49	A	1778	A
USGS	11122000	2013-01-30	1381.47	A	1776	A
USGS	11122000	2013-01-31	1381.48	A	1777	A
USGS	11122000	2013-02-01	1381.48	A	1777	A
USGS	11122000	2013-02-02	1381.47	A	1776	A
USGS	11122000	2013-02-03	1381.48	A	1777	A
USGS	11122000	2013-02-04	1381.49	A	1778	A
USGS	11122000	2013-02-05	1381.49	A	1778	A
USGS	11122000	2013-02-06	1381.49	A	1778	A
USGS	11122000	2013-02-07	1381.49	A	1778	A
USGS	11122000	2013-02-08	1381.49	A	1778	A
USGS	11122000	2013-02-09	1381.50	A	1780	A
USGS	11122000	2013-02-10	1381.49	A	1778	A
USGS	11122000	2013-02-11	1381.49	A	1778	A
USGS	11122000	2013-02-12	1381.49	A	1778	A
USGS	11122000	2013-02-13	1381.49	A	1778	A
USGS	11122000	2013-02-14	1381.49	A	1778	A
USGS	11122000	2013-02-15	1381.48	A	1777	A
USGS	11122000	2013-02-16	1381.47	A	1776	A
USGS	11122000	2013-02-17	1381.46	A	1774	A
USGS	11122000	2013-02-18	1381.47	A	1776	A
USGS	11122000	2013-02-19	1381.46	A	1774	A
USGS	11122000	2013-02-20	1381.49	A	1778	A
USGS	11122000	2013-02-21	1381.49	A	1778	A
USGS	11122000	2013-02-22	1381.47	A	1776	A
USGS	11122000	2013-02-23	1381.47	A	1776	A
USGS	11122000	2013-02-24	1381.48	A	1777	A
USGS	11122000	2013-02-25	1381.46	A	1774	A
USGS	11122000	2013-02-26	1381.45	A	1773	A
USGS	11122000	2013-02-27	1381.45	A	1773	A
USGS	11122000	2013-02-28	1381.42	A	1769	A
USGS	11122000	2013-03-01	1381.42	A	1769	A
USGS	11122000	2013-03-02	1381.43	A	1770	A
USGS	11122000	2013-03-03	1381.44	A	1772	A
USGS	11122000	2013-03-04	1381.42	A	1769	A
USGS	11122000	2013-03-05	1381.40	A	1767	A
USGS	11122000	2013-03-06	1381.40	A	1767	A
USGS	11122000	2013-03-07	1381.41	A	1768	A
USGS	11122000	2013-03-08	1381.47	A	1776	A
USGS	11122000	2013-03-09	1381.47	A	1776	A
USGS	11122000	2013-03-10	1381.46	A	1774	A
USGS	11122000	2013-03-11	1381.46	A	1774	A
USGS	11122000	2013-03-12	1381.46	A	1774	A
USGS	11122000	2013-03-13	1381.45	A	1773	A
USGS	11122000	2013-03-14	1381.34	A	1759	A
USGS	11122000	2013-03-15	1381.23	A	1744	A
USGS	11122000	2013-03-16	1381.12	A	1730	A
USGS	11122000	2013-03-17	1381.04	A	1720	A
USGS	11122000	2013-03-18	1380.90	A	1702	A
USGS	11122000	2013-03-19	1380.78	A	1686	A
USGS	11122000	2013-03-20	1380.67	A	1672	A
USGS	11122000	2013-03-21	1380.54	A	1656	A
USGS	11122000	2013-03-22	1380.47	A	1647	A
USGS	11122000	2013-03-23	1380.33	A	1629	A
USGS	11122000	2013-03-24	1380.21	A	1614	A
USGS	11122000	2013-03-25	1380.07	A	1596	A
USGS	11122000	2013-03-26	1379.98	A	1584	A
USGS	11122000	2013-03-27	1379.86	A	1569	A
USGS	11122000	2013-03-28	1379.75	A	1556	A
USGS	11122000	2013-03-29	1379.63	A	1541	A
USGS	11122000	2013-03-30	1379.53	A	1528	A
USGS	11122000	2013-03-31	1379.40	A	1512	A
USGS	11122000	2013-04-01	1379.30	A	1499	A
USGS	11122000	2013-04-02	1379.19	A	1485	A
USGS	11122000	2013-04-03	1379.08	A	1472	A
USGS	11122000	2013-04-04	1378.96	A	1457	A
USGS	11122000	2013-04-05	1378.85	A	1443	A
USGS	11122000	2013-04-06	1378.72	A	1427	A
USGS	11122000	2013-04-07	1378.62	A	1415	A
USGS	11122000	2013-04-08	1378.50	A	1400	A
USGS	11122000	2013-04-09	1378.38	A	1385	A
USGS	11122000	2013-04-10	1378.25	A	1369	A
USGS	11122000	2013-04-11	1378.14	A	1356	A
USGS	11122000	2013-04-12	1378.01	A	1340	A
USGS	11122000	2013-04-13	1377.88	A	1324	A
USGS	11122000	2013-04-14	1377.77	A	1311	A
USGS	11122000	2013-04-15	1377.64	A	1295	A
USGS	11122000	2013-04-16	1377.52	A	1280	A
USGS	11122000	2013-04-17	1377.37	A	1262	A
USGS	11122000	2013-04-18	1377.26	A	1249	A
USGS	11122000	2013-04-19	1377.11	A	1231	A
USGS	11122000	2013-04-20	1377.00	A	1217	A
USGS	11122000	2013-04-21	1376.87	A	1202	A
USGS	11122000	2013-04-22	1376.76	A	1189	A
USGS	11122000	2013-04-23	1376.62	A	1172	A
USGS	11122000	2013-04-24	1376.52	A	1161	A
USGS	11122000	2013-04-25	1376.39	A	1145	A
USGS	11122000	2013-04-26	1376.25	A	1129	A
USGS	11122000	2013-04-27	1376.13	A	1114	A
USGS	11122000	2013-04-28	1376.01	A	1100	A
USGS	11122000	2013-04-29	1375.88	A	1085	A
USGS	11122000	2013-04-30	1375.76	A	1071	A
USGS	11122000	2013-05-01	1375.62	A	1055	A
USGS	11122000	2013-05-02	1375.50	A	1041	A
USGS	11122000	2013-05-03	1375.37	A	1026	A
USGS	11122000	2013-05-04	1375.22	A	1008	A
USGS	11122000	2013-05-05	1375.10	A	994.1	A
USGS	11122000	2013-05-06	1375.00	A	982.5	A
USGS	11122000	2013-05-07	1374.88	A	968.9	A
USGS	11122000	2013-05-08	1374.76	A	955.2	A
USGS	11122000	2013-05-09	1374.63	A	940.4	A
USGS	11122000	2013-05-10	1374.50	A	925.6	A
USGS	11122000	2013-05-11	1374.39	A	913.1	A
USGS	11122000	2013-05-12	1374.26	A	898.3	A
USGS	11122000	2013-05-13	1374.12	A	882.4	A
USGS	11122000	2013-05-14	1373.98	A	866.6	A
USGS	11122000	2013-05-15	1373.84	A	851.1	A
USGS	11122000	2013-05-16	1373.71	A	836.8	A
USGS	11122000	2013-05-17	1373.58	A	822.5	A
USGS	11122000	2013-05-18	1373.44	A	807.0	A
USGS	11122000	2013-05-19	1373.30	A	791.6	A
USGS	11122000	2013-05-20	1373.17	A	777.3	A
USGS	11122000	2013-05-21	1373.03	A	761.9	A
USGS	11122000	2013-05-22	1372.93	A	729.0	A
USGS	11122000	2013-05-23	1372.86	A	743.6	A
USGS	11122000	2013-05-24	1372.72	A	728.5	A
USGS	11122000	2013-05-25	1372.57	A	712.5	A
USGS	11122000	2013-05-26	1372.44	A	698.5	A
USGS	11122000	2013-05-27	1372.29	A	682.5	A
USGS	11122000	2013-05-28	1372.21	A	673.9	A
USGS	11122000	2013-05-29	1372.20	A	672.8	A
USGS	11122000	2013-05-30	1372.18	A	670.7	A
USGS	11122000	2013-05-31	1372.16	A	668.5	A
USGS	11122000	2013-06-01	1372.15	A	667.5	A
USGS	11122000	2013-06-02	1372.13	A	665.3	A
USGS	11122000	2013-06-03	1372.11	A	663.2	A
USGS	11122000	2013-06-04	1372.10	A	662.1	A
USGS	11122000	2013-06-05	1372.08	A	660.0	A
USGS	11122000	2013-06-06	1372.07	A	658.9	A
USGS	11122000	2013-06-07	1372.04	A	655.7	A
USGS	11122000	2013-06-08	1372.03	A	654.6	A
USGS	11122000	2013-06-09	1372.01	A	652.5	A
USGS	11122000	2013-06-10	1371.98	A	649.3	A
USGS	11122000	2013-06-11	1371.97	A	648.3	A
USGS	11122000	2013-06-12	1371.95	A	646.2	A
USGS	11122000	2013-06-13	1371.92	A	643.1	A
USGS	11122000	2013-06-14	1371.90	A	641.0	A
USGS	11122000	2013-06-15	1371.87	A	637.8	A
USGS	11122000	2013-06-16	1371.85	A	635.7	A
USGS	11122000	2013-06-17	1371.82	A	632.6	A
USGS	11122000	2013-06-18	1371.79	A	629.5	A
USGS	11122000	2013-06-19	1371.77	A	627.4	A
USGS	11122000	2013-06-20	1371.75	A	625.3	A
USGS	11122000	2013-06-21	1371.72	A	622.2	A
USGS	11122000	2013-06-22	1371.71	A	621.1	A
USGS	11122000	2013-06-23	1371.68	A	618.0	A
USGS	11122000	2013-06-24	1371.67	A	617.0	A
USGS	11122000	2013-06-25	1371.65	A	614.9	A
USGS	11122000	2013-06-26	1371.63	A	612.8	A
USGS	11122000	2013-06-27	1371.60	A	609.7	A
USGS	11122000	2013-06-28	1371.58	A	607.6	A
USGS	11122000	2013-06-29	1371.56	A	605.5	A
USGS	11122000	2013-06-30	1371.53	A	602.4	A
USGS	11122000	2013-07-01	1371.50	A	599.2	A
USGS	11122000	2013-07-02	1371.49	A	598.2	A
USGS	11122000	2013-07-03	1371.47	A	596.1	A
USGS	11122000	2013-07-04	1371.44	A	593.0	A
USGS	11122000	2013-07-05	1371.42	A	590.9	A
USGS	11122000	2013-07-06	1371.39	A	587.8	A
USGS	11122000	2013-07-07	1371.37	A	585.7	A
USGS	11122000	2013-07-08	1371.34	A	582.6	A
USGS	11122000	2013-07-09	1371.31	A	579.4	A
USGS	11122000	2013-07-10	1371.28	A	576.3	A
USGS	11122000	2013-07-11	1371.26	A	574.2	A
USGS	11122000	2013-07-12	1371.25	A	573.2	A
USGS	11122000	2013-07-13	1371.23	A	571.1	A
USGS	11122000	2013-07-14	1371.21	A	569.0	A
USGS	11122000	2013-07-15	1371.17	A	564.8	A
USGS	11122000	2013-07-16	1371.14	A	561.7	A
USGS	11122000	2013-07-17	1371.12	A	559.6	A
USGS	11122000	2013-07-18	1371.10	A	557.5	A
USGS	11122000	2013-07-19	1371.08	A	555.4	A
USGS	11122000	2013-07-20	1371.06	A	553.4	A
USGS	11122000	2013-07-21	1371.04	A	551.3	A
USGS	11122000	2013-07-22	1371.02	A	549.2	A
USGS	11122000	2013-07-23	1371.01	A	548.1	A
USGS	11122000	2013-07-24	1370.99	A	546.1	A
USGS	11122000	2013-07-25	1370.96	A	543.1	A
USGS	11122000	2013-07-26	1370.94	A	541.0	A
USGS	11122000	2013-07-27	1370.92	A	539.0	A
USGS	11122000	2013-07-28	1370.90	A	537.0	A
USGS	11122000	2013-07-29	1370.88	A	535.0	A
