agency_cd	site_no	datetime	217497_00054_31600	217497_00054_31600_cd
5s	15s	20d	14n	10s
USGS	11370000	2013-01-01	3327000	A
USGS	11370000	2013-01-02	3335000	A
USGS	11370000	2013-01-03	3351000	A
USGS	11370000	2013-01-04	3358000	A
USGS	11370000	2013-01-05	3364000	A
USGS	11370000	2013-01-06	3370000	A
USGS	11370000	2013-01-07	3373000	A
USGS	11370000	2013-01-08	3376000	A
USGS	11370000	2013-01-09	3383000	A
USGS	11370000	2013-01-10	3384000	A
USGS	11370000	2013-01-11	3394000	A
USGS	11370000	2013-01-12	3400000	A
USGS	11370000	2013-01-13	3409000	A
USGS	11370000	2013-01-14	3411000	A
USGS	11370000	2013-01-15	3416000	A
USGS	11370000	2013-01-16	3417000	A
USGS	11370000	2013-01-17	3417000	A
USGS	11370000	2013-01-18	3417000	A
USGS	11370000	2013-01-19	3418000	A
USGS	11370000	2013-01-20	3419000	A
USGS	11370000	2013-01-21	3422000	A
USGS	11370000	2013-01-22	3424000	A
USGS	11370000	2013-01-23	3428000	A
USGS	11370000	2013-01-24	3433000	A
USGS	11370000	2013-01-25	3438000	A
USGS	11370000	2013-01-26	3446000	A
USGS	11370000	2013-01-27	3453000	A
USGS	11370000	2013-01-28	3457000	A
USGS	11370000	2013-01-29	3462000	A
USGS	11370000	2013-01-30	3468000	A
USGS	11370000	2013-01-31	3474000	A
USGS	11370000	2013-02-01	3479000	A
USGS	11370000	2013-02-02	3486000	A
USGS	11370000	2013-02-03	3493000	A
USGS	11370000	2013-02-04	3497000	A
USGS	11370000	2013-02-05	3502000	A
USGS	11370000	2013-02-06	3504000	A
USGS	11370000	2013-02-07	3511000	A
USGS	11370000	2013-02-08	3517000	A
USGS	11370000	2013-02-09	3523000	A
USGS	11370000	2013-02-10	3531000	A
USGS	11370000	2013-02-11	3539000	A
USGS	11370000	2013-02-12	3541000	A
USGS	11370000	2013-02-13	3546000	A
USGS	11370000	2013-02-14	3550000	A
USGS	11370000	2013-02-15	3552000	A
USGS	11370000	2013-02-16	3558000	A
USGS	11370000	2013-02-17	3562000	A
USGS	11370000	2013-02-18	3565000	A
USGS	11370000	2013-02-19	3571000	A
USGS	11370000	2013-02-20	3575000	A
USGS	11370000	2013-02-21	3579000	A
USGS	11370000	2013-02-22	3585000	A
USGS	11370000	2013-02-23	3589000	A
USGS	11370000	2013-02-24	3595000	A
USGS	11370000	2013-02-25	3598000	A
USGS	11370000	2013-02-26	3604000	A
USGS	11370000	2013-02-27	3608000	A
USGS	11370000	2013-02-28	3611000	A
USGS	11370000	2013-03-01	3615000	A
USGS	11370000	2013-03-02	3620000	A
USGS	11370000	2013-03-03	3625000	A
USGS	11370000	2013-03-04	3629000	A
USGS	11370000	2013-03-05	3634000	A
USGS	11370000	2013-03-06	3644000	A
