agency_cd	site_no	datetime	213767_00054_32400	213767_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11239500	2013-01-01	87850	A
USGS	11239500	2013-01-02	87740	A
USGS	11239500	2013-01-03	87600	A
USGS	11239500	2013-01-04	87470	A
USGS	11239500	2013-01-05	87360	A
USGS	11239500	2013-01-06	87310	A
USGS	11239500	2013-01-07	87180	A
USGS	11239500	2013-01-08	87100	A
USGS	11239500	2013-01-09	87000	A
USGS	11239500	2013-01-10	86930	A
USGS	11239500	2013-01-11	86770	A
USGS	11239500	2013-01-12	86610	A
USGS	11239500	2013-01-13	86450	A
USGS	11239500	2013-01-14	86250	A
USGS	11239500	2013-01-15	86160	A
USGS	11239500	2013-01-16	86020	A
USGS	11239500	2013-01-17	85850	A
USGS	11239500	2013-01-18	85750	A
USGS	11239500	2013-01-19	85640	A
USGS	11239500	2013-01-20	85500	A
USGS	11239500	2013-01-21	85370	A
USGS	11239500	2013-01-22	85260	A
USGS	11239500	2013-01-23	85190	A
USGS	11239500	2013-01-24	85360	A
USGS	11239500	2013-01-25	85360	A
USGS	11239500	2013-01-26	85290	A
USGS	11239500	2013-01-27	85320	A
USGS	11239500	2013-01-28	85250	A
USGS	11239500	2013-01-29	85170	A
USGS	11239500	2013-01-30	85060	A
USGS	11239500	2013-01-31	84950	A
USGS	11239500	2013-02-01	84790	A
USGS	11239500	2013-02-02	84630	A
USGS	11239500	2013-02-03	84470	A
USGS	11239500	2013-02-04	84310	A
USGS	11239500	2013-02-05	84150	A
USGS	11239500	2013-02-06	83920	A
USGS	11239500	2013-02-07	83810	A
USGS	11239500	2013-02-08	83690	A
USGS	11239500	2013-02-09	83510	A
USGS	11239500	2013-02-10	83320	A
USGS	11239500	2013-02-11	83180	A
USGS	11239500	2013-02-12	82960	A
USGS	11239500	2013-02-13	82750	A
USGS	11239500	2013-02-14	82630	A
USGS	11239500	2013-02-15	82530	A
USGS	11239500	2013-02-16	82400	A
USGS	11239500	2013-02-17	82300	A
USGS	11239500	2013-02-18	82190	A
USGS	11239500	2013-02-19	82160	A
USGS	11239500	2013-02-20	82090	A
USGS	11239500	2013-02-21	81970	A
USGS	11239500	2013-02-22	81860	A
USGS	11239500	2013-02-23	81760	A
USGS	11239500	2013-02-24	81620	A
USGS	11239500	2013-02-25	81500	A
USGS	11239500	2013-02-26	81370	A
USGS	11239500	2013-02-27	81270	A
USGS	11239500	2013-02-28	81150	A
USGS	11239500	2013-03-01	81040	A
USGS	11239500	2013-03-02	81470	A
USGS	11239500	2013-03-03	81500	A
USGS	11239500	2013-03-04	81470	A
USGS	11239500	2013-03-05	81840	A
USGS	11239500	2013-03-06	81920	A
USGS	11239500	2013-03-07	81950	A
USGS	11239500	2013-03-08	81920	A
USGS	11239500	2013-03-09	81850	A
USGS	11239500	2013-03-10	81800	A
USGS	11239500	2013-03-11	81800	A
USGS	11239500	2013-03-12	81750	A
USGS	11239500	2013-03-13	81800	A
USGS	11239500	2013-03-14	81770	A
USGS	11239500	2013-03-15	81730	A
USGS	11239500	2013-03-16	82120	A
USGS	11239500	2013-03-17	82440	A
USGS	11239500	2013-03-18	82500	A
USGS	11239500	2013-03-19	82520	A
USGS	11239500	2013-03-20	82770	A
USGS	11239500	2013-03-21	82790	A
USGS	11239500	2013-03-22	82930	A
USGS	11239500	2013-03-23	83070	A
USGS	11239500	2013-03-24	83150	A
USGS	11239500	2013-03-25	83200	A
USGS	11239500	2013-03-26	83520	A
USGS	11239500	2013-03-27	83630	A
USGS	11239500	2013-03-28	83670	A
USGS	11239500	2013-03-29	83630	A
USGS	11239500	2013-03-30	83620	A
USGS	11239500	2013-03-31	84000	A
USGS	11239500	2013-04-01	84160	A
USGS	11239500	2013-04-02	84120	A
USGS	11239500	2013-04-03	84390	A
USGS	11239500	2013-04-04	84610	A
USGS	11239500	2013-04-05	84590	A
USGS	11239500	2013-04-06	84760	A
USGS	11239500	2013-04-07	84760	A
USGS	11239500	2013-04-08	85030	A
USGS	11239500	2013-04-09	85140	A
USGS	11239500	2013-04-10	85250	A
USGS	11239500	2013-04-11	85380	A
USGS	11239500	2013-04-12	85500	A
USGS	11239500	2013-04-13	85630	A
USGS	11239500	2013-04-14	85870	A
USGS	11239500	2013-04-15	85940	A
USGS	11239500	2013-04-16	85870	A
USGS	11239500	2013-04-17	86070	A
USGS	11239500	2013-04-18	86070	A
USGS	11239500	2013-04-19	86270	A
USGS	11239500	2013-04-20	86130	A
USGS	11239500	2013-04-21	86180	A
USGS	11239500	2013-04-22	86400	A
USGS	11239500	2013-04-23	86400	A
USGS	11239500	2013-04-24	86410	A
USGS	11239500	2013-04-25	86390	A
USGS	11239500	2013-04-26	86390	A
USGS	11239500	2013-04-27	86370	A
USGS	11239500	2013-04-28	86360	A
USGS	11239500	2013-04-29	86340	A
USGS	11239500	2013-04-30	86320	A
USGS	11239500	2013-05-01	85980	A
USGS	11239500	2013-05-02	85820	A
USGS	11239500	2013-05-03	85760	A
USGS	11239500	2013-05-04	85780	A
USGS	11239500	2013-05-05	85770	A
USGS	11239500	2013-05-06	85880	A
USGS	11239500	2013-05-07	85990	A
USGS	11239500	2013-05-08	85930	A
USGS	11239500	2013-05-09	85940	A
USGS	11239500	2013-05-10	85850	A
USGS	11239500	2013-05-11	85780	A
USGS	11239500	2013-05-12	85700	A
USGS	11239500	2013-05-13	85580	A
USGS	11239500	2013-05-14	85490	A
USGS	11239500	2013-05-15	85440	A
USGS	11239500	2013-05-16	85400	A
USGS	11239500	2013-05-17	85200	A
USGS	11239500	2013-05-18	85390	A
USGS	11239500	2013-05-19	85640	A
USGS	11239500	2013-05-20	85350	A
USGS	11239500	2013-05-21	85440	A
USGS	11239500	2013-05-22	85630	A
USGS	11239500	2013-05-23	85860	A
USGS	11239500	2013-05-24	86120	A
USGS	11239500	2013-05-25	85900	A
USGS	11239500	2013-05-26	85680	A
USGS	11239500	2013-05-27	85490	A
USGS	11239500	2013-05-28	85290	A
USGS	11239500	2013-05-29	85470	A
USGS	11239500	2013-05-30	85470	A
USGS	11239500	2013-05-31	85480	A
USGS	11239500	2013-06-01	85330	A
USGS	11239500	2013-06-02	85150	A
USGS	11239500	2013-06-03	84990	A
USGS	11239500	2013-06-04	84980	A
USGS	11239500	2013-06-05	84940	A
USGS	11239500	2013-06-06	84900	A
USGS	11239500	2013-06-07	84940	A
USGS	11239500	2013-06-08	84870	A
USGS	11239500	2013-06-09	85700	A
USGS	11239500	2013-06-10	85690	A
USGS	11239500	2013-06-11	85580	A
USGS	11239500	2013-06-12	85470	A
USGS	11239500	2013-06-13	85920	A
USGS	11239500	2013-06-14	86250	A
USGS	11239500	2013-06-15	86670	A
USGS	11239500	2013-06-16	86560	A
USGS	11239500	2013-06-17	86420	A
USGS	11239500	2013-06-18	86200	A
USGS	11239500	2013-06-19	86060	A
