agency_cd	site_no	datetime	216809_00054_32400	216809_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11435900	2013-01-01	3720	A:e
USGS	11435900	2013-01-02	3650	A:e
USGS	11435900	2013-01-03	3600	A:e
USGS	11435900	2013-01-04	3590	A:e
USGS	11435900	2013-01-05	3540	A:e
USGS	11435900	2013-01-06	3490	A:e
USGS	11435900	2013-01-07	3440	A:e
USGS	11435900	2013-01-08	3380	A
USGS	11435900	2013-01-09	3350	A
USGS	11435900	2013-01-10	3320	A
USGS	11435900	2013-01-11	3280	A
USGS	11435900	2013-01-12	3230	A
USGS	11435900	2013-01-13	3180	A
USGS	11435900	2013-01-14	3140	A
USGS	11435900	2013-01-15	3090	A
USGS	11435900	2013-01-16	3050	A
USGS	11435900	2013-01-17	3000	A
USGS	11435900	2013-01-18	2960	A
USGS	11435900	2013-01-19	2930	A
USGS	11435900	2013-01-20	2890	A
USGS	11435900	2013-01-21	2860	A
USGS	11435900	2013-01-22	2830	A
USGS	11435900	2013-01-23	2790	A
USGS	11435900	2013-01-24	2780	A
USGS	11435900	2013-01-25	2800	A
USGS	11435900	2013-01-26	2840	A
USGS	11435900	2013-01-27	2830	A
USGS	11435900	2013-01-28	2820	A
USGS	11435900	2013-01-29	2840	A
USGS	11435900	2013-01-30	2830	A
USGS	11435900	2013-01-31	2840	A
USGS	11435900	2013-02-01	2850	A
USGS	11435900	2013-02-02	2860	A
USGS	11435900	2013-02-03	2880	A
USGS	11435900	2013-02-04	2880	A
USGS	11435900	2013-02-05	2890	A
USGS	11435900	2013-02-06	2890	A
USGS	11435900	2013-02-07	2900	A
USGS	11435900	2013-02-08	2900	A
USGS	11435900	2013-02-09	2900	A
USGS	11435900	2013-02-10	2900	A
USGS	11435900	2013-02-11	2880	A
USGS	11435900	2013-02-12	2850	A
USGS	11435900	2013-02-13	2800	A
USGS	11435900	2013-02-14	2770	A
USGS	11435900	2013-02-15	2740	A
USGS	11435900	2013-02-16	2720	A
USGS	11435900	2013-02-17	2690	A
USGS	11435900	2013-02-18	2660	A
USGS	11435900	2013-02-19	2650	A
USGS	11435900	2013-02-20	2620	A
USGS	11435900	2013-02-21	2580	A
USGS	11435900	2013-02-22	2550	A
USGS	11435900	2013-02-23	2520	A
USGS	11435900	2013-02-24	2490	A
USGS	11435900	2013-02-25	2460	A
USGS	11435900	2013-02-26	2420	A
USGS	11435900	2013-02-27	2390	A
USGS	11435900	2013-02-28	2360	A
USGS	11435900	2013-03-01	2340	A
USGS	11435900	2013-03-02	2330	A
USGS	11435900	2013-03-03	2340	A
USGS	11435900	2013-03-04	2340	A
USGS	11435900	2013-03-05	2340	A
USGS	11435900	2013-03-06	2350	A
USGS	11435900	2013-03-07	2340	A
USGS	11435900	2013-03-08	2330	A
USGS	11435900	2013-03-09	2310	A
USGS	11435900	2013-03-10	2290	A
USGS	11435900	2013-03-11	2300	A
USGS	11435900	2013-03-12	2340	A
USGS	11435900	2013-03-13	2420	A
USGS	11435900	2013-03-14	2520	A
USGS	11435900	2013-03-15	2620	A
USGS	11435900	2013-03-16	2710	A
USGS	11435900	2013-03-17	2790	A
USGS	11435900	2013-03-18	2850	A
USGS	11435900	2013-03-19	2930	A
USGS	11435900	2013-03-20	3040	A
USGS	11435900	2013-03-21	3100	A
USGS	11435900	2013-03-22	3150	A
USGS	11435900	2013-03-23	3200	A
USGS	11435900	2013-03-24	3240	A
USGS	11435900	2013-03-25	3320	A
USGS	11435900	2013-03-26	3370	A
USGS	11435900	2013-03-27	3440	A
USGS	11435900	2013-03-28	3540	A
USGS	11435900	2013-03-29	3650	A
USGS	11435900	2013-03-30	3830	A
USGS	11435900	2013-03-31	4000	A
USGS	11435900	2013-04-01	4040	A
USGS	11435900	2013-04-02	4040	A
USGS	11435900	2013-04-03	4060	A
USGS	11435900	2013-04-04	4200	A
USGS	11435900	2013-04-05	4250	A
USGS	11435900	2013-04-06	4250	A
USGS	11435900	2013-04-07	4260	A
USGS	11435900	2013-04-08	4230	A
USGS	11435900	2013-04-09	4170	A
USGS	11435900	2013-04-10	4160	A
