agency_cd	site_no	datetime	213325_00054_32400	213325_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11395400	2013-01-01	27800	A
USGS	11395400	2013-01-02	27300	A
USGS	11395400	2013-01-03	26700	A
USGS	11395400	2013-01-04	26200	A
USGS	11395400	2013-01-05	25800	A
USGS	11395400	2013-01-06	25300	A
USGS	11395400	2013-01-07	24800	A
USGS	11395400	2013-01-08	24300	A
USGS	11395400	2013-01-09	23800	A
USGS	11395400	2013-01-10	23300	A
USGS	11395400	2013-01-11	22700	A
USGS	11395400	2013-01-12	22200	A
USGS	11395400	2013-01-13	21600	A
USGS	11395400	2013-01-14	20900	A
USGS	11395400	2013-01-15	20200	A
USGS	11395400	2013-01-16	19900	A
USGS	11395400	2013-01-17	19700	A
USGS	11395400	2013-01-18	19600	A
USGS	11395400	2013-01-19	19600	A
USGS	11395400	2013-01-20	19600	A
USGS	11395400	2013-01-21	19500	A
USGS	11395400	2013-01-22	19300	A
USGS	11395400	2013-01-23	19000	A
USGS	11395400	2013-01-24	18900	A
USGS	11395400	2013-01-25	18800	A
USGS	11395400	2013-01-26	18800	A
USGS	11395400	2013-01-27	18900	A
USGS	11395400	2013-01-28	19100	A
USGS	11395400	2013-01-29	19400	A
USGS	11395400	2013-01-30	19700	A
USGS	11395400	2013-01-31	20000	A
USGS	11395400	2013-02-01	20300	A
USGS	11395400	2013-02-02	20800	A
USGS	11395400	2013-02-03	21300	A
USGS	11395400	2013-02-04	22100	A
USGS	11395400	2013-02-05	22900	A
USGS	11395400	2013-02-06	23600	A
USGS	11395400	2013-02-07	24400	A
USGS	11395400	2013-02-08	25100	A
USGS	11395400	2013-02-09	25700	A
USGS	11395400	2013-02-10	26400	A
USGS	11395400	2013-02-11	26900	A
USGS	11395400	2013-02-12	27300	A
USGS	11395400	2013-02-13	27800	A
USGS	11395400	2013-02-14	28200	A
USGS	11395400	2013-02-15	28600	A
USGS	11395400	2013-02-16	29000	A
USGS	11395400	2013-02-17	29400	A
USGS	11395400	2013-02-18	29800	A
USGS	11395400	2013-02-19	30500	A
USGS	11395400	2013-02-20	31100	A
USGS	11395400	2013-02-21	31700	A
USGS	11395400	2013-02-22	32300	A
USGS	11395400	2013-02-23	32900	A
USGS	11395400	2013-02-24	33300	A
USGS	11395400	2013-02-25	33000	A
USGS	11395400	2013-02-26	32600	A
USGS	11395400	2013-02-27	32000	A
USGS	11395400	2013-02-28	31300	A
USGS	11395400	2013-03-01	30600	A
USGS	11395400	2013-03-02	30100	A
USGS	11395400	2013-03-03	29700	A
USGS	11395400	2013-03-04	29100	A
USGS	11395400	2013-03-05	28600	A
USGS	11395400	2013-03-06	28300	A
USGS	11395400	2013-03-07	27900	A
USGS	11395400	2013-03-08	27500	A
USGS	11395400	2013-03-09	27500	A
USGS	11395400	2013-03-10	27900	A
USGS	11395400	2013-03-11	28300	A
USGS	11395400	2013-03-12	28800	A
USGS	11395400	2013-03-13	29400	A
USGS	11395400	2013-03-14	30000	A
USGS	11395400	2013-03-15	30700	A
USGS	11395400	2013-03-16	31300	A
USGS	11395400	2013-03-17	31900	A
USGS	11395400	2013-03-18	32600	A
USGS	11395400	2013-03-19	33200	A
USGS	11395400	2013-03-20	35200	A
USGS	11395400	2013-03-21	37000	A
USGS	11395400	2013-03-22	37800	A
USGS	11395400	2013-03-23	38400	A
USGS	11395400	2013-03-24	38800	A
USGS	11395400	2013-03-25	38900	A
USGS	11395400	2013-03-26	39000	A
USGS	11395400	2013-03-27	39100	A
USGS	11395400	2013-03-28	39200	A
USGS	11395400	2013-03-29	39400	A
USGS	11395400	2013-03-30	39800	A
USGS	11395400	2013-03-31	40400	A
USGS	11395400	2013-04-01	40700	A
USGS	11395400	2013-04-02	40900	A
USGS	11395400	2013-04-03	41000	A
USGS	11395400	2013-04-04	41300	A
USGS	11395400	2013-04-05	41900	A
USGS	11395400	2013-04-06	42400	A
USGS	11395400	2013-04-07	42900	A
USGS	11395400	2013-04-08	43500	A
USGS	11395400	2013-04-09	44000	A
USGS	11395400	2013-04-10	44400	A
USGS	11395400	2013-04-11	44700	A
USGS	11395400	2013-04-12	44900	A
USGS	11395400	2013-04-13	45200	A
USGS	11395400	2013-04-14	45500	A
USGS	11395400	2013-04-15	45600	A
USGS	11395400	2013-04-16	45800	A
USGS	11395400	2013-04-17	45900	A
USGS	11395400	2013-04-18	46100	A
USGS	11395400	2013-04-19	46300	A
USGS	11395400	2013-04-20	46500	A
USGS	11395400	2013-04-21	46700	A
USGS	11395400	2013-04-22	46800	A
USGS	11395400	2013-04-23	46900	A
USGS	11395400	2013-04-24	47000	A
USGS	11395400	2013-04-25	47200	A
USGS	11395400	2013-04-26	47300	A
USGS	11395400	2013-04-27	47400	A
USGS	11395400	2013-04-28	47400	A
USGS	11395400	2013-04-29	47500	A
USGS	11395400	2013-04-30	47500	A
USGS	11395400	2013-05-01	47500	A
USGS	11395400	2013-05-02	47400	A
USGS	11395400	2013-05-03	47300	A
USGS	11395400	2013-05-04	47400	A
USGS	11395400	2013-05-05	47400	A
USGS	11395400	2013-05-06	47500	A
USGS	11395400	2013-05-07	47500	A
USGS	11395400	2013-05-08	47500	A
USGS	11395400	2013-05-09	47500	A
USGS	11395400	2013-05-10	47500	A
USGS	11395400	2013-05-11	47500	A
USGS	11395400	2013-05-12	47400	A
USGS	11395400	2013-05-13	47400	A
USGS	11395400	2013-05-14	47300	A
USGS	11395400	2013-05-15	47300	A
USGS	11395400	2013-05-16	47200	A
USGS	11395400	2013-05-17	47200	A
USGS	11395400	2013-05-18	47100	A
USGS	11395400	2013-05-19	47000	A
USGS	11395400	2013-05-20	46800	A
USGS	11395400	2013-05-21	46700	A
USGS	11395400	2013-05-22	46600	A
USGS	11395400	2013-05-23	46500	A
USGS	11395400	2013-05-24	46500	A
USGS	11395400	2013-05-25	46300	A
USGS	11395400	2013-05-26	46200	A
USGS	11395400	2013-05-27	46100	A
USGS	11395400	2013-05-28	46200	A
USGS	11395400	2013-05-29	46300	A
USGS	11395400	2013-05-30	46300	A
USGS	11395400	2013-05-31	46300	A
USGS	11395400	2013-06-01	46300	A
USGS	11395400	2013-06-02	46200	A
USGS	11395400	2013-06-03	46100	A
USGS	11395400	2013-06-04	46100	A
USGS	11395400	2013-06-05	46000	A
USGS	11395400	2013-06-06	45900	A
USGS	11395400	2013-06-07	45700	A
USGS	11395400	2013-06-08	45600	A
USGS	11395400	2013-06-09	45500	A
USGS	11395400	2013-06-10	45500	A
USGS	11395400	2013-06-11	45400	A
USGS	11395400	2013-06-12	45400	A
USGS	11395400	2013-06-13	45400	A
USGS	11395400	2013-06-14	45200	A
USGS	11395400	2013-06-15	45100	A
USGS	11395400	2013-06-16	45000	A
USGS	11395400	2013-06-17	45000	A
USGS	11395400	2013-06-18	44800	A
USGS	11395400	2013-06-19	44800	A
USGS	11395400	2013-06-20	44800	A
USGS	11395400	2013-06-21	44800	A
USGS	11395400	2013-06-22	44700	A
USGS	11395400	2013-06-23	44800	A
USGS	11395400	2013-06-24	44900	A
USGS	11395400	2013-06-25	45000	A
USGS	11395400	2013-06-26	45100	A
USGS	11395400	2013-06-27	44900	A
USGS	11395400	2013-06-28	44600	A
USGS	11395400	2013-06-29	44500	A
USGS	11395400	2013-06-30	44400	A
USGS	11395400	2013-07-01	44100	A
USGS	11395400	2013-07-02	43700	A
USGS	11395400	2013-07-03	43500	A
USGS	11395400	2013-07-04	43500	A
USGS	11395400	2013-07-05	43300	A
USGS	11395400	2013-07-06	43300	A
USGS	11395400	2013-07-07	43200	A
USGS	11395400	2013-07-08	43000	A
USGS	11395400	2013-07-09	42900	A
USGS	11395400	2013-07-10	42700	A
USGS	11395400	2013-07-11	42600	A
USGS	11395400	2013-07-12	42400	A
USGS	11395400	2013-07-13	42200	A
USGS	11395400	2013-07-14	42000	A
USGS	11395400	2013-07-15	41900	A
USGS	11395400	2013-07-16	41900	A
USGS	11395400	2013-07-17	41900	A
USGS	11395400	2013-07-18	41700	A
USGS	11395400	2013-07-19	41700	A
USGS	11395400	2013-07-20	41500	A
USGS	11395400	2013-07-21	41400	A
USGS	11395400	2013-07-22	41300	A
USGS	11395400	2013-07-23	40900	A
USGS	11395400	2013-07-24	40600	A
USGS	11395400	2013-07-25	40300	A
USGS	11395400	2013-07-26	40100	A
USGS	11395400	2013-07-27	40100	A
USGS	11395400	2013-07-28	39900	A
USGS	11395400	2013-07-29	39700	A
USGS	11395400	2013-07-30	39400	A
USGS	11395400	2013-07-31	38900	A
USGS	11395400	2013-08-01	38500	A
USGS	11395400	2013-08-02	38000	A
USGS	11395400	2013-08-03	37700	A
USGS	11395400	2013-08-04	37200	A
USGS	11395400	2013-08-05	36800	A
USGS	11395400	2013-08-06	36500	A
USGS	11395400	2013-08-07	36100	A
USGS	11395400	2013-08-08	35800	A
USGS	11395400	2013-08-09	35400	A
USGS	11395400	2013-08-10	35000	A
USGS	11395400	2013-08-11	34600	A
USGS	11395400	2013-08-12	34200	A
USGS	11395400	2013-08-13	33800	A
USGS	11395400	2013-08-14	33600	A
USGS	11395400	2013-08-15	33100	A
USGS	11395400	2013-08-16	32700	A
USGS	11395400	2013-08-17	32200	A
USGS	11395400	2013-08-18	31800	A
USGS	11395400	2013-08-19	31600	A
USGS	11395400	2013-08-20	31400	A
USGS	11395400	2013-08-21	31000	A
USGS	11395400	2013-08-22	30600	A
USGS	11395400	2013-08-23	30200	A
USGS	11395400	2013-08-24	29700	A
USGS	11395400	2013-08-25	29400	A:e
USGS	11395400	2013-08-26	28900	A:e
USGS	11395400	2013-08-27	28700	A
USGS	11395400	2013-08-28	28300	A
USGS	11395400	2013-08-29	27900	A
USGS	11395400	2013-08-30	27500	A
USGS	11395400	2013-08-31	27000	A
USGS	11395400	2013-09-01	26600	A
USGS	11395400	2013-09-02	26200	A
USGS	11395400	2013-09-03	26000	A
USGS	11395400	2013-09-04	25700	A
USGS	11395400	2013-09-05	25300	A
USGS	11395400	2013-09-06	24800	A
USGS	11395400	2013-09-07	24400	A
USGS	11395400	2013-09-08	24100	A
USGS	11395400	2013-09-09	23700	A
USGS	11395400	2013-09-10	23400	A
USGS	11395400	2013-09-11	23000	A
USGS	11395400	2013-09-12	22600	A
USGS	11395400	2013-09-13	22300	A
USGS	11395400	2013-09-14	21800	A
USGS	11395400	2013-09-15	21300	A
USGS	11395400	2013-09-16	21000	A
USGS	11395400	2013-09-17	20600	A
USGS	11395400	2013-09-18	20100	A
USGS	11395400	2013-09-19	19500	A
USGS	11395400	2013-09-20	19100	A
USGS	11395400	2013-09-21	18700	A
USGS	11395400	2013-09-22	18200	A
USGS	11395400	2013-09-23	17900	A
USGS	11395400	2013-09-24	17700	A
USGS	11395400	2013-09-25	17900	A
USGS	11395400	2013-09-26	18000	A
USGS	11395400	2013-09-27	18200	A
USGS	11395400	2013-09-28	18300	A
USGS	11395400	2013-09-29	18500	A
USGS	11395400	2013-09-30	18700	A
USGS	11395400	2013-10-01	19000	A
USGS	11395400	2013-10-02	19500	A
USGS	11395400	2013-10-03	20000	A
USGS	11395400	2013-10-04	20400	A
USGS	11395400	2013-10-05	20800	A
USGS	11395400	2013-10-06	21200	A
USGS	11395400	2013-10-07	21500	A
USGS	11395400	2013-10-08	21800	A
USGS	11395400	2013-10-09	22100	A
USGS	11395400	2013-10-10	22500	A
USGS	11395400	2013-10-11	22800	A
USGS	11395400	2013-10-12	22900	A
USGS	11395400	2013-10-13	23300	A
USGS	11395400	2013-10-14	23700	A
USGS	11395400	2013-10-15	23700	A
USGS	11395400	2013-10-16	23800	A
USGS	11395400	2013-10-17	23900	A
USGS	11395400	2013-10-18	24100	A
USGS	11395400	2013-10-19	24500	A
USGS	11395400	2013-10-20	24900	A
USGS	11395400	2013-10-21	24900	A
USGS	11395400	2013-10-22	25000	A
USGS	11395400	2013-10-23	24900	A
USGS	11395400	2013-10-24	24700	A
USGS	11395400	2013-10-25	24400	A
USGS	11395400	2013-10-26	24200	A
USGS	11395400	2013-10-27	24000	A
USGS	11395400	2013-10-28	23800	A
USGS	11395400	2013-10-29	23600	A
USGS	11395400	2013-10-30	23300	A
USGS	11395400	2013-10-31	23000	A
USGS	11395400	2013-11-01	22700	A
USGS	11395400	2013-11-02	22500	A
USGS	11395400	2013-11-03	22300	A
USGS	11395400	2013-11-04	22000	A
USGS	11395400	2013-11-05	21800	A
USGS	11395400	2013-11-06	21600	A
USGS	11395400	2013-11-07	21300	A
USGS	11395400	2013-11-08	21000	A
USGS	11395400	2013-11-09	20600	A
USGS	11395400	2013-11-10	20300	A
USGS	11395400	2013-11-11	20100	A
USGS	11395400	2013-11-12	19800	A
USGS	11395400	2013-11-13	19600	A
USGS	11395400	2013-11-14	19300	A
USGS	11395400	2013-11-15	19000	A
USGS	11395400	2013-11-16	18800	A
USGS	11395400	2013-11-17	18700	A
USGS	11395400	2013-11-18	18400	A
USGS	11395400	2013-11-19	18200	A
USGS	11395400	2013-11-20	18200	A
USGS	11395400	2013-11-21	18200	A
USGS	11395400	2013-11-22	18000	A
USGS	11395400	2013-11-23	17900	A
USGS	11395400	2013-11-24	17900	A
USGS	11395400	2013-11-25	17800	A
USGS	11395400	2013-11-26	17700	A
USGS	11395400	2013-11-27	17600	A
USGS	11395400	2013-11-28	17500	A
USGS	11395400	2013-11-29	17500	A
USGS	11395400	2013-11-30	17300	A
USGS	11395400	2013-12-01	17100	A
USGS	11395400	2013-12-02	17100	A
USGS	11395400	2013-12-03	17000	A
USGS	11395400	2013-12-04	17000	A
USGS	11395400	2013-12-05	17100	A
USGS	11395400	2013-12-06	17100	A
USGS	11395400	2013-12-07	17100	A
USGS	11395400	2013-12-08	17200	A
USGS	11395400	2013-12-09	17200	A
USGS	11395400	2013-12-10	17200	A
USGS	11395400	2013-12-11	17200	A
USGS	11395400	2013-12-12	17200	A
USGS	11395400	2013-12-13	17300	A
USGS	11395400	2013-12-14	17300	A
USGS	11395400	2013-12-15	17300	A
USGS	11395400	2013-12-16	17300	A
USGS	11395400	2013-12-17	17400	A
USGS	11395400	2013-12-18	17400	A
USGS	11395400	2013-12-19	17400	A
USGS	11395400	2013-12-20	17400	A
USGS	11395400	2013-12-21	17500	A
USGS	11395400	2013-12-22	17500	A
USGS	11395400	2013-12-23	17500	A
USGS	11395400	2013-12-24	17500	A
USGS	11395400	2013-12-25	17500	A
USGS	11395400	2013-12-26	17600	A
USGS	11395400	2013-12-27	17600	A
USGS	11395400	2013-12-28	17600	A
USGS	11395400	2013-12-29	17600	A
USGS	11395400	2013-12-30	17500	A
USGS	11395400	2013-12-31	17500	A
USGS	11395400	2014-01-01	17400	A
USGS	11395400	2014-01-02	17400	A
USGS	11395400	2014-01-03	17400	A
USGS	11395400	2014-01-04	17500	A
USGS	11395400	2014-01-05	17500	A
USGS	11395400	2014-01-06	17500	A
USGS	11395400	2014-01-07	17500	A
USGS	11395400	2014-01-08	17500	A
USGS	11395400	2014-01-09	17600	A
USGS	11395400	2014-01-10	17600	A
USGS	11395400	2014-01-11	17600	A
USGS	11395400	2014-01-12	17600	A
USGS	11395400	2014-01-13	17700	A
USGS	11395400	2014-01-14	17700	A
USGS	11395400	2014-01-15	17700	A
USGS	11395400	2014-01-16	17700	A
USGS	11395400	2014-01-17	17800	A
USGS	11395400	2014-01-18	17800	A
USGS	11395400	2014-01-19	17800	A
USGS	11395400	2014-01-20	17800	A
USGS	11395400	2014-01-21	17800	A
USGS	11395400	2014-01-22	17700	A
USGS	11395400	2014-01-23	17700	A
USGS	11395400	2014-01-24	17800	A
USGS	11395400	2014-01-25	17800	A
USGS	11395400	2014-01-26	17700	A
USGS	11395400	2014-01-27	17700	A
USGS	11395400	2014-01-28	17700	A
USGS	11395400	2014-01-29	17800	A
USGS	11395400	2014-01-30	17900	A
USGS	11395400	2014-01-31	17900	A
