agency_cd	site_no	datetime	149161_62614_32400	149161_62614_32400_cd
USGS	12147900	2013-01-01	1753.26	A
USGS	12147900	2013-01-02	1753.14	A
USGS	12147900	2013-01-03	1753.04	A
USGS	12147900	2013-01-04	1752.98	A
USGS	12147900	2013-01-05	1752.97	A
USGS	12147900	2013-01-06	1752.99	A
USGS	12147900	2013-01-07	1753.65	A
USGS	12147900	2013-01-08	1754.60	A
USGS	12147900	2013-01-09	1755.83	A
USGS	12147900	2013-01-10	1756.04	A
USGS	12147900	2013-01-11	1755.97	A
USGS	12147900	2013-01-12	1755.77	A
USGS	12147900	2013-01-13	1755.54	A
USGS	12147900	2013-01-14	1755.22	A
USGS	12147900	2013-01-15	1754.96	A
USGS	12147900	2013-01-16	1754.76	A
USGS	12147900	2013-01-17	1754.64	A
USGS	12147900	2013-01-18	1754.58	A
USGS	12147900	2013-01-19	1754.56	A
USGS	12147900	2013-01-20	1754.52	A
USGS	12147900	2013-01-21	1754.50	A
USGS	12147900	2013-01-22	1754.51	A
USGS	12147900	2013-01-23	1754.58	A
USGS	12147900	2013-01-24	1754.63	A
USGS	12147900	2013-01-25	1754.90	A
USGS	12147900	2013-01-26	1755.14	A
USGS	12147900	2013-01-27	1755.30	A
USGS	12147900	2013-01-28	1755.43	A
USGS	12147900	2013-01-29	1755.56	A
USGS	12147900	2013-01-30	1755.87	A
USGS	12147900	2013-01-31	1756.26	A
USGS	12147900	2013-02-01	1756.52	A
USGS	12147900	2013-02-02	1756.52	A
USGS	12147900	2013-02-03	1756.54	A
USGS	12147900	2013-02-04	1756.54	A
USGS	12147900	2013-02-05	1756.61	A
USGS	12147900	2013-02-06	1756.69	A
USGS	12147900	2013-02-07	1756.63	A
USGS	12147900	2013-02-08	1756.47	A
USGS	12147900	2013-02-09	1756.27	A
USGS	12147900	2013-02-10	1756.05	A
USGS	12147900	2013-02-11	1755.78	A
USGS	12147900	2013-02-12	1755.54	A
USGS	12147900	2013-02-13	1755.65	A
USGS	12147900	2013-02-14	1755.59	A
USGS	12147900	2013-02-15	1755.44	A
USGS	12147900	2013-02-16	1755.43	A
USGS	12147900	2013-02-17	1755.35	A
USGS	12147900	2013-02-18	1755.18	A
USGS	12147900	2013-02-19	1754.95	A
USGS	12147900	2013-02-20	1754.92	A
USGS	12147900	2013-02-21	1754.96	A
USGS	12147900	2013-02-22	1755.17	A
USGS	12147900	2013-02-23	1755.22	A
USGS	12147900	2013-02-24	1755.25	A
USGS	12147900	2013-02-25	1755.28	A
USGS	12147900	2013-02-26	1755.28	A
USGS	12147900	2013-02-27	1755.22	A
USGS	12147900	2013-02-28	1755.43	A
USGS	12147900	2013-03-01	1756.48	A
USGS	12147900	2013-03-02	1756.74	A
USGS	12147900	2013-03-03	1756.78	A
USGS	12147900	2013-03-04	1756.60	A
USGS	12147900	2013-03-05	1756.26	A
USGS	12147900	2013-03-06	1755.93	A
USGS	12147900	2013-03-07	1755.62	A
USGS	12147900	2013-03-08	1755.24	A
USGS	12147900	2013-03-09	1754.93	A
USGS	12147900	2013-03-10	1754.77	A
USGS	12147900	2013-03-11	1754.59	A
USGS	12147900	2013-03-12	1755.66	A
USGS	12147900	2013-03-13	1757.90	A
USGS	12147900	2013-03-14	1758.61	A
USGS	12147900	2013-03-15	1759.09	A
USGS	12147900	2013-03-16	1759.59	A
USGS	12147900	2013-03-17	1759.64	A
USGS	12147900	2013-03-18	1759.46	A
USGS	12147900	2013-03-19	1759.18	A
USGS	12147900	2013-03-20	1759.14	A
USGS	12147900	2013-03-21	1758.91	A
USGS	12147900	2013-03-22	1758.61	A
USGS	12147900	2013-03-23	1758.36	A
USGS	12147900	2013-03-24	1758.00	A
USGS	12147900	2013-03-25	1757.65	A
USGS	12147900	2013-03-26	1757.44	A
USGS	12147900	2013-03-27	1757.25	A
USGS	12147900	2013-03-28	1757.30	A
USGS	12147900	2013-03-29	1757.37	A
USGS	12147900	2013-03-30	1757.49	A
USGS	12147900	2013-03-31	1757.67	A
USGS	12147900	2013-04-01	1757.94	A
USGS	12147900	2013-04-02	1758.20	A
USGS	12147900	2013-04-03	1758.32	A
USGS	12147900	2013-04-04	1758.48	A
USGS	12147900	2013-04-05	1760.36	A
USGS	12147900	2013-04-06	1761.41	A
USGS	12147900	2013-04-07	1761.79	A
USGS	12147900	2013-04-08	1761.79	A
USGS	12147900	2013-04-09	1761.55	A
USGS	12147900	2013-04-10	1762.25	A
USGS	12147900	2013-04-11	1762.48	A
USGS	12147900	2013-04-12	1762.30	A
USGS	12147900	2013-04-13	1762.32	A
USGS	12147900	2013-04-14	1762.20	A
USGS	12147900	2013-04-15	1761.95	A
USGS	12147900	2013-04-16	1761.45	A
USGS	12147900	2013-04-17	1760.92	A
USGS	12147900	2013-04-18		
USGS	12147900	2013-04-19	1760.89	A
USGS	12147900	2013-04-20		
USGS	12147900	2013-04-21	1762.69	A
USGS	12147900	2013-04-22	1762.53	A
USGS	12147900	2013-04-23	1762.22	A
USGS	12147900	2013-04-24	1761.68	A
USGS	12147900	2013-04-25	1761.06	A
USGS	12147900	2013-04-26	1760.54	A
USGS	12147900	2013-04-27	1760.19	A
USGS	12147900	2013-04-28	1760.29	A
USGS	12147900	2013-04-29	1760.34	A
USGS	12147900	2013-04-30	1759.96	A
USGS	12147900	2013-05-01	1759.40	A
USGS	12147900	2013-05-02	1758.91	A
USGS	12147900	2013-05-03	1758.62	A
USGS	12147900	2013-05-04	1758.51	A
USGS	12147900	2013-05-05	1758.52	A
USGS	12147900	2013-05-06	1758.75	A
USGS	12147900	2013-05-07	1759.10	A
USGS	12147900	2013-05-08	1759.41	A
USGS	12147900	2013-05-09	1759.68	A
USGS	12147900	2013-05-10	1760.02	A
USGS	12147900	2013-05-11	1760.36	A
USGS	12147900	2013-05-12	1760.85	A
USGS	12147900	2013-05-13	1761.61	A
USGS	12147900	2013-05-14		
USGS	12147900	2013-05-15	1761.54	A
USGS	12147900	2013-05-16	1761.50	A
USGS	12147900	2013-05-17	1761.62	A
USGS	12147900	2013-05-18	1761.74	A
USGS	12147900	2013-05-19	1761.79	A
USGS	12147900	2013-05-20	1761.80	A
USGS	12147900	2013-05-21	1761.84	A
USGS	12147900	2013-05-22	1761.99	A
USGS	12147900	2013-05-23	1762.04	A
USGS	12147900	2013-05-24	1762.04	A
USGS	12147900	2013-05-25	1762.00	A
USGS	12147900	2013-05-26	1762.01	A
USGS	12147900	2013-05-27	1762.14	A
USGS	12147900	2013-05-28	1762.46	A
USGS	12147900	2013-05-29	1762.71	A
USGS	12147900	2013-05-30	1763.10	A
USGS	12147900	2013-05-31	1763.25	A
USGS	12147900	2013-06-01	1763.31	A
USGS	12147900	2013-06-02	1763.36	A
USGS	12147900	2013-06-03	1763.38	A
USGS	12147900	2013-06-04	1763.35	A
USGS	12147900	2013-06-05	1763.35	A
USGS	12147900	2013-06-06	1763.33	A
USGS	12147900	2013-06-07	1763.33	A
USGS	12147900	2013-06-08	1763.27	A
USGS	12147900	2013-06-09	1763.20	A
