agency_cd	site_no	datetime	213293_00054_32400	213293_00054_32400_cd
5s	15s	20d	14n	10s
USGS	10270700	2013-01-01	4110	A
USGS	10270700	2013-01-02	4090	A
USGS	10270700	2013-01-03	4070	A
USGS	10270700	2013-01-04	4060	A
USGS	10270700	2013-01-05	4040	A
USGS	10270700	2013-01-06	4020	A
USGS	10270700	2013-01-07	4000	A
USGS	10270700	2013-01-08	3980	A
USGS	10270700	2013-01-09	3970	A
USGS	10270700	2013-01-10	3950	A
USGS	10270700	2013-01-11	3940	A
USGS	10270700	2013-01-12	3920	A
USGS	10270700	2013-01-13	3900	A
USGS	10270700	2013-01-14	3880	A
USGS	10270700	2013-01-15	3860	A
USGS	10270700	2013-01-16	3840	A
USGS	10270700	2013-01-17	3820	A
USGS	10270700	2013-01-18	3810	A
USGS	10270700	2013-01-19	3790	A
USGS	10270700	2013-01-20	3770	A
USGS	10270700	2013-01-21	3750	A
USGS	10270700	2013-01-22	3730	A
USGS	10270700	2013-01-23	3710	A
USGS	10270700	2013-01-24	3690	A
USGS	10270700	2013-01-25	3670	A
USGS	10270700	2013-01-26	3660	A
USGS	10270700	2013-01-27	3640	A
USGS	10270700	2013-01-28	3620	A
USGS	10270700	2013-01-29	3600	A
USGS	10270700	2013-01-30	3580	A
USGS	10270700	2013-01-31	3560	A
USGS	10270700	2013-02-01	3550	A
USGS	10270700	2013-02-02	3530	A
USGS	10270700	2013-02-03	3510	A
USGS	10270700	2013-02-04	3490	A
USGS	10270700	2013-02-05	3470	A
USGS	10270700	2013-02-06	3450	A
USGS	10270700	2013-02-07	3430	A
USGS	10270700	2013-02-08	3410	A
USGS	10270700	2013-02-09	3390	A
USGS	10270700	2013-02-10	3380	A
USGS	10270700	2013-02-11	3360	A
USGS	10270700	2013-02-12	3340	A
USGS	10270700	2013-02-13	3310	A
USGS	10270700	2013-02-14	3300	A
USGS	10270700	2013-02-15	3280	A
USGS	10270700	2013-02-16	3260	A
USGS	10270700	2013-02-17	3240	A
USGS	10270700	2013-02-18	3220	A
USGS	10270700	2013-02-19	3200	A
USGS	10270700	2013-02-20	3180	A
USGS	10270700	2013-02-21	3160	A
USGS	10270700	2013-02-22	3140	A
USGS	10270700	2013-02-23	3120	A
USGS	10270700	2013-02-24	3100	A
USGS	10270700	2013-02-25	3080	A
USGS	10270700	2013-02-26	3060	A
USGS	10270700	2013-02-27	3030	A
USGS	10270700	2013-02-28	3010	A
USGS	10270700	2013-03-01	2990	A
USGS	10270700	2013-03-02	2980	A
USGS	10270700	2013-03-03	2960	A
USGS	10270700	2013-03-04	2940	A
USGS	10270700	2013-03-05	2920	A
USGS	10270700	2013-03-06	2890	A
USGS	10270700	2013-03-07	2870	A
USGS	10270700	2013-03-08	2850	A
USGS	10270700	2013-03-09	2830	A
USGS	10270700	2013-03-10	2810	A
USGS	10270700	2013-03-11	2780	A
USGS	10270700	2013-03-12	2760	A
USGS	10270700	2013-03-13	2740	A
USGS	10270700	2013-03-14	2730	A
USGS	10270700	2013-03-15	2710	A
USGS	10270700	2013-03-16	2690	A
USGS	10270700	2013-03-17	2680	A
USGS	10270700	2013-03-18	2660	A
USGS	10270700	2013-03-19	2650	A
USGS	10270700	2013-03-20	2630	A
USGS	10270700	2013-03-21	2600	A
USGS	10270700	2013-03-22	2570	A
USGS	10270700	2013-03-23	2550	A
USGS	10270700	2013-03-24	2520	A
USGS	10270700	2013-03-25	2500	A
USGS	10270700	2013-03-26	2480	A
USGS	10270700	2013-03-27	2460	A
USGS	10270700	2013-03-28	2440	A
USGS	10270700	2013-03-29	2420	A
USGS	10270700	2013-03-30	2400	A
USGS	10270700	2013-03-31	2380	A
USGS	10270700	2013-04-01	2360	A
USGS	10270700	2013-04-02	2340	A
USGS	10270700	2013-04-03	2330	A
USGS	10270700	2013-04-04	2310	A
USGS	10270700	2013-04-05	2300	A
USGS	10270700	2013-04-06	2280	A
USGS	10270700	2013-04-07	2270	A
USGS	10270700	2013-04-08	2250	A
USGS	10270700	2013-04-09	2230	A
USGS	10270700	2013-04-10	2220	A
USGS	10270700	2013-04-11	2200	A
USGS	10270700	2013-04-12	2190	A
USGS	10270700	2013-04-13	2190	A
USGS	10270700	2013-04-14	2180	A
USGS	10270700	2013-04-15	2160	A
USGS	10270700	2013-04-16	2130	A
USGS	10270700	2013-04-17	2100	A
USGS	10270700	2013-04-18	2080	A
USGS	10270700	2013-04-19	2050	A
USGS	10270700	2013-04-20	2020	A
USGS	10270700	2013-04-21	2000	A
USGS	10270700	2013-04-22	1980	A
USGS	10270700	2013-04-23	1990	A
USGS	10270700	2013-04-24	2000	A
USGS	10270700	2013-04-25	2010	A
USGS	10270700	2013-04-26	2020	A
USGS	10270700	2013-04-27	2040	A
USGS	10270700	2013-04-28	2080	A
USGS	10270700	2013-04-29	2120	A
USGS	10270700	2013-04-30	2180	A
USGS	10270700	2013-05-01	2230	A
USGS	10270700	2013-05-02	2270	A
USGS	10270700	2013-05-03	2320	A
USGS	10270700	2013-05-04	2350	A
USGS	10270700	2013-05-05	2380	A
USGS	10270700	2013-05-06	2390	A
USGS	10270700	2013-05-07	2400	A
USGS	10270700	2013-05-08	2410	A
USGS	10270700	2013-05-09	2400	A
USGS	10270700	2013-05-10	2380	A
USGS	10270700	2013-05-11	2370	A
USGS	10270700	2013-05-12	2390	A
USGS	10270700	2013-05-13	2450	A
USGS	10270700	2013-05-14	2520	A
USGS	10270700	2013-05-15	2600	A
USGS	10270700	2013-05-16	2670	A
USGS	10270700	2013-05-17	2720	A
USGS	10270700	2013-05-18	2760	A
USGS	10270700	2013-05-19	2790	A
USGS	10270700	2013-05-20	2800	A
USGS	10270700	2013-05-21	2850	A
USGS	10270700	2013-05-22	2890	A
USGS	10270700	2013-05-23	2920	A
USGS	10270700	2013-05-24	2930	A
USGS	10270700	2013-05-25	2930	A
USGS	10270700	2013-05-26	2920	A
USGS	10270700	2013-05-27	2920	A
USGS	10270700	2013-05-28	2920	A
USGS	10270700	2013-05-29	2900	A
USGS	10270700	2013-05-30	2850	A
USGS	10270700	2013-05-31	2800	A
USGS	10270700	2013-06-01	2760	A
USGS	10270700	2013-06-02	2750	A
USGS	10270700	2013-06-03	2760	A
USGS	10270700	2013-06-04	2790	A
USGS	10270700	2013-06-05	2820	A
USGS	10270700	2013-06-06	2850	A
USGS	10270700	2013-06-07	2880	A
USGS	10270700	2013-06-08	2910	A
USGS	10270700	2013-06-09	2970	A
USGS	10270700	2013-06-10	3030	A
USGS	10270700	2013-06-11	3070	A
USGS	10270700	2013-06-12	3100	A
USGS	10270700	2013-06-13	3110	A
USGS	10270700	2013-06-14	3100	A
USGS	10270700	2013-06-15	3080	A
USGS	10270700	2013-06-16	3060	A
USGS	10270700	2013-06-17	3050	A
USGS	10270700	2013-06-18	3020	A
USGS	10270700	2013-06-19	3000	A
USGS	10270700	2013-06-20	3000	A
USGS	10270700	2013-06-21	2980	A
USGS	10270700	2013-06-22	2960	A
USGS	10270700	2013-06-23	2930	A
USGS	10270700	2013-06-24	2910	A
USGS	10270700	2013-06-25	2890	A
USGS	10270700	2013-06-26	2870	A
USGS	10270700	2013-06-27	2870	A
